commodity,year,country,quantity,value,kept,located
Alkali,1887,Germany,2172,1988,1,1
Alkali,1887,Holland,21345,6569,1,1
Alkali,1887,United States Of America,1328,1475,1,1
Alkali,1888,Belgium,3258,536,1,1
Alkali,1888,Canada,14313,18337,1,1
Alkali,1888,France,23174,22712,1,1
Alkali,1888,Germany,4380,3693,1,1
Alkali,1888,Holland,9667,2965,1,1
Alkali,1888,Italy,287,323,1,1
Alkali,1888,United States Of America,1714,2121,1,1
Alkali,1889,Belgium,7981,1392,1,1
Alkali,1889,Canada,10483,11634,1,1
Alkali,1889,France,12297,11082,1,1
Alkali,1889,Germany,1844,1343,1,1
Alkali,1889,Holland,13543,4882,1,1
Alkali,1889,Spain,65,15,1,1
Alkali,1889,United States Of America,1301,1405,1,1
Alkali,1890,Belgium,770,382,1,1
Alkali,1890,Canada,8473,10317,1,1
Alkali,1890,France,11910,11184,1,1
Alkali,1890,Germany,1189,308,1,1
Alkali,1890,Holland,12534,4479,1,1
Alkali,1890,Other Foreign Countries,1866,1801,1,0
Alkali,1890,United States Of America,597,769,1,1
Alkali,1891,Canada,11354,14938,1,1
Alkali,1891,Channel Islands,10,3,1,1
Alkali,1891,France,15757,14778,1,1
Alkali,1891,Holland,51013,16815,1,1
Alkali,1891,Other Foreign Countries,4388,1743,1,0
Alkali,1891,United States Of America,1616,2127,1,1
Alkali,1892,Belgium,6677,1546,1,1
Alkali,1892,Canada,8540,11199,1,1
Alkali,1892,France,18802,17699,1,1
Alkali,1892,Germany,5757,5248,1,1
Alkali,1892,Holland,15354,4404,1,1
Alkali,1892,Other Foreign Countries,5,3,1,0
Alkali,1892,United States Of America,1110,1417,1,1
Alkali,1893,Belgium,903,508,1,1
Alkali,1893,Canada,6825,8632,1,1
Alkali,1893,France,42489,37899,1,1
Alkali,1893,Germany,26937,23934,1,1
Alkali,1893,Holland,8751,5876,1,1
Alkali,1893,Other Foreign Countries,59,9,1,0
Alkali,1893,United States Of America,1739,2246,1,1
Alkali,1893,United States Of America (Atlantic),1739,2246,0,1
Alkali,1894,Belgium,8703,4863,1,1
Alkali,1894,Canada,8007,9570,1,1
Alkali,1894,France,33629,28986,1,1
Alkali,1894,Germany,61544,44730,1,1
Alkali,1894,Holland,39190,12203,1,1
Alkali,1894,Other Foreign Countries,445,248,1,0
Alkali,1894,United States Of America,4123,3224,1,1
Alkali,1894,United States Of America (Atlantic),4123,3224,0,1
Alkali,1895,Belgium,26167,6259,1,1
Alkali,1895,Canada,8317,9998,1,1
Alkali,1895,France,34827,31085,1,1
Alkali,1895,Germany,40384,36457,1,1
Alkali,1895,Holland,69309,26600,1,1
Alkali,1895,Other Foreign Countries,2538,1678,1,0
Alkali,1895,United States Of America,2572,2509,1,1
Alkali,1895,United States Of America (Atlantic),2572,2509,0,1
Alkali,1896,Belgium,46232,11427,1,1
Alkali,1896,Canada,6853,7649,1,1
Alkali,1896,France,24382,19868,1,1
Alkali,1896,Germany,46653,34623,1,1
Alkali,1896,Holland,49701,20675,1,1
Alkali,1896,Other British Possessions,25,34,1,0
Alkali,1896,Other Foreign Countries,182,121,1,0
Alkali,1896,United States Of America,1628,1753,1,1
Alkali,1896,United States Of America (Atlantic),1628,1733,0,1
Alkali,1897,Belgium,94324,21501,1,1
Alkali,1897,Canada,7488,7414,1,1
Alkali,1897,France,13745,12223,1,1
Alkali,1897,Germany,48194,37772,1,1
Alkali,1897,Holland,61700,28207,1,1
Alkali,1897,Japan,1250,1116,1,1
Alkali,1897,Other British Possessions,53,28,1,0
Alkali,1897,Other Foreign Countries,106,1300,1,0
Alkali,1897,United States Of America,534,539,1,1
Alkali,1897,United States Of America (Atlantic),534,539,0,1
Alkali,1898,Belgium,72104,23588,1,1
Alkali,1898,Canada,4862,5334,1,1
Alkali,1898,France,32430,23631,1,1
Alkali,1898,Germany,52140,42304,1,1
Alkali,1898,Holland,43433,29305,1,1
Alkali,1898,Other Foreign Countries,2331,1559,1,0
Alkali,1898,United States Of America,32432,8205,1,1
Alkali,1899,Belgium,60145,13330,1,1
Alkali,1899,Canada,8030,9163,1,1
Alkali,1899,France,32732,21472,1,1
Alkali,1899,Germany,77579,79211,1,1
Alkali,1899,Holland,47981,20220,1,1
Alkali,1899,Other Foreign Countries,0,3421,1,0
Alkali,1899,United States Of America,12271,6983,1,1
Almonds,1872,France,1758,4896,1,1
Almonds,1872,Italy,5994,20969,1,1
Almonds,1872,Morocco,33512,79308,1,1
Almonds,1872,Other Countries,1319,4942,1,0
Almonds,1872,Portugal,5549,12745,1,1
Almonds,1872,Spain,22078,81729,1,1
Almonds,1874,France,913,2683,1,1
Almonds,1874,Italy,22301,61718,1,1
Almonds,1874,Morocco,31096,68133,1,1
Almonds,1874,Other Countries,2154,7670,1,0
Almonds,1874,Portugal,8329,21631,1,1
Almonds,1874,Spain,12161,59032,1,1
Almonds,1876,France,2090,6924,1,1
Almonds,1876,Italy,17943,55597,1,1
Almonds,1876,Morocco,27332,70037,1,1
Almonds,1876,Other Countries,1239,3971,1,0
Almonds,1876,Portugal,1405,3118,1,1
Almonds,1876,Spain,27187,104431,1,1
Almonds,1877,France,1604,5032,1,1
Almonds,1877,Italy,6609,22265,1,1
Almonds,1877,Morocco,28857,81496,1,1
Almonds,1877,Other Countries,1625,5379,1,0
Almonds,1877,Portugal,7309,21726,1,1
Almonds,1877,Spain,14543,64401,1,1
Almonds,1878,Italy,23810,96727,1,1
Almonds,1878,Morocco,13095,51454,1,1
Almonds,1878,Other Countries,1922,7022,1,0
Almonds,1878,Portugal,4447,11480,1,1
Almonds,1878,Spain,15086,62746,1,1
Almonds,1879,Italy,13615,62476,1,1
Almonds,1879,Morocco,12863,52148,1,1
Almonds,1879,Other Countries,2980,11625,1,0
Almonds,1879,Portugal,3862,13594,1,1
Almonds,1879,Spain,12999,73062,1,1
Almonds,1880,France,4974,15162,1,1
Almonds,1880,Italy,23071,99226,1,1
Almonds,1880,Morocco,24040,80277,1,1
Almonds,1880,Other Countries,2629,10206,1,0
Almonds,1880,Portugal,8179,27132,1,1
Almonds,1880,Spain,23870,102710,1,1
Almonds,1881,France,4864,21706,1,1
Almonds,1881,Italy,32289,118315,1,1
Almonds,1881,Morocco,21594,64936,1,1
Almonds,1881,Other Countries,849,2613,1,0
Almonds,1881,Portugal,4416,13614,1,1
Almonds,1881,Spain,12592,59628,1,1
Almonds,1886,Canary Islands,2247,8404,1,1
Almonds,1886,France,5104,10968,1,1
Almonds,1886,Gibraltar,27,80,1,1
Almonds,1886,Italy,24452,81699,1,1
Almonds,1886,Morocco,17661,43597,1,1
Almonds,1886,Other Foreign Countries,953,2754,1,0
Almonds,1886,Portugal,10871,24015,1,1
Almonds,1886,Spain,16700,67298,1,1
Almonds,1888,Canary Islands,1918,8373,1,1
Almonds,1888,France,8947,18943,1,1
Almonds,1888,Italy,25145,74886,1,1
Almonds,1888,Morocco,18586,45542,1,1
Almonds,1888,Other Foreign Countries,393,1088,1,0
Almonds,1888,Portugal,6211,13448,1,1
Almonds,1888,Spain,20153,79742,1,1
Almonds,1889,Canary Islands,3393,11750,1,1
Almonds,1889,France,7717,21915,1,1
Almonds,1889,Italy,24077,78980,1,1
Almonds,1889,Morocco,49533,141564,1,1
Almonds,1889,Other Foreign Countries,3168,9316,1,0
Almonds,1889,Portugal,9281,18785,1,1
Almonds,1889,Spain,32046,128308,1,1
Almonds,1890,Canary Islands,3172,13886,1,1
Almonds,1890,France,5142,19515,1,1
Almonds,1890,Italy,19190,79261,1,1
Almonds,1890,Morocco,30951,110394,1,1
Almonds,1890,Other Foreign Countries,1743,5111,1,0
Almonds,1890,Persia,1409,4708,1,1
Almonds,1890,Portugal,7233,18672,1,1
Almonds,1890,Spain,29228,98797,1,1
Almonds,1891,Canary Islands,8178,28156,1,1
Almonds,1891,France,8141,23276,1,1
Almonds,1891,Germany,938,3557,1,1
Almonds,1891,Gibraltar,622,2207,1,1
Almonds,1891,Italy,32992,118289,1,1
Almonds,1891,Morocco,9891,40735,1,1
Almonds,1891,Other British Possessions,237,437,1,0
Almonds,1891,Other Foreign Countries,665,2355,1,0
Almonds,1891,Persia,3811,17803,1,1
Almonds,1891,Portugal,4771,11835,1,1
Almonds,1891,Spain,41549,150100,1,1
Almonds,1891,Turkey,4790,20051,1,1
Almonds,1892,Canary Islands,1973,7323,1,1
Almonds,1892,France,12762,37223,1,1
Almonds,1892,Germany,2735,7583,1,1
Almonds,1892,Italy,23675,80658,1,1
Almonds,1892,Morocco,18525,50774,1,1
Almonds,1892,Other Foreign Countries,214,678,1,0
Almonds,1892,Persia,1128,3705,1,1
Almonds,1892,Portugal,5489,15660,1,1
Almonds,1892,Spain,38189,148392,1,1
Almonds,1892,Turkey,1182,4216,1,1
Almonds,1893,Asiatic,683,1922,1,1
Almonds,1893,Austrian Territories,183,544,1,1
Almonds,1893,Canary Islands,2282,8281,1,1
Almonds,1893,France,13011,32671,1,1
Almonds,1893,Germany,653,1652,1,1
Almonds,1893,Italy,34870,101844,1,1
Almonds,1893,Morocco,18113,46881,1,1
Almonds,1893,Other Foreign Countries,557,1750,1,0
Almonds,1893,Portugal,7767,16883,1,1
Almonds,1893,Spain,52687,172383,1,1
Almonds,1893,Turkey,799,2310,1,1
Almonds,1894,Asiatic,65,208,1,1
Almonds,1894,Austrian Territories,1074,2538,1,1
Almonds,1894,Canary Islands,6129,17798,1,1
Almonds,1894,France,18702,47649,1,1
Almonds,1894,Germany,746,1942,1,1
Almonds,1894,Gibraltar,361,846,1,1
Almonds,1894,Italy,32941,85174,1,1
Almonds,1894,Morocco,12618,26839,1,1
Almonds,1894,Other British Possessions,70,100,1,0
Almonds,1894,Other Foreign Countries,447,1308,1,0
Almonds,1894,Portugal,14381,26596,1,1
Almonds,1894,Spain,48572,190975,1,1
Almonds,1895,Asiatic,659,1223,1,1
Almonds,1895,Austrian Territories,318,899,1,1
Almonds,1895,Canary Islands,2778,6678,1,1
Almonds,1895,France,20581,44477,1,1
Almonds,1895,Germany,1211,2643,1,1
Almonds,1895,Gibraltar,47,127,1,1
Almonds,1895,Italy,22795,63742,1,1
Almonds,1895,Morocco,15372,23746,1,1
Almonds,1895,Other British Possessions,214,652,1,0
Almonds,1895,Other Foreign Countries,1277,3096,1,0
Almonds,1895,Portugal,3222,6863,1,1
Almonds,1895,Spain,52635,181320,1,1
Almonds,1895,Turkey,10,15,1,1
Almonds,1896,Asiatic,21,52,1,1
Almonds,1896,Austrian Territories,69,151,1,1
Almonds,1896,Canary Islands,2302,5669,1,1
Almonds,1896,France,13802,33723,1,1
Almonds,1896,Germany,1235,2353,1,1
Almonds,1896,Gibraltar,449,1061,1,1
Almonds,1896,Italy,30140,75738,1,1
Almonds,1896,Morocco,13097,24903,1,1
Almonds,1896,Other British Possessions,391,573,1,0
Almonds,1896,Other Foreign Countries,413,958,1,0
Almonds,1896,Portugal,15979,29711,1,1
Almonds,1896,Spain,67930,250358,1,1
Almonds,1896,Turkey,2130,4213,1,1
Almonds,1897,Asiatic,335,780,1,1
Almonds,1897,Austrian Territories,112,242,1,1
Almonds,1897,Canary Islands,4420,11534,1,1
Almonds,1897,France,12597,24740,1,1
Almonds,1897,Germany,1468,3226,1,1
Almonds,1897,Gibraltar,423,1189,1,1
Almonds,1897,Italy,24095,68620,1,1
Almonds,1897,Morocco,16243,35593,1,1
Almonds,1897,Other Foreign Countries,864,2179,1,0
Almonds,1897,Portugal,15349,35342,1,1
Almonds,1897,Spain,85942,252701,1,1
Almonds,1898,Asiatic,161,345,1,1
Almonds,1898,Austrian Territories,1035,3569,1,1
Almonds,1898,Canary Islands,6247,17892,1,1
Almonds,1898,France,12511,26925,1,1
Almonds,1898,Germany,1252,4344,1,1
Almonds,1898,Gibraltar,1024,3260,1,1
Almonds,1898,Italy,23469,69820,1,1
Almonds,1898,Morocco,27752,35723,1,1
Almonds,1898,Other British Possessions,525,1552,1,0
Almonds,1898,Other Foreign Countries,241,627,1,0
Almonds,1898,Portugal,18555,53614,1,1
Almonds,1898,Spain,76982,275410,1,1
"Ammunition — Shot, Large And Small",1893,France,0,356,1,1
"Ammunition — Shot, Large And Small",1893,Germany,0,651,1,1
"Ammunition — Shot, Large And Small",1893,Gibraltar,0,1447,1,1
"Ammunition — Shot, Large And Small",1893,Holland,0,250,1,1
"Ammunition — Shot, Large And Small",1893,Other Foreign Countries,0,30,1,0
"Ammunition — Shot, Large And Small",1893,Spain,0,7745,1,1
"Ammunition — Shot, Large And Small",1894,France,0,509,1,1
"Ammunition — Shot, Large And Small",1894,Germany,0,302,1,1
"Ammunition — Shot, Large And Small",1894,Holland,0,73,1,1
"Ammunition — Shot, Large And Small",1894,Other Foreign Countries,0,253,1,0
"Ammunition — Shot, Large And Small",1894,Spain,0,9782,1,1
"Ammunition — Shot, Large And Small",1894,Sweden,0,18,1,1
"Ammunition — Shot, Large And Small",1895,France,0,253,1,1
"Ammunition — Shot, Large And Small",1895,Germany,0,42,1,1
"Ammunition — Shot, Large And Small",1895,Holland,0,353,1,1
"Ammunition — Shot, Large And Small",1895,Other Foreign Countries,0,188,1,0
"Ammunition — Shot, Large And Small",1895,Spain,0,5246,1,1
"Ammunition — Shot, Large And Small",1895,Sweden,0,450,1,1
"Ammunition — Shot, Large And Small",1896,France,0,154,1,1
"Ammunition — Shot, Large And Small",1896,Germany,0,136,1,1
"Ammunition — Shot, Large And Small",1896,Holland,0,12,1,1
"Ammunition — Shot, Large And Small",1896,Other Foreign Countries,0,699,1,0
"Ammunition — Shot, Large And Small",1896,Spain,0,7062,1,1
"Ammunition — Shot, Large And Small",1897,Germany,0,144,1,1
"Ammunition — Shot, Large And Small",1897,Holland,0,218,1,1
"Ammunition — Shot, Large And Small",1897,Other Foreign Countries,0,250,1,0
"Ammunition — Shot, Large And Small",1897,Spain,0,3366,1,1
"Ammunition — Shot, Large And Small",1898,France,0,17,1,1
"Ammunition — Shot, Large And Small",1898,Germany,0,60,1,1
"Ammunition — Shot, Large And Small",1898,Holland,0,191,1,1
"Ammunition — Shot, Large And Small",1898,Other Foreign Countries,0,77,1,0
"Ammunition — Shot, Large And Small",1898,Spain,0,6478,1,1
"Ammunition — Shot, Large And Small",1899,Germany,0,570,1,1
"Ammunition — Shot, Large And Small",1899,Holland,0,460,1,1
"Ammunition — Shot, Large And Small",1899,Other Foreign Countries,0,1680,1,0
"Ammunition — Shot, Large And Small",1899,Spain,0,4870,1,1
Ammunition — Stallions,1893,Australasia,1,50,0,1
Ammunition — Stallions,1893,Bengal,4,200,1,1
Ammunition — Stallions,1893,Bombay,4,330,1,1
Ammunition — Stallions,1893,Queensland,1,50,1,1
Ammunition — Stallions,1893,Russia,1,10,0,1
Ammunition — Stallions,1893,Russia (Northern Ports),1,10,1,1
Ammunition — Stallions,1893,Straits Settlements,1,21,1,1
Ammunition — Stallions,1893,United States Of America,59,27185,0,1
Ammunition — Stallions,1893,United States Of America (Atlantic),59,27185,1,1
Ammunition — Stallions,1894,Australasia,1,20,0,1
Ammunition — Stallions,1894,Bengal,1,200,1,1
Ammunition — Stallions,1894,Bombay,10,550,1,1
Ammunition — Stallions,1894,Madras,7,200,1,1
Ammunition — Stallions,1894,New South Wales,1,20,1,1
Ammunition — Stallions,1894,Russia,46,1380,0,1
Ammunition — Stallions,1894,Russia (Northern Ports),46,1380,1,1
Ammunition — Stallions,1894,United States Of America,49,9315,0,1
Ammunition — Stallions,1894,United States Of America (Atlantic),49,9315,1,1
Ammunition — Stallions,1895,Australasia,4,16512,0,1
Ammunition — Stallions,1895,Bengal,3,170,1,1
Ammunition — Stallions,1895,Bombay,8,435,1,1
Ammunition — Stallions,1895,New South Wales,2,1512,1,1
Ammunition — Stallions,1895,Russia,130,1369,0,1
Ammunition — Stallions,1895,Russia (Northern Ports),130,1369,1,1
Ammunition — Stallions,1895,Straits Settlements,1,10,1,1
Ammunition — Stallions,1895,United States Of America,73,34153,0,1
Ammunition — Stallions,1895,United States Of America (Atlantic),73,34153,1,1
Ammunition — Stallions,1895,Victoria,2,15000,1,1
Ammunition — Stallions,1896,Australasia,10,11960,0,1
Ammunition — Stallions,1896,Bengal,1,50,1,1
Ammunition — Stallions,1896,Bombay,1,200,1,1
Ammunition — Stallions,1896,New South Wales,3,7000,1,1
Ammunition — Stallions,1896,New Zealand,3,2500,1,1
Ammunition — Stallions,1896,Russia,37,444,0,1
Ammunition — Stallions,1896,Russia (Northern Ports),37,444,1,1
Ammunition — Stallions,1896,United States Of America,45,7245,0,1
Ammunition — Stallions,1896,United States Of America (Atlantic),45,7245,1,1
Ammunition — Stallions,1896,Victoria,4,2460,1,1
Ammunition — Stallions,1897,Australasia,6,8790,0,1
Ammunition — Stallions,1897,Bengal,3,125,1,1
Ammunition — Stallions,1897,Bombay,1,50,1,1
Ammunition — Stallions,1897,New South Wales,3,8050,1,1
Ammunition — Stallions,1897,New Zealand,3,740,1,1
Ammunition — Stallions,1897,Russia,114,1234,0,1
Ammunition — Stallions,1897,Russia (Northern Ports),114,1234,1,1
Ammunition — Stallions,1897,United States Of America,73,19090,0,1
Ammunition — Stallions,1897,United States Of America (Atlantic),73,19090,1,1
Ammunition — Stallions,1898,Australasia,11,6635,0,1
Ammunition — Stallions,1898,New South Wales,6,3066,1,1
Ammunition — Stallions,1898,New Zealand,1,30,1,1
Ammunition — Stallions,1898,Victoria,4,3539,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Belgium,271,10625,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Canada,12,395,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Channel Islands,95,3683,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Denmark,3165,23536,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,France,1012,53068,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Germany,4509,71196,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Holland,1190,41175,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Norway,8,270,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Other Countries,23,1165,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Russia,10,270,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,Sweden,22,515,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1883,United States Of America,92,6135,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Belgium,442,17080,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Channel Islands,63,2362,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Denmark,3092,23075,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,France,842,41704,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Germany,6946,102180,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Holland,1148,47531,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,Other Countries,132,5862,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1884,United States Of America,261,16995,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Belgium,302,12981,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Canada,19,1675,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Channel Islands,69,2422,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Denmark,2975,15743,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,France,634,32521,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Germany,7828,78566,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Holland,826,31090,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Other British Possessions,9,1565,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,Other Foreign Countries,130,3126,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1885,United States Of America,228,12935,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Argentine Republic,51,2030,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Belgium,365,16005,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,British East Indies,9,810,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,British Possessions In South Africa,1,60,0,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Canada,118,4243,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Cape Of Good Hope,1,60,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Channel Islands,52,1747,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Denmark,2365,13035,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,France,794,41240,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Germany,6085,60186,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Holland,915,36840,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,Other Foreign Countries,40,1730,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1886,United States Of America,231,11975,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Belgium,345,15850,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,British East Indies,10,800,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Canada,261,10590,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Channel Islands,85,2899,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Denmark,4150,30059,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,France,746,38861,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Germany,4680,47130,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Holland,905,38549,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Norway,195,2683,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Other British Possessions,7,215,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Other Foreign Countries,27,947,1,0
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,Sweden,89,2310,1,1
"Animals Living — Horses, Mares, Geldings, Colts, And Foals",1887,United States Of America,141,6786,1,1
Animals Living — Unenumerated,1878,France,1577,5102,1,1
Animals Living — Unenumerated,1878,Other Countries,1518,4300,1,0
Animals Living — Unenumerated,1879,France,1960,6400,1,1
Animals Living — Unenumerated,1879,Other Countries,1633,8464,1,0
Animals Living — Unenumerated,1880,British East Indies,3271,0,1,1
Animals Living — Unenumerated,1880,France,2697,0,1,1
Animals Living — Unenumerated,1880,Holland,4267,0,1,1
Animals Living — Unenumerated,1880,Other Countries,5080,0,1,0
Animals Living — Unenumerated,1880,United States Of America,17924,0,1,1
Animals Living — Unenumerated,1883,Belgium,1859,0,1,1
Animals Living — Unenumerated,1883,British East Indies,8139,0,1,1
Animals Living — Unenumerated,1883,British Possessions In South Africa,300,0,1,1
Animals Living — Unenumerated,1883,Cape Of Good Hope,300,0,0,1
Animals Living — Unenumerated,1883,France,5617,0,1,1
Animals Living — Unenumerated,1883,Germany,5955,0,1,1
Animals Living — Unenumerated,1883,Holland,5573,0,1,1
Animals Living — Unenumerated,1883,Northern Whale Fishery,385,0,1,0
Animals Living — Unenumerated,1883,Other Countries,1028,0,1,0
Animals Living — Unenumerated,1883,Persia,300,0,1,1
Animals Living — Unenumerated,1883,The Gold Coast,209,0,1,1
Animals Living — Unenumerated,1883,United States Of America,707,0,1,1
Animals Living — Unenumerated,1883,Western Africa (Foreign,275,0,1,1
