fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1870,A,"Nitre, Sal Ammoniac, Sal Soda, Salt-petre, Soda Ash, Soda Caustic, Nitrate and Silicate of Soda",FREE,1,333,2208,333,2208,0.0
1870,A,Norway,FREE,3,537,103211,537,103211,59.4
1870,A,Other Foreign Countries,DUTIABLE,1,200,2827,100,1807,270.53
1870,A,Pkgs,DUTIABLE,6,602,11893,2050,388,0.0
1870,A,Pkgs,FREE,4,14743,3495538,523631,3932,0.0
1870,A,Portugal,DUTIABLE,8,4552,7627,8571,9108,2551.61
1870,A,Portugal,FREE,5,21036,7787,18616,6081,320.25
1870,A,Prince Edward Island,DUTIABLE,4,2342,5920,417,5496,340.89
1870,A,Prince Edward Island,FREE,17,843553,167153,843792,168094,2.24
1870,A,Prussia,DUTIABLE,1,3,305,3,305,45.75
1870,A,Russia,DUTIABLE,1,350,0,350,0,17.5
1870,A,Russia,FREE,2,595,6049,595,6049,0.0
1870,A,Spain,DUTIABLE,6,3554344,187883,3400815,186781,32066.43
1870,A,Spain,FREE,13,126613,59295,222199,51569,2069.25
1870,A,Spanish West Indies,DUTIABLE,19,5542373,11060372,8876861,459410,202003.59
1870,A,Spanish West Indies,FREE,16,74066,19368,320354,27047,3610.21
1870,A,St. Pierre,DUTIABLE,6,268,205,575,262,39.74
1870,A,St. Pierre,FREE,2,103,674,103,674,0.0
1870,A,St. Pierreet Miquelon,DUTIABLE,2,0,100,294,146,3.5
1870,A,Switzerland,FREE,4,989,28050,989,28050,4211.48
1870,A,Tons,FREE,2,0,1246,0,3193,0.0
1870,A,United States,DUTIABLE,277,17849218,8345552,14799565,5843199,972328.68
1870,A,United States,FREE,398,28586479,11596014,25965545,11438615,643025.35
1870,B,"1,610",DUTIABLE,2,4631,264007,4540,250339,12517.03
1870,B,"11,202",DUTIABLE,1,255,11202,255,11202,563.1
1870,B,186,FREE,1,3,186,3,186,0.0
1870,B,224,FREE,1,3,224,3,224,0.0
1870,B,410,FREE,1,6,410,6,410,0.0
