volume,flow,duty,article_group,article,country_raw,unit,year,quantity,value
as_1872,import,,COPPER,"Manufactures, Unenumerated",Holland,,1872,6753,
as_1872,import,,COPPER,"Manufactures, Unenumerated",France,,1872,10926,
as_1872,import,,COPPER,"Manufactures, Unenumerated",China,,1872,7113,
as_1872,import,,COPPER,"Manufactures, Unenumerated",British India,,1872,35103,
as_1872,import,,COPPER,"Manufactures, Unenumerated",Other Countries,,1872,7205,
as_1872,import,,COPPER,"Manufactures, Unenumerated",Total,,1872,71278,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Russia,,1872,266923,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Germany,,1872,35978,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Egypt,,1872,51725,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,British India: Bombay and Scinde,,1872,53544,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Madras,,1872,156079,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Bengal and Burmah,,1872,680,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Ceylon,,1872,76542,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Other Countries,,1872,14965,
as_1872,import,,"CORDAGE, TWINE, AND CABLE YARN",,Total,,1872,656436,
as_1872,import,,"CORK, UNMANUFACTURED",,Portugal,,1872,6053,174937
as_1872,import,,"CORK, UNMANUFACTURED",,Spain,,1872,583,20129
as_1872,import,,"CORK, UNMANUFACTURED",,Other Countries,,1872,86,2362
as_1872,import,,"CORK, UNMANUFACTURED",,Total,,1872,6722,197428
as_1872,import,,"CORK, UNMANUFACTURED",Manufactured,France,,1872,2454339,152526
as_1872,import,,"CORK, UNMANUFACTURED",Manufactured,Portugal,,1872,1186362,67983
as_1872,import,,"CORK, UNMANUFACTURED",Manufactured,Spain,,1872,703859,47985
as_1872,import,,"CORK, UNMANUFACTURED",Manufactured,Other Countries,,1872,37073,2902
as_1872,import,,"CORK, UNMANUFACTURED",Manufactured,Total,,1872,4381633,271296
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Russia: Northern Ports,,1872,2080175,1308751
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Southern Ports,,1872,15775483,9297050
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Denmark,,1872,428654,289963
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Germany,,1872,3891062,2648792
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,France,,1872,2844811,1850792
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Portugal,,1872,51536,36301
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Spain,,1872,551991,373781
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Italy,,1872,537243,367036
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Austrian Territories,,1872,55186,34249
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Turkey,,1872,559008,305296
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Wallachia and Moldavia,,1872,266163,144509
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Egypt,,1872,2310227,1182939
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,United States of America,,1872,8719940,5076471
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Chili,,1872,1436351,948906
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,British India: Bombay and Scinde,,1872,70959,41315
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Bengal and Burmah,,1872,85706,48023
