commodity,unit,year,Canada,Newfoundland,United States,Sweden,Norway,Sweden & Norway,Russia,Germany,France,Netherlands,Belgium,Denmark,Portugal,Spain,Italy,Austria-Hungary,Argentina,Australasia,Bermuda,Brazil,British East Indies,British Guiana,British Honduras,British India & Burma,British West Indies,British West Indies And Guiana,Cape of Good Hope,Central America,Ceylon,Chile,China,Colombia,Costa Rica,Cuba & Puerto Rico,Danish West Indies,Dutch Guiana,East Africa,Egypt,Falkland Islands,French West Africa,Gibraltar,Gold Coast,Greece,Haiti & Santo Domingo,Honduras,Java,Madagascar,Madeira,Malta,Mauritius,Mexico,Morocco,Nicaragua,Niger Protectorate,Other British possessions,Other foreign countries,Peru,Philippines,Romania,Scinde,Siam,Spanish West Indies,Turkey,Uruguay,Venezuela,West Africa (unspecified)
wood-mahogany,tons,1897,,,A,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,A,,B,,,,,,,,,,A,A,,,,,,A,,A,,,A,,,,,,A,,,,A
wood-mahogany,tons,1898,,,A,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,A,A,,,,,,A,,A,,,A,,,,,,B,,,,A
wood-mahogany,tons,1899,,,B,,,,,C,B,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,C,,,,,,,B,,B,,,B,,,,,,,,,,B
wood-sawn-fir,loads,1877,C,,C,C,C,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-sawn-fir,loads,1879,B,,B,B,B,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-fir,loads,1881,B,,B,B,B,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-fir,loads,1883,B,,B,B,B,,B,B,B,B,B,B,,B,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-sawn-fir,loads,1884,B,,B,B,B,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-fir,loads,1885,B,,B,B,B,,B,B,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-fir,loads,1886,B,,B,B,B,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-fir,loads,1887,B,,B,B,B,,B,B,B,B,,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-fir,loads,1889,B,,B,B,B,,B,B,,,,B,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-fir,loads,1890,B,,B,B,B,,B,B,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,B,,
wood-sawn-fir,loads,1891,B,,B,B,B,,B,B,,,,B,,,,,,B,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-fir,loads,1893,C,B,C,C,B,,C,B,B,C,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,
wood-sawn-fir,loads,1894,A,A,C,A,A,,A,A,B,C,A,A,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-sawn-fir,loads,1895,A,A,A,A,A,,A,A,A,A,A,A,,,,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-sawn-fir,loads,1896,A,A,A,A,A,,A,A,A,A,A,A,,,,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,
wood-sawn-fir,loads,1897,B,A,A,A,A,,A,A,A,A,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,A,,,,,,,
wood-sawn-fir,loads,1898,A,A,C,A,A,,A,A,A,A,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,A,,,,,,,
wood-sawn-fir,loads,1899,C,B,C,B,B,,B,B,C,B,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,
wood-sawn-unenumerated,loads,1877,B,,B,B,B,,B,B,,B,,,,,,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1879,C,,C,C,C,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
wood-sawn-unenumerated,loads,1881,B,,B,B,B,,B,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1884,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1885,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1886,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1887,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1888,B,,C,C,C,,,C,C,C,,C,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,,,,,,,,,,
wood-sawn-unenumerated,loads,1889,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1890,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1891,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1893,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1894,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
wood-sawn-unenumerated,loads,1895,B,,B,B,B,,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,,,,,,,,,,
