commodity,year,origin,qty,year_qty,outside_share,n_outside,gbp
Petroleum,1899,Rosin,390656,295124602,1.0,30,112746849
Petroleum,1899,Lac,372587,295124602,1.0,30,112746849
Petroleum,1899,Ice,317190,295124602,1.0,30,112746849
Petroleum,1899,Gum Kowrie,316229,295124602,1.0,30,112746849
Petroleum,1899,Pork Salted,305829,295124602,1.0,30,112746849
Petroleum,1899,Pork Salted Cts,284720,295124602,1.0,30,112746849
Petroleum,1899,Plumbago Tons,17497,295124602,1.0,30,112746849
Roasted Or Ground,1894,British East Indies,17035547,31317763,0.72,6,81107095
Roasted Or Ground,1894,Portugal,4787326,31317763,0.72,6,81107095
Roasted Or Ground,1894,Republic Of Colombia,452555,31317763,0.72,6,81107095
Roasted Or Ground,1894,British West Africa,95578,31317763,0.72,6,81107095
Roasted Or Ground,1894,West Africa Foreign,92251,31317763,0.72,6,81107095
Roasted Or Ground,1894,Denmark,61,31317763,0.72,6,81107095
Oil,1886,Not Designated,498761,949943,0.53,5,80928139
Oil,1886,Train Or Blubber,6358,949943,0.53,5,80928139
Oil,1886,Denmark,214,949943,0.53,5,80928139
Oil,1886,Norway,185,949943,0.53,5,80928139
Oil,1886,New Zealand,25,949943,0.53,5,80928139
Oil,1887,Not Particularly Designnated,496801,886936,0.56,1,80928139
Oil,1897,"Paper, Including Strawboard, &C",135931,668205,0.85,9,80928139
Oil,1897,"Paper, Including Strawboard, &C. - Carts",128834,668205,0.85,9,80928139
Oil,1897,Paper-Making Materials,94900,668205,0.85,9,80928139
Oil,1897,Oil-Seed Cake,79058,668205,0.85,9,80928139
Oil,1897,"Paper, Including Strawboard, &C. . . . Casks",54310,668205,0.85,9,80928139
Oil,1897,Painters' Colours,47737,668205,0.85,9,80928139
Oil,1897,"Onions, Raw",27496,668205,0.85,9,80928139
Oil,1897,"Poultry And Game, Alive Or Dead",576,668205,0.85,9,80928139
Oil,1897,Olive . . . . . . . . . . Tuns,4,668205,0.85,9,80928139
Oil,1898,Petroleum Gallons,219249539,245775539,0.94,28,80928139
Oil,1898,Paper Including Strawboard And C Ccts,5011241,245775539,0.94,28,80928139
Oil,1898,Chemical Essential Or Perfumed Lbs,1893405,245775539,0.94,28,80928139
Oil,1898,Paraffine Ccts,946933,245775539,0.94,28,80928139
Oil,1898,Palm Ccts,910900,245775539,0.94,28,80928139
Oil,1898,Turpentine Ccts,573087,245775539,0.94,28,80928139
Oil,1898,Fresh,557602,245775539,0.94,28,80928139
Oil,1898,Coco Nut Ccts,307101,245775539,0.94,28,80928139
Oil,1898,Pork Salted Ccts,275993,245775539,0.94,28,80928139
Oil,1898,Bar,207820,245775539,0.94,28,80928139
Oil,1898,Of All Other Kinds Cicts,166152,245775539,0.94,28,80928139
Oil,1898,Paper Including Strawboard And C Cicts,106442,245775539,0.94,28,80928139
Oil,1898,Seal,37896,245775539,0.94,28,80928139
Oil,1898,Pig And Sheet,22274,245775539,0.94,28,80928139
Oil,1898,Lard,20203,245775539,0.94,28,80928139
Oil,1898,Rabbits Dead,18937,245775539,0.94,28,80928139
Oil,1898,Glass Manufactures Bottles Gross,7593,245775539,0.94,28,80928139
Oil,1898,Leather,4636,245775539,0.94,28,80928139
Oil,1898,Hides Raw Cicts,4226,245775539,0.94,28,80928139
Oil,1898,Manufactures Of,2509,245775539,0.94,28,80928139
Oil,1898,Seal Tons,1659,245775539,0.94,28,80928139
Oil,1898,Jute,407,245775539,0.94,28,80928139
Oil,1898,Cutta Percha,55,245775539,0.94,28,80928139
Oil,1898,Chemical Essential Or Perfumed,32,245775539,0.94,28,80928139
Oil,1898,Quicksilver,25,245775539,0.94,28,80928139
Oil,1898,Hay Tons,8,245775539,0.94,28,80928139
Oil,1898,Gum Lac,4,245775539,0.94,28,80928139
Oil,1898,Pork Salted Cicts,4,245775539,0.94,28,80928139
"Unenumerated, Not Sweetened Or Mixed",1883,United States Of America Other Countries,1395602183,1396721636,1.0,1,73088906
"Skins, Furs, And Pelts — Seal",1884,Whale Fisheries Northern Other Countries,502306368,502963402,1.0,3,63340335
"Skins, Furs, And Pelts — Seal",1884,Brazil,1724,502963402,1.0,3,63340335
"Skins, Furs, And Pelts — Seal",1884,United States Of Colombia,1390,502963402,1.0,3,63340335
Fruit,1885,British East Indies,780419,806736,1.0,3,55388625
Fruit,1885,Australasia,13404,806736,1.0,3,55388625
Fruit,1885,Canada,12913,806736,1.0,3,55388625
Fruit,1897,Of All Other Kinds Carts,174182,563564,0.51,8,55388625
Fruit,1897,"Glass Manufactures, Bottles",49811,563564,0.51,8,55388625
Fruit,1897,Of All Other Kinds . . Casks,26458,563564,0.51,8,55388625
Fruit,1897,"Hides, Raw",16460,563564,0.51,8,55388625
Fruit,1897,Hay,9735,563564,0.51,8,55388625
Fruit,1897,"Glass Manufactures, Bottles . . . . Gross",8174,563564,0.51,8,55388625
Fruit,1897,Preserved Without Sugar (Not Dried,2947,563564,0.51,8,55388625
Fruit,1897,"Hides, Raw . . . . . . . . Casks",57,563564,0.51,8,55388625
Fruit,1899,Preserved Without Sugar Not Dried Lbs,63510823,102370101,0.97,31,55388625
Fruit,1899,Oranges Bushels,8553718,102370101,0.97,31,55388625
Fruit,1899,Raw Of All Other Kinds,8100853,102370101,0.97,31,55388625
Fruit,1899,Apples Raw Bushels,3801172,102370101,0.97,31,55388625
Fruit,1899,Of All Other Kinds Cts,2567010,102370101,0.97,31,55388625
Fruit,1899,Oranges,2152233,102370101,0.97,31,55388625
Fruit,1899,Glass Manufactures Bottles Gross,1266939,102370101,0.97,31,55388625
Fruit,1899,Hides Raw Cts,1210273,102370101,0.97,31,55388625
Fruit,1899,Apples Raw,1186143,102370101,0.97,31,55388625
Fruit,1899,Grapes Raw,1167047,102370101,0.97,31,55388625
Fruit,1899,Lemons,1088503,102370101,0.97,31,55388625
Fruit,1899,Preserved Without Sugar Not Dried,746105,102370101,0.97,31,55388625
Fruit,1899,Plums Raw,658273,102370101,0.97,31,55388625
Fruit,1899,Nuts Used As Fruit,608658,102370101,0.97,31,55388625
Fruit,1899,Ice Tons,595142,102370101,0.97,31,55388625
Fruit,1899,Almonds,514023,102370101,0.97,31,55388625
Fruit,1899,Dried Unenumerated Cuts,462575,102370101,0.97,31,55388625
Fruit,1899,Fruits And Vegetables Preserved In Sugar,411674,102370101,0.97,31,55388625
Fruit,1899,Dried Unenumerated,327600,102370101,0.97,31,55388625
Fruit,1899,Fruits And Vegetables Preserved In Sugar Cuts,203001,102370101,0.97,31,55388625
Fruit,1899,Of All Other Kinds Cuts,153542,102370101,0.97,31,55388625
Fruit,1899,Almonds Cuts,140153,102370101,0.97,31,55388625
Fruit,1899,Hay Tons,131546,102370101,0.97,31,55388625
Fruit,1899,Gum Kowrie,116955,102370101,0.97,31,55388625
Fruit,1899,Lac,108758,102370101,0.97,31,55388625
Fruit,1899,Fruit And Vegetables Preserved In Sugar,11719,102370101,0.97,31,55388625
Fruit,1899,Fruits And Vegetables Preserved In Sugar Cts,6338,102370101,0.97,31,55388625
Fruit,1899,Hides Raw Cuts,5764,102370101,0.97,31,55388625
Fruit,1899,Fruits And Vegetables Preserved Cuts,2690,102370101,0.97,31,55388625
Fruit,1899,Dried Unenumerated Cts,18,102370101,0.97,31,55388625
Fruit,1899,Fruit And Vegetables Preserved In Sugar Cuts,10,102370101,0.97,31,55388625
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",1884,West Africa British Portuguese Not Distin Guished,3001712531,3001770558,1.0,2,55237121
"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",1884,East Coast Of Africa Portuguese Native,51521,3001770558,1.0,2,55237121
Biscuit And Bread,1876,Bombay And Scindebengal And Burmah,12663701,12776040,0.99,4,52143734
Biscuit And Bread,1876,Other Countries,27143,12776040,0.99,4,52143734
Biscuit And Bread,1876,Ceylon,2625,12776040,0.99,4,52143734
Biscuit And Bread,1876,British West India Islands And Britishguiana,2501,12776040,0.99,4,52143734
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",1885,Other Foreign Countries,1657113,2548852,0.72,2,51320916
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",1885,Belgium,166866,2548852,0.72,2,51320916
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",1883,United States Of America British West India Islands,31853635,31884387,1.0,2,50651924
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",1883,Other Countries,1032,31884387,1.0,2,50651924
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",1885,British West Indiaislands,4188,6481,0.65,1,50651924
"Spirits — Unenumerated, Sweetened Or Mixed (Tested)",1886,Italy,13807,19569,0.71,1,50651924
Fruit — Raisins,1879,China,141644277,192323117,0.95,14,40226566
Fruit — Raisins,1879,Bengal And Burmah,38007628,192323117,0.95,14,40226566
Fruit — Raisins,1879,Unenumerated Not Sweetened Or Mixed From Germany,1071892,192323117,0.95,14,40226566
Fruit — Raisins,1879,Japan,805928,192323117,0.95,14,40226566
Fruit — Raisins,1879,Argentine Republic,470309,192323117,0.95,14,40226566
Fruit — Raisins,1879,British India,246305,192323117,0.95,14,40226566
Fruit — Raisins,1879,New Granada,241638,192323117,0.95,14,40226566
Fruit — Raisins,1879,Straits Settlements,219555,192323117,0.95,14,40226566
Fruit — Raisins,1879,Spirits Rum From Spanish West India Islands,218465,192323117,0.95,14,40226566
Fruit — Raisins,1879,Ceylon,135336,192323117,0.95,14,40226566
Fruit — Raisins,1879,Bombay,126591,192323117,0.95,14,40226566
Fruit — Raisins,1879,Madras,106511,192323117,0.95,14,40226566
Fruit — Raisins,1879,Tafia From France,100,192323117,0.95,14,40226566
Fruit — Raisins,1879,Malt Foreign From All Countries,76,192323117,0.95,14,40226566
"Dye Stuffs, And Substances Used In Tanning — Indigo",1884,Bengal And Burmah,66654,104423,0.64,2,34416948
"Dye Stuffs, And Substances Used In Tanning — Indigo",1884,Aden,87,104423,0.64,2,34416948
Seeds,1892,Bengal,1181496,1794729,1.0,25,30353807
Seeds,1892,Egypt,356761,1794729,1.0,25,30353807
Seeds,1892,Argentine Republic,110418,1794729,1.0,25,30353807
Seeds,1892,British East Indies,61539,1794729,1.0,25,30353807
Seeds,1892,Turkey,19400,1794729,1.0,25,30353807
Seeds,1892,Brazil,18072,1794729,1.0,25,30353807
Seeds,1892,Holland,10495,1794729,1.0,25,30353807
Seeds,1892,Peru,6660,1794729,1.0,25,30353807
Seeds,1892,United States Of America,4525,1794729,1.0,25,30353807
Seeds,1892,Germany,3800,1794729,1.0,25,30353807
Seeds,1892,Burmah,3276,1794729,1.0,25,30353807
Seeds,1892,Roumania,2848,1794729,1.0,25,30353807
Seeds,1892,Italy,2194,1794729,1.0,25,30353807
Seeds,1892,Madras,2126,1794729,1.0,25,30353807
Seeds,1892,Belgium,1911,1794729,1.0,25,30353807
Seeds,1892,Morocco,1812,1794729,1.0,25,30353807
Seeds,1892,Other British East Indian Possessions,1784,1794729,1.0,25,30353807
Seeds,1892,France,1343,1794729,1.0,25,30353807
Seeds,1892,Chile,1117,1794729,1.0,25,30353807
Seeds,1892,Republic Of Colombia,925,1794729,1.0,25,30353807
Seeds,1892,Niger Protectorate,733,1794729,1.0,25,30353807
Seeds,1892,Sierra Leone,686,1794729,1.0,25,30353807
Seeds,1892,Other Foreign Countries,569,1794729,1.0,25,30353807
Seeds,1892,Other British Possessions,210,1794729,1.0,25,30353807
Seeds,1892,Ceylon,29,1794729,1.0,25,30353807
Seeds,1899,Flax Or Linseed,3383902,7552419,0.72,2,30353807
Seeds,1899,Cotton,2036550,7552419,0.72,2,30353807
Sugar,1885,Germany,194521,239636,1.0,2,29744645
Sugar,1885,Belgium,45115,239636,1.0,2,29744645
Sugar,1886,Java,3909412,9112119,0.93,18,29744645
Sugar,1886,British Guiana,1322165,9112119,0.93,18,29744645
Sugar,1886,British East Indies,877080,9112119,0.93,18,29744645
Sugar,1886,British West India Islands,645902,9112119,0.93,18,29744645
Sugar,1886,Brazil,597228,9112119,0.93,18,29744645
Sugar,1886,Philippine Islands,556970,9112119,0.93,18,29744645
Sugar,1886,Mauritius,291759,9112119,0.93,18,29744645
Sugar,1886,Mexico,55225,9112119,0.93,18,29744645
Sugar,1886,British Possessions In South Africa,44344,9112119,0.93,18,29744645
Sugar,1886,Hong Kong,39708,9112119,0.93,18,29744645
Sugar,1886,Dutch Guiana,36426,9112119,0.93,18,29744645
Sugar,1886,Central America,33287,9112119,0.93,18,29744645
Sugar,1886,Native States,23107,9112119,0.93,18,29744645
Sugar,1886,Spanish West India Islands,21409,9112119,0.93,18,29744645
Sugar,1886,China,19480,9112119,0.93,18,29744645
Sugar,1886,Hayti And St Domingo,19220,9112119,0.93,18,29744645
Sugar,1886,Danish West India Islands,8603,9112119,0.93,18,29744645
Sugar,1886,British Honduras,7269,9112119,0.93,18,29744645
Sugar,1898,Refined Cuts,1499271,1623352,0.92,1,29744645
Oil — Palm,1876,Postuguese Possessions,651915,879825,0.74,1,25929457
"Lac, Seed, Shell, Stick, And Dye",1884,British India,112479,224958,0.5,1,23754989
Wood And Timber — Teak,1873,Canada,61599,138645,0.69,6,21826273
Wood And Timber — Teak,1873,Sweden,10487,138645,0.69,6,21826273
Wood And Timber — Teak,1873,Russia,8349,138645,0.69,6,21826273
Wood And Timber — Teak,1873,Norway,7103,138645,0.69,6,21826273
Wood And Timber — Teak,1873,United States Of America,6670,138645,0.69,6,21826273
Wood And Timber — Teak,1873,British Guiana,1267,138645,0.69,6,21826273
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1872,West Coast Of Africa,27818,48767,0.57,1,19084393
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1886,West Africa,16067,31480,0.51,1,19084393
Iron,1878,Spain,1088862,1218736,1.0,9,17210964
Iron,1878,Italy,48771,1218736,1.0,9,17210964
Iron,1878,Belgium,20968,1218736,1.0,9,17210964
Iron,1878,Sweden,15273,1218736,1.0,9,17210964
Iron,1878,Algeria,13124,1218736,1.0,9,17210964
Iron,1878,Other Countries,10729,1218736,1.0,9,17210964
Iron,1878,Holland,9084,1218736,1.0,9,17210964
Iron,1878,Russia,8051,1218736,1.0,9,17210964
Iron,1878,Turkey,3874,1218736,1.0,9,17210964
Iron,1890,Norway,356282,356341,1.0,2,17210964
Iron,1890,Other Foreign Countries,59,356341,1.0,2,17210964
Iron,1897,"Linen, Yarn",213964,864932,0.99,22,17210964
Iron,1897,"Manufactures, Of All Kinds",168426,864932,0.99,22,17210964
Iron,1897,"Meat, Unenumerated, Salted Or Fresh Carts",139573,864932,0.99,22,17210964
Iron,1897,Nitrate Of Soda,89267,864932,0.99,22,17210964
Iron,1897,Musical Instruments,46429,864932,0.99,22,17210964
Iron,1897,Boots And Shoes,41049,864932,0.99,22,17210964
Iron,1897,"Milk, Condensed",27752,864932,0.99,22,17210964
Iron,1897,Land,22926,864932,0.99,22,17210964
Iron,1897,Manufactures,17638,864932,0.99,22,17210964
Iron,1897,Phosphate Of Lime And Rock,17375,864932,0.99,22,17210964
Iron,1897,"Lead, Pig And Sheet",15963,864932,0.99,22,17210964
Iron,1897,"Metal, Unenumerated, Wrought",14972,864932,0.99,22,17210964
Iron,1897,Matches,10724,864932,0.99,22,17210964
Iron,1897,"Preserved, Not Salted",10649,864932,0.99,22,17210964
Iron,1897,Lard . . . . . . . . . . . Casks,4104,864932,0.99,22,17210964
Iron,1897,"Manufactures, Unenumerated",3995,864932,0.99,22,17210964
Iron,1897,"Meat, Unenumerated, Salted Or Fresh",3600,864932,0.99,22,17210964
Iron,1897,Gloves,2576,864932,0.99,22,17210964
Iron,1897,"Milk, Condensed . . . . . . Casks",601,864932,0.99,22,17210964
Iron,1897,Boots And Shoes . . . . Doz. Prs,541,864932,0.99,22,17210964
Iron,1897,"Manganese, Ore Of",59,864932,0.99,22,17210964
Iron,1897,Leather . . . . . . . . . . Casks,23,864932,0.99,22,17210964
Wood And Timber — Staves,1888,Australasia,141841,282928,0.5,1,15414533
"Drugs — Bark, Peruvian",1882,Turkey,359560,587635,0.7,2,12362206
"Drugs — Bark, Peruvian",1882,Persia,54442,587635,0.7,2,12362206
Nuts And Kernels,1872,British India,5764,9578,0.85,3,12138097
Nuts And Kernels,1872,Other Countries,2139,9578,0.85,3,12138097
Nuts And Kernels,1872,Australia,271,9578,0.85,3,12138097
"Skins, Furs, And Pelts — Goat, Undressed",1884,British India,2414005,4570325,0.53,1,11334935
"Metal — Leaf, Not Gold",1877,All Countries,56327,56327,1.0,1,11276969
"Flowers, Artificial — Raw, Not Otherwise Described",1875,Turkey,71157,136008,0.82,6,9217789
"Flowers, Artificial — Raw, Not Otherwise Described",1875,Bombay,15860,136008,0.82,6,9217789
"Flowers, Artificial — Raw, Not Otherwise Described",1875,China,13714,136008,0.82,6,9217789
"Flowers, Artificial — Raw, Not Otherwise Described",1875,Persia,4303,136008,0.82,6,9217789
"Flowers, Artificial — Raw, Not Otherwise Described",1875,Gibraltar,3526,136008,0.82,6,9217789
"Flowers, Artificial — Raw, Not Otherwise Described",1875,Egypt,3020,136008,0.82,6,9217789
Saltpetre (Nitrate Of Potash),1882,British India,163862,322024,0.51,1,8851660
Bark — Peruvian,1881,United States Of Colombia,70944,125358,0.57,1,7063303
"Buttons And Studs, Not Of Metal",1880,All Countries,7177,7177,1.0,1,6875576
Isinglass,1874,Bengal And Burmah,4253700,4257409,1.0,1,6854460
Castor,1881,British India,128943,130375,0.99,1,6509246
Castor,1884,Bengal And Burmah,103372,148359,0.7,1,6509246
"Ore, Unenumerated",1891,Native Islands In The Indian Seas Not Borneo,26323,47101,0.56,1,6472928
"Ore, Unenumerated",1893,Seas (Except Borneo,24655,43991,0.56,1,6472928
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,British East Indies,226828,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,United States Of America,113942,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Brazil,102199,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Madras,82400,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Guatemala,72569,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Bombay,60123,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Republic Of Colombia,51599,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Costa Rica,50229,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Ceylon,46570,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,San Salvador,23448,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Aden,17548,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Nicaragua,16004,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,British West India Islands,14603,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Straits Settlements,4513,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Mexico,3595,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Peru,2197,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,West Africa Foreign,2140,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Ecuador,1533,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Chile,1300,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Other British Possessions,965,1030750,0.87,21,5160404
"Cocoa Or Chocolate, In The Manufacture Of Which Spirit Has Been Used",1895,Bengal,106,1030750,0.87,21,5160404
Cotton Manufactures — Unenumerated,1876,Mexico,6116,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,British West India Islands,3847,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,West Coast Of Africa Foreign,3557,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,Central America,2009,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,New Granada,1641,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,Venezuela,1442,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1876,Philippine Islands,1156,22258,0.89,7,4961454
Cotton Manufactures — Unenumerated,1896,Cape Of Good Hope,3527810,7090415,1.0,2,4961454
Cotton Manufactures — Unenumerated,1896,British Possessions In South Africa,3527810,7090415,1.0,2,4961454
Beef — Eastern Coast Of Africa,1898,Brazil,209753,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Peru,7805,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Zanzibar And Pemba,3727,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Uruguay,3519,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Portuguese Possessions,1329,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Australasia,961,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Madagascar,882,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Other Foreign Countries,800,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Argentine Republic,266,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Aden And Dependencies,156,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Chile,97,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,British West India Islands,82,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Other British Possessions,61,253746,0.9,14,4863460
Beef — Eastern Coast Of Africa,1898,Mauritius And Dependencies,3,253746,0.9,14,4863460
Oil — Train Or Blubber,1886,France,318,1307,0.83,4,4664445
Oil — Train Or Blubber,1886,Belgium,286,1307,0.83,4,4664445
Oil — Train Or Blubber,1886,Holland,278,1307,0.83,4,4664445
Oil — Train Or Blubber,1886,Other Foreign Countries,204,1307,0.83,4,4664445
"Mutton, Fresh — From Australasia",1892,Chile,2069441,2401400,1.0,4,4312562
"Mutton, Fresh — From Australasia",1892,Peru,286700,2401400,1.0,4,4312562
"Mutton, Fresh — From Australasia",1892,Germany,29301,2401400,1.0,4,4312562
"Mutton, Fresh — From Australasia",1892,Other Foreign Countries,5775,2401400,1.0,4,4312562
Caoutchouc — West Africa,1885,Not Particularly Desig-Nated,15830,15830,1.0,1,4134243
Caoutchouc — West Africa,1886,Not Particularly Design-Nated,18689,23813,0.78,1,4134243
Caoutchouc — West Africa,1891,Brazil,109456,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,United States Of America,28517,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,The Gold Coast Colony,22406,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Sierra Leone,17602,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Niger Protectorate,6310,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Gambia,1846,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,United States Of Colombia,1735,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Other Foreign Countries,1050,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Central America,339,211167,0.9,10,4134243
Caoutchouc — West Africa,1891,Mauritius,280,211167,0.9,10,4134243
Fruit — Almonds,1875,Holland,6210,21525,0.54,5,3959759
Fruit — Almonds,1875,Australia,1784,21525,0.54,5,3959759
Fruit — Almonds,1875,Sweden,1521,21525,0.54,5,3959759
Fruit — Almonds,1875,United States Of America,1104,21525,0.54,5,3959759
Fruit — Almonds,1875,Denmark,942,21525,0.54,5,3959759
