gold_commodity,year,unit,gold_total,note
"Brass, Bronze, and Metal, Bronzed or Lacquered",1896,CWTS (Hundredweights),40850,name-matched(exact) but absent in 1896
Brimstone,1871,CWTS (Hundredweights),935131,name-matched(exact) but absent in 1871
Brimstone,1876,CWTS (Hundredweights),876490,name-matched(exact) but absent in 1876
Bristles,1871,Lbs. (Pounds),2915837,name-matched(exact) but absent in 1871
Buckwheat,1871,CWTS (Hundredweights),79592,name-matched(exact) but absent in 1871
Buckwheat meal,1871,CWTS (Hundredweights),37,name-matched(exact) but absent in 1871
Butter,1871,CWTS (Hundredweights),1334783,name-matched(exact) but absent in 1871
"Buttons and Studs, not of Metal",1871,None,0,name-matched(exact) but absent in 1871
"Buttons and Studs, not of Metal",1876,None,0,name-matched(exact) but absent in 1876
Calves,1871,Number,40139,name-matched(exact) but absent in 1871
Candles Other Kinds,1871,CWTS (Hundredweights),5979,name-matched(exact) but absent in 1871
Candles Stearine,1871,CWTS (Hundredweights),83236,name-matched(subset) but absent in 1871
Cannon and Mortars,1871,Number,39,name-matched(exact) but absent in 1871
Cannon and Mortars,1891,Number,0,name-matched(exact) but absent in 1891
Cannon and Mortars,1896,Number,0,name-matched(exact) but absent in 1896
Cannon and Mortars Mounted or Accompanied with Carriages,1881,CWTS (Hundredweights),61,name-matched(exact) but absent in 1881
Cannon and Mortars not Mounted or Accompanied with Carriages,1881,CWTS (Hundredweights),98,name-matched(exact) but absent in 1881
Caoutchouc,1871,CWTS (Hundredweights),161085,name-matched(exact) but absent in 1871
Caoutchouc,1891,CWTS (Hundredweights),278837,name-matched(exact) but absent in 1891
Caoutchouc Manufactures of,1871,Lbs. (Pounds),581815,name-matched(exact) but absent in 1871
Caoutchouc Manufactures of,1876,Lbs. (Pounds),871630,name-matched(exact) but absent in 1876
Caoutchouc Manufactures of,1881,Lbs. (Pounds),1114763,name-matched(exact) but absent in 1881
Caoutchouc Manufactures of,1891,Lbs. (Pounds),3180198,name-matched(exact) but absent in 1891
Caoutchouc Manufactures of,1896,Lbs. (Pounds),4365472,name-matched(exact) but absent in 1896
Cheese,1871,CWTS (Hundredweights),1216400,name-matched(exact) but absent in 1871
Cheese Imitation,1891,CWTS (Hundredweights),100,name-matched(exact) but absent in 1891
Chemical Essential or Perfumed Oils,1871,Lbs. (Pounds),530401,name-matched(subset) but absent in 1871
Chemical Manufactures and Products,1871,None,0,name-matched(exact) but absent in 1871
Chemical Manufactures and Products,1886,None,0,name-matched(exact) but absent in 1886
Chemical Manufactures and Products,1891,None,0,name-matched(exact) but absent in 1891
Chemical Manufactures and Products,1896,None,0,name-matched(exact) but absent in 1896
Chicory Raw or Kiln-Dried,1871,CWTS (Hundredweights),77375,name-matched(subset) but absent in 1871
Chicory Raw or Kiln-Dried,1881,CWTS (Hundredweights),137495,name-matched(subset) but absent in 1881
Chicory Raw or Kiln-Dried,1886,CWTS (Hundredweights),112467,name-matched(subset) but absent in 1886
Chicory Roasted or Ground,1871,Lbs. (Pounds),134816,name-matched(subset) but absent in 1871
Chicory Roasted or Ground,1881,Lbs. (Pounds),886684,name-matched(subset) but absent in 1881
Chicory Roasted or Ground,1886,Lbs. (Pounds),442635,name-matched(subset) but absent in 1886
China or Porcelain Ware,1871,CWTS (Hundredweights),27200,name-matched(exact) but absent in 1871
China or Porcelain and Earthenware,1886,CWTS (Hundredweights),157043,name-matched(exact) but absent in 1886
China or Porcelain and Earthenware,1891,CWTS (Hundredweights),208633,name-matched(exact) but absent in 1891
Chloral Hydrate,1886,Lbs. (Pounds),21077,name-matched(exact) but absent in 1886
Chloroform,1886,Lbs. (Pounds),3824,name-matched(exact) but absent in 1886
Clocks,1871,Number,325507,name-matched(exact) but absent in 1871
Clocks,1891,Number,0,name-matched(exact) but absent in 1891
Clocks,1896,Number,0,name-matched(exact) but absent in 1896
Clover and Grass Seeds,1871,CWTS (Hundredweights),340506,name-matched(subset) but absent in 1871
Coal Tar Dyes Unenumerated,1886,None,0,name-matched(exact) but absent in 1886
"Coals, Culm, or Cinders",1871,Tons,1314,name-matched(exact) but absent in 1871
Cochineal,1871,CWTS (Hundredweights),55429,name-matched(exact) but absent in 1871
Cocoa,1871,Lbs. (Pounds),17368302,name-matched(exact) but absent in 1871
Cocoa,1886,Lbs. (Pounds),25363443,name-matched(exact) but absent in 1886
Cocoa Husks and Shells,1871,CWTS (Hundredweights),10534,name-matched(subset) but absent in 1871
Cocoa Husks and Shells,1886,CWTS (Hundredweights),3211,name-matched(subset) but absent in 1886
Cocoa Paste or Chocolate,1871,Lbs. (Pounds),78501,name-matched(subset) but absent in 1871
Cocoa or Chocolate ground prepared or in anyway manufactured,1886,Lbs. (Pounds),1331904,name-matched(exact) but absent in 1886
Cocoa or Chocolate ground prepared or in anyway manufactured,1891,Lbs. (Pounds),2748383,name-matched(exact) but absent in 1891
Cocoa or Chocolate ground prepared or in anyway manufactured,1896,Lbs. (Pounds),3794422,name-matched(exact) but absent in 1896
Cocoa-nut Oil,1871,CWTS (Hundredweights),190492,name-matched(subset) but absent in 1871
Coffee,1886,CWTS (Hundredweights),1006543,name-matched(exact) but absent in 1886
Coffee Raw,1891,CWTS (Hundredweights),726868,name-matched(exact) but absent in 1891
Coffee and Chicory mixed,1886,Lbs. (Pounds),135193,name-matched(exact) but absent in 1886
Collodion,1876,Gallons,105,name-matched(exact) but absent in 1876
Collodion,1886,Gallons,582,name-matched(exact) but absent in 1886
Copper Manufactures Unenumerated including Copper Coin,1871,None,0,name-matched(exact) but absent in 1871
Copper Manufactures Unenumerated including Copper Coin,1891,None,0,name-matched(exact) but absent in 1891
Copper Manufactures Unenumerated including Copper Coin,1896,None,0,name-matched(exact) but absent in 1896
Copper Old (fit only to be re-manufactured from 1876 onward),1871,Tons,708,no name match
Copper Old (fit only to be re-manufactured from 1876 onward),1876,Tons,2646,no name match
Copper Old (fit only to be re-manufactured from 1876 onward),1881,Tons,2314,no name match
Copper Old (fit only to be re-manufactured from 1876 onward),1886,Tons,2041,no name match
Copper Old (fit only to be re-manufactured from 1876 onward),1891,Tons,2237,no name match
Copper Old (fit only to be re-manufactured from 1876 onward),1896,Tons,4197,no name match
Copper Ore,1871,Tons,46335,name-matched(exact) but absent in 1871
Copper Ore,1876,Tons,74979,name-matched(exact) but absent in 1876
Copper Ore,1881,Tons,102805,name-matched(exact) but absent in 1881
Copper Regulus (and Precipitate from 1886 onward),1871,Tons,30100,name-matched(subset) but absent in 1871
Copper Regulus (and Precipitate from 1886 onward),1886,Tons,67528,name-matched(subset) but absent in 1886
Copper Regulus (and Precipitate from 1886 onward),1891,Tons,123337,name-matched(subset) but absent in 1891
Copper Regulus (and Precipitate from 1886 onward),1896,Tons,90799,name-matched(subset) but absent in 1896
Copper Unwrought,1891,Tons,41311,name-matched(subset) but absent in 1891
Copper Unwrought and part Wrought,1871,Tons,32167,name-matched(subset) but absent in 1871
"Cordage, Twine, and Cable Yarn",1871,None,0,name-matched(exact) but absent in 1871
Cork Manufactured,1871,Lbs. (Pounds),4917547,name-matched(subset) but absent in 1871
Cork Unmanufactured,1871,Tons,7256,name-matched(subset) but absent in 1871
Cotton Manufactures Other than Muslins,1871,Pieces,293527,name-matched(subset) but absent in 1871
Cotton Manufactures Piece Goods of India and China,1871,Pieces,39518,name-matched(subset) but absent in 1871
Cotton Manufactures Piece Goods of Other Countries Hosiery of all sorts,1871,None,0,name-matched(subset) but absent in 1871
Cotton Manufactures Piece Goods of Other Countries Unenumerated,1871,None,0,name-matched(subset) but absent in 1871
Cotton Manufactures Piece Goods of other Countries Muslins,1871,Pieces,75752,name-matched(subset) but absent in 1871
Cotton Manufactures Piece Goods of other Countries Muslins,1876,Pieces,1745,name-matched(subset) but absent in 1876
Cotton Manufactures Piece Goods of other Countries Muslins,1886,Pieces,2182674,name-matched(subset) but absent in 1886
Cotton Manufactures Piece Goods of other Countries Muslins,1891,Pieces,287247,name-matched(subset) but absent in 1891
"Cotton Raw, and Waste of",1871,CWTS (Hundredweights),15876248,name-matched(subset) but absent in 1871
Cotton Seeds,1871,Tons,172163,name-matched(subset) but absent in 1871
"Cotton Yarn, and Waste of",1871,Lbs. (Pounds),1671962,name-matched(subset) but absent in 1871
Cow Ox Bull or Elk Hair,1871,CWTS (Hundredweights),87492,name-matched(subset) but absent in 1871
Cows,1871,Number,73339,name-matched(exact) but absent in 1871
Currants,1881,CWTS (Hundredweights),1189830,name-matched(exact) but absent in 1881
Currants Dried,1871,CWTS (Hundredweights),1052025,name-matched(subset) but absent in 1871
Cutch,1871,Tons,5339,name-matched(subset) but absent in 1871
Cutch,1876,Tons,4805,name-matched(subset) but absent in 1876
Cutch,1881,Tons,8947,name-matched(subset) but absent in 1881
Drugs Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Drugs Unenumerated,1891,None,0,name-matched(exact) but absent in 1891
Dye Stuffs Alizarine and Alizarine Dyes,1886,None,0,name-matched(subset) but absent in 1886
Dye Stuffs Alizarine and Alizarine Dyes,1891,None,0,name-matched(subset) but absent in 1891
Dye Stuffs Alizarine and Alizarine Dyes,1896,None,0,name-matched(subset) but absent in 1896
Dye Stuffs Bark,1886,CWTS (Hundredweights),390738,name-matched(subset) but absent in 1886
Dye Stuffs Bark,1891,CWTS (Hundredweights),489846,name-matched(subset) but absent in 1891
Dye Stuffs Bark,1896,CWTS (Hundredweights),309614,name-matched(subset) but absent in 1896
Dye Stuffs Unenumerated,1871,CWTS (Hundredweights),234548,name-matched(exact) but absent in 1871
Dye Stuffs Unenumerated,1881,CWTS (Hundredweights),159897,name-matched(exact) but absent in 1881
Dye Stuffs Unenumerated,1886,CWTS (Hundredweights),289064,name-matched(exact) but absent in 1886
Dye Stuffs Unenumerated,1891,CWTS (Hundredweights),248104,name-matched(exact) but absent in 1891
Dye Stuffs Unenumerated,1896,CWTS (Hundredweights),167385,name-matched(exact) but absent in 1896
Dye Stuffs and Substances used in Tanning Extracts,1896,None,0,name-matched(subset) but absent in 1896
Dye Woods Logwood,1871,Tons,39346,name-matched(subset) but absent in 1871
Dye Woods Logwood,1876,Tons,64215,name-matched(subset) but absent in 1876
Dye Woods Logwood,1881,Tons,60643,name-matched(subset) but absent in 1881
Dye Woods Logwood,1891,Tons,54913,name-matched(subset) but absent in 1891
Dye Woods Unenumerated,1871,Tons,23397,name-matched(exact) but absent in 1871
Dye Woods Unenumerated,1876,Tons,24855,name-matched(exact) but absent in 1876
Dye Woods Unenumerated,1881,Tons,27272,name-matched(exact) but absent in 1881
Dye Woods Unenumerated,1891,Tons,15881,name-matched(exact) but absent in 1891
"Earthenware, not being China or Porcelain Ware",1871,CWTS (Hundredweights),10640,name-matched(exact) but absent in 1871
Eggs,1871,Great Hundreds,3337275,name-matched(exact) but absent in 1871
Embroidery and Needlework,1871,None,0,name-matched(exact) but absent in 1871
Esparto and other Vegetable Fibres for making Paper,1871,Tons,144411,name-matched(subset) but absent in 1871
Essence of Spruce,1871,None,0,name-matched(subset) but absent in 1871
Ether Acetic,1891,Lbs. (Pounds),1351,name-matched(subset) but absent in 1891
Ether Butyric,1891,Gallons,286,name-matched(subset) but absent in 1891
Ether Sulphuric,1876,Gallons,2649,name-matched(subset) but absent in 1876
Ether Sulphuric,1891,Gallons,2825,name-matched(subset) but absent in 1891
Ethyl Iodide of,1876,Gallons,5,name-matched(exact) but absent in 1876
Extract of Bark or Other Vegetable Substance for Tanning or Dyeing,1871,None,0,name-matched(subset) but absent in 1871
Extracts Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Extracts Unenumerated,1876,None,0,name-matched(exact) but absent in 1876
Farinaceous Substances and Manufactures thereof,1871,None,0,name-matched(exact) but absent in 1871
Farinaceous Substances and Manufactures thereof,1886,None,0,name-matched(exact) but absent in 1886
Farinaceous Substances and Manufactures thereof,1891,None,0,name-matched(exact) but absent in 1891
Feathers Ornamental,1871,Lbs. (Pounds),172402,name-matched(subset) but absent in 1871
Feathers for Beds,1871,CWTS (Hundredweights),15500,name-matched(subset) but absent in 1871
Feathers for Beds,1881,CWTS (Hundredweights),26636,name-matched(subset) but absent in 1881
Figs Dried,1871,CWTS (Hundredweights),90790,name-matched(subset) but absent in 1871
Figs and Fig Cake,1881,CWTS (Hundredweights),138225,name-matched(exact) but absent in 1881
Figs and Fig Cake,1886,CWTS (Hundredweights),114253,name-matched(exact) but absent in 1886
Figs and Fig Cake,1891,CWTS (Hundredweights),133928,name-matched(exact) but absent in 1891
Fish Cured or Salted,1871,CWTS (Hundredweights),404479,name-matched(subset) but absent in 1871
Fish Fresh Not of British Taking,1871,CWTS (Hundredweights),200851,name-matched(subset) but absent in 1871
Fish Fresh Not of British Taking,1876,CWTS (Hundredweights),267708,name-matched(subset) but absent in 1876
Fish Fresh Not of British Taking,1881,CWTS (Hundredweights),535753,name-matched(subset) but absent in 1881
Fish Fresh Not of British Taking,1886,CWTS (Hundredweights),853917,name-matched(subset) but absent in 1886
Fish Fresh Not of British Taking,1891,CWTS (Hundredweights),195736,name-matched(subset) but absent in 1891
Flax Dressed,1871,CWTS (Hundredweights),130586,name-matched(subset) but absent in 1871
Flax Dressed,1876,CWTS (Hundredweights),23487,name-matched(subset) but absent in 1876
Flax Dressed,1881,CWTS (Hundredweights),11845,name-matched(subset) but absent in 1881
Flax Rough or Undressed,1871,CWTS (Hundredweights),2011896,name-matched(subset) but absent in 1871
Flaxseed and Linseed,1871,Qrs. (Quarters),1310147,name-matched(exact) but absent in 1871
Flint Glass,1871,CWTS (Hundredweights),65985,name-matched(exact) but absent in 1871
Flint Glass,1881,CWTS (Hundredweights),73908,name-matched(exact) but absent in 1881
Flowers Artificial,1871,None,0,name-matched(exact) but absent in 1871
Fresh Herrings,1891,CWTS (Hundredweights),671945,name-matched(exact) but absent in 1891
Fruit Dried unenumerated,1871,Bushels,71440,name-matched(subset) but absent in 1871
Fruit Dried unenumerated,1876,Bushels,191774,name-matched(subset) but absent in 1876
Fruit Dried unenumerated,1881,Bushels,284213,name-matched(subset) but absent in 1881
Fruit Dried unenumerated,1886,Bushels,222556,name-matched(subset) but absent in 1886
Fruit Dried unenumerated,1896,Bushels,309456,name-matched(subset) but absent in 1896
Fruit Preserved without Sugar Unenumerated,1871,Lbs. (Pounds),2769609,name-matched(exact) but absent in 1871
Fruit Preserved without Sugar Unenumerated,1876,Lbs. (Pounds),11989173,name-matched(exact) but absent in 1876
Fruit Preserved without Sugar Unenumerated,1881,Lbs. (Pounds),19401186,name-matched(exact) but absent in 1881
Fruit Preserved without Sugar Unenumerated,1891,Lbs. (Pounds),38182759,name-matched(exact) but absent in 1891
Fruit Preserved without sugar not dried,1896,Lbs. (Pounds),62986516,name-matched(subset) but absent in 1896
Fruit Raw or otherwise not described,1871,Bushels,1128568,name-matched(subset) but absent in 1871
Galls,1871,CWTS (Hundredweights),14932,name-matched(exact) but absent in 1871
Galls,1886,CWTS (Hundredweights),36222,name-matched(exact) but absent in 1886
Gambier,1871,Tons,25207,name-matched(exact) but absent in 1871
Ginger Raw,1871,CWTS (Hundredweights),32723,name-matched(subset) but absent in 1871
Ginger Spice,1891,CWTS (Hundredweights),17436,name-matched(subset) but absent in 1891
"Glass Manufactures, Unenumerated",1871,CWTS (Hundredweights),105293,name-matched(exact) but absent in 1871
"Glass Manufactures, Unenumerated",1876,CWTS (Hundredweights),257457,name-matched(exact) but absent in 1876
"Glass Manufactures, Unenumerated",1881,CWTS (Hundredweights),472558,name-matched(exact) but absent in 1881
"Glass Manufactures, Unenumerated",1891,CWTS (Hundredweights),1333086,name-matched(exact) but absent in 1891
"Glass Manufactures, Unenumerated",1896,CWTS (Hundredweights),752553,name-matched(exact) but absent in 1896
"Glass Plate, whether Silvered or not",1871,CWTS (Hundredweights),37900,name-matched(subset) but absent in 1871
Glucose,1876,CWTS (Hundredweights),221495,name-matched(exact) but absent in 1876
Glucose,1881,CWTS (Hundredweights),399648,name-matched(exact) but absent in 1881
Goats Wool or Hair,1871,Lbs. (Pounds),8815364,name-matched(exact) but absent in 1871
Gold Leave,1871,Number,22286388,name-matched(subset) but absent in 1871
"Gold Ore of, or Ore of which the greater part in Value is Gold",1871,Tons,131,name-matched(exact) but absent in 1871
Goods Unenumerated Manufactured,1871,None,0,name-matched(subset) but absent in 1871
Goods Unenumerated Manufactured,1876,None,0,name-matched(subset) but absent in 1876
Goods Unenumerated Manufactured,1881,None,0,name-matched(subset) but absent in 1881
Goods Unenumerated Manufactured,1886,None,0,name-matched(subset) but absent in 1886
Goods Unenumerated Unmanufactured,1871,None,0,name-matched(subset) but absent in 1871
Goods Unenumerated Unmanufactured,1881,None,0,name-matched(subset) but absent in 1881
Goods Unenumerated Unmanufactured,1886,None,0,name-matched(subset) but absent in 1886
Goods Unenumerated Unmanufactured,1896,None,0,name-matched(subset) but absent in 1896
Guano,1871,Tons,178808,name-matched(exact) but absent in 1871
Gum Arabic,1871,CWTS (Hundredweights),76136,name-matched(exact) but absent in 1871
Gum Arabic,1876,CWTS (Hundredweights),49305,name-matched(exact) but absent in 1876
Gum Arabic,1881,CWTS (Hundredweights),101130,name-matched(exact) but absent in 1881
Gum Arabic,1891,CWTS (Hundredweights),62352,name-matched(exact) but absent in 1891
Gum Arabic,1896,CWTS (Hundredweights),80506,name-matched(exact) but absent in 1896
Gum Kowrie,1871,CWTS (Hundredweights),85779,name-matched(subset) but absent in 1871
Gum Kowrie,1876,CWTS (Hundredweights),38200,name-matched(subset) but absent in 1876
"Gum Lac, Seed, Shell, Stick, and Dye",1871,CWTS (Hundredweights),60665,name-matched(subset) but absent in 1871
Gum Unenumerated,1871,CWTS (Hundredweights),95426,name-matched(exact) but absent in 1871
"Gunstocks in the rough, or Wood",1871,CWTS (Hundredweights),20138,name-matched(exact) but absent in 1871
Gutta Percha Manufactures of,1871,CWTS (Hundredweights),145,name-matched(exact) but absent in 1871
Gutta Percha Manufactures of,1876,CWTS (Hundredweights),82,name-matched(exact) but absent in 1876
Gutta Percha Manufactures of,1881,CWTS (Hundredweights),221,name-matched(exact) but absent in 1881
Gutta Percha Manufactures of,1886,CWTS (Hundredweights),78,name-matched(exact) but absent in 1886
Gutta Percha Manufactures of,1891,CWTS (Hundredweights),150,name-matched(exact) but absent in 1891
Gutta Percha Raw,1871,CWTS (Hundredweights),26211,name-matched(subset) but absent in 1871
Gutta Percha Raw,1876,CWTS (Hundredweights),21577,name-matched(subset) but absent in 1876
Gutta Percha Raw,1881,CWTS (Hundredweights),68445,name-matched(subset) but absent in 1881
Hair Manufactures of Goats Hair or Wool,1871,None,0,name-matched(exact) but absent in 1871
Hair Manufactures of Hair not being of Goats Hair or Wool,1871,None,0,name-matched(exact) but absent in 1871
Hair Manufactures of Hair not being of Goats Hair or Wool,1886,None,0,name-matched(exact) but absent in 1886
Hair Manufactures of Hair not being of Goats Hair or Wool,1891,None,0,name-matched(exact) but absent in 1891
Hair Manufactures of Hair not being of Goats Hair or Wool,1896,None,0,name-matched(exact) but absent in 1896
Hair Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Hair Unenumerated,1876,None,0,name-matched(exact) but absent in 1876
Hams,1871,CWTS (Hundredweights),65453,name-matched(exact) but absent in 1871
Hams,1881,CWTS (Hundredweights),751431,name-matched(exact) but absent in 1881
Hats and Bonnets of Felt,1871,Number,172437,name-matched(subset) but absent in 1871
Hats and Bonnets of Felt,1876,Number,409347,name-matched(subset) but absent in 1876
Hats and Bonnets of Felt,1881,Number,550346,name-matched(subset) but absent in 1881
Hats and Bonnets of Felt,1886,Number,728139,name-matched(subset) but absent in 1886
Hats and Bonnets of Felt,1891,Number,835979,name-matched(subset) but absent in 1891
Hats and Bonnets of Straw,1871,Lbs. (Pounds),138334,name-matched(subset) but absent in 1871
Hats and Bonnets of Straw,1876,Lbs. (Pounds),478480,name-matched(subset) but absent in 1876
Hats and Bonnets of Straw,1881,Lbs. (Pounds),256909,name-matched(subset) but absent in 1881
Hats and Bonnets of other Material,1876,Number,198108,name-matched(subset) but absent in 1876
Hats and Bonnets of other Material,1881,Number,1440704,name-matched(subset) but absent in 1881
Hats and Bonnets of other Material,1886,Number,3603765,name-matched(subset) but absent in 1886
Hats and Bonnets of other Material,1891,Number,1494522,name-matched(subset) but absent in 1891
Hemp Dressed,1871,CWTS (Hundredweights),30740,name-matched(subset) but absent in 1871
Hemp Dressed,1876,CWTS (Hundredweights),86322,name-matched(subset) but absent in 1876
Hemp Dressed,1881,CWTS (Hundredweights),50623,name-matched(subset) but absent in 1881
Hemp Dressed or Undressed,1891,CWTS (Hundredweights),1947408,name-matched(exact) but absent in 1891
Hemp Rough or Undressed,1871,CWTS (Hundredweights),1191173,name-matched(subset) but absent in 1871
Hemp Tow or Codilla of Hemp,1871,CWTS (Hundredweights),73899,name-matched(subset) but absent in 1871
Hemp Tow or Codilla of Hemp,1881,CWTS (Hundredweights),115591,name-matched(subset) but absent in 1881
Hemp Tow or Codilla of Hemp,1896,CWTS (Hundredweights),5200,name-matched(subset) but absent in 1896
Hides Tanned Tawed Curried or Dressed (except Russia Hides),1871,Lbs. (Pounds),2469975,name-matched(subset) but absent in 1871
Hides Tanned not otherwise Dressed,1871,Lbs. (Pounds),15069179,name-matched(subset) but absent in 1871
Hides Untanned Dry,1871,CWTS (Hundredweights),604302,name-matched(subset) but absent in 1871
Hides Untanned Wet,1871,CWTS (Hundredweights),682387,name-matched(subset) but absent in 1871
"Hides Varnished, Japanned or Enamelled",1871,Lbs. (Pounds),516317,name-matched(subset) but absent in 1871
Hops,1871,CWTS (Hundredweights),218664,name-matched(exact) but absent in 1871
Hops,1876,CWTS (Hundredweights),167366,name-matched(exact) but absent in 1876
Horns Tips and Pieces of Horns and Hoofs,1871,Tons,5700,name-matched(exact) but absent in 1871
Horse Hair,1871,CWTS (Hundredweights),21365,name-matched(subset) but absent in 1871
Horses,1871,Number,3448,name-matched(exact) but absent in 1871
Ice,1871,Tons,95956,name-matched(exact) but absent in 1871
Indian Corn or Maize,1871,CWTS (Hundredweights),16825023,name-matched(exact) but absent in 1871
Indigo,1871,CWTS (Hundredweights),106307,name-matched(exact) but absent in 1871
Ink,1871,None,0,name-matched(exact) but absent in 1871
Iron Bars,1871,Tons,74329,name-matched(subset) but absent in 1871
Iron Bars,1891,Tons,77427,name-matched(subset) but absent in 1891
Iron Manufactures Girders Beams and Pillars,1891,Tons,74035,name-matched(subset) but absent in 1891
Iron Manufactures Unenumerated,1886,CWTS (Hundredweights),3537652,name-matched(subset) but absent in 1886
Iron Ore Including Chrome,1871,Tons,324034,name-matched(subset) but absent in 1871
Iron Ore Including Chrome,1876,Tons,672235,name-matched(subset) but absent in 1876
Iron Ore Including Chrome,1881,Tons,2450698,name-matched(subset) but absent in 1881
Iron Ore Including Chrome,1886,Tons,2878469,name-matched(subset) but absent in 1886
Iron Ore Including Chrome,1891,Tons,3180543,name-matched(subset) but absent in 1891
Iron Pig and Puddled,1871,Tons,55637,name-matched(subset) but absent in 1871
Iron Steel Unwrought,1871,Tons,7610,name-matched(subset) but absent in 1871
Iron and Steel Old Broken,1871,Tons,8836,name-matched(exact) but absent in 1871
Iron and Steel Old Broken,1891,Tons,13073,name-matched(exact) but absent in 1891
Iron and Steel Wrought or Manufactured,1871,CWTS (Hundredweights),440611,name-matched(subset) but absent in 1871
"Iron and Steel, Manufactures of, Unenumerated",1891,CWTS (Hundredweights),3100882,name-matched(exact) but absent in 1891
Isinglass,1871,CWTS (Hundredweights),4266,name-matched(exact) but absent in 1871
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1881,CWTS (Hundredweights),12377,name-matched(exact) but absent in 1881
Jute,1871,CWTS (Hundredweights),3454120,name-matched(exact) but absent in 1871
Jute Yarn and Waste of Jute,1871,Lbs. (Pounds),3197053,name-matched(subset) but absent in 1871
