volume,year,article_group,article,unit,row_seq,country,cell,printed_subtotal,ratio
as_1890,1890,SKINS and FURS,"Foreign, Dressed in the United Kingdom",No,4175,United States of America : Atlantic,522532.0,62140.0,8.41
as_1881,1881,"HIDES, RAW",,,1210,Germany,55471.0,6603.0,8.4
as_1898,1895,ALKALI,,Cwts,27,Germany,32240.0,3843.0,8.39
as_1897,1893,ALKALI,,Cwts,26,Germany,49133.0,5873.0,8.37
as_1896,1896,BLEACHING MATERIALS,,Cwts,531,United States of America : Atlantic,252811.0,30289.0,8.35
as_1898,1894,Gold,Silver,Oz. Troy,39923,Spain,51979.0,6258.0,8.31
as_1874,1874,"ARMS, AMMUNITION, and MILITARY STORES",Percussion Caps,,101,Australia,2665.0,322.0,8.28
as_1897,1897,Woollen and Worsted Manufactures,,,49746,"Flannels and Carpets . . . . . "" """,4728800.0,573044.0,8.25
as_1891,1891,SKINS and FURS,"Foreign, Dressed in the United Kingdom",No,4286,United States of America,725606.0,88047.0,8.24
as_1880,1880,COTTON MANUFACTURES,"Piece Goods, Plain",,728,Brazil,1219573.0,149080.0,8.18
as_1877,1877,Iron,"Wire of Iron or Steel (except Telegraph Wire), Galvanized or not",,1223,Australia,402258.0,49255.0,8.17
as_1895,1895,SKINS and FURS,"Foreign, Dressed in the United Kingdom",No,5383,United States of America : Atlantic,439542.0,54064.0,8.13
