commodity,gbp,bucket,partner,partner_gbp,partner_bucket,unit,holds,shared_tokens,origin_years_shared,own_origin_years,own_anchor_years,merged_checked_years,ratio_median,ratio_range,pct_near_1,anchor_conflicts,verdict
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",50561104,NAME-ART?,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,copper,15,1882-1899,none,18,1.065,0.11-1.11,0.78,0,CONFIRMS
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",50561104,NAME-ART?,"Unwrought, Part Wrought, And Old Copper",3213943,EMPTY,Ton,anchor,copper unwrought,0,1882-1899,none,15,0.922,0.83-1.35,0.6,0,CONFIRMS
Woollen Yarn — For Weaving,35942005,KEEP,"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,Lb,origins,weaving woollen yarn,0,1872-1893,1896-1900,4,1.0,1.0-1.05,1.0,0,CONFIRMS
Woollen Yarn — For Weaving,35942005,KEEP,Woollen Yarn,162387,KEEP,Lb,anchor,woollen yarn,1,1872-1893,1896-1900,22,0.927,0.91-0.98,1.0,0,CONFIRMS
Woollen Yarn — For Weaving,35942005,KEEP,"Woollen, Yarn, Of All Kinds",1881213,EMPTY,Lb,anchor,woollen yarn,0,1872-1893,1896-1900,3,0.916,0.91-0.92,1.0,0,CONFIRMS
"Dye Stuffs, And Substances Used In Tanning — Indigo",34416948,KEEP,"Iac, Seed, Shell, Stick And Dye",0,EMPTY,Cwt,anchor,dye,0,1883-1894,none,1,0.985,0.99-0.99,1.0,0,CONFIRMS
Copper — Unwrought And Part Wrought,29754278,FOLD?,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,copper,8,1872-1881,none,10,1.059,0.07-1.09,0.8,0,CONFIRMS
Copper — Unwrought And Part Wrought,29754278,FOLD?,"Unwrought, Part Wrought, And Old Copper",3213943,EMPTY,Ton,anchor,copper part unwrought wrought,0,1872-1881,none,10,0.937,0.66-0.97,0.8,0,CONFIRMS
Tobacco — Cigars,27923727,REVIEW,Tobacco — Unmanufactured,68464531,KEEP,Lb,anchor,tobacco,22,1872-1899,none,17,1.029,1.0-1.61,0.94,0,CONFIRMS
Ore Of (Including Chrome),24642205,DUPE-FAM,Iron — Ore Of,34512624,KEEP,Ton,anchor,ore,1,1893-1898,none,4,1.0,0.99-2.0,0.75,0,CONFIRMS
Iron — Unenumerated,21941155,FOLD?,"Iron — Manufactures Of Iron Or Steel, Unenumerated",22299859,REVIEW,Cwt,anchor,iron,2,1883-1896,none,8,1.0,1.0-2.02,0.75,0,CONFIRMS
Wood And Timber — Mahogany,21159928,FOLD?,Mahogany,0,EMPTY,Ton,anchor,mahogany,0,1872-1899,none,8,1.0,0.87-1.11,0.75,0,CONFIRMS
Ice — Indigo,19602189,KEEP,Indigo,1903401,EMPTY,Cwt,anchor,indigo,0,1872-1881,none,10,1.0,0.95-1.0,1.0,0,CONFIRMS
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,19084393,KEEP,Nuts And Kernels,12138097,KEEP,Ton,anchor,kernels nuts,0,1872-1899,none,5,1.0,0.88-1.0,0.8,0,CONFIRMS
Iron,17210964,FOLD?,Iron — Ore Of,34512624,KEEP,Ton,anchor,iron,1,1878-1890,none,2,1.08,1.04-1.08,1.0,0,CONFIRMS
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",14761872,REVIEW,"Ore, Unenumerated",6472928,KEEP,Ton,anchor,ore,3,1872-1898,none,1,0.966,0.97-0.97,1.0,0,CONFIRMS
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",14761872,REVIEW,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,ore,1,1872-1898,none,1,0.972,0.97-0.97,1.0,0,CONFIRMS
Copper — Regulus,12767966,FOLD?,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,copper,8,1872-1881,none,10,1.057,0.05-1.09,0.8,0,CONFIRMS
Manures,12755538,REVIEW,Manures — Unenumerated,7610945,KEEP,Ton,origins,manures,1,1882-1882,1887-1891,5,1.0,1.0-1.0,1.0,0,CONFIRMS
Metals And Ores — Pig,12588498,KEEP,Pig And Puddled,8538969,KEEP,Ton,origins,pig,6,1874-1884,1896-1900,4,0.996,0.41-1.06,0.75,0,CONFIRMS
"Wood And Timber — Hewn, Oak",11702794,KEEP,"Wood And Timber — Sawn Or Split, Planed Or Dressed, Fir",290174693,KEEP,Load,anchor,timber wood,7,1893-1899,none,2,0.968,0.96-0.97,1.0,0,CONFIRMS
"Wood And Timber — Hewn, Oak",11702794,KEEP,Wood And Timber — Oak,14607399,KEEP,Load,anchor,oak timber wood,1,1893-1899,none,7,1.073,1.06-2.41,0.71,0,CONFIRMS
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Indigo",11499900,KEEP,"Lac-Dye, Seedlac, Shellac, And Sticklac",776217,EMPTY,Cwt,anchor,dye,0,1895-1899,none,4,1.046,0.9-1.11,0.75,0,CONFIRMS
Fish (Including Turtle) — Dressed Or Undressed,11189788,DUPE-FAM,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,including,4,1894-1898,none,4,1.018,0.99-1.02,1.0,0,CONFIRMS
"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,Woollen Yarn — For Weaving,35942005,KEEP,Lb,anchor,weaving woollen yarn,0,1894-1899,none,4,1.0,1.0-1.05,1.0,0,CONFIRMS
"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,Woollen Yarn,162387,KEEP,Lb,anchor,woollen yarn,0,1894-1899,none,1,0.921,0.92-0.92,1.0,0,CONFIRMS
"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,"Woollen, Yarn, Of All Kinds",1881213,EMPTY,Lb,anchor,woollen yarn,0,1894-1899,none,2,0.932,0.92-0.93,1.0,0,CONFIRMS
"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,"Yarn, Of All Kinds",1927256,EMPTY,Lb,anchor,yarn,0,1894-1899,none,3,0.932,0.92-0.93,1.0,0,CONFIRMS
"Woollen Yarn — For Weaving, Mixed Or Not With Silk",10727723,REVIEW,For Weaving,1511924,EMPTY,Lb,anchor,weaving,0,1894-1899,none,6,1.0,1.0-611.99,0.83,0,CONFIRMS
Petroleum — Refined,10149435,REVIEW,Petroleum,112746849,KEEP,Gallon,anchor,petroleum,0,1872-1880,none,9,0.982,0.89-0.99,0.89,0,CONFIRMS
Glass — Dressed Or Undressed,9778908,REVIEW,"Hemp, Dressed And Undressed, And Tow",2210760,EMPTY,Ton,anchor,dressed undressed,0,1894-1898,none,3,1.092,1.09-1.1,1.0,0,CONFIRMS
"Iron And Steel — Iron, Ore Of (Including Chrome)",9745835,DUPE-FAM,Iron — Ore Of,34512624,KEEP,Ton,anchor,iron ore,0,1894-1896,none,3,1.002,1.0-1.0,1.0,0,CONFIRMS
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,ore,5,1893-1899,none,5,1.013,0.98-1.02,1.0,0,CONFIRMS
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Unwrought, Part Wrought, And Old",0,EMPTY,Ton,anchor,unwrought,0,1893-1899,none,1,0.971,0.97-0.97,1.0,0,CONFIRMS
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Fish — Fresh, Other Sorts",726617,DUPE-FAM,Cwt,anchor,fish fresh,1,1872-1895,none,1,1.015,1.01-1.01,1.0,0,CONFIRMS
"Iron, Manufactures — Unenumerated",8867820,DUPE-FAM,"Iron — Manufactures Of Iron Or Steel, Unenumerated",22299859,REVIEW,Cwt,anchor,iron,0,1885-1888,none,4,1.0,1.0-1.0,1.0,0,CONFIRMS
Gum — Unenumerated,8109280,KEEP,Gum — Of Other Sorts,327263,EMPTY,Cwt,anchor,gum,0,1873-1896,none,14,1.0,0.74-1.0,0.93,0,CONFIRMS
Manures — Unenumerated,7610945,KEEP,Manures,12755538,REVIEW,Ton,anchor,manures,1,1872-1896,none,5,1.0,1.0-1.0,1.0,0,CONFIRMS
"Nuts And Kernels — Chemical, Essential Or Perfumed",6603253,KEEP,"Chemical, Essential, And Perfumed",645795,KEEP,Lb,anchor,chemical essential perfumed,0,1893-1899,1883-1887,3,0.999,0.96-1.0,1.0,0,CONFIRMS
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,"Wood And Timber — Hewn, Fir",96683621,KEEP,Load,anchor,hewn timber wood,21,1875-1899,none,2,1.066,1.06-1.07,1.0,0,CONFIRMS
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,"Wood And Timber — Sawn Or Split, Planed Or Dressed, Fir",290174693,KEEP,Load,anchor,timber wood,21,1875-1899,none,2,0.954,0.94-0.95,1.0,0,CONFIRMS
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Unenumerated,9270273,REVIEW,Load,anchor,timber wood,11,1875-1899,none,6,1.0,0.87-1.91,0.67,0,CONFIRMS
Manures — Nitrate Of Soda (Cubic Nitre),5843558,REVIEW,"Nitre, Cubic (Nitrate Of Soda)",26480631,KEEP,Ton,anchor,cubic nitrate nitre soda,2,1894-1899,none,3,1.002,1.0-2.0,0.67,0,CONFIRMS
"Fish (Including Turtle) — Apples, Raw",5691938,DUPE-FAM,Apples — Raw,6709080,KEEP,Bushel,anchor,apples,0,1894-1898,none,5,1.04,1.03-1.05,1.0,0,CONFIRMS
"Cotton Manufactures — Piece Goods, Other Than Muslins",5662839,REVIEW,Cotton Manufactures — Piece Goods,303709,DUPE-FAM,Yard,anchor,cotton goods piece,0,1884-1899,none,1,0.949,0.95-0.95,1.0,0,CONFIRMS
"Dye Stuffs, And Substances Used In Tanning — Valonia",5344751,KEEP,Valonia,1154874,KEEP,Ton,anchor,valonia,0,1883-1894,none,12,1.0,1.0-1.0,1.0,0,CONFIRMS
"Iron — Manufactures, Of Iron And Steel; Sewing Machines : Unenumerated",5168320,KEEP,"Iron — Manufactures Of Iron Or Steel, Unenumerated",22299859,REVIEW,Cwt,anchor,iron steel,0,1882-1884,none,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Iron And Steel — Unenumerated,5140615,DUPE-FAM,"Iron — Manufactures Of Iron Or Steel, Unenumerated",22299859,REVIEW,Cwt,anchor,iron steel,0,1893-1894,none,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Feathers And Down — Ornamental,4968713,KEEP,Feathers — Ornamental,15434707,KEEP,Lb,anchor,feathers ornamental,0,1891-1898,none,1,1.001,1.0-1.0,1.0,0,CONFIRMS
"Stones, Marble, Rough Hewn, Or Manufactured (Other Than Works Of Art)",4599683,FOLD?,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",8639675,KEEP,Ton,anchor,art hewn manufactured marble rough stones than works,1,1895-1899,none,5,1.0,0.99-1.99,0.8,0,CONFIRMS
"Stones, Marble, Rough Hewn, Or Manufactured (Other Than Works Of Art)",4599683,FOLD?,"Stones, Rough, Hewn, Or Manufactured (Other Thanworks Of Art)",0,EMPTY,Ton,anchor,art hewn manufactured rough stones,0,1895-1899,none,5,0.999,0.99-1.01,1.0,0,CONFIRMS
"Fruit — Preserved Without Sugar, Unenumerated",4495099,REVIEW,Preserved Without Sugar,157053,KEEP,Lb,anchor,preserved sugar without,0,1872-1895,none,4,1.0,1.0-1.01,1.0,0,CONFIRMS
Fish (Including Turtle) — Shell Fish Of All Sorts,4489204,NAME-ART?,"Sugar — Other Sorts, Including Candy",183657273,REVIEW,Cwt,anchor,including,10,1890-1899,none,7,1.034,1.02-1.08,1.0,0,CONFIRMS
Tea — Unmanufactured,4448922,REVIEW,Tea,326218125,KEEP,Lb,anchor,tea,1,1874-1874,none,1,1.018,1.02-1.02,1.0,0,CONFIRMS
"Flowers, Artificial — Almonds",4329079,KEEP,Almonds,340409,EMPTY,Cwt,anchor,almonds,0,1872-1893,none,1,0.995,0.99-0.99,1.0,0,CONFIRMS
Cochineal (Including Granilla And Dust),4221128,KEEP,"Dyeing Or Tanning Stuffs — Cochineal, Granilla, And Dust",343885,EMPTY,Cwt,anchor,cochineal dust granilla,0,1872-1881,1866-1870,9,0.999,0.92-1.0,1.0,0,CONFIRMS
Oil — Oil Seed Cakes,4142151,KEEP,Oil Seed Cake,29784684,KEEP,Ton,anchor,oil seed,0,1872-1874,none,3,1.0,0.97-1.0,1.0,0,CONFIRMS
"Rags, And Other Materials For Making Paper — Rags, Woollen, Applicable To Other Uses Than Manure",4130429,KEEP,"Rags And Other Materials For Making Paper — Woollen: Applicable To Other Uses Than Manure, Torn Up Or Not",534299,KEEP,Ton,origins,applicable making manure materials paper rags than uses woollen,0,1886-1895,1868-1879,1,1.0,1.0-1.0,1.0,0,CONFIRMS
"Rags, And Other Materials For Making Paper — Rags, Woollen, Applicable To Other Uses Than Manure",4130429,KEEP,"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",10544268,KEEP,Ton,anchor,applicable manure rags than uses woollen,0,1886-1895,1868-1879,10,1.0,0.97-1.0,1.0,0,CONFIRMS
"Rags, And Other Materials For Making Paper — Rags, Woollen, Applicable To Other Uses Than Manure",4130429,KEEP,"Rugs, Woollen, Applicable To Other Uses Than Manure",0,EMPTY,Ton,anchor,applicable manure than uses woollen,0,1886-1895,1868-1879,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Animals — Horses,3779967,FOLD?,"Animals, Living — Sheep And Lambs",50188907,KEEP,Number,anchor,animals,6,1872-1879,none,6,1.021,1.02-1.03,1.0,0,CONFIRMS
Animals — Horses,3779967,FOLD?,"Animals, Living — Horses",233770,KEEP,Number,anchor,animals horses,0,1872-1879,none,6,1.0,1.0-1.0,1.0,0,CONFIRMS
"Dye Stuffs, And Substances Used In Tanning — Shumach",3712197,REVIEW,Shumach,426906,REVIEW,Ton,anchor,shumach,1,1872-1894,none,20,1.0,0.95-1.07,1.0,0,CONFIRMS
"Dye Stuffs, And Substances Used In Tanning — Shumach",3712197,REVIEW,Dyeing Or Tanning Stuffs — Shunach,15054,KEEP,Ton,anchor,stuffs tanning,0,1872-1894,none,5,1.0,0.95-1.0,1.0,0,CONFIRMS
Glass,3336334,REVIEW,"Glass — Window And German Sheet, Including Shades And Cylinders",10413119,KEEP,Cwt,anchor,glass,7,1880-1898,1874-1878,5,1.01,1.01-1.03,1.0,0,CONFIRMS
Glass,3336334,REVIEW,Glass — Common Bottles,2606714,FOLD?,Cwt,origins,glass,2,1880-1898,1874-1878,1,1.002,1.0-1.0,1.0,0,CONFIRMS
Quicksilver (Metallic),3268235,REVIEW,Quicksilver,8351442,KEEP,Lb,anchor,quicksilver,1,1872-1879,none,7,1.0,1.0-1.21,0.86,0,CONFIRMS
"Iron — Steel, Unwrought",3245447,REVIEW,Iron — Ore Of,34512624,KEEP,Ton,anchor,iron,15,1872-1899,none,20,1.002,0.0-1.0,0.6,0,CONFIRMS
"Iron — Steel, Unwrought",3245447,REVIEW,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,iron,22,1872-1899,none,27,1.011,0.01-1.03,0.81,0,CONFIRMS
"Iron — Steel, Unwrought",3245447,REVIEW,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,iron,11,1872-1899,none,5,1.008,0.98-1.01,1.0,0,CONFIRMS
"Iron — Steel, Unwrought",3245447,REVIEW,Steel — Unwrought,128380,EMPTY,Ton,anchor,steel unwrought,0,1872-1899,none,27,1.0,0.45-1.01,0.96,0,CONFIRMS
"Books, Bound Or Unbound, Including Maps And Charts",3105387,FOLD?,"Glass — Window And German Sheet, Including Shades And Cylinders",10413119,KEEP,Cwt,anchor,including,12,1882-1899,none,5,1.035,1.02-1.04,1.0,0,CONFIRMS
"Books, Bound Or Unbound, Including Maps And Charts",3105387,FOLD?,"Sugar — Other Sorts, Including Candy",183657273,REVIEW,Cwt,anchor,including,13,1882-1899,none,5,1.006,1.0-1.05,1.0,0,CONFIRMS
"Books, Bound Or Unbound, Including Maps And Charts",3105387,FOLD?,Books,1715939,KEEP,Cwt,anchor,books,3,1882-1899,none,10,1.0,1.0-1.11,0.9,0,CONFIRMS
"Books, Bound Or Unbound, Including Maps And Charts",3105387,FOLD?,Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),23332772,KEEP,Cwt,anchor,including,5,1882-1899,none,4,1.048,0.73-1.05,0.75,0,CONFIRMS
"Books, Bound Or Unbound, Including Maps And Charts",3105387,FOLD?,"Books, Printed, Bound And Unbound, Including Maps And Charts",283748,EMPTY,Cwt,anchor,books bound charts including maps unbound,0,1882-1899,none,4,1.0,1.0-1.01,1.0,0,CONFIRMS
Sago And Sago Flour,3032962,FOLD?,Sago,235834,EMPTY,Cwt,anchor,sago,0,1873-1890,none,11,1.0,1.0-1.99,0.91,0,CONFIRMS
"Stones, Marble, And Slate — (Other Than Works Of Art)",2993059,FOLD?,"Stones, Rough, Hewn, Or Manufactured (Other Thanworks Of Art)",0,EMPTY,Ton,anchor,art stones,0,1889-1893,none,1,0.991,0.99-0.99,1.0,0,CONFIRMS
"Wine — In Bottles, Still",2920836,KEEP,Wine — Total Of All Kinds,597496362,KEEP,Gallon,anchor,wine,6,1894-1899,none,3,1.088,1.08-1.1,0.67,0,CONFIRMS
Oil — Turpentine (Oil Or Spirit Of),2854978,KEEP,Oil — Turpentine,10325319,KEEP,Cwt,anchor,oil turpentine,0,1872-1879,none,7,1.0,0.89-1.07,0.86,0,CONFIRMS
Oil — Turpentine (Oil Or Spirit Of),2854978,KEEP,Turpentine,420029,EMPTY,Cwt,anchor,turpentine,0,1872-1879,none,8,1.0,0.89-1.0,0.88,0,CONFIRMS
"Paper-Making Materials — Pulp Of Wood, Chemical",2661603,KEEP,"Esparto, And Other Vegetable Fibres For Making Paper",0,EMPTY,?,anchor,making paper,0,1898-1899,none,2,0.948,0.91-0.95,1.0,0,CONFIRMS
"Meat — Salted Or Fresh, Not Otherwise Described",2649369,KEEP,"Meat, Unenumerated — Salted Or Fresh",7761677,KEEP,Cwt,anchor,fresh meat salted,0,1872-1879,1866-1870,2,1.0,1.0-1.0,1.0,0,CONFIRMS
Glass — Common Bottles,2606714,FOLD?,Glass,3336334,REVIEW,Cwt,anchor,glass,2,1872-1886,none,1,1.002,1.0-1.0,1.0,0,CONFIRMS
Drugs — Indigo,2605841,KEEP,Indigo,1903401,EMPTY,Cwt,anchor,indigo,0,1882-1882,none,1,1.0,1.0-1.0,1.0,0,CONFIRMS
Wine — Red: Total Of,2540645,DUPE-FAM,Wine — Red,56297450,KEEP,Gallon,anchor,red wine,0,1895-1895,none,1,1.1,1.1-1.1,1.0,0,CONFIRMS
"Hats Or Bonnets — Manufactures Of Iron Or Steel, Unenumerated",2530597,DUPE-FAM,"Iron — Manufactures Of Iron Or Steel, Unenumerated",22299859,REVIEW,Cwt,anchor,iron steel,0,1893-1893,none,1,1.009,1.01-1.01,1.0,0,CONFIRMS
Wool — Cloths,2521116,DUPE-FAM,Of Wool (Other Than Goats'): Cloths,974052,EMPTY,Yard,anchor,cloths wool,0,1895-1897,none,3,1.0,1.0-1.0,1.0,0,CONFIRMS
Oil — Opium,2510837,KEEP,Opium,403170,EMPTY,Lb,anchor,opium,0,1872-1877,none,5,1.0,0.95-1.0,1.0,0,CONFIRMS
Fruit — Brandy,2469378,DUPE-FAM,Brandy,1261800,EMPTY,Proof Gallon,anchor,brandy,0,1895-1896,none,2,1.009,1.01-1.01,1.0,0,CONFIRMS
"Fruit — Unenumerated, Sweetened, Or Mixed (Tested)",2467527,REVIEW,"Sweetened Or Mixed, Tested",57056,KEEP,Proof Gallon,anchor,mixed sweetened tested,0,1894-1899,none,6,1.025,1.0-391.13,0.83,0,CONFIRMS
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,2421394,REVIEW,Furniture And Hardwoods — Mahogany,1099136,REVIEW,Ton,anchor,furniture hardwoods mahogany,0,1876-1881,none,6,1.0,0.92-1.01,1.0,0,CONFIRMS
Turpentine (Rough) — Valonia,2390530,KEEP,Valonia,1154874,KEEP,Ton,anchor,valonia,0,1874-1879,none,4,1.0,1.0-1.0,1.0,0,CONFIRMS
"Cotton Manufactures — Dye Stuffs, Unenumerated",2372760,KEEP,Cotton — Raw,1264418293,KEEP,Cwt,anchor,cotton,5,1872-1879,none,5,1.075,1.01-1.76,0.6,0,CONFIRMS
Fish (Including Turtle) — Other Sorts Of Fresh Fish,2328823,REVIEW,"Sugar — Other Sorts, Including Candy",183657273,REVIEW,Cwt,anchor,including,6,1894-1899,none,6,1.02,1.01-1.07,1.0,0,CONFIRMS
Fish (Including Turtle) — Other Sorts Of Fresh Fish,2328823,REVIEW,"Fish — Fresh, Other Sorts",726617,DUPE-FAM,Cwt,anchor,fish fresh,2,1894-1899,none,5,1.005,0.93-2.0,0.6,0,CONFIRMS
"Dye Stuffs, And Substances Used In Tanning — Bark",2292907,REVIEW,Bark,753739,DUPE-FAM,Cwt,anchor,bark,1,1883-1894,none,12,1.0,1.0-2.84,0.75,0,CONFIRMS
"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",2239610,REVIEW,Furniture And Hardwoods — Unenumerated,720592,KEEP,Ton,anchor,furniture hardwoods,2,1876-1883,none,6,1.0,0.93-1.11,0.83,0,CONFIRMS
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Girders, Beams, And Pillars",2234568,DUPE-FAM,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,iron,3,1893-1897,none,3,1.018,1.02-1.02,1.0,0,CONFIRMS
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Girders, Beams, And Pillars",2234568,DUPE-FAM,"Manufactures Of Iron And Steel — Girders, Beams, Joists And Pillars",467385,EMPTY,Ton,anchor,beams girders iron pillars steel,0,1893-1897,none,2,1.009,1.0-1.01,1.0,0,CONFIRMS
"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Girders, Beams, And Pillars",2234568,DUPE-FAM,Iron — In Bars,8704506,KEEP,Ton,anchor,iron,0,1893-1897,none,2,1.098,1.01-1.1,1.0,0,CONFIRMS
"Teeth, Elephants', Sea Cow, And Sea Horse — West Coast Of Africa, Foreign",2203304,DUPE-FAM,"Hair — Cow, Ox, Bull, Or Elk",3557884,KEEP,Cwt,anchor,cow,1,1879-1879,none,1,1.022,1.02-1.02,1.0,0,CONFIRMS
"Teeth, Elephants', Sea Cow, And Sea Horse — West Coast Of Africa, Foreign",2203304,DUPE-FAM,Horse,7550990,KEEP,Cwt,anchor,horse,1,1879-1879,none,1,1.042,1.04-1.04,1.0,0,CONFIRMS
"Teeth, Elephants', Sea Cow, And Sea Horse — West Coast Of Africa, Foreign",2203304,DUPE-FAM,"Teeth, Elephants', Sea Cow, And Sea Horse",106205216,KEEP,Cwt,anchor,cow elephants horse sea teeth,1,1879-1879,none,1,1.087,1.09-1.09,1.0,0,CONFIRMS
Honey — Tips And Pieces Of Horn And Hoofs,2186860,KEEP,Horns And Hoofs Of Cattle,129806,EMPTY,Ton,anchor,hoofs,0,1872-1877,none,6,1.0,0.82-1.0,0.67,0,CONFIRMS
"Iron — Old, For Re-Manufacture",2185126,KEEP,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,iron,5,1874-1880,none,5,1.034,0.99-1.31,0.6,0,CONFIRMS
"Copper, Ore Of — Valonia",2098338,REVIEW,Iron — Ore Of (Including Chrome),30615633,REVIEW,Ton,anchor,ore,4,1894-1898,none,4,1.026,1.01-1.08,1.0,0,CONFIRMS
Fish (Including Turtle) — Almonds,2064159,DUPE-FAM,"Sugar — Other Sorts, Including Candy",183657273,REVIEW,Cwt,anchor,including,5,1894-1898,none,5,1.013,1.01-1.06,1.0,0,CONFIRMS
Fish (Including Turtle) — Almonds,2064159,DUPE-FAM,Almonds,340409,EMPTY,Cwt,anchor,almonds,0,1894-1898,none,5,0.978,0.81-1.0,0.8,0,CONFIRMS
Vegetables — Raw · Onions,2060518,KEEP,Onions — Raw,13673548,KEEP,Bushel,anchor,onions,0,1873-1878,1896-1900,10,1.0,0.93-1.0,1.0,0,CONFIRMS
"Hats Or Bonnets — Hide, Dressed Or Undressed",2056154,DUPE-FAM,"Hemp, Dressed And Undressed, And Tow",2210760,EMPTY,Cwt,anchor,dressed undressed,0,1882-1882,none,1,0.926,0.93-0.93,1.0,0,CONFIRMS
Fruit — Rum,2027406,REVIEW,Rum,344446,EMPTY,Proof Gallon,anchor,rum,0,1895-1899,none,5,1.0,1.0-1.78,0.8,0,CONFIRMS
"Rags, And Other Materials For Making Paper — Other Materials, And Pulp Of Rags",2007752,KEEP,Other Materials,7896,EMPTY,Ton,anchor,materials,0,1887-1893,none,1,1.0,1.0-1.0,1.0,0,CONFIRMS
Flax — Almonds,2004790,DUPE-FAM,Almonds,340409,EMPTY,Cwt,anchor,almonds,0,1893-1897,none,5,0.994,0.99-1.0,1.0,0,CONFIRMS
