class,gbp,n_volumes,volume,year,group,article,n_rows_ch,n_rows_inf,qty_offset,qty_matched,lbl_offset,lbl_matched,slip,n_disagree,third_voice,row_set_closes,closure_ch,closure_inf,shipped,ships_wrong,votes_ch,votes_inf,ships_ch,ships_inf,examples
slip,164615,1,as_1872,1872,DYE WOODS,Unenumerated,10,10,0,10,-1,7,-1,6,UNSETTLEABLE (printed once),,1/1,1/1,chandra,False,0,0,9,1,"2,699: ch=West Coast of Africa (not particularly(0) inf=West Coast of Africa (not particularly designated)(0) ; 1,938: ch=designated)(0) inf=United States of America(0) ; 2,319: ch=United States of America(0) inf=Dutch West India Islands(0) ; 1,345: ch=Dutch West India Islands(0) inf=Mexico(0) ; 1,341: ch=Mexico(0) inf=New Granada(0) ; 1,390: ch=New Granada(0) inf=Venezuela(0)"
slip,138397,1,as_1889,1889,HEMP,"Tow, or Codilla of",7,6,0,5,-1,6,-1,5,UNSETTLEABLE (printed once),chandra,2/2,0/2,chandra,False,0,0,5,0,"18,458: ch=Russia(0) inf=Germany(0) ; 73,232: ch=Germany(0) inf=Italy(0) ; 4,017: ch=Italy(0) inf=Other Foreign Countries(0) ; 1,751: ch=British East Indies(0) inf=Australasia(0) ; 25,031: ch=Australasia(0) inf=Other British Possessions(0)"
slip,125118,1,as_1888,1888,"ANIMALS, LIVING",Geldings,16,14,-1,11,0,10,1,6,UNSETTLEABLE (printed once),chandra,2/2,1/2,chandra,False,0,0,9,1,"156: ch=Norway(0) inf=Sweden(0) ; 1,345: ch=Denmark(0) inf=Norway(0) ; 5,770: ch=Germany(0) inf=Denmark(0) ; 257: ch=Belgium(0) inf=Holland(0) ; 191: ch=France(0) inf=Belgium(0) ; 9: ch=Egypt(0) inf=France(0)"
slip,114900,1,as_1873,1873,DYE WOODS,Unenumerated,8,8,0,8,-1,6,-1,6,UNSETTLEABLE (printed once),,1/1,1/1,chandra,False,0,0,8,2,"2,461: ch=West Coast of Africa (not particularly(0) inf=West Coast of Africa (not particularly designated)(0) ; 1,360: ch=designated)(0) inf=Dutch West India Islands(0) ; 894: ch=Dutch West India Islands(0) inf=Mexico(0) ; 2,557: ch=Mexico(0) inf=New Granada(0) ; 1,042: ch=New Granada(0) inf=Venezuela(0) ; 2,821: ch=Venezuela(0) inf=British East Indies(0)"
slip,96232,1,as_1877,1877,Corn and Grain,Rye,6,5,0,5,-1,5,-1,5,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,5,0,"52,448: ch=Russia(0) inf=Germany(0) ; 62,127: ch=Germany(0) inf=France(0) ; 12,694: ch=France(0) inf=Turkey(0) ; 44,791: ch=Turkey(0) inf=United States of America(0) ; 67,882: ch=United States of America(0) inf=Other Countries(0)"
slip,90075,1,as_1875,1875,FEATHERS,For BEDS,4,5,0,4,1,4,1,4,UNSETTLEABLE (printed once),infinity,0/1,1/1,infinity,False,0,0,0,4,"5,354: ch=Germany(0) inf=Russia(0) ; 6,748: ch=France(0) inf=Germany(0) ; 5,561: ch=Italy(0) inf=France(0) ; 1,732: ch=Other Countries(0) inf=Italy(0)"
slip,86251,1,as_1880,1880,SUGAR,Molasses,7,7,0,7,1,6,1,6,UNSETTLEABLE (printed once),,1/1,1/1,chandra,False,0,0,6,0,"30,057: ch=Egypt(0) inf=Germany(0) ; 92,000: ch=United States of America(0) inf=Egypt(0) ; 3,475: ch=Mauritius(0) inf=United States of America(0) ; 42,476: ch=British West India Islands(0) inf=Mauritius(0) ; 20,888: ch=British Guiana(0) inf=British West India Islands(0) ; 19,130: ch=Other Countries(0) inf=British Guiana(0)"
slip,85114,1,as_1877,1877,FLAX,Dressed,6,5,-1,5,0,5,1,5,UNSETTLEABLE (printed once),chandra,1/1,0/1,chandra,False,0,0,5,0,"284: ch=Germany(0) inf=Russia(0) ; 4,682: ch=Holland(0) inf=Germany(0) ; 11,735: ch=Belgium(0) inf=Holland(0) ; 308: ch=France(0) inf=Belgium(0) ; 206: ch=Other Countries(0) inf=France(0)"
slip,73786,2,as_1898,1898,FISH (including Turtle),"Unenumerated, Raw",17,16,0,10,-1,16,-1,6,chandra,chandra,2/2,1/2,chandra,False,8,0,10,0,"114,974: ch=Germany(1) inf=Holland(0) ; 210,387: ch=Holland(1) inf=Belgium(0) ; 13,743: ch=Belgium(1) inf=France(0) ; 178,158: ch=France(1) inf=Portugal(0) ; 13,119: ch=Portugal(1) inf=Azores(0) ; 75,213: ch=Madeira(1) inf=Spain(0)"
slip,66984,1,as_1889,1889,HEMP,"Unenumerated Vegetable Substances, applicable to the same uses as Flax or Hemp",13,12,0,7,-1,12,-1,6,UNSETTLEABLE (printed once),chandra,2/2,1/2,chandra,False,0,0,7,0,"848: ch=Germany(0) inf=Belgium(0) ; 317: ch=Belgium(0) inf=France(0) ; 4,197: ch=France(0) inf=Algeria(0) ; 1,348: ch=Algeria(0) inf=Madagascar(0) ; 6,175: ch=Madagascar(0) inf=Philippine Islands(0) ; 994: ch=Philippine Islands(0) inf=China(0)"
slip,49244,4,as_1895,1895,IRON,"Old Broken, and Old Cast Iron, and Old Broken Steel",10,10,0,10,1,6,1,6,chandra,,2/2,2/2,chandra,False,10,0,6,0,"621: ch=Norway(2) inf=Sweden(0) ; 2,577: ch=Denmark(2) inf=Norway(0) ; 1,089: ch=Germany(2) inf=Denmark(0) ; 1,716: ch=Holland(2) inf=Germany(0) ; 463: ch=France(2) inf=Holland(0) ; 749: ch=Other Foreign Countries(0) inf=France(0)"
slip,32477,1,as_1888,1888,"ANIMALS, LIVING",Mares,12,11,-1,11,0,8,1,6,UNSETTLEABLE (printed once),chandra,2/2,1/2,chandra,False,0,0,8,0,79: ch=Norway(0) inf=Sweden(0) ; 740: ch=Denmark(0) inf=Norway(0) ; 854: ch=Germany(0) inf=Denmark(0) ; 72: ch=Holland(0) inf=Germany(0) ; 52: ch=Belgium(0) inf=Holland(0) ; 179: ch=France(0) inf=Belgium(0)
slip,15378,1,as_1873,1873,WOOL,Other Kinds and Wool Flocks,4,5,1,4,0,4,-1,4,UNSETTLEABLE (printed once),infinity,0/1,1/1,infinity,False,0,0,0,4,"305,393: ch=Russia(0) inf=France(0) ; 140,380: ch=France(0) inf=United States of America(0) ; 100,320: ch=United States of America(0) inf=British India: Bombay and Scinde(0) ; 121,839: ch=British India: Bombay and Scinde(0) inf=Other Countries(0)"
