commodity,year,dropped_country,kept_country,qty,value
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Holland,Holland,62759,8329
Rosin,1883,Belgium,France,16242,8082
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Holland,Holland,54166,7733
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Denmark,Denmark,65633,7319
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Denmark,Denmark,78846,7159
Dye Woods — Unenumerated,1875,Philippine Islands,Philippine Islands,726,7125
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Germany,Germany,217,7012
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Other Foreign Countries,Other Foreign Countries,350,6986
Wood And Timber — Teak,1893,Other Foreign Countries,Other Foreign Countries,734,6958
Oil — Palm,1896,Not Particularly Design Nated,Not Particularly Designated,6947,6711
Phosphate Of Lime And Rock,1893,Algeria,Algeria,3069,6470
"Feathers And Down — For Beds, In Beds Or Otherwise",1895,United States Of America (Atlantic),United States Of America,3445,6419
Plate Of Silver,1883,United States Of America (Atlantic),United States Of America,19195,6406
Coffee — Raw,1898,Stralts Settlements,Straits Settlements,1502,6216
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Holland,Holland,172,6152
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),1894,United States Of America (Atlantic),United States Of America,2514,5934
Oil — Palm,1896,German,German Possessions,6093,5867
"Feathers And Down — For Beds, In Beds Or Otherwise",1896,United States Of America (Atlantic),United States Of America,1963,5646
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,France,France,56950,5496
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Belgium,Belgium,230,5451
Plate Of Silver,1887,United States Of America (Atlantic),United States Of America,10257,5414
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Egypt,Egypt,71190,5244
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Belgium,Belgium,41334,5171
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Denmark,Denmark,56051,5164
Meat — Other Sorts,1895,Russia (Northern Ports),Russia,1251,5084
Plate Of Silver,1882,United States Of America (Atlantic),United States Of America,16514,5066
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Russia (Southern Ports),Russia (Southern Ports),48440,5034
"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",1893,"Turkey, Asiatic",Turkey Asiatic,110,4943
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Holland,Holland,233,4913
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Argentine Republic,Argentine Republic,395,4832
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1885,"Dutch Possessions In Theindian Seas, Other Thanjava",Dutch Possessions In The Indian Seas Other Than Java,291,4700
Wood And Timber — Teak,1883,Holland,Holland,323,4564
Myrabolams,1874,Bengal And Behar,Bengal And Be Mah,7930,4385
Hemp — Dressed Or Undressed,1895,Strait Settlements,Straits Settlements,141,4290
Meat — Other Sorts,1894,Russia (Northern Ports),Russia,1257,4233
Meat — Other Sorts,1893,Russia (Northern Ports),Russia,1071,4162
Wax,1895,Zanzibar And Pemba,Eastern Coast Of Africa Zanzibar And Pemba,653,4096
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Natal,Natal,106,4072
"Flax, Dressed Or Undressed",1896,Australasia,Australasia,152,3809
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,China,China,122,3525
"Sugar — Unrefined : Cane, And Other Sorts",1884,Bombay Andscinde,Bombay,5166,3216
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1888,Hong Kong,Hong Kong,1846,3110
Caoutchouc,1895,Mauritius And Dependencies,Mauritius,343,3100
Wax,1896,Zanzibar And Pemba,Eastern Coast Of Africa Zanzibar And Pemba,504,2895
Regulus And Precipitate,1883,Cape Of Good Hope,British Possessions In South Africa,95,2860
Rosin,1883,South Australia,Canada,8775,2768
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),1895,United States Of America (Atlantic),United States Of America,1203,2635
Glass,1894,France,Belgium,967,2467
Wood And Timber — Teak,1883,British Possessions In South Africa,British Possessions In South Africa,152,2390
"Nuts And Kernels — Fish, Sperm Or Head-Matter",1899,Victoria,Australasia,78,2330
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1896,Turkey European,Turkey European,20330,2300
