reldiff,volume,group,article,year,country_sum,t1_value,tier,n_cells
0.00000,as_1896,EMBROIDERY and NEEDLEWORK,,1896,842881.0,842881.0,A,10
0.00000,as_1896,"FLOWERS, Artificial",,1896,559524.0,559524.0,A,6
0.00000,as_1896,MATCHES,,1896,355457.0,355457.0,A,9
0.00000,as_1896,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",,1896,399046.0,399046.0,A,15
0.00000,as_1896,"POULTRY and GAME, alive or dead",,1896,705478.0,705478.0,A,16
0.00000,as_1896,"PRECIOUS STONES, unset",,1896,23114.0,23114.0,A,12
0.00000,as_1896,SHELLS of all kinds,,1896,478341.0,478341.0,A,33
0.00000,as_1896,SILK,Unenumerated,1896,3220947.0,3220947.0,C,15
0.00000,as_1896,"VEGETABLES, Raw, Unenumerated",,1896,1284753.0,1284753.0,A,19
0.00000,as_1896,"WATCHES, and Parts thereof",,1896,987079.0,987079.0,A,8
0.00000,as_1896,WOOLLEN MANUFACTURES,Of Goats' Wool or Hair,1896,111927.0,111927.0,C,6
0.00000,as_1896,WOOLLEN MANUFACTURES,Unenumerated,1896,3861820.0,3861820.0,B,18
0.00000,as_1898,"LACE, and Articles thereof",Of Silk,1898,464873.0,464873.0,B,4
0.00000,as_1898,"WATCHES, and parts thereof",,1898,1326469.0,1326469.0,A,7
0.00000,as_1899,"LACE, and Articles thereof",Of Silk,1898,464873.0,464873.0,B,4
0.00000,as_1899,"MATCHES, Safety and Other Sorts",,1895,362900.0,362900.0,B,8
0.00000,as_1899,"MATCHES, Safety and Other Sorts",,1897,350486.0,350486.0,A,8
0.00000,as_1899,"WATCHES, and parts thereof",,1898,1326469.0,1326469.0,A,7
0.00000,as_1885,PAINTERS' COLOURS AND PIGMENTS,,1885,794847.0,794848.0,B,15
0.00000,as_1877,TOYS,,1877,444830.0,444829.0,A,7
0.00000,as_1895,"VEGETABLES, Raw, Unenumerated",,1895,1277263.0,1277266.0,A,18
0.00000,as_1894,PAINTERS' COLOURS AND PIGMENTS,,1894,910798.0,910801.0,A,16
0.00000,as_1888,"VEGETABLES, Raw : Unenumerated",,1888,621772.0,621775.0,A,18
0.00001,as_1892,PAINTERS' COLOURS AND PIGMENTS,,1892,1013486.0,1013480.0,A,16
0.00001,as_1891,SHELLS of all kinds,,1891,431823.0,431826.0,A,24
0.00001,as_1894,WOOLLEN MANUFACTURES,Unenumerated,1894,3595940.0,3595910.0,B,15
0.00001,as_1893,"VEGETABLES, Raw : Unenumerated",,1893,1076758.0,1076749.0,A,21
0.00001,as_1888,SHELLS of all kinds,,1888,303368.0,303371.0,A,19
0.00001,as_1899,"LACE, and Articles thereof",Of Silk,1899,420704.0,420699.0,B,4
0.00001,as_1884,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",,1884,1504001.0,1504021.0,A,17
0.00003,as_1884,PAINTERS' COLOURS AND PIGMENTS,,1884,796117.0,796137.0,B,12
0.00003,as_1899,"FLOWERS, ARTIFICIAL",,1898,580361.0,580376.0,A,8
0.00004,as_1883,PAINTERS' COLOURS AND PIGMENTS,,1883,826948.0,826978.0,A,17
