commodity,klass,gbp,n_cells,n_countries,host,host_share
Hats Or Bonnets — Australasia,dupe-of-host,305194,9,5,Hemp — Dressed Or Undressed,100
Cement — United States Of America,export-leakage,283239,6,5,,0
Beer And Ale — United States Of America,export-leakage,212022,4,4,,0
Leather — Australasia,dupe-of-host,178494,3,3,"Leather, Undressed",100
Woollen And Worsted Manufactures — United States Of America,export-leakage,176921,5,5,,0
"Arms, Ammunition, And Military Stores — Eastern Africa",export-leakage,154014,8,6,,0
"Coals, Cinders, &C — United States Of America",export-leakage,151818,4,4,,0
"Copper, Ore Of — Australasia",dupe-of-host,148497,12,6,Regulus And Precipitate,50
Nuts And Kernels — .. East Coast Of Africa,dupe-of-host,132490,7,7,Nuts And Kernels,57
"Arms, Ammunition, And Military Stores — Australasia",export-leakage,114374,6,6,,0
Iron And Steel — Australasia,dupe-of-host,104262,2,2,"Iron — Old Broken, And Old Cast Iron And Steel",50
Wine — Australasia,dupe-of-host,100515,6,6,"Tea — Red, In Casks",83
Wood And Timber — East Coast Of Africa,dupe-of-host,82886,5,6,"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated",60
Cheese — Australasia,dupe-of-host,74257,1,1,Cheese,100
Cotton Twist And Yarn — United States Of America,export-leakage,62818,2,2,,0
Drugs — Australasia,dupe-of-host,58565,5,3,"Dye Stuffs, And Substances Used In Tanning — Bark",80
Spices — Australasia,dupe-of-host,51675,2,2,"Skins, Furs, And Pelts — Furs, Unenumerated",100
"Arms, Ammunition, And Militarystores — Eastern Africa",export-leakage,50358,4,4,,0
Wood And Timber — Australasia,dupe-of-host,49334,3,2,"Wood And Timber — Unenumerated (Not Being Ash,     Beech, Birch, Elm, Oak, Or     Wainscot)",67
Spices — British East Indies,recovery-candidate,46102,7,6,Spices — Ginger,29
Nuts And Kernels — Australasia,dupe-of-host,45341,2,1,Nuts And Kernels,100
Articles Imported By Parcelpost — British Possessions In Southafrica,dupe-of-host,41650,4,4,Zinc — Articles Imported By Parcel Post,100
Zinc Or Spelter — British India,export-leakage,30840,1,1,,0
Articles Imported By Parcelpost — British East Indies,dupe-of-host,28072,2,3,Zinc — Articles Imported By Parcel Post,100
Gutta Percha — British India,dupe-of-host,24932,2,2,Gutta Percha,100
"Skins, Furs, And Pelts — British East Indies",dupe-of-host,24336,4,2,"Skins, Furs, And Pelts — Goat, Undressed",50
Lead — .. Australasia,dupe-of-host,21947,2,2,Lead — Pig And Sheet,100
Cotton Manufactures — British India,dupe-of-host,16339,2,2,"Cotton Manufactures — Piece Goods, Plain",50
Beer And Ale — British India,export-leakage,12867,1,1,,0
Tallow And Stearine — .. Australasia,dupe-of-host,11987,3,3,Tallow And Stearine,100
Woollen And Worsted Manufactures — Australasia,export-leakage,11681,1,1,,0
Glass — United States Of America,export-leakage,11437,1,1,,0
Gum — British India,dupe-of-host,10569,1,1,"Lac, Seed, Shell, Stick, And Dye",100
Soap — United States Of America,export-leakage,9814,2,2,,0
"Arms, Ammunition, And Militarystores — Australasia",export-leakage,8334,3,4,,0
Coco A — British East Indies,dupe-of-host,7858,1,1,Cocoa,100
Horns And Hoops — British East Indies,dupe-of-host,7774,1,1,Horns And Hoofs,100
"Arms, Ammunition, And Militarystores — British India",export-leakage,7058,1,1,,0
Cocoa — British East Indies,dupe-of-host,5557,4,3,Cocoa,100
Copper — Australasia,dupe-of-host,4897,1,1,Regulus And Precipitate,100
"Animals, Living — United States Of America",export-leakage,3722,2,2,,0
"Cordage, Cables, Ropes, And Twine Of Hemp, Or Like Material — Australasia",export-leakage,3137,1,2,,0
"Skins, Furs, And Pelts — East Coast Of Africa",dupe-of-host,2533,1,1,"Skins, Furs, And Pelts — Goat, Undressed",100
Fruit — .. British Possessions In South Africa,dupe-of-host,1589,3,3,Grapes — Raw,100
Seeds — British East Indies,dupe-of-host,262,1,1,"Seeds — Unenumerated, For Expressing Oil Therefrom",100
Apparel And Slops — British India,export-leakage,0,6,5,,0
Machinery And Mill Work — British India,export-leakage,0,1,1,,0
"Shells, Of All Kinds — East Coast Of Africa",recovery-candidate,0,8,8,,0
