commodity,year,kind,ratio,t1_qty,country_sum,cluster_gbp
"Oil :Train Or Blubber, And Spermaceti",1872,missing/short,0.0,18719,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1873,missing/short,0.0,17886,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1874,missing/short,0.0,17051,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1875,missing/short,0.0,19359,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1876,missing/short,0.0,16684,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1877,missing/short,0.0,19365,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1878,missing/short,0.0,20656,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1879,missing/short,0.0,20196,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1880,missing/short,0.0,15231,0,1613147
"Oil :Train Or Blubber, And Spermaceti",1881,missing/short,0.0,18030,0,1613147
"Of Europe, &Amp;C.",1872,missing/short,0.0,1431082,0,1251842
"Of Europe, &Amp;C.",1873,missing/short,0.0,1505957,0,1251842
"Of Europe, &Amp;C.",1874,missing/short,0.0,1439544,0,1251842
"Of Europe, &Amp;C.",1875,missing/short,0.0,1251842,0,1251842
"Of Europe, &Amp;C.",1876,missing/short,0.0,1757261,0,1251842
"Of Europe, &Amp;C.",1877,missing/short,0.0,1718580,0,1251842
"Of Europe, &Amp;C.",1878,missing/short,0.0,2009438,0,1251842
"Of Europe, &Amp;C.",1879,missing/short,0.0,2239991,0,1251842
"Of Europe, &Amp;C.",1880,missing/short,0.0,2502951,0,1251842
"Of Europe, &Amp;C.",1881,missing/short,0.0,2475882,0,1251842
"Beans (Other Than Kidney, Haricot, Locust Or French)",1896,missing/short,0.0,3102990,0,837417
"Beans (Other Than Kidney, Haricot, Locust Or French)",1897,missing/short,0.0,2840050,0,837417
"Beans (Other Than Kidney, Haricot, Locust Or French)",1898,missing/short,0.0,2293346,0,837417
"Beans (Other Than Kidney, Haricot, Locust Or French)",1899,missing/short,0.0,1877220,0,837417
"Lac-Dye, Seedlac, Shellac, And Sticklac",1896,missing/short,0.0,157352,0,776217
"Lac-Dye, Seedlac, Shellac, And Sticklac",1897,missing/short,0.0,177597,0,776217
"Lac-Dye, Seedlac, Shellac, And Sticklac",1898,missing/short,0.0,96678,0,776217
"Lac-Dye, Seedlac, Shellac, And Sticklac",1899,missing/short,0.0,108758,0,776217
Safflower,1874,missing/short,0.407,13791,5608,731248
Safflower,1886,missing/short,0.0,1394,0,731248
Safflower,1894,missing/short,0.0,401,0,731248
"Seed, Of All Kinds",1872,missing/short,0.0,20084,0,629654
"Seed, Of All Kinds",1873,missing/short,0.0,17593,0,629654
"Seed, Of All Kinds",1874,missing/short,0.0,17803,0,629654
"Seed, Of All Kinds",1875,missing/short,0.0,19061,0,629654
"Seed, Of All Kinds",1876,missing/short,0.0,22759,0,629654
"Seed, Of All Kinds",1877,missing/short,0.0,14827,0,629654
"Seed, Of All Kinds",1878,missing/short,0.0,12863,0,629654
"Seed, Of All Kinds",1879,missing/short,0.0,15865,0,629654
"Seed, Of All Kinds",1880,missing/short,0.0,16754,0,629654
"Seed, Of All Kinds",1881,missing/short,0.0,17102,0,629654
Strawboard Or Millboard,1896,missing/short,0.0,1208397,0,517161
Strawboard Or Millboard,1897,missing/short,0.0,1482062,0,517161
Strawboard Or Millboard,1898,missing/short,0.0,1737814,0,517161
Strawboard Or Millboard,1899,missing/short,0.0,1774880,0,517161
Cotton — Raw,1872,overcount,2.095,55637572,116578473,18471051186
Cotton — Raw,1873,overcount,2.085,44244331,92235610,18471051186
Cotton — Raw,1884,overcount,55.036,56400323,3104068540,18471051186
Cotton — Raw,1885,overcount,118.737,65913827,7826410207,18471051186
Cotton — Raw,1893,overcount,1.925,76784942,147847521,18471051186
Cotton — Raw,1895,overcount,2.108,81749955,172346509,18471051186
Cotton — Raw,1897,overcount,2.186,62740180,137148815,18471051186
Cotton — Raw,1898,overcount,1.959,75859352,148584364,18471051186
Cotton — Raw,1899,overcount,2.517,66636078,167701403,18471051186
Caoutchouc,1885,overcount,4.411,180141,794517,115550258
Nuts And Kernels — Coco-Nut,1894,overcount,5.312,299131,1589028,24006360
Nuts And Kernels — Coco-Nut,1895,overcount,9.02,285016,2570780,24006360
Nuts And Kernels — Coco-Nut,1896,overcount,9.191,219198,2014655,24006360
Nuts And Kernels — Coco-Nut,1897,overcount,8.041,242731,1951905,24006360
Nuts And Kernels — Coco-Nut,1898,overcount,6.355,307101,1951613,24006360
Nuts And Kernels — Coco-Nut,1899,overcount,2.977,458297,1364514,24006360
"Lac, Seed, Shell, Stick, And Dye",1884,overcount,2.0,112479,224958,23761989
Peas,1897,overcount,2.001,2820135,5643139,1711200
Peas,1898,overcount,2.026,2179192,4414683,1711200
