gold_commodity,year,gold_world,unit,status,best_tier1_match
Copper Unwrought,1891,41311,Tons,off (1.13x),"Unwrought, Part Wrought, and OldCopper"
Copper Unwrought and part Wrought,1876,39226,Tons,off (1.07x),"Unwrought, part Wrought, and Old Copper"
Copper Unwrought and part Wrought,1881,32218,Tons,off (1.07x),"Unwrought, part Wrought, and Old Copper"
Cordage Cables and Ropes of Hemp,1866,17369,CWTS (Hundredweights),scope (57.64x),"Hemp, Dressed and Undressed"
Cordage and Cables Coir,1866,12317,CWTS (Hundredweights),scope (12.33x),"Coir, Coir Rope, Twine, Strands and Coir Yarn"
Cordage and Cables Coir Yarn,1866,128774,CWTS (Hundredweights),off (1.18x),"Coir, Coir Rope, Twine, Strands and Coir Yarn"
Cotton Manufactures Other than Muslins,1866,452925,Pieces,off (0.87x),"Leather Manufactures: Boots, Shoes, and Boot Fronts"
Cotton Manufactures Other than Muslins,1871,293527,Pieces,off (0.87x),Preserved otherwise than by salting
Cotton Manufactures Other than Muslins,1881,967454,Pieces,off (1.15x),Manufactures of
Cotton Manufactures Other than Muslins,1886,31678758,Pieces,off (1.07x),Cotton Manufactures : Piece Goods
Cotton Manufactures Piece Goods of other Countries Muslins,1866,28472,Pieces,scope (2.33x),Of India: Silks entered by the Piece
Cotton Manufactures Piece Goods of other Countries Muslins,1871,75752,Pieces,off (0.56x),Manufactures of Hair and of Goats' Wool
Cotton Manufactures Piece Goods of other Countries Muslins,1876,1745,Pieces,scope (7.98x),Rags and other materials for making Paper Linen and Cotton Rags
Cotton Manufactures Piece Goods of other Countries Muslins,1886,2182674,Pieces,off (1.23x),Manufactures of
Cotton Manufactures Piece Goods of other Countries Muslins,1891,287247,Pieces,off (1.22x),Seeds Cotton
Cotton Rags,1866,6262,Tons,scope (3.90x),Rags and other materials for making Paper: Rags
Cotton Waste,1876,1905316,Lbs. (Pounds),off (0.92x),"Cotton "" of Europe, &amp;c."
Cotton Waste,1891,19382521,Lbs. (Pounds),off (0.92x),Cotton Raw
Cotton Yarn,1886,8125556,Lbs. (Pounds),off (1.53x),Linen Yarn
"Cotton Yarn, and Waste of",1871,1671962,Lbs. (Pounds),off (0.85x),"Cotton "" of Europe, &amp;c."
Cows,1866,17626,Number,scope (13.49x),"Oxen, Bulls, Cows, and Calves"
Cows,1871,73339,Number,scope (2.98x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Cows,1876,58520,Number,scope (4.64x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Cows,1881,31056,Number,scope (10.28x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Cows,1886,42953,Number,scope (7.44x),"Animals, Living Oxen, Bulls, Cows, and Calves"
Cows,1891,25314,Number,scope (20.04x),"Animals, Living Oxen, Bulls, Cows, and Calves."
Cubebs,1866,222931,Lbs. (Pounds),no-name-match,
Cutch,1866,2434,Tons,scope (6.28x),Cutch and Gambier
Cutch,1871,5339,Tons,scope (5.72x),Dyeing or Tanning Stuffs Cutch and Gambier
Cutch,1876,4805,Tons,scope (5.53x),Dyeing or Tanning Stuffs Cutch and Gambier
Cutch,1881,8947,Tons,scope (3.69x),Dyeing or Tanning Stuffs Cutch and Gambier
Dates,1866,37833,CWTS (Hundredweights),no-name-match,
Divi Divi,1866,4269,Tons,no-name-match,
