gold_commodity,year,gold_world,unit,status,best_tier1_match
Plums Dried or Preserved,1876,1625,CWTS (Hundredweights),scope (71.42x),"Chicory, Raw or Kiln-dried"
Plums Dried or Preserved,1886,3922,CWTS (Hundredweights),scope (28.68x),"Chicory, Raw or Kiln-dried"
Plums Dried or Preserved,1891,18641,CWTS (Hundredweights),scope (6.11x),"Chicory, Raw or Kiln-dried"
Plums French and Prunelloes,1866,6337,CWTS (Hundredweights),no-name-match,
Plums French and Prunelloes,1876,6098,CWTS (Hundredweights),no-name-match,
Plums French and Prunelloes,1881,10088,CWTS (Hundredweights),no-name-match,
Plums French and Prunelloes,1886,12523,CWTS (Hundredweights),no-name-match,
Plums French and Prunelloes,1891,21583,CWTS (Hundredweights),no-name-match,
Pork Fresh,1866,26734,CWTS (Hundredweights),scope (5.68x),"Meat, Salted or Fresh, not otherwise described"
Pork Fresh,1871,30618,CWTS (Hundredweights),off (1.38x),"Meat, Salted or Fresh"
Pork Fresh,1876,26539,CWTS (Hundredweights),scope (3.49x),"Meat, Salted or Fresh"
Pork Fresh,1881,30269,CWTS (Hundredweights),scope (5.89x),Meat : Salted or Fresh
Pork Fresh,1886,81005,CWTS (Hundredweights),off (0.51x),"Meat : Unenumerated, Salted or Fresh"
Pork Fresh,1891,127518,CWTS (Hundredweights),off (0.89x),"Meat, Unenumerated ; Salted or Fresh"
Pork Salted,1871,266526,CWTS (Hundredweights),off (1.11x),"Pork, Salted and Fresh"
Pork Salted not Hams,1866,178548,CWTS (Hundredweights),off (1.15x),Pork
Pork Salted not Hams,1876,352068,CWTS (Hundredweights),off (1.08x),"Pork, Salted and Fresh"
Pork Salted not Hams,1881,351257,CWTS (Hundredweights),off (1.09x),"Pork, Salted and Fresh"
Pork Salted not Hams,1886,290691,CWTS (Hundredweights),off (1.28x),"Pork, Salted and Fresh"
Pork Salted not Hams,1891,226798,CWTS (Hundredweights),off (1.56x),"Pork, Salted and Fresh"
Precious Stones Diamonds,1896,3527810,Carats,scope (0.19x),"Stones, Slabs, and Marble, rough hewn, or manufactured (other than Works of Art)"
Prints Engravings and Photographs,1866,1689078,Number,no-name-match,
Prints Engravings and Photographs,1886,36317438,Number,no-name-match,
Prints and Engravings,1871,5839822,Number,no-name-match,
Prints and Engravings,1876,5654377,Number,no-name-match,
Prints and Engravings,1881,9530229,Number,no-name-match,
Prunes,1866,7636,CWTS (Hundredweights),no-name-match,
Prunes,1871,27411,CWTS (Hundredweights),no-name-match,
Prunes,1876,17405,CWTS (Hundredweights),no-name-match,
Prunes,1881,12364,CWTS (Hundredweights),no-name-match,
Prunes,1886,21124,CWTS (Hundredweights),no-name-match,
Prunes,1891,23406,CWTS (Hundredweights),no-name-match,
Pulp and Rags and Wood for making Paper,1871,9946,Tons,off (0.52x),Paper Hangings
Pulp of Rags and Wood,1876,16627,Tons,off (0.84x),Rags and other materials for making Paper Linen and Cotton Rags
Quills Goose and Swan,1866,18849701,Number,no-name-match,
Quinine Sulphate of,1866,231029,Ounces,no-name-match,
Rags Woollen applicable to other uses than Manure torn up or not,1866,5599,Tons,off (1.10x),Woollen
Rice Rough and in the Husk,1866,43583,Qrs. (Quarters),scope (51.99x),"Rice, not in the Husk"
Rice Rough and in the Husk,1871,66380,Qrs. (Quarters),scope (69.09x),"Rice, not in the Husk"
Rye,1866,368392,CWTS (Hundredweights),no-name-match,
Rye,1876,132366,CWTS (Hundredweights),no-name-match,
Rye,1881,169213,CWTS (Hundredweights),no-name-match,
Rye,1886,296941,CWTS (Hundredweights),no-name-match,
Rye,1891,466284,CWTS (Hundredweights),no-name-match,
Rye meal,1866,1788,CWTS (Hundredweights),scope (45.21x),Other kinds of Meal and Flour
Rye meal,1876,17115,CWTS (Hundredweights),scope (13.14x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Rye meal,1881,7732,CWTS (Hundredweights),scope (30.96x),"Corn, Grain, and Meal Other kinds of Meal and Flour"
Saffron,1866,10193,Lbs. (Pounds),no-name-match,
Salt,1866,9154,Tons,no-name-match,
Salt,1871,19698,Tons,no-name-match,
Salt,1876,10120,Tons,scope (25.75x),Salt petre - - - - - - -
Salt,1881,10303,Tons,no-name-match,
Sardines Cured or Salted,1891,125618,CWTS (Hundredweights),off (0.90x),"Meat, Unenumerated ; Salted or Fresh"
Sarsaparilla,1866,293779,Lbs. (Pounds),no-name-match,
Sauces or Condiments Unenumerated,1871,840348,Lbs. (Pounds),no-name-match,
Sauces or Condiments Unenumerated,1876,1742235,Lbs. (Pounds),no-name-match,
Sauces or Condiments Unenumerated,1881,1371153,Lbs. (Pounds),no-name-match,
Sauces or Condiments Unenumerated,1886,2851875,Lbs. (Pounds),no-name-match,
Sauces or Condiments Unenumerated,1891,5812792,Lbs. (Pounds),no-name-match,
Scammony,1866,78381,Lbs. (Pounds),no-name-match,
Seeds Beans Kidney or French,1866,16019,Bushels,no-name-match,
Seeds Carraway,1866,13793,CWTS (Hundredweights),no-name-match,
Seeds Garden unenumerated,1866,178199,Lbs. (Pounds),no-name-match,
Seeds Garden unenumerated,1876,889718,Lbs. (Pounds),off (0.64x),Seeds Of other Sorts
Seeds Garden unenumerated,1881,1483694,Lbs. (Pounds),off (1.23x),Seeds Flax and Linseed
Seeds Garden unenumerated,1886,1314186,Lbs. (Pounds),off (1.58x),Seeds Flax and Linseed
Seeds Garden unenumerated,1891,2359054,Lbs. (Pounds),off (0.93x),Seeds Flax and Linseed
Seeds Unenumerated Other Sorts,1876,947552,CWTS (Hundredweights),off (0.60x),Seeds Of other Sorts
Seeds Unenumerated Other Sorts,1881,542122,CWTS (Hundredweights),off (0.76x),Seeds Of other Sorts
Seeds Unenumerated Other Sorts,1886,561570,CWTS (Hundredweights),off (0.67x),Seeds Tares and Lentils
Seeds Unenumerated Other Sorts,1891,987195,CWTS (Hundredweights),off (0.92x),Seeds Tares and Lentils
Senna,1866,958727,Lbs. (Pounds),no-name-match,
Sheep and Lamb Skins,1876,7598967,Number,off (1.06x),Skins and Furs Goat
Shell fish all sorts,1891,488731,CWTS (Hundredweights),scope (0.22x),"Lac, Seed, Shell, Stick, and Dye"
Shumach,1896,15172,Tons,no-name-match,
Silk Knobs or Husks and Waste,1866,25417,CWTS (Hundredweights),scope (32.96x),All other Silk Goods
Silk Manufactures China Crape Shawls Scarfs Handkerchiefs etc,1866,24627,Lbs. (Pounds),off (0.74x),China and Porcelain Ware
Silk Manufactures Corabs Choppas Bandannoes etc,1866,57816,Pieces,off (1.45x),Manufactures of India and China
Silk Manufactures Gauze or Crape,1866,26657,Lbs. (Pounds),scope (3.15x),Manufactures of India and China
Silk Manufactures Millinery Bonnets and all Head Dresses,1866,1399,Number,scope (60.04x),Manufactures of India and China
Silk Manufactures Millinery Dresses,1866,3552,Number,scope (23.65x),Manufactures of India and China
Silk Manufactures Parasols and Umbrellas,1866,45118,Number,off (1.86x),Manufactures of India and China
Silk Manufactures Plush used for making Hats,1866,57946,Lbs. (Pounds),off (1.45x),Manufactures of India and China
Silk Manufactures Pongees and Pongee Handkerchiefs,1866,8594,Pieces,scope (9.77x),Manufactures of India and China
Silk Manufactures Ribbons,1866,958752,Lbs. (Pounds),off (0.87x),All other Silk Goods
Silk Manufactures Striped Figured or Brocaded,1866,108921,Lbs. (Pounds),off (0.77x),Manufactures of India and China
Silk Manufactures Velvet plain or figured,1866,270136,Lbs. (Pounds),off (0.73x),Linen Manufactures
Silk Manufactures Velvet without Silk Foundation,1866,1455,Lbs. (Pounds),scope (57.73x),Manufactures of India and China
Silk Raw,1866,5453864,Lbs. (Pounds),off (1.52x),Silk: Raw and Waste
Silk Thrown Dyed Organzine or Crape,1866,41760,Lbs. (Pounds),off (1.59x),Thrown
Silk Thrown Dyed Singles or Tram,1866,3505,Lbs. (Pounds),scope (18.96x),Thrown
Silk Thrown not Dyed Organzine or Crape,1866,12811,Lbs. (Pounds),scope (5.19x),Thrown
Silk Thrown not Dyed Singles,1866,7306,Lbs. (Pounds),scope (9.10x),Thrown
Silk Thrown not Dyed Tram,1866,1468,Lbs. (Pounds),scope (45.27x),Thrown
Silvered Glass or Mirrors,1866,2211,CWTS (Hundredweights),scope (175.90x),"Glass of all Kinds (except Bottles of Green or Common } (Glass) - """
Skins - Furs - Pelts Bear,1866,9770,Number,scope (10.88x),All other Skins and Furs
Skins Furs Pelts Deer Tanned Tawed or Dressed,1866,11379,Number,scope (9.34x),All other Skins and Furs
Skins Furs Pelts Ermine,1866,342290,Number,off (0.56x),Furs: Beaver
Skins Furs Pelts Fitch,1866,46541,Number,scope (2.28x),All other Skins and Furs
Skins Furs Pelts Fox Silver,1866,1584,Number,scope (3.47x),Silver Ore
Skins Furs Pelts Furs Unenumerated,1871,4518517,Number,off (1.13x),Skins and Furs Goat
Skins Furs Pelts Furs Unenumerated,1876,7574936,Number,off (1.06x),Skins and Furs Goat
Skins Furs Pelts Furs Unenumerated,1881,21310488,Number,off (0.62x),Skins and Furs Skins: Sheep and Lamb
Skins Furs Pelts Goat Tanned Tawed or Dressed,1871,4035978,Number,off (1.26x),Skins and Furs Goat
Skins Furs Pelts Goat Tanned Tawed or Dressed,1881,8983237,Number,off (1.25x),Skins and Furs Goat
Skins Furs Pelts Goat undressed,1866,941080,Number,off (1.06x),"Hemp, Dressed and Undressed"
Skins Furs Pelts Goat undressed,1871,1057712,Number,off (1.23x),"Hemp, Dressed and Undressed"
Skins Furs Pelts Kid Tanned Tawed or Dressed,1866,266285,Number,off (1.14x),Kid
Skins Furs Pelts Kid Undressed,1866,37016,Number,scope (2.87x),All other Skins and Furs
Skins Furs Pelts Lamb Tanned Tawed or Dressed,1866,69274,Number,off (1.53x),All other Skins and Furs
Skins Furs Pelts Lamb Undressed,1866,1209616,Number,off (0.83x),"Hemp, Dressed and Undressed"
Skins Furs Pelts Lynx,1866,40849,Number,scope (2.60x),All other Skins and Furs
Skins Furs Pelts Musquash,1866,2118663,Number,scope (2.89x),Skins and Furs:Skins: Sheep and Lamb
Skins Furs Pelts Nutria,1866,47766,Number,scope (2.23x),All other Skins and Furs
Skins Furs Pelts Otter Sea,1866,1528,Number,scope (7.84x),"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morse"
Skins Furs Pelts Otter common,1866,18089,Number,scope (5.88x),All other Skins and Furs
Skins Furs Pelts Rabbit,1866,841934,Number,scope (0.23x),Furs: Beaver
Skins Furs Pelts Sable,1866,3929,Number,scope (27.06x),All other Skins and Furs
Skins Furs Pelts Sheep Tanned Tawed or Dressed,1866,1761865,Number,off (0.88x),"Flax, Dressed and Undressed"
Skins Furs Pelts Sheep Tanned Tawed or Dressed,1871,2156979,Number,off (1.20x),"Flax, Dressed and Undressed"
Skins Furs Pelts Sheep Undressed,1866,3091352,Number,off (1.98x),Skins and Furs:Skins: Sheep and Lamb
Skins Furs Pelts Sheep Undressed,1871,8460328,Number,off (1.25x),Skins and Furs Skins : Sheep and Lamb
Skins Furs Pelts Squirrel or Calabar,1866,474424,Number,scope (0.40x),Furs: Beaver
Skins Furs Pelts Unenumerated Dressed not Leather,1886,44437,Number,off (1.87x),Skins and Furs All other Sorts
Skins Furs Pelts Unenumerated Dressed not Leather,1891,37237,Number,off (1.75x),Skins and Furs All other Sorts
Skins Furs Pelts Unenumerated Other Sorts Tanned Tawed or Dressed,1881,172193,Number,scope (0.49x),Skins and Furs All other Sorts
Skins Furs Pelts Unenumerated Other Sorts Undressed,1881,422340,Number,off (1.66x),Skins and Furs Seal
Skins Furs Pelts Unenumerated Other Sorts Undressed,1891,422617,Number,off (1.09x),"All other Sorts, Undressed and Dressed }(not Leather)"
Skins Furs Pelts Unenumerated not being Furs Dressed and Undressed,1876,1589640,Number,off (0.88x),"Flax, Dressed and Undressed, and Tow"
Skins Furs and Pelts Deer Undressed,1866,24418,Number,scope (4.35x),All other Skins and Furs
Skins Furs and Pelts Fisher,1866,5919,Number,scope (17.96x),All other Skins and Furs
Skins Furs and Pelts Goat and Kid Tanned Tawed or Dressed,1876,6732726,Number,off (1.20x),Skins and Furs Goat
Skins Furs and Pelts Goat and Kid Undressed,1876,1318386,Number,off (1.07x),"Flax, Dressed and Undressed, and Tow"
Skins Furs and Pelts Sheep and Lamb Tanned Tawed or Dressed,1876,5566381,Number,off (1.45x),Skins and Furs Goat
Smalts,1866,1022,CWTS (Hundredweights),no-name-match,
Soap Transparent in the manufacture of which Spirit has been used,1881,126863,Lbs. (Pounds),no-name-match,
Soap Transparent in the manufacture of which Spirit has been used,1886,57594,Lbs. (Pounds),no-name-match,
Soap Transparent in the manufacture of which Spirit has been used,1891,21630,Lbs. (Pounds),no-name-match,
Spermaceiti or Head Matter (Whale Oils),1866,2121,Tuns (whale oil),no-name-match,
Spermaceiti or Head Matter (Whale Oils),1876,3218,Tuns (whale oil),no-name-match,
Spermaceiti or Head Matter (Whale Oils),1886,1268,Tuns (whale oil),no-name-match,
Spices Cassia Lignea,1866,233567,Lbs. (Pounds),off (1.41x),Cassia Lignea and Cassia Vera
Spices Cassia Vera,1866,115782,Lbs. (Pounds),scope (2.84x),Cassia Lignea and Cassia Vera
Spices Unenumerated,1896,10720928,Lbs. (Pounds),scope (0.12x),"Spices, Cinnamon"
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,1866,30217,Gallons,off (1.08x),Cochineal (including Granilla and Dust)
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,1871,31708,Gallons,scope (2.26x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,1876,42357,Gallons,scope (3.10x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Sweetened or Mixed Tested,1881,62766,Proof Gallons,off (1.79x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Sweetened or Mixed Tested,1886,52608,Proof Gallons,scope (2.17x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Sweetened or Mixed Tested,1891,68647,Proof Gallons,off (1.91x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Unenumerated,1896,83920,Proof Gallons,scope (0.31x),Spirits Fenitiation Rum
Spirits Unenumerated including Shrub,1871,39836,Gallons,off (1.80x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Unenumerated including Shrub,1876,88928,Gallons,off (1.48x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Unenumerated not tested,1881,3418,Gallons,scope (32.89x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Unenumerated not tested,1886,18639,Gallons,scope (6.13x),"Spirits Sweetened and Perfumed, of all kinds"
Spirits Unenumerated not tested,1891,15654,Gallons,scope (8.36x),"Spirits Sweetened and Perfumed, of all kinds"
Sponge,1886,1371007,Lbs. (Pounds),no-name-match,
Sponge,1891,1334442,Lbs. (Pounds),no-name-match,
Stallions,1891,1168,Number,no-name-match,
Stearine,1866,6587,CWTS (Hundredweights),scope (9.57x),"Candles, Stearine"
Stones Emery Stones,1866,36908,CWTS (Hundredweights),no-name-match,
Stones Marble,1866,9731,Tons,no-name-match,
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,1871,58657,Tons,scope (7.51x),"Iron and Steel, Wrought or Manufactured - Cuts."
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,1876,315361,Tons,scope (4.41x),"Iron and Steel, Wrought or Manufactured"
Stones Marble Slate and other Sorts of Stone Rough Hewn or Manufactured,1881,301471,Tons,scope (6.21x),Wood and Timber Hewn
Stones Sawn or otherwise Manufactured,1866,60509,CWTS (Hundredweights),scope (2.51x),"Meat, Salted or Fresh, not otherwise described"
Straw For Agricultural purposes,1891,19556,Tons,scope (0.49x),Bones for Manufacturing Purposes
Straw Platting for Hats,1866,220823,Lbs. (Pounds),off (0.95x),Hats and Bonnets of Felt
Succades and Confectionery including Fruits and Vegetables except Plums preserved in Sugar,1871,30809,CWTS (Hundredweights),off (0.72x),Sugar Glucose (Liquid)
Succades including all Fruits and Vegetables preserved in Sugar,1876,27261,CWTS (Hundredweights),scope (7.31x),Vegetables unenumerated
Succades including all Fruits and Vegetables preserved in Sugar,1881,39087,CWTS (Hundredweights),scope (7.32x),Sugar Molasses
Succades including all Fruits and Vegetables preserved in Sugar,1886,70667,CWTS (Hundredweights),scope (6.09x),Sugar Molasses
Succades including all Fruits and Vegetables preserved in Sugar,1891,120752,CWTS (Hundredweights),scope (3.68x),"Milk, Condensed or Preserved"
Sugar Cane Juice,1866,1934,CWTS (Hundredweights),scope (11.51x),Liquorice Juice and Paste
Sugar Refined In Lumps and Loaves,1886,1715679,CWTS (Hundredweights),scope (0.29x),Sugar Glucose
Sugar Refined In Lumps and Loaves,1891,2087273,CWTS (Hundredweights),scope (0.34x),Sugar Glucose
Sugar Refined and Sugar Candy,1886,4656371,CWTS (Hundredweights),off (1.37x),Sugar Refined and Candy
Sugar Refined and Sugar Candy,1891,9244848,CWTS (Hundredweights),off (1.23x),Sugar Refined and Candy
Sugar Unrefined Beetroot,1891,9103514,CWTS (Hundredweights),off (1.24x),Sugar Refined and Candy
Sugar Unrefined Brown Muscovado,1866,3810336,CWTS (Hundredweights),scope (0.17x),Sugar:Refined and Candy
Sugar Unrefined Cane and Other Sorts,1886,9461866,CWTS (Hundredweights),off (0.67x),Sugar Refined and Candy
Sugar Unrefined Cane and Other Sorts,1891,7098944,CWTS (Hundredweights),off (1.60x),Sugar Refined and Candy
Sugar Unrefined Not equal to Brown Muscovado,1866,3113857,CWTS (Hundredweights),scope (0.21x),Sugar:Refined and Candy
Sugar Unrefined Total,1866,10639085,CWTS (Hundredweights),scope (0.06x),Sugar:Refined and Candy
Sugar Unrefined White Clayed,1866,92318,CWTS (Hundredweights),scope (7.15x),Sugar:Refined and Candy
Sugar Unrefined Yellow Muscovado,1866,3622574,CWTS (Hundredweights),scope (0.18x),Sugar:Refined and Candy
Swine and Hogs,1866,73873,Number,no-name-match,
Swine and Hogs,1871,85562,Number,no-name-match,
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1871,5584,None,no-name-match,
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1876,3635,None,no-name-match,
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1881,4737,None,no-name-match,
Swords Cutlasses Matchets Bayonets,1886,2364,CWTS (Hundredweights),no-name-match,
Tamarinds,1866,1095341,Lbs. (Pounds),no-name-match,
Tapioca,1866,17840,CWTS (Hundredweights),no-name-match,
Tar,1866,218297,Barrels,scope (0.32x),Pitch and Tar: Pitch
Tin Ore,1891,2332,Tons,scope (43.50x),"Manganese, Ore of"
Tobacco Manufactured Cavendish or Negrohead,1866,1630215,Lbs. (Pounds),off (1.95x),"Manufactured, Cigars and Snuff"
Tobacco Manufactured Cavendish or Negrohead,1871,2498208,Lbs. (Pounds),off (1.54x),Tobacco Manufactured Cigars and Snuff
Tobacco Manufactured Cavendish or Negrohead,1876,2065963,Lbs. (Pounds),off (0.67x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Cavendish or Negrohead,1881,1295555,Lbs. (Pounds),scope (2.38x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Cavendish or Negrohead,1886,1333071,Lbs. (Pounds),scope (2.68x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Cavendish or Negrohead,1891,917033,Lbs. (Pounds),scope (0.47x),"Stones, Marble, hewn or manufactured"
Tobacco Manufactured Cigars,1866,1199923,Lbs. (Pounds),scope (2.64x),"Manufactured, Cigars and Snuff"
Tobacco Manufactured Cigars,1871,1086228,Lbs. (Pounds),scope (0.41x),"Iron and Steel, Wrought or Manufactured - Cuts."
Tobacco Manufactured Cigars,1876,1680592,Lbs. (Pounds),off (0.83x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Cigars,1881,1600418,Lbs. (Pounds),off (1.93x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Cigars,1886,1921734,Lbs. (Pounds),off (1.86x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Cigars,1891,2238674,Lbs. (Pounds),off (1.56x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Other Sorts,1866,339709,Lbs. (Pounds),off (0.82x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Other Sorts,1871,253888,Lbs. (Pounds),off (1.74x),"Iron and Steel, Wrought or Manufactured - Cuts."
Tobacco Manufactured Other Sorts,1876,69103,Lbs. (Pounds),scope (20.12x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Other Sorts,1881,187407,Lbs. (Pounds),scope (16.46x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Other Sorts,1886,309366,Lbs. (Pounds),scope (11.53x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Other Sorts,1891,337392,Lbs. (Pounds),off (1.27x),"Stones, Marble, hewn or manufactured"
Tobacco Manufactured Snuff,1866,2059,Lbs. (Pounds),scope (134.47x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Snuff,1871,13913,Lbs. (Pounds),scope (31.67x),"Iron and Steel, Wrought or Manufactured - Cuts."
Tobacco Manufactured Snuff,1876,3024,Lbs. (Pounds),scope (459.73x),"Iron and Steel, Wrought or Manufactured"
Tobacco Manufactured Snuff,1881,1210,Lbs. (Pounds),scope (2549.25x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Snuff,1886,2718,Lbs. (Pounds),scope (1312.32x),"Tobacco Manufactured, Cigars and Snuff"
Tobacco Manufactured Snuff,1891,4309,Lbs. (Pounds),scope (99.34x),"Stones, Marble, hewn or manufactured"
Tobacco Unmanufactured Stemmed or Stripped,1866,19778432,Lbs. (Pounds),scope (2.75x),Tobacco:Raw
Tobacco Unmanufactured Unstemmed,1866,34596365,Lbs. (Pounds),off (1.57x),Tobacco:Raw
Tortoise Shell,1866,59241,Lbs. (Pounds),no-name-match,
Train Blubber and Spermaceti (Whale Oils),1871,5388,Tuns (whale oil),scope (4.02x),"Oil :Train or Blubber, and Spermaceti"
Train Blubber and Spermaceti (Whale Oils),1881,2127,Tuns (whale oil),scope (8.48x),"Train or Blubber, and Spermaceti"
Train or Blubber (Whale Oils),1866,10795,Tuns (whale oil),off (1.28x),"Train, Spermaceti, and Blubber (including Cod Liver Oil)"
Train or Blubber (Whale Oils),1871,19291,Tuns (whale oil),off (1.12x),"Oil :Train or Blubber, and Spermaceti"
Train or Blubber (Whale Oils),1876,13466,Tuns (whale oil),off (1.24x),"Train or Blubber, and Spermaceti"
Train or Blubber (Whale Oils),1881,15903,Tuns (whale oil),off (1.13x),"Train or Blubber, and Spermaceti"
Train or Blubber (Whale Oils),1886,14566,Tuns (whale oil),off (1.09x),"Oil :Train or Blubber, and Sperm"
Trefoil Seeds,1866,15638,CWTS (Hundredweights),no-name-match,
Turpentine,1866,72146,CWTS (Hundredweights),off (1.64x),Turpentine
Turpentine,1871,6650,CWTS (Hundredweights),scope (26.86x),Turpentine
Turpentine,1876,9176,CWTS (Hundredweights),scope (25.72x),Turpentine
Turtle Shell,1866,10712,Lbs. (Pounds),no-name-match,
Vegetable Ivory,1886,57426,CWTS (Hundredweights),scope (0.16x),"Ivory : Teeth, Elephants', Sea Cow, and Sea Horse"
Vegetable Ivory,1891,24669,CWTS (Hundredweights),scope (0.44x),"Ivory : Teeth, Elephants', Sea Cow, and Sea Horse"
Vegetable Substances applicable to the same uses as Hemp or Flax,1876,33967,CWTS (Hundredweights),off (0.85x),"Rags and other materials for making Paper Woollen, applicable to other uses than Manure"
Vegetable Substances applicable to the same uses as Hemp or Flax,1881,25037,CWTS (Hundredweights),off (1.41x),"Rags, Woollen, applicable to other uses than Manure"
Vegetable Substances applicable to the same uses as Hemp or Flax,1886,82624,CWTS (Hundredweights),scope (0.37x),"Rags, Woollen, applicable to other uses than Manure"
Vegetable Substances applicable to the same uses as Hemp or Flax,1891,60000,CWTS (Hundredweights),off (1.40x),"Flax, Dressed and Undressed, and Tow"
Veneers,1866,5725,CWTS (Hundredweights),no-name-match,
Vinegar,1866,51749,Gallons,no-name-match,
Vinegar,1871,56096,Gallons,no-name-match,
Vinegar,1876,102528,Gallons,no-name-match,
Vinegar,1881,86542,Gallons,no-name-match,
Vinegar,1886,170697,Gallons,no-name-match,
Vinegar,1891,178011,Gallons,no-name-match,
Walnuts,1866,129175,Bushels,no-name-match,
Watches Gold,1866,31417,Number,scope (5.44x),"Watches - { Watches - """
Watches Silver or any Metal not Gold,1866,139596,Number,off (1.23x),"Watches - { Watches - """
Wax Bees Unbleached,1866,10631,CWTS (Hundredweights),off (1.08x),"Wax, Bees'"
Whale Fins,1871,2853,Tons,no-name-match,
Whale Fins,1876,1799,Tons,no-name-match,
Whale Fins,1881,2103,Tons,no-name-match,
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1866,272392,CWTS (Hundredweights),off (1.27x),Madder and Madder Root (including Munjeet)
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1871,120294,CWTS (Hundredweights),off (1.45x),Poultry and Game (including Rabbits)
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1876,614326,CWTS (Hundredweights),off (1.73x),Glass of all Kinds
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1881,658109,CWTS (Hundredweights),off (0.70x),Poultry and Game (including Rabbits)
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1886,728071,CWTS (Hundredweights),off (0.63x),"Of other sorts (including ""Nuts, for Fruit"")"
"Window Glass (not being Plate Glass), and German Sheet Glass, including Shades and Cylinders",1891,855332,CWTS (Hundredweights),off (0.78x),"Of other sorts (including ""Nuts, for Fruit"")"
Wine Red,1866,7290679,Gallons,scope (2.10x),Wine
Wine Red,1871,8177492,Gallons,scope (2.23x),Wine
Wine Red,1876,10853551,Gallons,off (1.84x),Wine
Wine Red,1881,9528911,Gallons,off (1.71x),Wine
Wine Red,1886,8957440,Gallons,off (1.62x),Wine
Wine Red Total of,1896,11638415,Gallons,off (0.95x),Red
Wine Red in Bottles Sparkling Burgundy,1891,10586,Gallons,scope (1585.36x),Wine - - - - -
Wine Red in Bottles Sparkling Other Sorts,1891,4278,Gallons,scope (3923.01x),Wine - - - - -
Wine Red in Bottles Sparkling Other Sorts,1896,3125,Gallons,scope (2.50x),„ Imported in Bottles „ Other Sorts
Wine Red in Bottles Still,1891,555998,Gallons,scope (30.18x),Wine - - - - -
Wine Red in Bottles Still,1896,603470,Gallons,off (1.41x),.. Bottles
Wine Red in Casks,1891,10942872,Gallons,off (1.53x),Wine - - - - -
Wine White,1866,8030350,Gallons,off (1.91x),Wine
Wine White,1871,10047408,Gallons,off (1.81x),Wine
Wine White,1876,9097172,Gallons,scope (2.19x),Wine
Wine White,1881,6768122,Gallons,scope (2.41x),Wine
Wine White,1886,5595424,Gallons,scope (2.60x),Wine
Wine White,1896,5057145,Gallons,off (0.56x),White
Wine White in Bottles Sparkling Burgundy,1891,1224,Gallons,scope (13711.30x),Wine - - - - -
Wine White in Bottles Sparkling Burgundy,1896,1663,Gallons,off (0.94x),"Beer and Ale :Mun, Spruce or Black }Beer, Berlin White Beer, }and other similar pre- }parations"
Wine White in Bottles Sparkling Moselle,1896,40233,Gallons,off (1.08x),"Beer, Berlin White Beer, and other similar preparations"
Wine White in Bottles Sparkling Other Sorts,1891,7162,Gallons,scope (2343.29x),Wine - - - - -
Wine White in Bottles Sparkling Other Sorts,1896,2697,Gallons,off (0.58x),"Beer and Ale :Mun, Spruce or Black }Beer, Berlin White Beer, }and other similar pre- }parations"
Wine White in Bottles Sparkling Samur,1896,137855,Gallons,off (1.15x),„ Imported in Bottles „ Stumm
