check,metric,commodity,gbp
NOUNIT,2680207,Silk Manufactures — Broad Stuffs Of Silk Or Satin,2680207
NOUNIT,2344494,"Skins And Furs — Foreign, Dressed In The United Kingdom",2344494
NOUNIT,2318466,Cotton Manufactures — To United States Of America,2318466
NOUNIT,2286259,Tobacco — Red : Total Of,2286259
NOUNIT,2237972,Cotton Manufactures — Thread For Sewing,2237972
NOUNIT,2183141,Copper — Unenumerated,2183141
NOUNIT,2056425,Shells Of All Kinds — Dressed,2056425
NOUNIT,1877237,Caoutchouc — West Coast Of Africa,1877237
NOUNIT,1863437,"Woollen And Worsted Manufactures — Coatings, Duffels, &C. Of Wool Mixed With Other Materials",1863437
NOUNIT,1856222,Land,1856222
NOUNIT,1786051,"Quicksilver — Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",1786051
NOUNIT,1753971,Silk Manufactures — Broad Stuffs,1753971
NOUNIT,1721942,"Hides — Not Tanned, &C., Wet",1721942
NOUNIT,1704488,Oil — West Coast Of Africa (Foreign),1704488
NOUNIT,1567972,"Animals, Living — British North America",1567972
NOUNIT,1511924,Woollen Yarn — From British North America,1511924
NOUNIT,1450651,"Silk — Thrown, Twist Or Yarn",1450651
NOUNIT,1433700,Cocoa — West Coast Of Africa,1433700
NOUNIT,1406888,"Grease, Tallow And Animal Fat",1406888
NOUNIT,1341405,"Wool — Other Sorts, Including Foreign, Dressed In The United Kingdom, And Flocks And Ragwool",1341405
NOUNIT,1314086,"Hardwares And Cutlery, Un-Enumerated",1314086
NOUNIT,1222970,"Provisions, Unenumerated — Rags (Except Woollen) And Other Materials For Making Paper",1222970
NOUNIT,1175947,Woollen And Worsted Manufactures — Sorts Unenumerated,1175947
NOUNIT,1164776,"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Phials Of Flint Glass)",1164776
NOUNIT,1123063,"Glass — Grease, Not Otherwise Described",1123063
NOUNIT,1008130,"Arms, Ammunition, And Military Stores",1008130
NOUNIT,998593,"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",998593
NOUNIT,995182,"Soap — Spirits, British And Irish",995182
NOUNIT,991329,"Painters' Colours And Pigments, Unenumerated",991329
NOUNIT,968670,"Carriages, Carts, &C — Railway Waggons, Trucks, &C. (Not Of Iron)For Ballast, Minerals, Or Merchandize",968670
NOUNIT,962654,Iron — Leather Manufacturers,962654
NOUNIT,916008,"Petroleum, Lubricating",916008
NOUNIT,903752,Stones And Slates — Slate By Tale,903752
NOUNIT,902765,"Cotton — Piece Goods Of Other Countries, Other Than Muslins",902765
NOUNIT,864140,"Arms, Ammunition, And Military Stores — Fowling Pieces",864140
NOUNIT,860563,"Cordage, Cables, And Ropes Of Hemp Or Like Material",860563
NOUNIT,798911,"Copper — Unwrought, In Ingots, Cakes, Or Slabs",798911
NOUNIT,782682,Nuts And Kernels — Whale Fisheries,782682
NOUNIT,765700,Linen And Jute Manufactures — Sail Cloth And Sails,765700
NOUNIT,750112,Linen Manufactures — Thread For Sewing,750112
NOUNIT,739552,"Skins, Furs, And Pelts — Tanned, Tawed, Or Dressed",739552
NOUNIT,694074,Machinery And Mill Work — Not Being Steam Engines: Sewing Machines,694074
NOUNIT,666805,Cotton — Piece Goods Other Than Muslins,666805
NOUNIT,659303,"Stones And Slates — Grindstones, Millstones, And Other Sorts Of Stones",659303
NOUNIT,658402,"Ore, Unenumerated — Pulp Of Wood—Mechanical",658402
NOUNIT,652665,"Skins, Furs, And Pelts — Manufactures Of Skins And Furs",652665
NOUNIT,645623,Woollen And Worsted Manufactures — United States,645623
NOUNIT,639975,"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Other Manufactures Of Flint Glass)",639975
NOUNIT,613492,Leather Manufactures — Unenumerated,613492
NOUNIT,613295,"Painters' Colours And Materials — Writing Or Printing, And Envelopes",613295
NOUNIT,588776,Woollen And Worsted Manufactures — Blankets,588776
NOUNIT,574224,Wood And Timber — Fir : Unenumerated,574224
NOUNIT,559969,"Cordage, Twine, And Cable Yarn",559969
NOUNIT,555907,Oil — Pulp Of Wood—Mechanical,555907
NOUNIT,555388,Spirits — Succades And Confectionery (Including Fruits Andvegetables Preserved In Sugar),555388
NOUNIT,545580,"Stationery, Other Than Paper — Stones, Marble, And Slate; Rough,Hewn Or Manufactured; Other Thanworks Of Art",545580
NOUNIT,533773,"Linen And Jute Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",533773
NOUNIT,531497,Chemical Manufactures And Pro-Ducts,531497
NOUNIT,518420,Flax And Hemp — To United States Of America,518420
NOUNIT,514730,"Paper — Unenumerated, And Articles Of Paper (Except Papier Mâché)",514730
NOUNIT,507377,Salt (Rock And White),507377
NOUNIT,489730,Linen And Jute Yarn — Jute Yarn,489730
NOUNIT,488512,Gum — From British India,488512
NOUNIT,466063,"Prints, Engravings, Drawings, &C — Rags (Except Woollen) And Othermaterials For Making Paper",466063
NOUNIT,453974,Cotton Manufactures — Stockings And Socks,453974
NOUNIT,447072,"Arms, Ammunition, And Military Stores — Shot Of Iron, Including Shells",447072
NOUNIT,428458,"Cordage, Cables, Ropes, And Twine Of Hemp Or Like Material",428458
NOUNIT,421917,"Sugar — Molasses, Treacle, And Syrup",421917
NOUNIT,405291,Coffee — Raw · British East Indies,405291
NOUNIT,395503,"Carriages, Carts, &C — Railway Carriages For Passengers",395503
NOUNIT,394889,"Lead — Rolled And Sheet, Piping And Tubing",394889
NOUNIT,385126,Gil — Seed,385126
NOUNIT,379833,Painters' Colours And Pigments,379833
NOUNIT,379171,Saddlery And Harness — Salt (Rock And White),379171
NOUNIT,376537,"Skins And Furs — British: Sheep And Lambs', Undressed, Without The Wool",376537
NOUNIT,374660,"Fish, Fresh And Cured — Salmon",374660
NOUNIT,372895,"Arms, Ammunition, And Military Stores — Muskets",372895
NOUNIT,371455,"Cotton — Hosiery, Of All Sorts",371455
NOUNIT,352674,"Matches, Safety And Other Sorts — Safety",352674
NOUNIT,351211,"Iron — Bars, Unwrought",351211
NOUNIT,341176,"Flowers, Artificial",341176
NOUNIT,337959,"Plants, Shrubs, Trees, And Flower Roots",337959
NOUNIT,324742,Fruit — Unenumerated : Preserved Without Sugar,324742
NOUNIT,322156,Stones And Slates — Slate By Sale,322156
NOUNIT,316644,"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",316644
NOUNIT,294156,"Plate, Gold — Silver",294156
NOUNIT,292216,"Tar — West Coast Of Africa, Foreign",292216
NOUNIT,290726,"Arms, Ammunition, And Military Stores — Muskets, Rifles And Fowling Pieces",290726
NOUNIT,277450,Lace,277450
NOUNIT,274778,"Leather — Wrought, Other Articles, Unenumerated",274778
NOUNIT,272720,"Provisions, Unenumerated — Raos (Except Woollen) And Other Materials For Making Paper",272720
NOUNIT,266740,Musical Instruments,266740
NOUNIT,264525,"Vegetables, Raw, Unenumerated",264525
NOUNIT,257785,Woollen And Worsted Yarn — Woollen Yarn (Carded),257785
NOUNIT,248761,Beer And Ale — To United States Of America,248761
NOUNIT,239790,Rosin — From British East Indies,239790
NOUNIT,236303,"Sugar — Elephants, Sea Cow, And Sea Horse",236303
NOUNIT,227231,"Linen Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",227231
NOUNIT,224506,"Sugar — Molasses, Treacle, Syrup, And Glucose",224506
NOUNIT,223970,"Coal, Cinders, &C — Fuel, Manufactured",223970
NOUNIT,217520,Stones And Slates — Slate By Talc,217520
NOUNIT,210411,Ivory — West Africa,210411
NOUNIT,208483,Spirits — Suggades And Confectionery (Including Fruits And Vegetables Preserved In Sugar),208483
NOUNIT,208010,"Paper — Unenumerated, And Articles Of Paper (Except Papier Maché)",208010
NOUNIT,203386,"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces, Or Guns Of Any Other Sort, Not Enumerated, And Parts Thereof And Pistols",203386
NOUNIT,198945,"Jute Manufactures — Rolled, Sheet, Piping Andtubing",198945
NOUNIT,193540,"Fish, Fresh And Cured — Oysters",193540
NOUNIT,192783,Leather — Locust Beans,192783
NOUNIT,184749,Spirits — To British East Indies,184749
NOUNIT,181219,"Honey — Horns, Tips And Pieces Of Horn, And Hooks",181219
NOUNIT,177280,Tar — West Coast Of Africa,177280
NOUNIT,173038,"Wood And Timber — Rough, Hewn, Sawn, Or Split",173038
NOUNIT,172542,"Arms, Ammunition, And Military Stores — To Australasia",172542
NOUNIT,171574,"Fish, Fresh And Cured — Cod And Ling",171574
NOUNIT,163157,Gum — Dutch Possessions In India,163157
NOUNIT,162991,"Spirits — Various Sorts, Mixed In Bond",162991
NOUNIT,162084,"Paper — Pasteboard, Millboard, &C. (Including Playing Cards)",162084
NOUNIT,158383,Stones And Slates,158383
NOUNIT,155332,Silk Manufactures — Of Countries Out Of Europe,155332
NOUNIT,151553,Iron — Bar,151553
NOUNIT,149508,Iron — Facture,149508
NOUNIT,147933,Ammunition — Stallions,147933
NOUNIT,143967,Sugar (Including All Fruits And Vegetables Preserved In Sugar),143967
NOUNIT,143542,Fish (Including Turtle) — Other Sorts Of Shell Fishst,143542
NOUNIT,142211,Musical Instruments — Myrobalans,142211
NOUNIT,134914,Cotton Manufactures — Hosiery Of Other Sorts,134914
NOUNIT,130463,Linen Manufactures,130463
NOUNIT,129878,"Petroleum — Pickles And Vegetables, Preserved Insalt Or Vinegar",129878
NOUNIT,124262,"Ore, Unenumerated — Eastern Coast Of Africa",124262
NOUNIT,109749,"Woollen Manufactures — Of Wool Other Than Goats, Or Of Wool Mixedwith Cotton: Cloths",109749
NOUNIT,107165,Telegraphic Wires And Apparatus — Other Kinds Of Manufactured Tobacco,107165
NOUNIT,105908,"Fish, Fresh And Cured — Dressed And Undressed",105908
NOUNIT,104688,"Beef — Brass, Bronze, And Metal, Bronzed And Lacquered",104688
NOUNIT,104638,Flax — Dressed And Endressed,104638
NOUNIT,104559,"Saddlery And Harness — Saltpetre, British Prepared",104559
NOUNIT,101609,Embroidery And Needlework,101609
NOUNIT,99492,Spirits — Unenumerated,99492
NOUNIT,98492,Gum — British East-Indies,98492
NOUNIT,97639,"Hemp — Tow, Or Cordilla Of, And Other Vegetable Substances, Applicable To The Same Uses As Hemp Or Flax",97639
NOUNIT,96419,"Spirits — Perfumed, In Bond",96419
NOUNIT,94162,"Glass — Other Manufactures, Unenume- Rated",94162
NOUNIT,93274,Spices — Brandy,93274
NOUNIT,89780,Lead — Oro Of,89780
NOUNIT,88688,"Hides — Tawed, Curried, Or Dressed, Not Varnished",88688
NOUNIT,86489,"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces,Or Guns Of Any Other Sort, Not Enumerated,And Pistols",86489
NOUNIT,84422,Fruit — Snuff : Cavendish Or Negrohead,84422
NOUNIT,75937,Ivory — West Coast Of Africa,75937
NOUNIT,75264,"Art, Works Of, Other Than Pictures",75264
NOUNIT,72019,"Bones (Except Whalebone) Whether Burnt Or Not, Or As Animal Charcoal — Applicable To Manufacturing Purposes",72019
NOUNIT,71149,"Arms, Ammunition, And Military Stores — Revolvers",71149
NOUNIT,71060,"Arms, Ammunition, And Military Stores — To Eastern Africa",71060
NOUNIT,69670,"Manufactures Of Hair, And Of Goats' Wool",69670
NOUNIT,69191,"Fish, Fresh And Cured — Pilchards",69191
NOUNIT,66909,Chicory — Roasted Or Ground In Bond,66909
NOUNIT,63721,Metals And Ores — Puddled,63721
NOUNIT,62414,Toys,62414
NOUNIT,61025,"Tobacco — Manufactured, In Bond",61025
NOUNIT,58835,Dye Woods — Spanish Possessions,58835
NOUNIT,58484,"Spirits — British And Foreign, Mixed In Bond",58484
NOUNIT,54558,"Woollen And Worsted Manufactures — Coatings, Duffels, &C., All Wool (Contd)",54558
NOUNIT,52814,Corn And Grain — From Australasia,52814
NOUNIT,52051,"Brass, Bronze, And Metal Bronzed Orlacquered",52051
NOUNIT,51301,Seeds — From British East Indies,51301
NOUNIT,50462,Earthen And China Ware — Salmon,50462
NOUNIT,50264,"Copper — Old, Fit Only For Remanufacture",50264
NOUNIT,47823,Borax,47823
NOUNIT,43786,Precious Stones (Unset),43786
NOUNIT,39312,Silk Manufactures — To United States Of America,39312
NOUNIT,37932,Earthen And China Ware — Cod And Ling,37932
NOUNIT,37912,"Tobacco — Manufactured, Cavendish Or Negrohead",37912
NOUNIT,34679,Zinc Or Spelter — To British India,34679
NOUNIT,34660,Sugar — Complete,34660
NOUNIT,34134,Wood And Timber — British North America,34134
NOUNIT,33755,Imported In Bottles — Hook,33755
NOUNIT,33533,Cement — India,33533
NOUNIT,30998,Chicory — Raw Or Kiln Dried And Roasted In Bond,30998
NOUNIT,29091,Varnish — Not Containing Spirit,29091
NOUNIT,27825,"Tobacco — Cavendish, Manufactured, In Bond",27825
NOUNIT,24266,Animals Living — Unenumerated,24266
NOUNIT,22515,"Spirits — Other Sorts, Not Sweetened",22515
NOUNIT,22425,Metal — Mica And Talc,22425
NOUNIT,20870,Beer And Ale — Bones (Except Whalefins) Applicable To Manufacturing Purposes,20870
NOUNIT,19576,Fruit — Snuff : Other Sorts (Including Cigarettes),19576
NOUNIT,18643,Flax & Hemp — Dressed And Undressed,18643
NOUNIT,17821,"Silk Manufactures — Silver, Ore Of, Or Ore Of Which The Greater Partof The Value Is Silver",17821
NOUNIT,15855,Hops — To United States Of America,15855
NOUNIT,15324,Perfumery — Refined,15324
NOUNIT,14852,Plated And Gilt Ware,14852
NOUNIT,14805,Manures — From British East Indies,14805
NOUNIT,14793,"Dye Woods — Earthenware, Not Being Porcelain Or Chinaware",14793
NOUNIT,14683,"Slates — Refined, Or Rendered By Any Process Equal Thereto : In Lumps And Loaves",14683
NOUNIT,14491,Sawn — Unenumerated,14491
NOUNIT,14379,"Glass — Plate, Rough Or Silvered (Contd)",14379
NOUNIT,13640,"Spirits — Liqueurs, Cordials, &C., Not Tested",13640
NOUNIT,12335,Hemp — British Dressed,12335
NOUNIT,12317,"Hides — Tawed, Curried, Or Dressed, Varnished",12317
NOUNIT,12202,"Skins, Furs, And Pelts — Seal, Undressed",12202
NOUNIT,11541,"Arms, Ammunition, And Military Stores — To British India",11541
NOUNIT,10885,Copper — To Australasia,10885
NOUNIT,10533,Cement — To United States Of America,10533
NOUNIT,10365,"Onions — One, Unenumerated",10365
NOUNIT,9998,Tobacco And Snuff — Other Kinds Of Manufactured Tobacco,9998
NOUNIT,9913,Pi-Umbago,9913
NOUNIT,9031,Cotton Manufactures — Cotton Predominating,9031
NOUNIT,8641,"Cordage, Cables, Ropes, And Twine Of Hemp, Or Like Material — To British East Indies",8641
NOUNIT,8147,Dye Stuffs — Myrobalans,8147
NOUNIT,8118,Cotton Manufactures — Guth,8118
NOUNIT,6911,Plumbago — From British East Indies,6911
NOUNIT,6294,"Umbrellas And Parasols — Wine, British Made",6294
NOUNIT,6074,Jute — From British East Indies,6074
NOUNIT,5334,Cotton Manufactures — To United States,5334
NOUNIT,5259,Linen Manufactures — To United States Of America,5259
NOUNIT,4651,Iron — Puddled And Puddled Bars,4651
NOUNIT,4045,"Collodion — Confectionery, Containing Not More Than50% Chocolate, In The Manufacture Ofwhich Spirit Has Been Used",4045
NOUNIT,3892,Unions,3892
NOUNIT,3826,Iron And Steel — To United States Of America,3826
NOUNIT,3621,Woollen And Worsted Manufactures — To British East Indies,3621
NOUNIT,2852,"Fruit — Soap, Transparent, In The Manufacture Ofwhich Spirit Has Been Used",2852
NOUNIT,2794,Glass — To United States Of America,2794
NOUNIT,2591,Cotton Manufactures — Piece Goods Of Mixed Materials : Cotton Predominating : To United States Of America,2591
NOUNIT,1882,"Coffee — Coffee And Chicory, Roasted Orground, Mixed In Bond",1882
NOUNIT,1833,"Coffee — Coffee And Chicory, Roasted Orground, Mixed",1833
NOUNIT,1827,"Arms, Ammunition, And Military Stores — Swords, Cutlasses, And Bayonets, And Armsof Other Sorts",1827
NOUNIT,1419,"Coffee — Kiln-Dried, Roasted, Or Ground, In Bond",1419
NOUNIT,1064,Chicory — Champagne : Burgundy,1064
NOUNIT,1056,Silk Manufactures — To Australasia,1056
NOUNIT,606,"Cheese — Chicory: Other Vegetable Matter,Applicable To The Uses Of Chicoryor Coffee",606
NOUNIT,562,"Tobacco — Manufactured, Snuff",562
NOUNIT,386,Drugs — From British Possessions In Southafrica,386
NOUNIT,378,"Tobacco — Varnish, Containing Alcohol",378
NOUNIT,148,"Cheese — Imitation (Including Lard,Cheese, And All Kinds Ofartificial Cheese)",148
NOUNIT,57,"Meat, Unenumerated — Unenumerated; Unwrought : Wrought Or Manufactured",57
NOUNIT,0,"Yarn, Alpaca, Mohair, And Other Sorts Une-Numerated",0
NOUNIT,0,Woollen And Worsted Manufactures — Zinc Or Spekter,0
NOUNIT,0,"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Or Worsted, Unenumerated",0
NOUNIT,0,Woollen And Worsted Manufactures — Hosiery,0
NOUNIT,0,Wood And Timber — Staves And Empty Casks,0
NOUNIT,0,"Wood And Timber — House Frames, Fittings, And Joiners' Work",0
NOUNIT,0,"Wine, British Made — Unenumerated",0
NOUNIT,0,"Wine, British Made — Staves And Empty Casks",0
NOUNIT,0,Value Of Articles Imported Byparcel Post,0
NOUNIT,0,Umbrellas And Parasols,0
NOUNIT,0,Toys — Not Containing Spirit,0
NOUNIT,0,Total Value — Dyes And Dyeing Stuffs,0
NOUNIT,0,Total Value - - - - -,0
NOUNIT,0,Tobacco — Toxs,0
NOUNIT,0,Telegraphic Wires And Apparatus,0
NOUNIT,0,Sugar— — 4Th Class,0
NOUNIT,0,Sugar— — 3Rd Class,0
NOUNIT,0,"Stationery, Other Than Paper",0
NOUNIT,0,"Spirits, British And Irish — Stationery, Other Than Paper",0
NOUNIT,0,"Specimens, Illustrative Of Naturalscience",0
NOUNIT,0,"Soap — Stationery, Other Than Paper",0
NOUNIT,0,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",0
NOUNIT,0,"Skins, Furs, And Pelts — Articles Manufactured Of Skins And Furs",0
NOUNIT,0,Skins And Furs — British: Unenumerated,0
NOUNIT,0,"Silk — Broad Stuffs, Silk Or Satin",0
NOUNIT,0,"Silk Manufactures — Velvet, Plain Or Figured",0
NOUNIT,0,Silk Manufactures — Unenumerated,0
NOUNIT,0,"Silk Manufactures — Silver One, Or One Of Which The Greater Part Invalue Is Silver",0
NOUNIT,0,Silk Manufactures — Silk And Satin,0
NOUNIT,0,Silk Manufactures — Ribbons:—Other Kinds,0
NOUNIT,0,"Silk Manufactures — Ribbons, Silk Or Satin",0
NOUNIT,0,Silk Manufactures — Ribbons Of All Kinds,0
NOUNIT,0,"Silk Manufactures — Plush, Used For Making Hats",0
NOUNIT,0,Silk Manufactures — Other Kinds,0
NOUNIT,0,"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed With Other Materials, Unenumerated",0
NOUNIT,0,"Silk Manufactures — Manufactures Of Silk, Ex Of Silk Mixed With Other Materials, Unenumerated",0
NOUNIT,0,Silk Manufactures — In Value Is Silver,0
NOUNIT,0,"Silk Manufactures — Handkerchiefs, Scarfs, And Shawls",0
NOUNIT,0,Scotland,0
NOUNIT,0,Saddlery And Harness,0
NOUNIT,0,"Provisions, Unenumerated",0
NOUNIT,0,"Prints, Engravings, Drawings, &C",0
NOUNIT,0,"Potatoes — Poultry And Game (Alive Or Dead),Including Rabbits",0
NOUNIT,0,Plated And Gilt Wares,0
NOUNIT,0,Plated And Gift Wares,0
NOUNIT,0,Pilchards — Unenumerated,0
NOUNIT,0,"Pictures, Drawings, And Photographs",0
NOUNIT,0,"Pickles, Vinegar, Sauces, Condiments, Preserved Fruits, And Confectionery",0
NOUNIT,0,"Pickles, Vinegar, And Sauces",0
NOUNIT,0,Petroleum — Pickles And Vegetables Preserved In Salt,0
NOUNIT,0,Paper — To United States Of America,0
NOUNIT,0,"Paper — Brown Or Waste, Or Any Other Sort Un- Enumerated",0
NOUNIT,0,Paper — Brown And Waste Or Any Other Sorts Un-Enumerated,0
NOUNIT,0,Painters' Colours And Materials — Unenumerated,0
NOUNIT,0,"Nuts And Kernels — Other Sorts, Unenumerated (Notfruit)",0
NOUNIT,0,"Medicines — Musical Instruments, And Parts Thereof",0
NOUNIT,0,"Medicines — Metals, And Manufactures Thereof: Unenumerated",0
NOUNIT,0,Medicines,0
NOUNIT,0,"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",0
NOUNIT,0,"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Locomotive",0
NOUNIT,0,Machinery And Mills Work — Not Being Steam Engines ; Agricultural,0
NOUNIT,0,Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines: Agricultural,0
NOUNIT,0,"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Other Descriptions",0
NOUNIT,0,"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Locomotive",0
NOUNIT,0,Machinery And Mill Work — Not Being Steam Engines: Agricultural,0
NOUNIT,0,Machinery And Mill Work — Not Being Steam Engines ; Other Descriptions,0
NOUNIT,0,Machinery And Mill Work — Agricultural,0
NOUNIT,0,Lucifer And Vesta Matches,0
NOUNIT,0,Linen Manufactures — To Australasia,0
NOUNIT,0,"Linen Manufactures — Steam Engines Or Parts Of Steam Engines,Locomotive",0
NOUNIT,0,Linen Manufactures — Lucifers And Vesta Matches,0
NOUNIT,0,Linen And Jute Manufactures — Luoifer And Vesta Matches,0
NOUNIT,0,Lace — Pillow Lace,0
NOUNIT,0,Lace — Machine Or Imitation Lace,0
NOUNIT,0,Jute — Pillow Lace,0
NOUNIT,0,"Jute — Machine Or Imitation Lace, Not Made By Hand",0
NOUNIT,0,Jute — Lace And Articles Thereof,0
NOUNIT,0,Isle Of Man,0
NOUNIT,0,Ireland,0
NOUNIT,0,Ink,0
NOUNIT,0,Implements And Tools — Unenumerated,0
NOUNIT,0,"Implements And Tools — Instruments And Apparatus ;Surgical, Anatomical, And Scientific",0
NOUNIT,0,Implements And Tools — Agricultural,0
NOUNIT,0,Implements And Tools,0
NOUNIT,0,Hair — Unenumerated,0
NOUNIT,0,Hail — Unenumerated,0
NOUNIT,0,"Glass — Haberdashery And Millinery, Including Embroidery And Needlework",0
NOUNIT,0,Glass — Brodery And Needlework,0
NOUNIT,0,General Exports,0
NOUNIT,0,"Furniture, (Household) Cabinet,And Upholstery Wares",0
NOUNIT,0,"Furniture And Hardwoods — House Frames, Fittings, And Joiners' Work",0
NOUNIT,0,"Fruit — Nuts, Principally Used As Fruit",0
NOUNIT,0,"Fish, Fresh And Cured — Unenumerated",0
NOUNIT,0,"Fish, Fresh And Cured",0
NOUNIT,0,Extracts — Of Bark And Other Vegetable Substances Used In Tanning Or Dyeing,0
NOUNIT,0,"Extracts — Farinaceous Substances, And Manufacturesthereof, Unenumerated",0
NOUNIT,0,Extracts — Farinaceous Substances And Manufactures Thereof,0
NOUNIT,0,"Extracts — Factures Thereof, Unenumerated",0
NOUNIT,0,England And Wales,0
NOUNIT,0,"Embroidery And Needlework — Farinaceous Substances And Manufactures Thereof, Unenumerated",0
NOUNIT,0,"Embroidery And Needlework — Extracts, Of Other Sorts Than Dye-Stuffs, Unenumerated",0
NOUNIT,0,"Embroidery And Needlework — Extracts Of Other Sorts, Unenumerated",0
NOUNIT,0,Earthen And China Ware — United States,0
NOUNIT,0,Earthen And China Ware — Red Pottery And Brown Stone Ware,0
NOUNIT,0,"Earthen And China Ware — Earthenware, Chinaware, Parian, And Porcelain",0
NOUNIT,0,"Earthen And China Ware — Earthenware, Chinaware, &C. (Contd)",0
NOUNIT,0,Dye Stuffs — Products Of Coal Tar,0
NOUNIT,0,Dye Stuffs — Other Sorts: Unenumerated,0
NOUNIT,0,Dye Stuffs — Extracts,0
NOUNIT,0,Dye Stuffs — Dyes Obtained From Coal Tar (Aniline),0
NOUNIT,0,"Cutch — Envoys, Unenumerated",0
NOUNIT,0,"Cotton — Drugs, Unenumerated:(Including Medicinal Preparations)",0
NOUNIT,0,Cotton Manufactures — Red Pottery And Brown Stone Ware,0
NOUNIT,0,Cotton Manufactures — Lace And Patent Net,0
NOUNIT,0,Cotton Manufactures — Hosiery Of All Sorts,0
NOUNIT,0,Cotton Manufactures — Hosiery,0
NOUNIT,0,"Cotton Manufactures — Earthenware, Chinaware, Parian, And Porcelain",0
NOUNIT,0,"Cordage, Twine, And Cable Yarn — From British East Indies",0
NOUNIT,0,"Copper — Manufactures Of, Unenumerated, Including Copper Coin",0
NOUNIT,0,"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Includingnaphtha, Paraffine, And Oil Thereof, Andpetroleum, Pitch, And Tar",0
NOUNIT,0,"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, And Tar",0
NOUNIT,0,"Cheese — Chemical Products Or Preparations, Not Speciallyenumerated",0
NOUNIT,0,"Cheese — Chemical Manufactures And Products, Unenumerated",0
NOUNIT,0,"Cement — Chemical Products Or Preparations, Not Speciallyenumerated",0
NOUNIT,0,"Carriages, &C — Railway Waggons, Trucks, &C. And Parts Thereof For Ballast, Minerals, Or Merchandise",0
NOUNIT,0,"Carriages, &C — Railway Carriages For Passengers And Parts Thereof",0
NOUNIT,0,Calcitrhous Manufactures,0
NOUNIT,0,"Butter — Buttons And Strws, Not Of Metal",0
