kept,folded_in,unit,head
"Sugar — Molasses, Treacle, And Syrup","Sugar — Molasses, Treacle, Syrup, And Glucose",?,Sugar
Tallow And Stearine,Tallow,Cwt,(groupless)
"Tar — West Coast Of Africa, Foreign",Tar — West Coast Of Africa,?,Tar
Tea — British Indies,Tea — From British East Indies,?,Tea
"Tobacco — Manufactured, In Bond","Tobacco — Cavendish, Manufactured, In Bond",?,Tobacco
Tobacco — Other Sorts,Tobacco — Other Sorts (Including Cigarettes),Lb,Tobacco
Toys — Not Containing Spirit,"Toys — Varnish, Not Containing Spirit",Value,Toys
"Unenumerated, Not Sweetened","Unenumerated, Not Sweetened Or Mixed",Proof Gallon,(groupless)
Waste Of,Waste Of (Raw And Yarn),Lb,(groupless)
Watches,"Watches, And Parts Thereof",Value,(groupless)
Wax,Wax (Including Ozokerit And Earth Wax),Cwt,(groupless)
Whalebone,Whalebone (Including Finners),Cwt,(groupless)
Wine — White,"Wine — White, In Bottles : Sparkling : Burgundy",Gallon,Wine
Wood And Timber — Furniture And Hardwoods,Wood And Timber — Furniture Woods And Hardwoods : Unenumerated,Ton,Wood And Timber
Wood And Timber — Furniture And Hardwoods : Unenumerated,"Wood And Timber — Furniture, Hardwoods, And Veneers",Ton,Wood And Timber
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,Wood And Timber — Furniture And Hardwoods,Ton,Wood And Timber
"Wood And Timber — House Frames, Fittings, And Joiners' Work","Wood And Timber — House Frames, Fittings, Joiners' And Cabinet Work",Value,Wood And Timber
Wood And Timber — Mahogany,Wood And Timber — Furniture Woods: Mahogany,Ton,Wood And Timber
Wood And Timber — Sawn Or Split,"Wood And Timber — Sawn Or Split, Planed Or Dressed, Fir",Load,Wood And Timber
"Wool — Other Sorts, Including Foreign, Dressed In The United Kingdom, And Flocks And Ragwool",Wool — Other Sorts,?,Wool
Woollen Yarn,"Woollen, Yarn, Of All Kinds",Lb,(groupless)
Woollen Yarn — For Fancy Purposes,"Woollen Yarn — For Fancy Purposes, Including Berlin Wool And Zephyr Yarn",Lb,Woollen Yarn
Woollen Yarn — For Weaving,"Woollen Yarn — For Weaving, Mixed Or Not With Silk",Lb,Woollen Yarn
"Zinc — Goods, Unenumerated","Zinc — Goods, Unenumerated: 
„ Manufactured",Value,Zinc
