flow,volume,captor,victim,rows,articles,articles_belonging_to_victim,share,alpha_adjacent
export_uk,as_1879,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,205,11,5,0.455,0
export_uk,as_1875,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,197,10,5,0.5,0
export_uk,as_1896,POTATOES,PLATE,197,7,3,0.429,0
export_uk,as_1881,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,194,9,5,0.556,0
export_uk,as_1895,POTATOES,PLATE,193,7,3,0.429,0
export_uk,as_1878,WOOLLEN AND WORSTED MANUFACTURES,WOOD AND TIMBER,193,13,5,0.385,0
export_uk,as_1899,BLEACHING MATERIALS,CHEESE,192,2,1,0.5,1
export_uk,as_1896,WOOLLEN YARN (CARDED),WOOLLEN AND WORSTED MANUFACTURES,191,8,7,0.875,0
export_uk,tn_1901,GOODS NOT ENUMERATED AND NOT FALLING UNDER ANY OF THE GENERAL HEADS,ZINC OR SPELTER,191,4,2,0.5,1
export_uk,as_1899,BEER AND ALE,IMPLEMENTS AND TOOLS,189,2,1,0.5,1
export_uk,as_1893,POTATOES,PLATE,185,7,3,0.429,0
