volume,label,raw,parsed_as,col,of,last_column
as_1881,Bacon and Hams - - - Cuts.,"32,70",3270,5,10,0
as_1881,""" Barley - - - - - ""","9,4306",94306,2,8,0
as_1882,Wine,"716,185,52",71618552,2,5,0
as_1882,Quicksilver - - - - - Lbs.,"2,13,263",213263,2,5,0
as_1882,Petroleum - Gals.,"38,335,24",3833524,3,10,0
as_1883,South Australia - - - - -,"3,3787",33787,5,5,1
as_1883,Stockings and Socks - - - - - Dozen Pairs,"2,01,954",201954,4,5,0
as_1883,""" Sweden and Norway - -","15,41",1541,2,4,0
as_1883,Linen Yarn - - - - - Lbs.,"6,44,900",644900,3,8,0
as_1883,TOTAL,"8,6628",86628,2,5,0
as_1884,China,"1,2718",12718,5,9,0
as_1884,,"4,8,517",48517,4,5,0
as_1884,""" Germany - - -","8,2392",82392,1,3,0
as_1884,Total - - -,"1,43,672,800",143672800,1,2,0
as_1884,„ France - - - -,"161,96",16196,1,1,1
as_1884,All other Articles - - - - -,"38,1",381,8,9,0
as_1884,""" Oats - - - - ""","3,32,235",332235,1,10,0
as_1884,Jute - - - - - Lbs.,"2,63,262",263262,6,10,0
as_1884,Tallow and Starvins - - - - - Lbs.,"5,98,275",598275,4,10,0
as_1884,"Tobacco, Unmanufactured - - - - - Gallons","63,77",6377,2,10,0
as_1884,"Tallow and Searine - - - ""","5,35,420",535420,2,10,0
as_1884,"Cottons, Entered by the Yard - Yards","565,27",56527,10,10,1
as_1884,Telegraphic Wires and Apparatus - Value,"33,93",3393,3,4,0
as_1884,"Madder, Madder Root, } Cuts. 3,595","24,20",2420,3,5,0
as_1884,""" Goats' Wool or Hair - - ""","244,06",24406,8,10,0
as_1884,Isinglass - Cuts,"26,3",263,10,10,1
as_1884,"Paper, of all Sorts (including Hangings) - ""","13,67",1367,4,10,0
as_1884,"Metals : Iron Bars, &c. - Tons","19,47",1947,1,7,0
as_1884,London,"2,6772,773",26772773,3,6,0
as_1885,"Meat: Unenumerated, Salted or Fresh","18,47",1847,4,5,0
as_1885,"Preserved, otherwise than by salting","450,99",45099,4,5,0
as_1885,Goole,"5,08,282",508282,5,5,1
as_1885,Newcastle,"4,581,63",458163,4,5,0
as_1885,"Spirits, Perfumed in Bond - Gallons","1,16",116,1,6,0
as_1885,Coffee - - - „,"8,95",895,5,10,0
as_1885,"Paper, of all Sorts - - - ""","13,67",1367,3,10,0
as_1885,Corn: Wheat - - - - - Cuts.,"794,40",79440,9,10,0
as_1886,""" British Guiana - - - - -","174,3",1743,2,2,1
as_1886,"Feathers, for Beds - - - - - ""","18,47",1847,7,7,1
as_1886,TOTAL - - - -,"2,87",287,1,1,1
as_1886,Beer and Ale - - - - - Barrels,"23,07",2307,10,10,1
as_1886,Wool : Sheep and Lambs - - - - - Lbs.,"8,5,819",85819,3,10,0
as_1886,Cement - - - - - Cwts.,"437,50",43750,2,10,0
as_1886,Leather - - - - - Lbs.,"357,32",35732,9,10,0
as_1887,""" Germany - - - - -","7,7",77,3,4,0
as_1887,„ Other Foreign Countries - - - - -,"18,96",1896,2,3,0
as_1887,"Coals, Cinders, and Fuel - - - - ""","6,7916",67916,1,10,0
as_1887,Bristol - - -,"254,17",25417,3,6,0
as_1888,Southampton -,"6,9136",69136,6,10,0
as_1888,"BARK, PERUVIAN. See DRUGS.","1,27",127,1,2,0
as_1888,Total from Foreign Countries -,"679,40",67940,2,3,0
as_1888,",, Other Foreign Countries - - -","62,88",6288,2,2,1
as_1888,316,"1,0031",10031,5,6,0
as_1888,""" "" Unenumerated - ""","1,903,68",190368,1,5,0
as_1888,"Corn: Wheat - - - - - ""","160,97",16097,5,9,0
as_1888,"Gum of all sorts - ""","22,84",2284,3,6,0
as_1888,"Spirits, British and Irish - - - Gallons","45,55",4555,10,10,1
as_1888,TOTAL - - - - -,"30,57",3057,5,5,1
as_1888,""" "" at Value - - - - - Value","5,50",550,5,5,1
as_1888,"Wood, Hewn and Sawn - - - - - Loads","1,0",10,1,7,0
as_1888,""" Saddlery and Harness - - - ""","59,6",596,3,5,0
as_1888,Rum - - - - - Proof Gallons,"20,38",2038,10,10,1
as_1888,"Of all other Sorts - - - - - ""","9,05",905,10,10,1
as_1889,„ Germany - - - - -,"2,41,260",241260,1,3,0
as_1889,Queensland - - - - -,"13,1959",131959,4,4,1
as_1889,„ France - - - - -,"5,94",594,1,3,0
as_1889,""" Germany - - - -","1,1638",11638,1,4,0
as_1889,""" Belgium - - - -","84,98",8498,3,3,1
as_1889,"23,181","80,50",8050,7,9,0
as_1889,Jute - - - - - Tons,"8,38",838,2,10,0
as_1889,"Cottons, Entered by the Yard - - - Yards","35,4100",354100,1,10,0
as_1889,""" Iron and Steel Manufactures } Unenumerated - - - - - Cwts.","12,45",1245,6,10,0
as_1890,"Feathers, for Beds","1,01,639",101639,1,5,0
as_1890,Total from Foreign Countries - - - - -,"56,34",5634,2,2,1
as_1890,"Butter - - - - - ""","2,027,17",202717,1,5,0
as_1890,400,"3,4500",34500,2,7,0
as_1890,Machinery and Mill Work - - Value,"1,02,591",102591,3,5,0
as_1890,"Arms, Ammunition, and Military Stores "" - - - - -","1,3,204",13204,2,5,0
as_1890,Beer and Ale - - - - - Barrels,"4,48",448,3,10,0
as_1890,TOTAL -,"40,4",404,1,2,0
as_1891,Other Countries - - - - -,"112,40",11240,1,10,0
as_1891,"Portugal, Azores, and Madeira - - - - -","23,75",2375,1,9,0
as_1891,"2,27,315","2,27,315",227315,1,12,0
as_1891,"66,4","66,4",664,1,4,0
as_1891,Of all other Sorts - - - - -,"1,54",154,7,7,1
as_1891,Piece Goods - - - - -,"5,08",508,5,5,1
as_1891,Unwrought - - - - -,"216,67",21667,8,8,1
as_1891,"Iron--Pig, Puddled, Bar, Angle and Wire - - - - -","1,87",187,9,9,1
as_1891,TOTAL VALUE - - - - -,"3,586,21",358621,11,11,1
as_1891,"Coffee - - - - - ""","1,417,67",141767,8,10,0
as_1891,"Cotton : Raw - - - - - ""","54,35",5435,2,10,0
as_1891,Spirits : Brandy - - - - Proof Gallons,"1,45",145,4,4,1
as_1891,"„ Chemical, &c. - - - - - Lbs.","48,72",4872,9,10,0
as_1891,"Fish, of all Sorts - - - - ""","315,43",31543,5,5,1
as_1891,Horns and Hoofs - - - - Tons,"65,79",6579,10,10,1
as_1891,Feathers: Ornamental - - - - - Lbs.,"11,533,18",1153318,1,10,0
as_1891,Feathers: Ornamental - - - - - Lbs.,"22,077,18",2207718,2,10,0
as_1891,Feathers: Ornamental - - - - - Lbs.,"70,262,18",7026218,4,10,0
as_1891,Feathers: Ornamental - - - - - Lbs.,"16,286,18",1628618,5,10,0
as_1891,All Other Articles - - - - - Value,"37,73",3773,4,5,0
as_1891,""" Unwrought and Part Wrought- ..","66,20",6620,7,9,0
as_1891,"Leather, Wrought and Unwrought - - - - - ""","63,67",6367,1,5,0
as_1891,"Meat: Unenumerated, Preserved, } otherwise than by Salting- ","7,4",74,7,10,0
as_1891,"Hats, of all Sorts - - - - - Dozens","7,80",780,1,10,0
as_1891,Wool: Sheep or Lambs' - - - - - Lbs.,"4,21,772",421772,10,10,1
as_1891,Other Ports or Places -,"5,15",515,1,8,0
as_1892,,"8,06",806,1,2,0
as_1892,Coffee - - - - - Cwt.,"245,48",24548,3,3,1
as_1892,TOTAL - - - - -,"186,85",18685,5,5,1
as_1892,Telegraphic Wires and Apparatus - - Value,"2,5812",25812,4,4,1
as_1892,""" "" at Value - - - - - Value","11,35",1135,2,5,0
as_1892,"Chemical Products and Preparations Un- enumerated, (includin","214,45",21445,5,5,1
as_1892,Sponge - - - - - Lbs.,"89,63",8963,7,10,0
as_1892,"Oil, Seed - - - - Tons","14,09",1409,4,5,0
as_1892,Grease: Tallow and Animal Fat - - - - - Cuts.,"6,48",648,3,10,0
as_1892,"Hides, Raw - - - - - ""","2,13",213,5,10,0
as_1892,"Rags: Esparto, and other Vegetable Fibres - - - - - } Tons","54,09",5409,4,10,0
as_1892,"Cottons, Entered by the Yard - - - - - Yards","1,22",122,7,8,0
as_1892,,"2,60",260,1,1,1
as_1892,"Ivory; Teeth, Elephants, &c. - - - - - Cuts.","4,60",460,1,1,1
as_1892,Dyewoods: Logwood - - - Tons,"3,02",302,1,10,0
as_1892,Fire-arms (Small) - - - No.,"9,3",93,4,4,1
as_1892,""" Piece Goods - - - - - Yards","1,73,937",173937,4,10,0
as_1892,"Glass Manufactures - - - - - ""","304,93",30493,5,5,1
as_1892,Fish - - - - - Ccts.,"1,3251",13251,7,10,0
as_1892,Newcastle - - -,"15,54",1554,8,8,1
as_1893,,"5,02",502,1,1,1
as_1893,""" Brass, and Manufactures of - Cuts.","6,3",63,2,10,0
as_1893,Pickles and Vegetables in Salt or Vinegar - - - - - Gallons,"809,06",80906,2,10,0
as_1893,"Cotton, Raw - - - - ""","11,93",1193,8,10,0
as_1893,Oil : Olive - - - - - Tons,"483,47",48347,9,10,0
as_1893,"Cottons, Entered by the Yard - - Yards","3,716,26",371626,7,10,0
as_1893,All Other Articles - - - - - Value,"10,7",107,4,5,0
as_1893,""" Piece Goods - - - - - Yards","33,07",3307,10,10,1
as_1893,Cotton: Raw - - - - - Cwts.,"89,08",8908,10,10,1
as_1893,TOTAL OF BRITISH AND FOREIGN EXPORTS - - - - - },"697,31",69731,3,5,0
as_1894,New South Wales - - - - -,"5,78,466",578466,5,5,1
as_1894,Holland - - - - -,"70,83",7083,3,6,0
as_1894,West Coast of Africa - - - - -,"46,33",4633,3,5,0
as_1894,Egypt,"2,9221",29221,4,8,0
as_1894,Lead of all Sorts - - - - - Tons,"11,19",1119,5,5,1
as_1894,"Silk, Thrown, Twist and Yarn - Lbs.","28,50",2850,8,9,0
as_1894,"Silk, Thrown, Twist and Yarn - Lbs.","21,66",2166,9,9,1
as_1894,Manufactures of all Sorts (including Mixed) - - - - - Value ,"28,52",2852,9,9,1
as_1894,"Skins and Furs of all Sorts - "" ""","14,62",1462,10,10,1
as_1894,"Spirits, British and Irish Proof Gallons","8,02",802,9,9,1
as_1894,"Sugar, Refined and Candy - Cuts.","20,54",2054,4,4,1
as_1894,Telegraphic Wires and Apparatus Value £,"1,74",174,5,5,1
as_1894,"Woollen and Worsted Yarn - "" ""","6,82,100",682100,2,10,0
as_1894,"Woollen and Worsted Yarn - "" ""","8,65,750",865750,3,10,0
as_1894,"Woollen and Worsted Yarn - "" ""","6,44,000",644000,6,10,0
as_1894,"Yarn, Alpaca, and other Sorts - "" ""","322,9",3229,4,10,0
as_1894,Blankets - - - - - Pairs,"5,602,12",560212,3,6,0
as_1894,Blankets - - - - - Pairs,"22,13",2213,4,6,0
as_1894,Blankets - - - - - Pairs,"2,74",274,5,6,0
as_1894,Blankets - - - - - Pairs,"2,02",202,6,6,1
as_1894,Of all other Sorts - - - - - Value £,"4,504,41",450441,3,9,0
as_1894,"Metal, Unenumerated. Wrought Tons and Cuts.","954,35",95435,1,10,0
as_1894,"Metal, Unenumerated. Wrought Tons and Cuts.","1,050,36",105036,2,10,0
as_1894,"Metal, Unenumerated. Wrought Tons and Cuts.","973,38",97338,3,10,0
as_1894,"Metal, Unenumerated. Wrought Tons and Cuts.","1,000,36",100036,4,10,0
as_1894,"Metal, Unenumerated. Wrought Tons and Cuts.","945,36",94536,5,10,0
as_1894,TOTAL - - - - -,"5,63,807",563807,1,5,0
as_1894,"Chemical Products and Preparations, Unenumerated (including ","9,09",909,2,5,0
as_1894,"TOTAL - - - - - } ""","182,68",18268,5,5,1
as_1894,Tobacco: Unmanufactured - - - - - Lbs.,"5,60",560,8,8,1
as_1894,TOTAL - - - - -,"31,45",3145,4,4,1
as_1894,"Coal, Cinders and Fuel - - - - - Tons","435,36",43536,7,10,0
as_1894,"Telegraphic Wires and Apparatus - - - - - ""","3,98",398,2,5,0
as_1895,To Western Africa (British) - - - - -,"29,52",2952,4,4,1
as_1895,„ Holland - - - -,"7,46,000",746000,1,4,0
as_1895,"Other Sorts (including Carts) - ""","4,31",431,6,6,1
as_1895,"Cement, for building and en- gineering purposes - - - Tons","1,42",142,4,4,1
as_1895,Salt - - - - - Tons,"11,75",1175,4,10,0
as_1895,All Other Articles - - - - - Value,"47,97",4797,2,5,0
as_1895,All Other Articles - - - - - Value,"7,28",728,4,5,0
as_1895,""" "" at Value - - - Value","83,89",8389,1,5,0
as_1895,Petroleum - - - - - Gallons,"429,35,521",42935521,1,10,0
as_1895,Petroleum - - - - - Gallons,"899,1336",8991336,2,10,0
as_1895,"Tobacco, Unmanufactured - - - - - Lbs.","313,42",31342,6,10,0
as_1895,"Tobacco, Unmanufactured - - - - - Lbs.","45,60",4560,7,10,0
as_1896,Guatemala - - - - -,"24,13",2413,4,5,0
as_1896,Hewn - - - - -,"7,12",712,1,5,0
as_1896,Piece Goods - - - - - Yards,"121,24",12124,12,12,1
as_1896,Jute Yarn - - - - - Lbs.,"69,60",6960,5,5,1
as_1896,"1,2105","1,2105",12105,1,6,0
as_1896,Machinery and Mill Work of all Sorts } Value £,"1,8,833",18833,10,11,0
as_1896,"Candles, of all Sorts - - - - -","3,77,024",377024,1,4,0
as_1896,"Tallow and Stearine - - - ""","5,15",515,5,5,1
as_1896,Chemical Manufactures - - - - -,"31,28",3128,5,5,1
as_1896,Raw - - - - -,"1,311,73",131173,6,6,1
as_1896,Waste of (Raw and Yarn) - - - - -,"9,22",922,6,6,1
as_1896,"Fish, Cured or Salted - - - - -","15,28",1528,6,6,1
as_1896,"Flax, Dressed and Undressed, and Tow - - - - -","31,57",3157,5,5,1
as_1896,Guano - - - - -,"1,42",142,3,3,1
as_1896,"Gum, of all Sorts - - - - -","4,52",452,5,5,1
as_1896,"Hemp, Dressed and Undressed, and Tow - - - - -","19,53",1953,4,4,1
as_1896,"Hides, Raw - - - - -","19,22",1922,5,5,1
as_1896,Jute - - - - -,"6,28",628,4,4,1
as_1896,Lard - - - - -,"3,46",346,4,4,1
as_1896,Leather - - - - -,"19,22",1922,4,4,1
as_1896,"Copper, Unwrought, part Wrought, and Old Copper - - - - -","19,46",1946,5,5,1
as_1896,"Iron, Bar - - - - -","4,12",412,4,4,1
as_1896,""" Manufactures, Unenumerated - - - - -","38,63",3863,5,5,1
as_1896,"Nuts, for expressing Oil - - - - -","3,58",358,4,4,1
as_1896,Linseed - - - - -,"3,17",317,3,3,1
as_1896,Paper-making Materials - - - - -,"118,28",11828,4,4,1
as_1896,All other Sorts - - - - -,"18,57",1857,7,7,1
as_1896,"Wool, Sheep and Lambs' - - - - -","18,34",1834,9,9,1
as_1896,All other Articles - - - - -,"1,0822",10822,10,10,1
as_1896,TOTAL VALUE - - - - -,"5,3638",53638,10,10,1
as_1896,Spices: Pepper - - - - Lbs.,"312,45",31245,3,9,0
as_1896,Spices: Pepper - - - - Lbs.,"2,25",225,9,9,1
as_1896,Manures: Phosphate of Lime and Rock - Tons,"11,22",1122,8,10,0
as_1896,"All Other Articles - - - - - ""","1,01,875",101875,3,5,0
as_1896,"Tobacco, Unmanufactured - - - - - Lbs.","98,93",9893,5,10,0
as_1896,"Tobacco, Manufactured, of all Sorts - Lbs.","1,04",104,1,2,0
as_1896,Spirits: Brandy - - - Proof Gallons,"5,72",572,10,10,1
as_1896,"Tobacco, of all Kinds - - - - - Lbs.","2,6,813",26813,4,10,0
as_1896,"Carriages, Railway, of all Sorts, and Parts } Value thereof ","23,25",2325,1,5,0
as_1896,Salt - - - - - Tons,"3,33",333,4,10,0
as_1896,"Feathers, Ornamental - - - - - Lbs.","1,1181",11181,1,6,0
as_1896,Other Ports or Places - - - - -,"131,33",13133,1,3,0
as_1897,"Frames for Pictures, &c. - - - - -","7,52,437",752437,2,2,1
as_1897,Liverpool - - - - -,"78,12,6746",78126746,3,5,0
as_1897,Preston - - - - -,"4,06",406,5,5,1
as_1897,Belgium - - - - -,"2,5,202",25202,9,9,1
as_1897,United States of America - - - - -,"211,75",21175,8,8,1
as_1897,Other Countries - - - - -,"6,15",615,6,6,1
as_1897,TOTAL VALUE - - - - -,"319,85,571",31985571,10,10,1
as_1897,Belgium - - - - -,"2,4224",24224,10,10,1
as_1897,New South Wales - - - - -,"1,53",153,6,6,1
as_1897,Canada - - - - -,"55,56",5556,10,10,1
as_1897,Total from British Possessions - - - - -,"95,12",9512,10,10,1
as_1897,Total from Foreign Countries - - - - -,"217,75",21775,10,10,1
as_1897,""" Holland - - - - -","2,77",277,1,1,1
as_1897,""" Italy - - - - -","1,22",122,2,2,1
as_1897,""" Germany - - - - -","57,05",5705,10,10,1
as_1897,""" Holland - - - - -","49,55",4955,10,10,1
as_1897,""" Belgium - - - - -","258,52",25852,10,10,1
as_1897,""" France - - - - -","169,95",16995,10,10,1
as_1897,On the Atlantic - - - - -,"151,56",15156,10,10,1
as_1897,""" Other Foreign Countries - - - - -","2,20",220,5,5,1
as_1897,Total from Foreign Countries - - - - -,"601,12",60112,10,10,1
as_1897,From British East Indies - - - - -,"4,53",453,5,5,1
as_1897,Total from British Possessions - - - - -,"7,22",722,5,5,1
as_1897,TOTAL - - - - -,"608,34",60834,10,10,1
as_1897,From Russia - - - - -,"7,43",743,10,10,1
as_1897,""" Belgium - - - - -","4,64",464,4,4,1
as_1897,On the Atlantic - - - - -,"503,96",50396,10,10,1
as_1897,Total from Foreign Countries - - - - -,"514,18",51418,10,10,1
as_1897,TOTAL - - - - -,"514,23",51423,10,10,1
as_1897,From Germany - - - - -,"15,77",1577,10,10,1
as_1897,""" Holland - - - - -","5,53",553,10,10,1
as_1897,""" Belgium - - - - -","22,35",2235,10,10,1
as_1897,""" France - - - - -","45,62",4562,10,10,1
as_1897,""" Italy - - - - -","74,43",7443,10,10,1
as_1897,""" Austrian Territories - - - - -","2,24",224,6,6,1
as_1897,""" China - - - - -","7,24",724,7,7,1
as_1897,""" Japan - - - - -","4,22",422,10,10,1
as_1897,On the Atlantic - - - - -,"42,03",4203,10,10,1
as_1897,""" Other Foreign Countries - - - - -","1,55",155,9,9,1
as_1897,Total from Foreign Countries - - - - -,"235,20",23520,10,10,1
as_1897,Bombay - - - - -,"1,24",124,10,10,1
as_1897,Madras - - - - -,"7,29",729,10,10,1
as_1897,Straits Settlements - - - - -,"4,53",453,10,10,1
as_1897,Ceylon - - - - -,"37,91",3791,10,10,1
as_1897,""" Hong Kong - - - - -","20,86",2086,10,10,1
as_1897,""" British West India Islands - - - - -","4,23",423,9,9,1
as_1897,Total from British Possessions - - - - -,"73,57",7357,10,10,1
as_1897,TOTAL - - - - -,"313,66",31366,10,10,1
as_1897,""" Germany - - - - -","7,25",725,10,10,1
as_1897,""" British East Indies - - - - -","4,24",424,5,5,1
as_1897,Germany,"67,36",6736,10,10,1
as_1897,Holland,"15,54",1554,10,10,1
as_1897,Belgium,"19,22",1922,10,10,1
as_1897,France,"196,71",19671,10,10,1
as_1897,Portugal,"2,28",228,10,10,1
as_1897,Spain,"1,12",112,10,10,1
as_1897,Canary Islands,"35,15",3515,10,10,1
as_1897,Other Foreign Countries,"4,25",425,10,10,1
as_1897,Total from Foreign Countries,"621,12",62112,10,10,1
as_1897,From Channel Islands,"57,52",5752,10,10,1
as_1897,Malta,"15,17",1517,10,10,1
as_1897,Total from British Possessions,"519,15",51915,10,10,1
as_1897,TOTAL,"1,200,27",120027,10,10,1
as_1897,"Turkey, European . . . . .","1,13",113,5,5,1
as_1897,Egypt . . . . .,"1,43",143,10,10,1
as_1897,Other Foreign Countries . . . . .,"1,73",173,7,7,1
as_1897,""" Republic of Colombia","1,29",129,5,5,1
as_1897,""" Chile","3,0477",30477,3,5,0
as_1897,""" Chile","3,5507",35507,5,5,1
as_1897,Canada - - - - -,"1,9,779",19779,6,10,0
as_1897,Newfoundland - - - - -,"1,3940",13940,6,10,0
as_1897,Total from British Possessions - - - - -,"2,09,929",209929,6,10,0
as_1897,Total from British Possessions - - - - -,"1,14,163",114163,7,10,0
as_1897,Total from British Possessions - - - - -,"1,05,781",105781,8,10,0
as_1897,Total from British Possessions - - - - -,"1,05,090",105090,9,10,0
as_1897,""" Denmark - - - - -","33,39",3339,8,10,0
as_1897,From Canada - - - - -,"12,35",1235,2,2,1
as_1897,Total from British Possessions - - - - -,"12,35",1235,2,2,1
as_1897,„ Chile - - - - -,"11,23",1123,4,4,1
as_1897,„ Uruguay - - - - -,"35,24",3524,10,10,1
as_1897,„ Other Foreign Countries - - - - -,"3,27",327,10,10,1
as_1897,„ Holland,"14,42",1442,10,10,1
as_1897,„ France,"5,25",525,10,10,1
as_1897,„ Chile,"51,25",5125,10,10,1
as_1897,Total from Foreign Countries,"111,61",11161,10,10,1
as_1897,Bombay,"95,79",9579,10,10,1
as_1897,Straits Settlements,"1,217,15",121715,10,10,1
as_1897,Victoria,"91,55",9155,10,10,1
as_1897,New South Wales,"99,87",9987,10,10,1
as_1897,Queensland,"14,51",1451,10,10,1
as_1897,Total from British Possessions,"1,512,37",151237,10,10,1
as_1897,TOTAL,"1,524,75",152475,10,10,1
as_1897,From Germany,"4,54",454,5,5,1
as_1897,Total from Foreign Countries,"6,71",671,5,5,1
as_1897,TOTAL,"6,71",671,5,5,1
as_1897,From Germany,"601,22",60122,5,5,1
as_1897,„ Holland,"216,56",21656,5,5,1
as_1897,„ Belgium,"73,62",7362,5,5,1
as_1897,„ France,"162,92",16292,5,5,1
as_1897,„ Japan,"2,97",297,3,3,1
as_1897,On the Atlantic,"5,25",525,5,5,1
as_1897,Total from Foreign Countries,"1,088,50",108850,5,5,1
as_1897,TOTAL,"1,088,53",108853,5,5,1
as_1897,“ France,"1,14",114,4,4,1
