commodity,year,naive,country,n_gold_rows,n_pipe_rows,gold_q,pipe_q,q_bucket,q_story,gold_v,pipe_v,v_bucket,v_story
Tallow And Stearine,1881,0,Australasia,1,1,598770.0,598770.0,exact01,equal,1021384.0,1021384.0,exact01,equal
Tallow And Stearine,1881,0,Belgium,1,1,22286.0,22286.0,exact01,equal,37510.0,37510.0,exact01,equal
Tallow And Stearine,1881,0,France,1,1,35420.0,35420.0,exact01,equal,65490.0,65490.0,exact01,equal
Tallow And Stearine,1881,0,Russia,1,1,22487.0,22487.0,exact01,equal,47787.0,47787.0,exact01,equal
Tallow And Stearine,1881,0,United States Of America,1,1,414435.0,414435.0,exact01,equal,745059.0,745059.0,exact01,equal
Tallow And Stearine,1881,0,Uruguay,1,1,45560.0,45560.0,exact01,equal,84762.0,84762.0,exact01,equal
Tallow And Stearine,1881,0,§RESIDUAL,1,1,31218.0,31218.0,exact01,equal,58063.0,58063.0,exact01,equal
Tallow And Stearine,1882,1,Argentina,1,1,127130.0,127130.0,exact01,equal,278446.0,278446.0,exact01,equal
Tallow And Stearine,1882,1,Australasia,1,1,432665.0,432665.0,exact01,equal,834240.0,834240.0,exact01,equal
Tallow And Stearine,1882,1,Belgium,1,1,20292.0,20292.0,exact01,equal,40867.0,40867.0,exact01,equal
Tallow And Stearine,1882,1,France,1,1,60885.0,60885.0,exact01,equal,126695.0,126695.0,exact01,equal
Tallow And Stearine,1882,1,Netherlands,1,1,12028.0,12028.0,exact01,equal,27401.0,27401.0,exact01,equal
Tallow And Stearine,1882,1,Portugal And Azores,1,1,6174.0,6174.0,exact01,equal,14068.0,14068.0,exact01,equal
Tallow And Stearine,1882,1,Russia,1,1,33497.0,33497.0,exact01,equal,87705.0,87705.0,exact01,equal
Tallow And Stearine,1882,1,United States Of America,1,1,291975.0,291975.0,exact01,equal,571748.0,571748.0,exact01,equal
Tallow And Stearine,1882,1,Uruguay,1,1,110672.0,110672.0,exact01,equal,232017.0,232017.0,exact01,equal
Tallow And Stearine,1882,1,§RESIDUAL,1,1,21263.0,21263.0,exact01,equal,39330.0,39330.0,exact01,equal
Tallow And Stearine,1883,1,Argentina,1,1,72075.0,72075.0,exact01,equal,160165.0,160165.0,exact01,equal
Tallow And Stearine,1883,1,Belgium,1,1,22651.0,22651.0,exact01,equal,47449.0,47449.0,exact01,equal
Tallow And Stearine,1883,1,Bermuda,1,1,353.0,353.0,exact01,equal,567.0,567.0,exact01,equal
Tallow And Stearine,1883,1,British East Indies,1,1,8867.0,8867.0,exact01,equal,15615.0,15615.0,exact01,equal
Tallow And Stearine,1883,1,British Possessions In South Africa,1,1,801.0,801.0,exact01,equal,1528.0,1528.0,exact01,equal
Tallow And Stearine,1883,1,Canada,1,1,21570.0,21570.0,exact01,equal,41650.0,41650.0,exact01,equal
Tallow And Stearine,1883,1,Channel Islands,1,1,262.0,262.0,exact01,equal,397.0,397.0,exact01,equal
Tallow And Stearine,1883,1,Chile,1,1,300.0,300.0,exact01,equal,700.0,700.0,exact01,equal
Tallow And Stearine,1883,1,Falkland Islands,1,1,6277.0,6277.0,exact01,equal,12818.0,12618.0,within5,one_digit[2] 8->6
Tallow And Stearine,1883,1,France,1,1,40014.0,49014.0,off,one_digit[1] 0->9,79153.0,79153.0,exact01,equal
Tallow And Stearine,1883,1,Germany,1,1,11703.0,11703.0,exact01,equal,21345.0,21345.0,exact01,equal
Tallow And Stearine,1883,1,Gibraltar,1,1,474.0,474.0,exact01,equal,958.0,958.0,exact01,equal
Tallow And Stearine,1883,1,Netherlands,1,1,12301.0,12301.0,exact01,equal,30097.0,30097.0,exact01,equal
Tallow And Stearine,1883,1,New South Wales,1,1,182399.0,182399.0,exact01,equal,362137.0,362137.0,exact01,equal
Tallow And Stearine,1883,1,New Zealand,1,1,137997.0,137997.0,exact01,equal,271623.0,271623.0,exact01,equal
Tallow And Stearine,1883,1,Norway,1,1,484.0,484.0,exact01,equal,771.0,771.0,exact01,equal
Tallow And Stearine,1883,1,Peru,1,1,800.0,800.0,exact01,equal,1800.0,1500.0,off,one_digit[1] 8->5
Tallow And Stearine,1883,1,Queensland,1,1,39315.0,39315.0,exact01,equal,79542.0,79542.0,exact01,equal
Tallow And Stearine,1883,1,Russia,1,1,6171.0,5171.0,off,one_digit[0] 6->5,14611.0,14611.0,exact01,equal
Tallow And Stearine,1883,1,South Australia,1,1,14561.0,14561.0,exact01,equal,28690.0,28690.0,exact01,equal
Tallow And Stearine,1883,1,Tasmania,1,1,285.0,285.0,exact01,equal,576.0,576.0,exact01,equal
Tallow And Stearine,1883,1,United States Of America,1,1,336353.0,336353.0,exact01,equal,671325.0,671325.0,exact01,equal
Tallow And Stearine,1883,1,Uruguay,1,1,50836.0,50836.0,exact01,equal,110557.0,110557.0,exact01,equal
Tallow And Stearine,1883,1,Victoria,1,1,71052.0,71652.0,within5,one_digit[2] 0->6,146812.0,146812.0,exact01,equal
Tallow And Stearine,1883,1,Western Australia,1,1,117.0,117.0,exact01,equal,234.0,234.0,exact01,equal
Tallow And Stearine,1883,1,§RESIDUAL,1,1,259.0,259.0,exact01,equal,497.0,497.0,exact01,equal
Tallow And Stearine,1884,1,Argentina,1,1,97898.0,97898.0,exact01,equal,190198.0,190195.0,exact01,one_digit[5] 8->5
Tallow And Stearine,1884,1,Belgium,1,1,23417.0,23417.0,exact01,equal,51630.0,51630.0,exact01,equal
Tallow And Stearine,1884,1,British East Indies,1,1,9050.0,9050.0,exact01,equal,16657.0,16657.0,exact01,equal
Tallow And Stearine,1884,1,British West Indies,1,1,5166.0,5166.0,exact01,equal,9557.0,9557.0,exact01,equal
Tallow And Stearine,1884,1,Canada,1,1,9325.0,9325.0,exact01,equal,17615.0,17615.0,exact01,equal
Tallow And Stearine,1884,1,Falkland Islands,1,1,6788.0,6788.0,exact01,equal,13214.0,13214.0,exact01,equal
Tallow And Stearine,1884,1,France,1,1,39242.0,39242.0,exact01,equal,76645.0,76615.0,exact01,one_digit[3] 4->1
Tallow And Stearine,1884,1,Germany,1,1,9121.0,9121.0,exact01,equal,15351.0,15351.0,exact01,equal
Tallow And Stearine,1884,1,Netherlands,1,1,16784.0,16784.0,exact01,equal,36482.0,36482.0,exact01,equal
Tallow And Stearine,1884,1,New South Wales,1,1,204282.0,204282.0,exact01,equal,380542.0,360542.0,off,one_digit[1] 8->6
Tallow And Stearine,1884,1,New Zealand,1,1,137930.0,137930.0,exact01,equal,255970.0,255970.0,exact01,equal
Tallow And Stearine,1884,1,Queensland,1,1,14506.0,14506.0,exact01,equal,26802.0,26802.0,exact01,equal
Tallow And Stearine,1884,1,Russia,1,1,14724.0,14724.0,exact01,equal,29038.0,29038.0,exact01,equal
Tallow And Stearine,1884,1,South Australia,1,1,14655.0,14655.0,exact01,equal,26998.0,26998.0,exact01,equal
Tallow And Stearine,1884,1,Tasmania,1,1,200.0,200.0,exact01,equal,388.0,388.0,exact01,equal
Tallow And Stearine,1884,1,United States Of America,1,1,333721.0,333721.0,exact01,equal,638288.0,633289.0,within5,2_digits
Tallow And Stearine,1884,1,Uruguay,1,1,63056.0,63056.0,exact01,equal,111807.0,111807.0,exact01,equal
Tallow And Stearine,1884,1,Victoria,1,1,109167.0,109167.0,exact01,equal,204433.0,204423.0,exact01,one_digit[4] 3->2
Tallow And Stearine,1884,1,Western Australia,1,1,242.0,242.0,exact01,equal,447.0,447.0,exact01,equal
Tallow And Stearine,1884,1,§RESIDUAL,1,1,5614.0,5614.0,exact01,equal,8958.0,8958.0,exact01,equal
Tallow And Stearine,1885,1,Argentina,1,1,107278.0,107278.0,exact01,equal,169888.0,169888.0,exact01,equal
Tallow And Stearine,1885,1,Belgium,1,1,32116.0,32116.0,exact01,equal,47931.0,47931.0,exact01,equal
Tallow And Stearine,1885,1,British East Indies,1,1,6537.0,6537.0,exact01,equal,10321.0,10321.0,exact01,equal
Tallow And Stearine,1885,1,Falkland Islands,1,1,3989.0,3989.0,exact01,equal,6089.0,6089.0,exact01,equal
Tallow And Stearine,1885,1,France,1,1,36623.0,36623.0,exact01,equal,65283.0,65283.0,exact01,equal
Tallow And Stearine,1885,1,Germany,1,1,18094.0,18094.0,exact01,equal,22346.0,22346.0,exact01,equal
Tallow And Stearine,1885,1,Japan,1,1,3352.0,3352.0,exact01,equal,5372.0,5372.0,exact01,equal
Tallow And Stearine,1885,1,Netherlands,1,1,13970.0,13970.0,exact01,equal,28092.0,28092.0,exact01,equal
Tallow And Stearine,1885,1,New South Wales,1,1,147899.0,147899.0,exact01,equal,222414.0,222414.0,exact01,equal
Tallow And Stearine,1885,1,New Zealand,1,1,137958.0,137958.0,exact01,equal,206667.0,206667.0,exact01,equal
Tallow And Stearine,1885,1,Queensland,1,1,20997.0,20997.0,exact01,equal,31142.0,31142.0,exact01,equal
Tallow And Stearine,1885,1,Russia,1,1,7172.0,7172.0,exact01,equal,12509.0,12509.0,exact01,equal
Tallow And Stearine,1885,1,South Australia,1,1,15393.0,15393.0,exact01,equal,25618.0,25618.0,exact01,equal
Tallow And Stearine,1885,1,Tasmania,1,1,125.0,125.0,exact01,equal,250.0,250.0,exact01,equal
Tallow And Stearine,1885,1,United States Of America,1,1,246665.0,246665.0,exact01,equal,394589.0,394589.0,exact01,equal
Tallow And Stearine,1885,1,Uruguay,1,1,120514.0,120514.0,exact01,equal,190053.0,190053.0,exact01,equal
Tallow And Stearine,1885,1,Victoria,1,1,86306.0,86306.0,exact01,equal,135229.0,135229.0,exact01,equal
Tallow And Stearine,1885,1,Western Australia,1,1,333.0,333.0,exact01,equal,612.0,612.0,exact01,equal
Tallow And Stearine,1885,1,§RESIDUAL,1,1,3639.0,3639.0,exact01,equal,5610.0,5610.0,exact01,equal
Tallow And Stearine,1886,0,Argentina,1,1,53277.0,53277.0,exact01,equal,64839.0,64839.0,exact01,equal
Tallow And Stearine,1886,0,Belgium,1,1,27068.0,27068.0,exact01,equal,48690.0,48690.0,exact01,equal
Tallow And Stearine,1886,0,British East Indies,1,1,18559.0,18559.0,exact01,equal,25532.0,25532.0,exact01,equal
Tallow And Stearine,1886,0,Canada,1,1,10888.0,10888.0,exact01,equal,12698.0,12698.0,exact01,equal
Tallow And Stearine,1886,0,Falkland Islands,1,1,4032.0,4032.0,exact01,equal,4889.0,4889.0,exact01,equal
Tallow And Stearine,1886,0,France,1,1,45213.0,45213.0,exact01,equal,75914.0,75914.0,exact01,equal
Tallow And Stearine,1886,0,Morocco,1,1,7800.0,7800.0,exact01,equal,8580.0,8580.0,exact01,equal
Tallow And Stearine,1886,0,Netherlands,1,1,8725.0,8725.0,exact01,equal,14740.0,14740.0,exact01,equal
Tallow And Stearine,1886,0,New South Wales,1,1,152676.0,152676.0,exact01,equal,187191.0,187191.0,exact01,equal
Tallow And Stearine,1886,0,New Zealand,1,1,119035.0,119035.0,exact01,equal,148848.0,148843.0,exact01,one_digit[5] 8->3
Tallow And Stearine,1886,0,Queensland,1,1,7650.0,7650.0,exact01,equal,9577.0,9577.0,exact01,equal
Tallow And Stearine,1886,0,Russia,1,1,35579.0,35579.0,exact01,equal,48647.0,48647.0,exact01,equal
Tallow And Stearine,1886,0,South Australia,1,1,7993.0,7993.0,exact01,equal,9307.0,9807.0,off,one_digit[1] 3->8
Tallow And Stearine,1886,0,Tasmania,1,1,501.0,501.0,exact01,equal,601.0,601.0,exact01,equal
Tallow And Stearine,1886,0,United States Of America,1,1,341675.0,341675.0,exact01,equal,433750.0,433750.0,exact01,equal
Tallow And Stearine,1886,0,Uruguay,1,1,62559.0,62559.0,exact01,equal,78301.0,78301.0,exact01,equal
Tallow And Stearine,1886,0,Victoria,1,1,100767.0,100767.0,exact01,equal,117400.0,117400.0,exact01,equal
Tallow And Stearine,1886,0,Western Australia,1,1,203.0,203.0,exact01,equal,280.0,280.0,exact01,equal
Tallow And Stearine,1886,0,§RESIDUAL,1,1,7711.0,7711.0,exact01,equal,9430.0,9430.0,exact01,equal
Tallow And Stearine,1887,1,Argentina,1,1,22002.0,22002.0,exact01,equal,27822.0,27822.0,exact01,equal
Tallow And Stearine,1887,1,Australasia,1,1,415920.0,415920.0,exact01,equal,479342.0,479342.0,exact01,equal
Tallow And Stearine,1887,1,Belgium,1,1,17231.0,17231.0,exact01,equal,28087.0,28087.0,exact01,equal
Tallow And Stearine,1887,1,British East Indies,1,1,2856.0,2856.0,exact01,equal,3729.0,3729.0,exact01,equal
Tallow And Stearine,1887,1,British Possessions In South Africa,1,1,1504.0,1504.0,exact01,equal,2631.0,2631.0,exact01,equal
Tallow And Stearine,1887,1,Canada,1,1,8412.0,8412.0,exact01,equal,11618.0,11618.0,exact01,equal
Tallow And Stearine,1887,1,Channel Islands,1,1,1320.0,1320.0,exact01,equal,1452.0,1452.0,exact01,equal
Tallow And Stearine,1887,1,Falkland Islands,1,1,3893.0,3893.0,exact01,equal,4356.0,4356.0,exact01,equal
Tallow And Stearine,1887,1,France,1,1,63876.0,63876.0,exact01,equal,98847.0,98817.0,exact01,one_digit[3] 4->1
Tallow And Stearine,1887,1,Germany,1,1,3734.0,3734.0,exact01,equal,4867.0,4867.0,exact01,equal
Tallow And Stearine,1887,1,Netherlands,1,1,5163.0,5163.0,exact01,equal,9673.0,9673.0,exact01,equal
Tallow And Stearine,1887,1,Russia,1,1,6532.0,6532.0,exact01,equal,8310.0,8310.0,exact01,equal
Tallow And Stearine,1887,1,United States Of America,1,1,329669.0,329669.0,exact01,equal,377197.0,377197.0,exact01,equal
Tallow And Stearine,1887,1,Uruguay,1,1,11482.0,11482.0,exact01,equal,13673.0,13673.0,exact01,equal
Tallow And Stearine,1887,1,§RESIDUAL,1,1,1527.0,1524.0,within5,one_digit[3] 7->4,2007.0,2007.0,exact01,equal
Tallow And Stearine,1888,1,Argentina,1,1,80147.0,80147.0,exact01,equal,105744.0,105744.0,exact01,equal
Tallow And Stearine,1888,1,Australasia,1,1,550443.0,550443.0,exact01,equal,654637.0,654637.0,exact01,equal
Tallow And Stearine,1888,1,Belgium,1,1,27329.0,27329.0,exact01,equal,43599.0,43599.0,exact01,equal
Tallow And Stearine,1888,1,British East Indies,1,1,5870.0,5870.0,exact01,equal,7483.0,7483.0,exact01,equal
Tallow And Stearine,1888,1,British Possessions In South Africa,1,1,828.0,828.0,exact01,equal,1053.0,1053.0,exact01,equal
Tallow And Stearine,1888,1,Canada,1,2,4757.0,4757.0,exact01,aggregate[1g+2p],7213.0,7223.0,within5,aggregate[1g+2p]
Tallow And Stearine,1888,1,Falkland Islands,1,1,3687.0,3687.0,exact01,equal,4902.0,4902.0,exact01,equal
Tallow And Stearine,1888,1,France,1,1,57442.0,57442.0,exact01,equal,85050.0,85050.0,exact01,equal
Tallow And Stearine,1888,1,Germany,1,1,16529.0,16529.0,exact01,equal,12290.0,12290.0,exact01,equal
Tallow And Stearine,1888,1,Netherlands,1,1,17432.0,17432.0,exact01,equal,27712.0,27712.0,exact01,equal
Tallow And Stearine,1888,1,Russia,1,1,11484.0,11434.0,within5,one_digit[3] 8->3,19338.0,19338.0,exact01,equal
Tallow And Stearine,1888,1,United States Of America,1,1,310929.0,310929.0,exact01,equal,387630.0,387630.0,exact01,equal
Tallow And Stearine,1888,1,Uruguay,1,1,55062.0,55062.0,exact01,equal,70991.0,70991.0,exact01,equal
Tallow And Stearine,1888,1,§RESIDUAL,1,1,4039.0,4039.0,exact01,equal,4954.0,4954.0,exact01,equal
Tallow And Stearine,1889,1,Argentina,1,1,115933.0,115933.0,exact01,equal,165035.0,165035.0,exact01,equal
Tallow And Stearine,1889,1,Australasia,1,1,431169.0,431169.0,exact01,equal,551072.0,551072.0,exact01,equal
Tallow And Stearine,1889,1,Belgium,1,1,28509.0,28509.0,exact01,equal,45967.0,45967.0,exact01,equal
Tallow And Stearine,1889,1,British East Indies,1,1,7223.0,7223.0,exact01,equal,11446.0,11446.0,exact01,equal
Tallow And Stearine,1889,1,British Possessions In South Africa,1,1,387.0,387.0,exact01,equal,445.0,445.0,exact01,equal
Tallow And Stearine,1889,1,Canada,1,1,10879.0,10879.0,exact01,equal,17555.0,17555.0,exact01,equal
Tallow And Stearine,1889,1,Falkland Islands,1,1,5052.0,5052.0,exact01,equal,6556.0,6556.0,exact01,equal
Tallow And Stearine,1889,1,France,1,1,73549.0,73549.0,exact01,equal,111481.0,111481.0,exact01,equal
Tallow And Stearine,1889,1,Germany,1,1,20772.0,20772.0,exact01,equal,23176.0,23176.0,exact01,equal
Tallow And Stearine,1889,1,Netherlands,1,1,12070.0,12070.0,exact01,equal,21756.0,21756.0,exact01,equal
Tallow And Stearine,1889,1,Russia,1,1,6618.0,6618.0,exact01,equal,11481.0,11481.0,exact01,equal
Tallow And Stearine,1889,1,United States Of America,1,1,420880.0,420880.0,exact01,equal,535958.0,535958.0,exact01,equal
Tallow And Stearine,1889,1,United States Of Colombia,1,1,6600.0,6600.0,exact01,equal,8740.0,8740.0,exact01,equal
Tallow And Stearine,1889,1,Uruguay,1,1,100968.0,100968.0,exact01,equal,130881.0,130881.0,exact01,equal
Tallow And Stearine,1889,1,§RESIDUAL,1,1,3422.0,3422.0,exact01,equal,4252.0,4252.0,exact01,equal
Tallow And Stearine,1890,1,Argentina,1,1,40289.0,40289.0,exact01,equal,54688.0,54688.0,exact01,equal
Tallow And Stearine,1890,1,Australasia,1,1,591387.0,591387.0,exact01,equal,720833.0,720833.0,exact01,equal
