ratio,article,anchor_group,filed_under,unit,year,volume,engine,block_sum,t1,n_rows,seq_start,seq_end
1.0,lard,,IVORY,CWT,1885,as_1885,country_obs_inf,871210,871210,6,1451,1457
1.0,lard,,IRON,CWT,1881,as_1881,country_obs_inf,854322,854322,4,579,582
1.00007,lard,,LACE AND ARTICLES THEREOF,CWT,1883,as_1883,country_obs_inf,853598,853541,9,1463,1471
0.99962,"mutton, fresh",,METAL,CWT,1887,as_1887,country_obs_inf,782814,783114,10,1734,1744
0.99225,paraffine,,OIL,CWT,1897,as_1899,country_obs_inf,768161,774161,6,16724,16748
1.0,brimstone,,BACON AND HAMS,CWT,1888,as_1888,country_obs_inf,773480,773480,6,233,238
1.00002,potatoes,,PAPER,CWT,1870,tn_1871,country_obs_inf,771873,771854,5,1288,1292
1.0,lard,,LACE AND ARTICLES THEREOF,CWT,1884,as_1884,country_obs_inf,699827,699827,5,1052,1056
1.0,clocks,,CHEESE,NUM,1877,as_1877,country_obs,687271,687271,6,270,275
1.0,brimstone,,BEEF,CWT,1887,as_1887,country_obs_inf,661158,661158,4,237,240
1.00048,tares and lentils,,COTTON,BUSH,1895,as_1898,country_obs,623990,623690,13,18519,18583
1.0,paraffine,,PAPER,CWT,1894,as_1894,country_obs_inf,618051,618051,5,2668,2673
1.0,cider and perry,,"CHINA OR PORCELAIN, AND EARTHENWARE",GAL,1895,as_1895,country_obs_inf,603190,603190,4,403,407
1.0,clocks,,CHEESE,NUM,1876,as_1876,country_obs,601029,601029,6,264,269
1.0,"mutton, fresh",,MUSICAL INSTRUMENTS,CWT,1885,as_1885,country_obs_inf,572868,572868,10,1783,1793
0.99847,brimstone,,BACON AND HAMS,,1890,as_1890,country_obs_inf,567773,568641,3,232,234
1.0,lard,,JUTE,CWT,1876,as_1876,country_obs_inf,562174,562174,4,849,852
1.0,brimstone,,BEEF,CWT,1892,as_1892,country_obs_inf,521589,521589,2,267,268
0.99994,brimstone,,BEEF,CWT,1895,as_1895,country_obs_inf,498356,498386,2,247,248
1.0,brimstone,,BACON AND HAMS,CWT,1894,as_1894,country_obs_inf,467925,467925,2,238,239
0.99999,"preserved, otherwise than by salting",,"MEAT, UNENUMERATED",CWT,1884,as_1884,country_obs_inf,450984,450990,18,1249,1266
0.99967,brimstone,,ALKALI,,1900,tn_1901,country_obs_inf,450511,450661,2,1953,1958
1.0,brimstone,,BEEF,,1891,as_1891,country_obs_inf,428478,428478,2,255,256
1.0,tares and lentils,,COTTON,BUSH,1896,as_1896,country_obs,394028,394028,10,3060,3070
1.0,watches,,TIN,NUM,1882,as_1882,country_obs_inf,385506,385506,4,1726,1729
1.0,lard,,ISINGLASS,CWT,1874,as_1874,country_obs_inf,374328,374328,4,829,832
0.99846,"milk, condensed",,METAL,CTS,1889,as_1889,country_obs_inf,339367,339892,6,1899,1904
0.99906,paraffine,,PAPER,CTS,1887,as_1887,country_obs_inf,326803,327110,3,1965,1968
1.0,cider and perry,,"CHINA OR PORCELAIN, AND EARTHENWARE",GAL,1896,as_1896,country_obs_inf,321016,321016,4,398,402
1.0,saltpetre,,RAGS AND OTHER MATERIALS FOR MAKING PAPER,CWT,1872,as_1872,country_obs_inf,307034,307034,7,1273,1279
0.99989,jute,,ICE,TON,1900,tn_1901,country_obs_inf,280888,280919,11,10440,10492
1.01646,bark,Dyeing or Tanning Stuffs,DRUGS,CWT,1882,as_1882,country_obs,276625,272145,5,510,514
1.0,"other plate, whether silvered or not",,GLASS,,1896,as_1897,country_obs,258822,258822,5,8187,8206
1.0,hops,,"HIDES. RAW, AND PIECES THEREOF",CWT,1884,as_1884,country_obs_inf,256777,256777,9,928,936
0.99986,oil seed cake,Oil,OIL,TON,1881,as_1881,country_obs_inf,221070,221100,6,812,817
1.0,tar,,STATIONERY OTHER THAN PAPER,BARREL,1873,as_1873,country_obs_inf,215330,215330,5,1497,1501
1.0,yeast,,WOOLLEN YARN,CWT,1894,as_1898,country_obs_inf,213153,213153,7,24255,24290
0.99846,"yeast, dried",,WOOLLEN MANUFACTURES,CWT,1879,as_1879,country_obs_inf,194426,194726,5,1520,1524
1.0,yeast,,WOOLLEN YARN,CWT,1895,as_1898,country_obs_inf,192579,192579,6,24256,24286
0.99989,tar,,STATIONERY OTHER THAN PAPER,BARREL,1872,as_1872,country_obs_inf,189271,189291,5,1527,1531
1.0,hops,,HONEY,CWT,1894,as_1894,country_obs_inf,189155,189155,8,1635,1643
1.0,"esparto, and other vegetable fibres",Paper-making materials,PAPER AND PASTEBOARD,TON,1896,as_1896,country_obs_inf,187278,187278,6,2650,2656
1.0,"esparto, and other vegetable fibres",Paper-making materials,PAPER-MAKING MATERIALS,TON,1893,as_1893,country_obs_inf,185450,185450,5,2685,2689
1.0,oil seed cake,,OIL,TON,1875,as_1875,country_obs_inf,180379,180379,10,1015,1024
0.99983,"platinum, wrought or unwrought","""    Manufactures of Iron and Steel",OIL,OZSTRO,1899,as_1899,country_obs_inf,173722,173752,4,17293,17311
0.99747,vinegar,,SUGAR,GAL,1898,as_1899,country_obs_inf,173199,173639,5,22517,22537
0.99997,oleo-margarine,,METAL,CWT,1898,as_1898,country_obs_inf,173615,173621,5,15282,15310
0.9926,tar,,SUGAR,BARREL,1885,as_1885,country_obs_inf,171883,173164,8,2971,2979
0.98243,yeast,,WOOLLEN YARN,CWT,1896,as_1899,country_obs_inf,169457,172487,6,24733,24763
1.0,"yeast, dried",,WOOLLEN MANUFACTURES,CWT,1876,as_1876,country_obs_inf,165492,165492,3,1891,1893
1.0,oil seed cake,,OIL,TON,1877,as_1877,country_obs_inf,163606,163606,8,1055,1062
1.0,"yeast, dried",,WOOLLEN MANUFACTURES,CWT,1875,as_1875,country_obs_inf,162525,162525,3,1766,1768
1.0,"unenumerated, for expressing oil therefrom",Seeds,SEEDS,QTR,1886,as_1886,country_obs_inf,161742,161742,8,2466,2474
0.99994,yeast,,WOOLLEN YARN,CWT,1897,as_1899,country_obs_inf,159587,159596,6,24734,24764
1.0,"yeast, dried",,WOOLLEN MANUFACTURES,CWT,1874,as_1874,country_obs_inf,153811,153811,4,1649,1652
1.0,"unenumerated, for expressing oil therefrom",Seeds,COTTON,QTR,1885,as_1885,country_obs_inf,151488,151488,13,2455,2468
0.99364,oleo-margarine,,METAL,CWT,1897,as_1898,country_obs_inf,148423,149373,6,15281,15314
1.0,hops,,HAIR,CWT,1881,as_1881,country_obs_inf,147559,147559,6,485,490
1.0,tar,,SUGAR,BARREL,1879,as_1879,country_obs_inf,140507,140507,3,1383,1385
1.0,tar,,SUGAR,BARREL,1887,as_1887,country_obs_inf,135714,135714,9,2815,2824
1.0,madder,Dyeing or Tanning Stuffs,LEATHER MANUFACTURES,CWT,1872,as_1872,country_obs_inf,134207,134207,5,869,873
1.0,"yeast, dried",,WOOLLEN MANUFACTURES,CWT,1870,tn_1871,country_obs_inf,128641,128641,5,2172,2176
1.0,hops,,"HIDES, NOT TANNED, TAWED, CURRIED, OR IN ANY WAY DRESSED",CWT,1870,tn_1871,country_obs_inf,127853,127853,8,756,763
0.99951,tar,,SUGAR,BARREL,1895,as_1897,country_obs_inf,121531,121591,5,19866,19891
0.99925,oleo-margarine,,METAL,CWT,1896,as_1898,country_obs_inf,120297,120387,7,15280,15313
0.99518,hay,,HATS OR BONNETS,TON,1895,as_1895,country_obs_inf,118243,118816,11,1525,1536
1.0,rabbits,,PYRITES OF IRON OR COPPER,CWT,1887,as_1887,country_obs_inf,117168,117168,6,2157,2163
1.0,tar,,SUGAR,BARREL,1896,as_1897,country_obs_inf,115939,115939,6,19867,19894
1.0,tar,,SUGAR,BARREL,1894,as_1897,country_obs_inf,111640,111640,5,19865,19890
0.99997,"platinum, wrought or unwrought",,OIL,OZSTRO,1898,as_1899,country_obs_inf,108954,108957,4,17292,17310
1.0,rabbits,,PYRITES OF IRON OR COPPER,CWT,1894,as_1894,country_obs_inf,108476,108476,5,2869,2874
1.0,pitch,,PAPER,CWT,1894,as_1894,country_obs_inf,107237,107237,8,2724,2732
0.9991,oleo-margarine,,METAL,CWT,1895,as_1898,country_obs_inf,103696,103789,7,15279,15312
1.0,rabbits,,PYRITES OF IRON OR COPPER,CWT,1891,as_1891,country_obs_inf,103685,103685,5,2618,2623
0.99997,"copper, ore of",,CONFECTIONERY,TON,1895,as_1895,country_obs_inf,99754,99757,15,433,448
1.0,pitch,Pitch and Tar,"PERFUMERY, AND ARTICLES USED IN THE MANUFACTURE THEREOF",CWT,1886,as_1886,country_obs_inf,97969,97969,8,2145,2153
1.0,oleo-margarine,,METAL,CWT,1894,as_1898,country_obs_inf,96974,96974,7,15278,15311
1.0,"flax, dressed or undressed",,"FARINACEOUS SUBSTANCES AND MANUFACTURES THEREOF, UNENUMERATED",TON,1895,as_1895,country_obs_inf,87844,87844,7,1151,1157
1.0,"copper, ore of",,"COALS, CULM, AND CINDERS",TON,1896,as_1896,country_obs_inf,87335,87335,16,432,448
1.0,oleo-margarine,,OIL,CWT,1893,as_1893,country_obs_inf,86621,86621,5,2575,2580
1.0,pitch,,PAPER,CWT,1877,as_1877,country_obs_inf,81558,81558,2,1148,1149
1.0,pitch,Pitch and Tar,PAPER,CWT,1887,as_1887,country_obs_inf,76744,76744,6,2019,2025
1.0,"flax, dressed or undressed",,"FARINACEOUS SUBSTANCES AND MANUFACTURES THEREOF, UNENUMERATED",TON,1896,as_1896,country_obs_inf,76099,76099,9,1161,1170
0.99469,"platinum, wrought or unwrought",,PLATE,OZSTRO,1897,as_1897,country_obs_inf,72179,72564,4,14834,14848
0.98757,"manganese, ore of",,MALT,TON,1888,as_1888,country_obs_inf,71192,72088,10,1736,1746
1.0,gutta percha,,GUM,CWT,1890,as_1890,country_obs_inf,70176,70176,9,1314,1323
1.00003,pitch,Pitch and Tar,PARAFFINE,CWT,1888,as_1888,country_obs_inf,69065,69063,6,2316,2321
0.99484,gutta percha,,GUM,CWT,1883,as_1883,country_obs_inf,63471,63800,5,1082,1086
0.98959,gutta percha,,GUM,,1898,as_1898,country_obs_inf,62580,63238,16,8627,8716
