flow,volume,year,group,article,nseg,rows,extra_value,canada,primary,closed,why
export_uk,as_1878,1878,FLAX,Dressed and Undressed,4,20,289440,0,1,0,as_1880: gap has 0 headings for 3 segments:  || as_1876: gap has 0 headings for 3 segments:  || as_1884: block group absent from reference || as_1888: block group absent from reference || as_1892: block group absent from reference || as_1896: block group absent from reference
export_uk,as_1878,1878,SUGAR,Refined and Candy,3,42,2307692,735408,1,0,as_1880: gap has 0 headings for 2 segments:  || as_1876: gap has 0 headings for 2 segments:  || as_1884: gap has 0 headings for 2 segments:  || as_1888: gap has 0 headings for 2 segments:  || as_1892: gap has 0 headings for 2 segments:  || as_1896: gap has 0 headings for 2 segments: 
export_uk,as_1878,1878,SUGAR,"Grindstones, Millstones, and other Sorts of Stone",2,19,76780,3549,1,0,as_1880: gap has 0 headings for 1 segments:  || as_1876: gap has 0 headings for 1 segments:  || as_1884: gap has 0 headings for 1 segments:  || as_1888: gap has 0 headings for 1 segments:  || as_1892: gap has 0 headings for 1 segments:  || as_1896: gap has 0 headings for 1 segments: 
export_uk,as_1878,1878,"TIN, Unwrought",,3,38,1071778,18484,1,0,as_1880: gap has 0 headings for 2 segments:  || as_1876: gap has 0 headings for 2 segments:  || as_1884: gap has 0 headings for 2 segments:  || as_1888: block group absent from reference || as_1892: gap has 0 headings for 2 segments:  || as_1896: gap has 0 headings for 2 segments: 
export_uk,as_1878,1878,TOBACCO and SNUFF Manufactured in the United Kingdom,Snuff,3,15,67980,0,1,0,as_1880: gap has 0 headings for 2 segments:  || as_1876: gap has 0 headings for 2 segments:  || as_1884: gap has 0 headings for 2 segments:  || as_1888: block group absent from reference || as_1892: gap has 0 headings for 2 segments:  || as_1896: gap has 0 headings for 2 segments: 
export_uk,as_1878,1878,TOBACCO and SNUFF Manufactured in the United Kingdom,Other Kinds of Manufactured Tobacco,3,27,60656,0,1,1,as_1880: gap has 0 headings for 2 segments:  || as_1876: gap has 0 headings for 2 segments:  || as_1884: gap has 0 headings for 2 segments:  || as_1888: block group absent from reference || as_1892: gap has 0 headings for 2 segments:  || as_1896: gap has 0 headings for 2 segments: 
export_uk,as_1879,1879,IRON,Pig,2,27,329306,11790,1,0,refs disagree: as_1880=LEAD/Pig vs as_1884=JUTE MANUFACTURES/Pig vs as_1888=LEAD/Pig vs as_1892=LEAD/Pig vs as_1896=LEAD/Pig
export_uk,as_1879,1879,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials",4,76,7465709,355556,1,0,"as_1880: gap has 0 headings for 3 segments:  || as_1876: gap has 1 headings for 3 segments: WOOLLEN and WORSTED MANUFACTURES/Blankets and Blanketing || as_1884: gap has 0 headings for 3 segments:  || as_1888: gap has 0 headings for 3 segments:  || as_1892: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes || as_1896: gap has 5 headings for 3 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes"
export_uk,as_1881,1881,WOOLLEN and WORSTED MANUFACTURES,"Narrow Cloths, Coatings, Duffs, &c., of Wool mixed with other Materials",3,70,6512539,442746,1,0,"as_1880: gap has 0 headings for 2 segments:  || as_1884: gap has 0 headings for 2 segments:  || as_1876: gap has 1 headings for 2 segments: WOOLLEN and WORSTED MANUFACTURES/Blankets and Blanketing || as_1888: gap has 3 headings for 2 segments: WOOLLEN and WORSTED MANUFACTURES/Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Coatings, &c. || as_1892: gap has 5 headings for 2 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes || as_1896: gap has 5 headings for 2 segments: WOOLLEN AND WORSTED MANUFACTURES/Worsted Coatings, Narrow, mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/All Wool | WOOLLEN AND WORSTED MANUFACTURES/Mixed with other materials | WOOLLEN AND WORSTED MANUFACTURES/Damasks, Tapestry, and other Furniture Stuffs | WOOLLEN AND WORSTED MANUFACTURES/Wool and Mohair Plushes"
export_uk,as_1882,1882,WOOLLEN and WORSTED MANUFACTURES,Stuffs,2,62,5160367,302882,1,0,"as_1884: gap has 0 headings for 1 segments:  || as_1880: gap has 3 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Broad Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials | WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., Plain, all Wool | WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials || as_1888: gap has 0 headings for 1 segments:  || as_1876: gap has 4 headings for 1 segments: WOOLLEN and WORSTED MANUFACTURES/Broad Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials | WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., Plain, all Wool | WOOLLEN and WORSTED MANUFACTURES/Narrow Cloths, Coatings, Duffels, &c., of Wool mixed with other Materials | WOOLLEN and WORSTED MANUFACTURES/Blankets and Blanketing || as_1892: gap has 0 headings for 1 segments:  || as_1896: gap has 0 headings for 1 segments: "
