shipped_as_read,total_may_be_the_error,score,column,engine,volume,year,group,article,country,unit,reads,should_be,q_read,v_read,q_fixed,v_fixed,delta,digit,n_members,printed_total,other_engine_agrees,price_improves,price_before,price_after,block_rate,candidates_in_block,unique,strong
True,False,1,v,chandra,as_1898,1897,OIL-SEED CAKE,Linseed Cake,British East Indies : Bengal,Tons,19000,19900,3318,19000,3318,19900,900,0->9,3,66514,False,False,5.73,6.0,5.69,1,True,False
False,False,1,v,chandra,as_1898,1895,OIL-SEED CAKE,Of other sorts,Australasia : Queensland,Tons,3046,3946,165,3046,165,3946,900,0->9,10,58234,False,False,18.46,23.92,11.78,1,True,False
False,False,1,v,chandra,as_1898,1897,"SILVER, Ore of, or Ore of which the greater part in Value is Silver","Skins, Unenumerated, undressed",United States of America,Number,23003,23903,2049500,23003,2049500,23903,900,0->9,5,65318,False,False,0.01,0.01,0.01,1,True,False
False,False,1,q,chandra,as_1898,1898,LATES,,Portugal,,1741048,1741948,1741048,9549,1741948,9549,900,0->9,5,59305435,False,False,0.01,0.01,0.01,1,True,False
False,False,1,v,chandra,as_1898,1894,WOOL,"Goats' wool, or Hair",Asiatic,Lbs,29045,29945,789009,29045,789009,29945,900,0->9,9,411073,False,False,0.04,0.04,0.04,1,True,False
False,False,1,v,chandra,as_1898,1896,"COCOA OR CHOCOLATE, GROUND, PREPARED, OR IN ANY WAY MANUFACTURED",,Belgium,Lbs,47002,47902,537181,47002,537181,47902,900,0->9,6,362006,False,False,0.09,0.09,0.09,1,True,False
False,True,1,q,chandra,as_1898,1895,"CONFECTIONERY, in the Manufacture of which Spirit has been used","CONFECTIONERY, containing not more than 50 % Chocolate, in the Manufacture of which Spirit has been used",Holland,Lbs,4099,4999,4099,433,4999,433,900,0->9,3,17983,False,False,0.11,0.09,0.1,1,True,False
False,False,1,q,chandra,as_1898,1896,FRUIT,Raisins,"Turkey, Asiatic",Cwts,305043,305943,305043,403359,305943,403359,900,0->9,7,619481,False,False,1.32,1.32,1.5,1,True,False
True,False,1,q,chandra,as_1899,1899,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Valonia,British East Indies : Madras,Cwts,6076,6976,6076,647,6976,647,900,0->9,6,23426,False,False,0.11,0.09,0.11,1,True,False
False,True,1,v,chandra,as_1899,1896,FRUIT,"Apples, Raw",Australasia : Tasmania,Bushels,77019,77919,152460,77019,152460,77919,900,0->9,8,730929,False,False,0.51,0.51,0.48,1,True,False
False,False,1,q,chandra,as_1899,1898,FRUIT,"Cherries, Raw",France,Bushels,258988,258088,258988,176230,258088,176230,-900,9->0,4,401810,False,False,0.68,0.68,0.41,1,True,False
