shipped_as_read,total_may_be_the_error,score,column,engine,volume,year,group,article,country,unit,reads,should_be,q_read,v_read,q_fixed,v_fixed,delta,digit,n_members,printed_total,other_engine_agrees,price_improves,price_before,price_after,block_rate,candidates_in_block,unique,strong
False,False,6,v,infinity,as_1888,1888,"HIDES, Raw, and Pieces thereof",Wet,Other Foreign Countries,Cwts,1087,1037,436,1087,436,1037,-50,8->3,19,1225756,True,True,2.49,2.38,2.36,11,False,False
False,False,6,v,infinity,as_1888,1888,"MEAT, unenumerated","Preserved, otherwise than by Salting",Other British Possessions,,80,30,12,80,12,30,-50,8->3,3,414291,True,True,6.67,2.5,2.22,3,False,False
False,True,6,v,infinity,as_1888,1888,Cotton,"Unenumerated, other sorts",Other British Possessions,Cwts,783,733,303,783,303,733,-50,8->3,3,32006,True,True,2.58,2.42,0.44,2,False,False
False,True,6,q,infinity,as_1888,1888,"STRAW PLATTING, for making Hats or Bonnets",,Other Foreign Countries,Lbs,280,230,280,13,230,13,-50,8->3,8,7945243,True,True,0.05,0.06,0.08,3,False,False
False,False,6,q,infinity,as_1890,1890,CONFECTIONERY,"Old, fit only to be re-manufactured",Brazil,Tons,86,36,86,1403,36,1403,-50,8->3,14,2375,True,True,16.31,38.97,38.69,5,False,False
False,True,6,q,infinity,as_1890,1890,EGGS,,Channel Islands,,9386,9336,9386,3183,9336,3183,-50,8->3,3,26225,True,True,0.34,0.34,0.41,2,False,False
False,False,6,q,infinity,as_1890,1890,"FLOWERS, Artificial",Almonds,Portugal,Cwts,7283,7233,7283,18672,7233,18672,-50,8->3,8,98068,True,True,2.56,2.58,3.57,4,False,False
False,False,6,v,infinity,as_1890,1890,MANURES,Bones for Manure,Morocco,,1981,1931,350,1981,350,1931,-50,8->3,20,174989,True,True,5.66,5.52,5.27,11,False,False
False,True,6,v,infinity,as_1890,1890,"PICTURES and DRAWINGS, by HAND",,United States of America,,10788,10738,347,10788,347,10738,-50,8->3,9,392116,True,True,31.09,30.95,19.15,6,False,False
False,True,6,v,infinity,as_1890,1890,SAGO and SAGO FLOUR,,Other Foreign Countries,,681,631,987,681,987,631,-50,8->3,3,3915,True,True,0.69,0.64,0.59,2,False,False
False,True,6,q,infinity,as_1891,1891,HOPS,,Belgium,Cwts,42687,42637,42687,178850,42637,178850,-50,8->3,7,191627,True,True,4.19,4.19,5.31,4,False,False
False,True,6,v,infinity,as_1891,1891,IRON,Pig and Puddled,Other Foreign Countries,Tons,1083,1033,272,1083,272,1033,-50,8->3,5,255908,True,True,3.98,3.8,3.8,2,False,False
False,True,6,q,infinity,as_1892,1892,"COALS, CULM, and CINDERS",,Holland,,2388,2338,2388,1300,2338,1300,-50,8->3,3,11820,True,True,0.54,0.56,0.85,2,False,False
False,False,6,q,infinity,as_1892,1892,"PICKLES and VEGETABLES, preserved in Salt or Vinegar",,Holland,Gallons,1024388,1024338,1024388,43006,1024338,43006,-50,8->3,6,1815889,True,True,0.04,0.04,0.07,4,False,False
False,True,6,q,infinity,as_1893,1893,COPPER,"Old, fit only to be re-manufactured",United States of America,Tons,380,330,380,9793,330,9793,-50,8->3,7,1629,True,True,25.77,29.68,32.44,3,False,False
False,False,6,v,infinity,as_1893,1893,Cotton,,Peru,Tons,44583,44533,7437,44583,7437,44533,-50,8->3,11,2398496,True,True,5.99,5.99,5.88,4,False,False
False,True,6,q,infinity,as_1893,1893,SUGAR,Unrefined : Beetroot,Germany,Cwts,6278685,6278635,6278685,4502558,6278635,4502558,-50,8->3,7,8563319,True,True,0.72,0.72,0.76,3,False,False
False,False,6,v,infinity,as_1894,1894,PORK,Fresh,Other Foreign Countries,Cwts,287,237,101,287,101,237,-50,8->3,7,435359,True,True,2.84,2.35,2.52,4,False,False
False,False,6,v,infinity,as_1895,1895,"ANIMALS, LIVING",Sheep and Lambs,Argentine Republic,,505587,505537,308094,505587,308094,505537,-50,8->3,5,1389151,True,True,1.64,1.64,1.57,4,False,False
False,True,6,q,infinity,as_1896,1896,YEAST,,France,Cwts,36037,36087,36037,136652,36087,136652,50,3->8,5,172387,True,True,3.79,3.79,2.25,3,False,False
False,False,6,q,infinity,as_1897,1894,TIN,Eastern Coast of Africa,Australasia,,285,235,285,7500,235,7500,-50,8->3,4,393,True,True,26.32,31.91,38.57,3,False,False
False,True,6,v,infinity,as_1899,1898,MALT,"MANGANESE, Ore of",Australasia,Tons,80,30,8,80,8,30,-50,8->3,5,48836,True,True,10.0,3.75,4.94,2,False,False
False,True,6,v,chandra,as_1872,1872,METAL,"Unenumerated, Unwrought",France,Tons,3015,3045,62,3015,62,3045,30,1->4,5,47599,True,True,48.63,49.11,50.9,4,False,False
False,False,6,v,chandra,as_1874,1874,WOOL,,Other Countries,,2819,2849,22396,2819,22396,2849,30,1->4,3,557600,True,True,0.13,0.13,0.13,3,False,False
False,False,6,v,chandra,as_1879,1879,FISH,Cured or Salted,British North America,Cwts,363019,363049,283968,363019,283968,363049,30,1->4,8,1271609,True,True,1.28,1.28,1.82,6,False,False
False,True,6,v,chandra,as_1879,1879,MANURES,"Bones of Animals, and Fish for Manure only",Turkey,Tons,32815,32845,5828,32815,5828,32845,30,1->4,9,365772,True,True,5.63,5.64,5.78,7,False,False
False,True,6,v,chandra,as_1879,1879,ZINO,"Manufactures, Unenumerated",Holland,Cwts,126013,126043,116063,126013,116063,126043,30,1->4,4,346443,True,True,1.09,1.09,1.14,2,False,False
False,True,6,v,chandra,as_1880,1880,ANIMALS LIVING,Horses,Germany,Number,56211,56241,3705,56211,3705,56241,30,1->4,7,233770,True,True,15.17,15.18,42.08,5,False,False
False,True,6,q,chandra,as_1892,1892,PAPER,For Printing and Writing,Other Foreign Countries,Cwts,1316,1346,1316,2001,1346,2001,30,1->4,11,363278,True,True,1.52,1.49,1.36,6,False,False
False,True,6,q,chandra,as_1893,1893,IRON and STEEL,Pig and Puddled,United States of America,Tons,1184,1154,1184,3607,1154,3607,-30,8->5,6,35317,True,True,3.05,3.13,4.6,4,False,False
False,True,6,q,chandra,as_1893,1893,PORK,Fresh,Belgium,Owts,25216,25246,25216,63456,25246,63456,30,1->4,6,181860,True,True,2.52,2.51,2.46,5,False,False
False,True,6,q,chandra,as_1894,1894,PAPER,Unenumerated,United States of America,Cwts,55555,55585,55555,74767,55585,74767,30,5->8,11,1555382,True,True,1.35,1.35,1.07,9,False,False
False,True,6,v,chandra,as_1896,1896,PORK,Salted (not Hams),Germany,Cwts,4558,4588,8149,4558,8149,4588,30,5->8,7,272675,True,True,0.56,0.56,0.99,5,False,False
False,False,6,v,chandra,as_1897,1896,"CHINA, OR PORCELAIN, AND EARTHENWARE",,Belgium,Tons,958,988,1567,958,1567,988,30,5->8,5,5722,True,True,0.61,0.63,0.62,8,False,False
False,False,6,q,chandra,as_1897,1893,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,Cutch and Gambier,Germany,Tons,55,85,55,2121,85,2121,30,5->8,6,521,True,True,38.56,24.95,27.31,6,False,False
False,False,6,q,chandra,as_1898,1897,LINEN,Bones for Manure (whether burnt or not),British East Indies : Bengal,Tons,10351,10381,10351,43152,10381,43152,30,5->8,8,34210,True,True,4.17,4.16,4.0,7,False,False
False,True,6,q,chandra,as_1898,1894,ZINC,"Crude, in cakes",British East Indies : Bombay,Goods,67350,67380,67350,185809,67380,185809,30,5->8,29,228732,True,True,2.76,2.76,2.09,19,False,False
False,True,6,v,chandra,as_1898,1894,FRUIT,Rum,Spanish West India Islands,Proof Gallons,3359,3389,77900,3359,77900,3389,30,5->8,8,94997,True,True,0.04,0.04,0.06,7,False,False
False,True,6,v,chandra,as_1899,1895,"BONES (except Whalebone) whether burnt or not, or as Animal Charcoal",Applicable to Manufacturing Purposes,Argentine Republic,,10857,10887,2430,10857,2430,10887,30,5->8,10,59780,True,True,4.47,4.48,5.83,9,False,False
False,True,6,v,chandra,as_1899,1896,FRUIT,"Unenumerated, Raw",Holland,Bushels,47451,47481,131159,47451,131159,47481,30,5->8,12,576344,True,True,0.36,0.36,0.38,9,False,False
False,True,6,q,chandra,as_1899,1898,HATS OR BONNETS,Tow,Other Foreign Countries,Tons,111,141,111,2772,141,2772,30,1->4,5,4733,True,True,24.97,19.66,18.88,3,False,False
False,True,6,q,chandra,as_1899,1896,IRON,Ore of (including Chrome),Russia,Tons,7350,7380,7350,15756,7380,15756,30,5->8,17,5420175,True,True,2.14,2.13,0.93,15,False,False
False,False,6,q,chandra,as_1899,1898,MANURES,Bones for Manure (whether burnt or not),British East Indies : Bombay,Tons,24259,24289,24259,103214,24289,103214,30,5->8,7,32314,True,True,4.25,4.25,4.15,6,False,False
False,True,6,q,chandra,as_1899,1898,FRUIT,Transparent in the Manufacture     of which Spirit has been used,"United States of America, on the Atlantic",Lbs,1155,1185,1155,158,1185,158,30,5->8,4,12164,True,True,0.14,0.13,0.09,2,False,False
False,True,6,v,infinity,as_1872,1872,OIL,Animal,France,Cwts,6011,6041,5118,6011,5118,6041,30,1->4,4,46454,True,True,1.17,1.18,2.21,4,False,False
False,True,6,q,infinity,as_1872,1872,OIL,Turpentine (Oil or Spirit of),France,Cwts,28917,28947,28917,69160,28947,69160,30,1->4,3,220292,True,True,2.39,2.39,2.13,3,False,False
False,False,6,q,infinity,as_1873,1873,ANIMALS,Oxen and Bulls,Germany,Number,43459,43489,43459,891233,43489,891233,30,5->8,8,121220,True,True,20.51,20.49,20.06,7,False,False
False,True,6,q,infinity,as_1873,1873,"Hides, not Tanned, Tawed, Curried, or in any way Dressed",Dry,Egypt,Cwts,31159,31189,31159,153634,31189,153634,30,5->8,19,626274,True,True,4.93,4.93,3.83,16,False,False
False,True,6,v,infinity,as_1875,1875,Cotton,SHUMACH,Austrian Territories,Tons,9916,9946,738,9916,738,9946,30,1->4,3,246343,True,True,13.44,13.48,16.45,2,False,False
False,True,6,v,infinity,as_1875,1875,SUGAR,Unrefined of all Kinds,British Possessions in South Africa,Cwts,29510,29540,29376,29510,29376,29540,30,1->4,24,17210137,True,True,1.0,1.01,1.04,23,False,False
False,True,6,v,infinity,as_1876,1876,RAGS and other Materials for making Paper,Linen and Cotton Rags,Egypt,Tons,11010,11040,976,11010,976,11040,30,1->4,8,229972,True,True,11.28,11.31,16.12,4,False,False
False,False,6,v,infinity,as_1876,1876,Cotton,,Other Countries,Tons,13413,13443,1967,13413,1967,13443,30,1->4,6,1825116,True,True,6.82,6.83,7.4,5,False,False
False,True,6,v,infinity,as_1876,1876,"SKINS, FURS, AND PEELTS",Seal,Germany,Number,11852,11882,32771,11852,32771,11882,30,5->8,8,219540,True,True,0.36,0.36,0.59,6,False,False
False,True,6,q,infinity,as_1878,1878,PAPER,Millboard and Pasteboard,Other Countries,Cwts,3651,3681,3651,5570,3681,5570,30,5->8,6,403156,True,True,1.53,1.51,0.7,5,False,False
False,False,6,v,infinity,as_1879,1879,FEATHERS,Cured or Salted,Denmark,Cwts,29715,29745,40273,29715,40273,29745,30,1->4,8,1271609,True,True,0.74,0.74,1.81,6,False,False
False,False,6,q,infinity,as_1879,1879,WOOL,Sheep and Lambs',Falkland Islands,,1123414,1123444,1123414,47797,1123444,47797,30,1->4,21,412784316,True,True,0.04,0.04,0.04,14,False,False
False,True,6,q,infinity,as_1880,1880,Iron,Pig,Holland,Tons,17818,17848,17818,107036,17848,107036,30,1->4,4,66939,True,True,6.01,6.0,4.79,4,False,False
False,True,6,q,infinity,as_1880,1880,LEATHER MANUFACTURES,Gloves,Belgium,Dozen Pairs,160919,160949,160919,185125,160949,185125,30,1->4,6,1455765,True,True,1.15,1.15,1.09,5,False,False
False,False,6,v,infinity,as_1881,1881,Iron,"Manufactures of Iron and Steel, Unenumerated",Russia,Cwts,47616,47646,42448,47616,42448,47646,30,1->4,9,2564823,True,True,1.12,1.12,1.16,5,False,False
False,True,6,v,infinity,as_1881,1881,"SAUCES OR CONDIMENTS, Unenumerated",,Other Countries,Lbs,6517,6547,271296,6517,271296,6547,30,1->4,4,24776,True,True,0.02,0.02,0.03,3,False,False
False,True,6,q,infinity,as_1881,1881,Cotton,,United States of America,Tons,5817,5847,5817,40958,5847,40958,30,1->4,5,232199,True,True,7.04,7.0,6.46,2,False,False
False,False,6,q,infinity,as_1882,1882,DRUGS,"Bark, Peruvian",Persia,Cwts,54412,54442,54412,41219,54442,41219,30,1->4,5,478624,True,True,0.76,0.76,0.74,3,False,False
False,True,6,q,infinity,as_1882,1882,WOOD AND TIMBER,Mahogany,Mexico,Tons,19414,19444,19414,194818,19444,194818,30,1->4,5,36478,True,True,10.03,10.02,9.87,3,False,False
False,True,6,q,infinity,as_1883,1883,COPPER,"Unwrought, in bars, blocks or slabs, cakes or ingots",United States of America,,1557,1587,1557,103506,1587,103506,30,5->8,12,34752,True,True,66.48,65.22,64.81,10,False,False
False,False,6,v,infinity,as_1883,1883,DRUGS,"Bark, Peruvian",Belgium,Cwts,1916,1946,195,1916,195,1946,30,1->4,20,1423516,True,True,9.83,9.98,12.22,15,False,False
False,True,6,v,infinity,as_1883,1883,IRON,Ore of,Greece,Tons,22857,22887,21497,22857,21497,22887,30,5->8,11,2750870,True,True,1.06,1.06,1.11,6,False,False
False,True,6,v,infinity,as_1883,1883,WAX,,Madagascar,Cwts,1416,1446,288,1416,288,1446,30,1->4,23,97142,True,True,4.92,5.02,5.61,17,False,False
False,False,6,q,infinity,as_1884,1884,MANURES,Unenumerated,Uruguay,Tons,1410,1440,1410,10626,1440,10626,30,1->4,7,70901,True,True,7.54,7.38,2.83,6,False,False
False,False,6,q,infinity,as_1885,1885,"LEATHER, Undressed",,Holland,lbs,237759,237789,237759,13913,237789,13913,30,5->8,7,18107301,True,True,0.06,0.06,0.06,6,False,False
False,True,6,v,infinity,as_1885,1885,OIL SEED CAKE,,United States of America,Tons,1442410,1442440,195532,1442410,195532,1442440,30,1->4,12,2014777,True,True,7.38,7.38,7.54,8,False,False
False,True,6,v,infinity,as_1885,1885,"RAGS, and other Materials, for making Paper","RAGS, WOOLLEN, applicable to other uses than Manure, torn up or not",Holland,Tons,68518,68548,3739,68518,3739,68548,30,1->4,10,674688,True,True,18.33,18.33,18.42,8,False,False
False,True,6,q,infinity,as_1885,1885,"SKINS, FURS, and PELTS","Goat, Undressed",Holland,Number,100515,100545,100515,20390,100545,20390,30,1->4,13,960659,True,True,0.2,0.2,0.1,10,False,False
False,False,6,v,infinity,as_1888,1888,"FLOWERS, Artificial",Almonds,Portugal,Cwts,13418,13448,6211,13418,6211,13448,30,1->4,7,242022,True,True,2.16,2.17,2.77,4,False,False
False,False,6,q,infinity,as_1888,1888,ICE,Pig and Puddled,Holland,Tons,1915,1945,1915,8298,1945,8298,30,1->4,5,37218,True,True,4.33,4.27,4.05,5,False,False
False,False,6,v,infinity,as_1891,1891,COTTON,Waste of (Raw and Yarn),Portugal,Lbs,2418,2448,402811,2418,402811,2448,30,1->4,10,75100,True,True,0.01,0.01,0.01,5,False,False
False,True,6,q,infinity,as_1891,1891,PARAFFINE,,Germany,,2019,2049,2019,4029,2049,4029,30,1->4,3,515851,True,True,2.0,1.97,1.66,2,False,False
False,True,6,v,infinity,as_1892,1892,DYE WOODS,Unenumerated,Philippine Islands,Tons,1512,1542,278,1512,278,1542,30,1->4,10,46152,True,True,5.44,5.55,5.88,8,False,False
False,False,6,v,infinity,as_1892,1892,"SKINS, FURS, and PELTS",Furs,China,,18410,18440,334785,18410,334785,18440,30,1->4,10,392027,True,True,0.05,0.06,0.07,6,False,False
False,False,6,q,infinity,as_1893,1893,HAIR,"Cow, Ox, Bull, or Elk",Other Foreign Countries,Cwts,1018,1048,1018,2272,1048,2272,30,1->4,9,71505,True,True,2.23,2.17,1.31,8,False,False
False,True,6,q,infinity,as_1896,1896,DYE WOODS,Logwood,France,Tons,150,180,150,1835,180,1835,30,5->8,6,30976,True,True,12.23,10.19,6.39,5,False,False
False,True,6,v,infinity,as_1896,1896,SILK,"Knubs or Husks, and Waste",Bombay,Cwts,10017,10047,1236,10017,1236,10047,30,1->4,5,181535,True,True,8.1,8.13,8.48,3,False,False
False,False,6,v,infinity,as_1896,1896,SUGAR,Glucose,United States of America,Cwts,584352,584382,1468620,584352,1468620,584382,30,5->8,5,622724,True,True,0.4,0.4,0.44,4,False,False
False,True,6,v,infinity,as_1897,1896,Cotton,Dutch Possessions in Indian Seas,Holland,Tons,41952,41982,34541,41952,34541,41982,30,5->8,13,663169,True,True,1.21,1.22,1.95,12,False,False
False,False,6,v,infinity,as_1897,1897,Cotton,Dutch Possessions in Indian Seas,Channel Islands,Tons,195757,195787,331128,195757,331128,195787,30,5->8,3,197510,True,True,0.59,0.59,5.12,9,False,False
False,False,6,q,infinity,as_1897,1896,TIN,"Sawn or Split, planed or dressed, Fir",United States of America : Other Foreign Countries,Loads,514,544,514,2084,544,2084,30,1->4,10,4460220,True,True,4.05,3.83,2.35,8,False,False
False,False,6,v,infinity,as_1897,1894,WOOLLEN YARN,Stuffs,Germany,Yards,140756,140786,1703225,140756,1703225,140786,30,5->8,6,5665127,True,True,0.08,0.08,0.09,5,False,False
False,True,6,v,infinity,as_1897,1895,"CARDS, PLAYING",,Germany,Dozen Packs,255,285,27821,255,27821,285,30,5->8,4,2357,True,True,0.01,0.01,0.03,4,False,False
False,True,6,v,infinity,as_1898,1895,"CHINA, OR PORCELAIN, AND EARTHENWARE",,Hong Kong,Cwts,2515,2545,768,2515,768,2545,30,1->4,3,3987,True,True,3.27,3.31,3.71,2,False,False
False,True,6,v,infinity,as_1898,1896,"CHINA, OR PORCELAIN, AND EARTHENWARE",,Hong Kong,Cwts,2050,2080,757,2050,757,2080,30,5->8,3,4472,True,True,2.71,2.75,3.11,3,False,False
False,True,6,v,infinity,as_1898,1896,FLAX,"Apples, Raw",Spain,Bushels,1357,1387,5262,1357,5262,1387,30,5->8,10,851566,True,True,0.26,0.26,0.27,10,False,False
False,False,6,v,infinity,as_1898,1898,IRON,"Steel, Unwrought",United States of America,Tons,158659,158689,29374,158659,29374,158689,30,5->8,8,250314,True,True,5.4,5.4,9.44,5,False,False
False,True,6,q,infinity,as_1898,1894,LEATHER,Undressed,France,Cwts,2056,2086,2056,14840,2086,14840,30,5->8,18,307336,True,True,7.22,7.11,5.58,13,False,False
False,True,6,v,infinity,as_1898,1895,METAL,Of other sorts,Holland,Tons,1659,1689,800,1659,800,1689,30,5->8,8,17579,True,True,2.07,2.11,4.08,6,False,False
False,True,6,v,infinity,as_1898,1895,ZINC,Ore of,Belgium,Tons,37815,37845,11205,37815,11205,37845,30,1->4,10,142460,True,True,3.37,3.38,5.84,6,False,False
False,True,6,q,infinity,as_1899,1896,FRUIT,Lemons,Other Foreign Countries,Bushels,1218,1248,1218,383,1248,383,30,1->4,8,1653357,True,True,0.31,0.31,0.31,5,False,False
False,True,6,q,infinity,as_1899,1898,HONEY,Eastern Coast of Africa,British East Indies : Ceylon,,55,85,55,4448,85,4448,30,5->8,16,3569,True,True,80.87,52.33,30.35,12,False,False
False,False,6,q,infinity,as_1899,1899,METAL,"Unenumerated, Wrought or Manufactured : Old, fit only to be Re-manufactured",Spain,Tons,14,44,14,2045,44,2045,30,1->4,14,4601,True,True,146.07,46.48,33.49,13,False,False
False,True,6,q,infinity,as_1899,1896,Cotton,Tares and Lentils,Bombay,Bushels,87410,87440,87410,21204,87440,21204,30,1->4,3,157634,True,True,0.24,0.24,0.14,2,False,False
False,True,6,v,infinity,as_1899,1897,SUGAR,"Unrefined, Total",Philippine and Ladrone Islands,Cwts,310810,310840,812111,310810,812111,310840,30,1->4,21,5347577,True,True,0.38,0.38,0.45,18,False,False
False,False,6,q,infinity,as_1899,1897,"CARDS, PLAYING","Kiln Dried, Roasted, or Ground",France,Lbs,1415,1445,1415,111,1445,111,30,1->4,6,11323,True,True,0.08,0.08,0.06,4,False,False
False,True,6,q,chandra,as_1876,1876,HATS or BONNETS,Of Straw,Other Countries,Lbs,22167,22187,22167,6017,22187,6017,20,6->8,3,478480,True,True,0.27,0.27,0.22,3,False,False
False,True,6,q,chandra,as_1877,1877,WOOD and TIMBER,"Sawn or Split, Planed or Dressed : Unenumerated",Sweden,Loads,121686,121666,121686,166425,121666,166425,-20,8->6,10,374114,True,True,1.37,1.37,3.83,9,False,False
False,True,6,q,chandra,as_1877,1877,BONES (except Whalefins),Applicable to Manufacturing Purposes,Belgium,Tons,262,252,262,2846,252,2846,-10,6->5,9,7455,True,True,10.86,11.29,11.17,8,False,False
False,True,6,v,chandra,as_1877,1877,OIL,"Chemical, Essential, or Perfumed",Other Countries,Lbs,10663,10653,16036,10663,16036,10653,-10,6->5,8,237484,True,True,0.66,0.66,0.4,7,False,False
False,True,6,q,chandra,as_1897,1893,GLASS,"Window and German Sheet, including Shades and Cylinders",France,Cwts,1520,1530,1520,1476,1530,1476,10,2->3,5,936524,True,True,0.97,0.96,0.71,5,False,False
False,True,6,v,chandra,as_1898,1895,GLASS,Tow,France,Tons,1525,1535,137,1525,137,1535,10,2->3,5,74219,True,True,11.13,11.2,14.39,5,False,False
False,False,6,v,chandra,as_1899,1898,HONEY,,Australasia : Queensland,Cwts,553,563,408,553,408,563,10,5->6,8,7303,True,True,1.36,1.38,1.67,6,False,False
False,True,6,v,infinity,as_1876,1876,"PLATINA, Wrought and Unwrought",,Belgium,Oz. Troy,14360,14350,15352,14360,15352,14350,-10,6->5,4,39957,True,True,0.94,0.93,0.78,3,False,False
False,True,6,q,infinity,as_1890,1890,Corn and Grain,Wheat,Egypt,,425465,425455,425465,142852,425455,142852,-10,6->5,15,47176349,True,True,0.34,0.34,0.38,15,False,False
False,True,6,q,infinity,as_1890,1890,HORNS and HOORS,,Other British Possessions,Tons,64,54,64,910,54,910,-10,6->5,4,2533,True,True,14.22,16.85,41.08,4,False,False
False,True,6,v,infinity,as_1898,1895,LEATHER,Undressed,Japan,Cwts,60,50,11,60,11,50,-10,6->5,19,1336585,True,True,5.45,4.55,4.91,14,False,False
False,True,6,q,infinity,as_1899,1895,METAL,"Unenumerated, Unwrought",Holland,Tons,64,54,64,1974,54,1974,-10,6->5,8,1001,True,True,30.84,36.56,140.58,6,False,False
False,False,6,q,chandra,as_1888,1888,CORK,Unmanufactured,Algeria,Tons,620,629,620,20420,629,20420,9,0->9,8,14076,True,True,32.94,32.46,16.26,4,False,False
False,False,6,q,chandra,as_1897,1897,DYE STUFFS (Other than Dye Woods) and Substances used in Tan- ning or Dyeing,"Madder, Madder Root, Garancine, and Munjeet",Asiatic,Cwts,369,360,369,375,360,375,-9,9->0,4,3793,True,True,1.02,1.04,1.66,2,False,False
False,False,6,q,chandra,as_1897,1893,WOOD AND TIMBER,Mahogany,Western Coast of Africa : French Possessions,,4000,4009,4000,38865,4009,38865,9,0->9,12,38235,True,True,9.72,9.69,8.52,3,False,False
False,False,6,q,chandra,as_1898,1895,LEAD,Undressed,China,Cwts,20,29,20,207,29,207,9,0->9,19,370081,True,True,10.35,7.14,4.55,4,False,False
False,False,6,v,chandra,as_1898,1896,NUTS AND KERNELS,"Fish, Sperm or Head-matter",Portugal,,3620,3629,134,3620,134,3629,9,0->9,5,8066,True,True,27.01,27.08,28.17,3,False,False
False,False,6,q,chandra,as_1898,1896,PORK,Salted (not hams),Other Foreign Countries,,320,329,320,412,329,412,9,0->9,7,238696,True,True,1.29,1.25,0.99,2,False,False
False,False,6,v,chandra,as_1898,1894,TOBACCO,Other Sorts,Malta,Lbs,630,639,2764,630,2764,639,9,0->9,8,2952,True,True,0.23,0.23,0.28,2,False,False
False,True,6,v,chandra,as_1899,1899,"MATCHES, Safety and Other Sorts",Other sorts,Holland,,3510,3519,70070,3510,70070,3519,9,0->9,6,194729,True,True,0.05,0.05,0.06,2,False,False
False,False,6,v,infinity,as_1890,1890,LEAD,Ore of,Belgium,Tons,3270,3279,410,3270,410,3279,9,0->9,13,88585,True,True,7.98,8.0,8.0,2,False,False
False,False,6,v,infinity,as_1895,1895,IRON,Unenumerated,Germany,Cwts,408099,408090,309979,408099,309979,408090,-9,9->0,11,2816369,True,True,1.32,1.32,1.18,3,False,False
False,False,6,q,infinity,as_1897,1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",RAW,Peru,Cwts,70160,70169,70160,157213,70169,157213,9,0->9,17,15010590,True,True,2.24,2.24,2.02,5,False,False
False,False,6,q,infinity,as_1897,1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",RAW,Brazil,Cwts,150120,150129,150120,303425,150129,303425,9,0->9,17,15010590,True,True,2.02,2.02,2.02,5,False,False
False,False,6,v,infinity,as_1897,1894,Cotton,Dutch Possessions in Indian Seas,Germany,Tons,18970,18979,6088,18970,6088,18979,9,0->9,9,151002,True,True,3.12,3.12,3.31,3,False,False
False,False,6,q,infinity,as_1897,1895,"CARDS, PLAYING","White, in Bottles, Still",Other British Possessions,Gallons,1020,1029,1020,585,1029,585,9,0->9,4,3708,True,True,0.57,0.57,0.51,2,False,False
False,False,6,q,infinity,as_1898,1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",,France,Tons,200,209,200,2345,209,2345,9,0->9,12,20154,True,True,11.72,11.22,10.27,3,False,False
False,True,6,q,infinity,as_1898,1896,Bark,Logwood,British Honduras,Tons,20960,20969,20960,171585,20969,171585,9,0->9,4,45099,True,True,8.19,8.18,6.0,2,False,False
False,False,6,v,infinity,as_1898,1894,HATS OR BONNETS,Eastern Coast of Africa,British East Indies : Hong Kong,,800,809,432,800,432,809,9,0->9,22,685327,True,True,1.85,1.87,2.19,3,False,False
False,False,6,v,infinity,as_1898,1895,LEATHER,"Unenumerated, Salted or Fresh",Canada,Cwts,1730,1739,1501,1730,1501,1739,9,0->9,5,20727,True,True,1.15,1.16,1.98,3,False,False
False,False,6,v,infinity,as_1898,1895,SUGAR,"Sawn or Split, planed or dressed, Fir",Other British Possessions,Loads,60,69,33,60,33,69,9,0->9,6,2534728,True,True,1.82,2.09,6.13,2,False,False
False,False,6,q,infinity,as_1898,1898,SUGAR,Mahogany,United States of America,,13170,13179,13170,124183,13179,124183,9,0->9,12,41110,True,True,9.43,9.42,8.76,4,False,False
False,False,6,q,infinity,as_1899,1895,LEATHER,Dressed,Canada,,10300,10309,10300,61940,10309,61940,9,0->9,7,13867,True,True,6.01,6.01,5.88,2,False,False
False,False,6,q,infinity,as_1899,1897,Beef,Other Sorts,Canada,Cwts,8390,8399,8390,27842,8399,27842,9,0->9,7,80087,True,True,3.32,3.31,2.07,2,False,False
False,False,6,q,infinity,as_1899,1896,OIL,Other Materials.,Denmark,Tons,720,729,720,6001,729,6001,9,0->9,11,22678,True,True,8.33,8.23,7.08,3,False,False
False,True,6,q,infinity,as_1899,1897,Cotton,Flax or Linseed,Cyprus,Quarters,550,559,550,1129,559,1129,9,0->9,15,1381749,True,True,2.05,2.02,1.62,4,False,False
False,False,6,q,infinity,as_1899,1898,SUGAR,Mahogany,United States of America,,13170,13179,13170,124183,13179,124183,9,0->9,12,41110,True,True,9.43,9.42,8.76,4,False,False
False,False,6,v,infinity,as_1899,1895,WOOLLEN YARN,Cloths,Other Foreign Countries,Yards,150,159,1060,150,1060,159,9,0->9,6,701641,True,True,0.14,0.15,0.17,2,False,False
False,True,6,q,chandra,as_1872,1872,WOOD and TIMBER,Mahogany,Hayti and St. Domingo,Tons,1096,1090,1096,11235,1090,11235,-6,6->0,8,33920,True,True,10.25,10.31,11.94,2,False,False
False,False,6,q,chandra,as_1882,1882,"SKINS, FURS, and PELTS",Furs,British North America,,622050,622056,622050,126593,622056,126593,6,0->6,9,23125624,True,True,0.2,0.2,0.09,5,False,False
False,False,6,v,chandra,as_1896,1896,COTTON,Waste of (Raw and Yarn),Italy,Lbs,15216,15210,1989100,15216,1989100,15210,-6,6->0,10,79556,True,True,0.01,0.01,0.01,5,False,False
