volume,article_group,article,seq_start,seq_end,obs_source,target_sig,selected,admitted,drop_null_qty,drop_subtotal,drop_bad_subentry,drop_no_sig,drop_consensus_holds_triple,drop_already_added
as_1899,CORDAGE,Wheatmeal or Flour,4032,4137,ch,flour+meal+wheat,106,48,0,15,0,0,0,43
as_1899,CORDAGE,Oatmeal and Groats,4138,4170,ch,flour+groat+meal+oat,33,12,0,15,0,0,0,6
as_1899,CORDAGE,Maize or Indian Cornmeal,4171,4195,ch,corn+flour+indian+maize+meal,25,7,0,15,0,0,0,3
as_1899,CORDAGE,"Meal, not otherwise enumerated or described",4196,4284,ch,described+enumerated+flour+meal,89,33,0,15,0,0,0,41
as_1897,"CHINA, OR PORCELAIN, AND EARTHENWARE",Wheatmeal or Flour,0,0,ch,flour+meal+wheat,0,0,0,0,0,0,0,0
as_1874,BUTTER,,171,178,inf,butter,8,8,0,0,0,0,0,0
as_1875,CAOUTCHOUC,,204,206,inf,caoutchouc,3,3,0,0,0,0,0,0
as_1875,CAOUTCHOUC,,207,221,inf,caoutchouc,14,13,0,1,0,0,0,0
as_1887,CAOUTCHOUK,East Africa,314,339,ch,caoutchouc,26,23,0,3,0,0,0,0
as_1889,CAOUTCHOUK,East Africa,339,356,ch,caoutchouc,18,15,0,3,0,0,0,0
as_1890,CAOUTCHOUQ,East Africa,329,345,ch,caoutchouc,17,14,0,3,0,0,0,0
as_1891,CAOUTCHOUCC,West Africa,324,347,ch,caoutchouc,24,21,0,3,0,0,0,0
as_1874,COFFEE,,51,69,ch,coffee,19,19,0,0,0,0,0,0
as_1874,COFFEE,,70,70,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,71,71,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,72,72,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,73,73,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,74,74,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,75,75,ch,coffee,1,1,0,0,0,0,0,0
as_1874,COFFEE,,76,76,ch,coffee,1,1,0,0,0,0,0,0
as_1898,"COPPER, ORE OF",Beans (not Kidney or French),0,0,ch,bean+corn+grain,0,0,0,0,0,0,0,0
as_1898,"COPPER, ORE OF",Peas,0,0,ch,corn+grain+pea,0,0,0,0,0,0,0,0
as_1898,"COPPER, ORE OF",Oatmeal and Groats,0,0,ch,flour+groat+meal+oat,0,0,0,0,0,0,0,0
as_1898,"COPPER, ORE OF",Maize or Indian Cornmeal,0,0,ch,corn+flour+indian+maize+meal,0,0,0,0,0,0,0,0
as_1898,"COPPER, ORE OF","Meal, not otherwise enumerated or described",0,0,ch,described+enumerated+flour+meal,0,0,0,0,0,0,0,0
as_1898,"COPPER, ORE OF","Cables (not of Iron), Twine, and Cable Yarn",0,0,ch,cable+cordage+twine+yarn,0,0,0,0,0,0,0,0
as_1886,COTTON,Raw,648,661,inf,cotton+raw,14,14,0,0,0,0,0,0
as_1886,COTTON,Raw,720,720,ch,cotton+raw,1,1,0,0,0,0,0,0
as_1886,COTTON,Raw,721,729,ch,cotton+raw,9,9,0,0,0,0,0,0
as_1879,TEA,,0,0,ch,tea,0,0,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,84,84,ch,coffee,1,1,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,85,86,ch,coffee,2,2,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,88,89,ch,coffee,2,2,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,90,90,ch,coffee,1,1,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,92,92,ch,coffee,1,1,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,93,93,ch,coffee,1,1,0,0,0,0,0,0
as_1883,COFFEE,West Coast of Africa,94,105,ch,coffee,12,12,0,0,0,0,0,0
as_1882,COFFEE,,0,0,ch,coffee,0,0,0,0,0,0,0,0
as_1885,Corn and Grain,Wheat,536,553,ch,corn+grain+wheat,17,17,0,0,0,0,0,0
as_1885,Corn and Grain,Wheat,555,563,ch,corn+grain+wheat,9,9,0,0,0,0,0,0
as_1885,"CORN, GRAIN, MEAL, and FLOUR",Wheat,0,0,ch,corn+grain+wheat,0,0,0,0,0,0,0,0
as_1895,"CORN, GRAIN, MEAL, and FLOUR","Corn, Wheat",554,565,ch,corn+grain+wheat,12,12,0,0,0,0,0,0
as_1895,"CORN, GRAIN, MEAL, and FLOUR","Corn, Wheat",567,573,ch,corn+grain+wheat,7,7,0,0,0,0,0,0
as_1883,SPIRITS,Not tested for ascertaining strength,252,268,ch,tea,17,12,0,0,0,0,0,5
as_1884,SPIRITS,Rum,207,219,ch,tea,13,11,0,0,0,0,0,2
as_1884,TEA,British India,0,0,ch,tea,0,0,0,0,0,0,0,0
as_1876,FRUIT,Unmanufactured,174,189,ch,tobacco+unmanufactured,16,16,0,0,0,0,0,0
as_1877,SPIRITS,Unmanufactured,147,159,ch,tobacco+unmanufactured,13,13,0,0,0,0,0,0
as_1881,TOBACCO,,0,0,ch,tobacco+unmanufactured,0,0,0,0,0,0,0,0
as_1874,ISINGLASS,,922,923,ch,jute,2,2,0,0,0,0,0,0
as_1874,JUTE,,0,0,ch,jute,0,0,0,0,0,0,0,0
as_1876,FRUIT,"Perfumed Spirits (including Water Cologne) : Unenumerated, including Shrub",164,171,ch,tea,8,8,0,0,0,0,0,0
as_1876,FRUIT,"Perfumed Spirits (including Water Cologne) : Unenumerated, including Shrub",172,172,ch,tea,1,1,0,0,0,0,0,0
as_1877,SPIRITS,"Unenumerated, including Shrub",139,144,ch,tea,6,6,0,0,0,0,0,0
as_1876,TEA,,0,0,ch,tea,0,0,0,0,0,0,0,0
as_1885,SPIRITS,Brandy,190,197,ch,tea,8,1,0,1,0,0,0,6
as_1885,SPIRITS,British Indies,198,206,ch,tea,9,9,0,0,0,0,0,0
as_1886,SPIRITS,Brandy,145,161,ch,tea,17,10,0,1,0,0,0,6
as_1888,SPIRITS,Rum,166,174,ch,tea,9,9,0,0,0,0,0,0
as_1888,SPIRITS,Rum,176,184,ch,tea,9,9,0,0,0,0,0,0
as_1890,SPIRITS,"Unenumerated, not Sweetened or Mixed",209,217,ch,tea,9,1,0,0,0,0,0,8
as_1890,SPIRITS,"Unenumerated, not Sweetened or Mixed",219,226,ch,tea,8,8,0,0,0,0,0,0
as_1881,SUGAR,TEA,0,0,ch,tea,0,0,0,0,0,0,0,0
as_1878,SPIRITS,"Unenumerated, including Shrub",124,130,ch,tea,7,7,0,0,0,0,0,0
as_1873,CAOUTCHouc,West Coast of Africa (Foreign),218,229,ch,caoutchouc,12,12,0,0,0,0,0,0
as_1873,CAOUTCHouc,,214,217,ch,caoutchouc,4,4,0,0,0,0,0,0
as_1873,CAOUTCHOUC,,0,0,ch,caoutchouc,0,0,0,0,0,0,0,0
as_1889,COCOA,"Cocoa or Chocolate, ground, prepared or in any way manufactured",67,81,ch,coffee,15,15,0,0,0,0,0,0
as_1889,COCOA,"Cocoa or Chocolate, ground, prepared or in any way manufactured",83,85,ch,coffee,3,3,0,0,0,0,0,0
as_1889,COCOA,"Cocoa or Chocolate, ground, prepared or in any way manufactured",87,92,ch,coffee,6,6,0,0,0,0,0,0
as_1887,COFFEE,,0,0,ch,coffee,0,0,0,0,0,0,0,0
as_1893,Corn and Grain,Barley,583,604,inf,barley+corn+grain,22,21,0,1,0,0,0,0
as_1876,FRUIT,Raisins,132,135,ch,brandy+spirit,4,4,0,0,0,0,0,0
as_1880,COFFEE,,95,98,ch,brandy+spirit,4,4,0,0,0,0,0,0
as_1881,COFFEE,,80,83,ch,brandy+spirit,4,4,0,0,0,0,0,0
as_1884,SPIRITS,Rum,166,166,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1884,SPIRITS,Rum,167,167,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1884,SPIRITS,Rum,168,168,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1887,SPIRITS,Rum,87,87,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1887,SPIRITS,Rum,88,88,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1887,SPIRITS,Rum,89,89,ch,brandy+spirit,1,1,0,0,0,0,0,0
as_1874,SPIRITS,Brandy,0,0,ch,brandy+spirit,0,0,0,0,0,0,0,0
as_1886,COFFEE,,0,0,ch,coffee,0,0,0,0,0,0,0,0
as_1890,Cotton,Flax or Linseed,2905,2912,ch,flax+linseed+seed,8,8,0,0,0,0,0,0
as_1890,Cotton,Flax or Linseed,2914,2920,ch,flax+linseed+seed,7,7,0,0,0,0,0,0
as_1892,SEEDS,,3215,3225,ch,flax+linseed+seed,11,11,0,0,0,0,0,0
as_1892,SEEDS,,3227,3231,ch,flax+linseed+seed,5,5,0,0,0,0,0,0
as_1889,WINE,"White, in Bottles, Sparkling : Other Sorts",449,475,ch,red+wine,27,24,0,3,0,0,0,0
as_1889,WINE,"White, in Bottles, Sparkling : Other Sorts",476,502,ch,white+wine,27,24,0,3,0,0,0,0
as_1889,WINE,"White, in Bottles, Sparkling : Other Sorts",440,445,ch,bottle+sparkling+white+wine,6,3,0,3,0,0,0,0
as_1889,CHICORY,"White, in Bottles, Sparkling : Other Sorts",0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1890,WINE,"White, in Bottles, Sparkling. : Other Sorts",397,423,ch,red+wine,27,24,0,3,0,0,0,0
as_1890,WINE,"White, in Bottles, Sparkling. : Other Sorts",424,450,ch,white+wine,27,24,0,3,0,0,0,0
as_1890,WINE,"White, in Bottles, Sparkling. : Other Sorts",388,393,ch,bottle+sparkling+white+wine,6,3,0,3,0,0,0,0
as_1891,WINE,Red: Total of,452,480,ch,red+wine,29,26,0,3,0,0,0,0
as_1891,WINE,White: Total of,481,509,ch,white+wine,29,26,0,3,0,0,0,0
as_1891,TOBACCO,"White, in Bottles, Sparkling : Other Sorts",0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1893,WINE,Red: Total of,455,483,ch,red+wine,29,26,0,3,0,0,0,0
as_1893,TOBACCO,Red: Total of,0,0,ch,red+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,White: Total of,0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,"White, in Bottles, Still : Champagne",0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,"Red, in Casks",0,0,ch,red+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,"White, in Casks",0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,"Red, in Bottles : Still",0,0,ch,red+wine,0,0,0,0,0,0,0,0
as_1893,TOBACCO,"White, in Bottles : Still",0,0,ch,white+wine,0,0,0,0,0,0,0,0
as_1885,SUGAR,Refined; Total of,2847,2847,inf,refined+sugar+total,1,1,0,0,0,0,0,0
as_1885,SUGAR,Refined; Total of,2849,2858,inf,refined+sugar+total,10,7,0,3,0,0,0,0
as_1884,SUGAR,Refined; Total of,2416,2426,ch,refined+sugar+total,11,10,0,1,0,0,0,0
as_1885,SUGAR,Refined; Total of,0,0,ch,refined+sugar+total,0,0,0,0,0,0,0,0
as_1885,MUSICAL INSTRUMENTS,"MUTTON, FRESH",1790,1793,inf,fresh+mutton,4,4,0,0,0,0,0,0
as_1873,Cotton,,1500,1510,ch,cotton+flax+linseed,11,11,0,0,0,0,0,0
as_1875,Cotton,,1285,1294,ch,cotton+flax+linseed,10,10,0,0,0,0,0,0
as_1880,Corn and Grain,Wheat,340,347,ch,corn+grain+wheat,8,8,0,0,0,0,0,0
as_1880,Corn and Grain,Wheat,348,348,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1880,Corn and Grain,Wheat,349,349,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1880,Corn and Grain,Wheat,350,350,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1880,Corn and Grain,Wheat,351,351,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,318,319,ch,corn+grain+wheat,2,2,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,321,326,ch,corn+grain+wheat,6,6,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,328,328,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,329,329,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,330,330,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1882,Corn and Grain,Wheat,332,332,ch,corn+grain+wheat,1,1,0,0,0,0,0,0
as_1876,SILK MANUFACTURES,Seal,0,0,ch,furs+pelt+seal+skin,0,0,0,0,0,0,0,0
as_1876,"SKINS, FURS, AND PEELTS",Seal,1477,1477,inf,furs+pelt+seal+skin,1,1,0,0,0,0,0,0
as_1876,"SKINS, FURS, AND PEELTS",Seal,1479,1483,inf,furs+pelt+seal+skin,5,5,0,0,0,0,0,0
as_1881,"SKINS, FURS, AND PELTS",Seal,0,0,ch,furs+pelt+seal+skin,0,0,0,0,0,0,0,0
as_1883,"SKINS, FURS, and PELTS","Seal, Undressed",2886,2902,ch,furs+pelt+seal+skin,17,17,0,0,0,0,0,0
as_1886,"SKINS, FURS, and PELTS",Whale Fisheries,2892,2898,ch,furs+pelt+seal+skin,7,6,0,1,0,0,0,0
as_1897,Cotton,"Furs, Seal Skins",17923,18050,inf,furs+pelt+seal+skin,128,82,0,15,0,0,31,0
as_1899,Cotton,"Furs, Seal Skins",20199,20307,inf,furs+pelt+seal+skin,109,40,0,15,0,0,13,41
as_1876,"SKINS, FURS, AND PELTS",Seal,0,0,ch,furs+pelt+seal+skin,0,0,0,0,0,0,0,0
as_1879,Cotton,Flax and Linseed,1402,1406,ch,cotton+flax+linseed,5,5,0,0,0,0,0,0
as_1879,Cotton,Flax and Linseed,1407,1407,ch,cotton+flax+linseed,1,1,0,0,0,0,0,0
as_1879,Cotton,Flax and Linseed,1408,1408,ch,cotton+flax+linseed,1,1,0,0,0,0,0,0
as_1873,"CARDS, PLAYING",Roasted or Ground,72,72,ch,currant+fruit,1,1,0,0,0,0,0,0
as_1873,"CARDS, PLAYING",Roasted or Ground,73,75,ch,currant+fruit,3,3,0,0,0,0,0,0
as_1873,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1877,FRUIT,Curants,64,65,ch,currant+fruit,2,2,0,0,0,0,0,0
as_1877,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1878,COFFEE,,56,56,ch,currant+fruit,1,1,0,0,0,0,0,0
as_1878,COFFEE,,57,57,ch,currant+fruit,1,1,0,0,0,0,0,0
as_1872,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1874,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1880,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1881,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1882,FRUIT,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1882,FLAX,Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1898,"CARDS, PLAYING",Currants,0,0,ch,currant+fruit,0,0,0,0,0,0,0,0
as_1886,RICE,,2602,2610,ch,rice,9,9,0,0,0,0,0,0
as_1886,RICE,,2612,2619,ch,rice,8,8,0,0,0,0,0,0
as_1888,RICE,,2809,2819,ch,rice,11,11,0,0,0,0,0,0
as_1888,RICE,,2821,2821,ch,rice,1,1,0,0,0,0,0,0
as_1888,RICE,,2822,2828,ch,rice,6,6,0,0,0,0,0,0
as_1888,RICE,,2829,2829,ch,rice,1,1,0,0,0,0,0,0
as_1890,RICE,,2820,2831,ch,rice,12,12,0,0,0,0,0,0
as_1890,RICE,,2833,2833,ch,rice,1,1,0,0,0,0,0,0
as_1890,RICE,,2834,2840,ch,rice,6,6,0,0,0,0,0,0
as_1890,RICE,,2841,2841,ch,rice,1,1,0,0,0,0,0,0
as_1891,RICE,,2831,2842,ch,rice,12,12,0,0,0,0,0,0
as_1891,RICE,,2844,2850,ch,rice,7,7,0,0,0,0,0,0
as_1893,RICE,,2923,2935,ch,rice,13,13,0,0,0,0,0,0
as_1893,RICE,,2937,2941,ch,rice,5,5,0,0,0,0,0,0
as_1886,"RAGS, and other Materials for making Paper",RICE,0,0,ch,rice,0,0,0,0,0,0,0,0
as_1890,"RAGS, WOOLLEN, applicable to other uses than Manure",RICE,0,0,ch,rice,0,0,0,0,0,0,0,0
as_1882,WOOL,For Weaving,1870,1873,inf,weaving+woollen+yarn,4,4,0,0,0,0,0,0
as_1893,WOOLLEN YARN,"For Weaving, Mixed or not with Silk",0,0,ch,weaving+woollen+yarn,0,0,0,0,0,0,0,0
as_1896,WOOLLEN YARN,"For Weaving, Mixed or not with Silk",0,0,ch,weaving+woollen+yarn,0,0,0,0,0,0,0,0
as_1896,WOOLLEN YARN,For Weaving,0,0,ch,weaving+woollen+yarn,0,0,0,0,0,0,0,0
as_1880,EGGS,,0,0,ch,eggs,0,0,0,0,0,0,0,0
as_1882,EGGS,,0,0,ch,eggs,0,0,0,0,0,0,0,0
as_1889,"COALS, CULM, and CINDERS",,430,430,inf,cinder+coal+culm,1,1,0,0,0,0,0,0
as_1879,SPIRITS,Perfumed Spirits (including Water Cologne),0,0,ch,perfumed+spirit,0,0,0,0,0,0,0,0
as_1880,SPIRITS,Perfumed Spirits and Cologne Water,0,0,ch,cologne+perfumed+spirit+water,0,0,0,0,0,0,0,0
as_1881,SPIRITS,"Perfumed Spirits, and Cologne Water",0,0,ch,cologne+perfumed+spirit+water,0,0,0,0,0,0,0,0
as_1882,SPIRITS,Perfumed,0,0,ch,perfumed+spirit,0,0,0,0,0,0,0,0
as_1883,OIL SEED CAKE,,0,0,ch,cake+oil+seed,0,0,0,0,0,0,0,0
as_1890,SPIRITS,Perfumed,0,0,ch,perfumed+spirit,0,0,0,0,0,0,0,0
as_1882,"LEATHER, Undressed",Gloves,1074,1079,ch,glove+leather+manufacture,6,6,0,0,0,0,0,0
as_1882,"LEATHER, Undressed",Boots and Shoes : Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1882,MANUFACTURES,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1883,IRON,Boots and Shoes : Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1883,"LEATHER, Undressed",MANUFACTURES : Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1883,LEATHER MANUFACTURES,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1884,"LEATHER, Undressed",Gloves,1428,1428,ch,glove+leather+manufacture,1,1,0,0,0,0,0,0
as_1884,"LEATHER, Undressed",Gloves,1430,1433,ch,glove+leather+manufacture,4,4,0,0,0,0,0,0
as_1884,"LEATHER, Undressed",Boots and Shoes : Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1884,MANUFACTURES,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1884,LEATHER MANUFACTURES,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1885,"LEATHER, Undressed",Gloves,1794,1799,ch,glove+leather+manufacture,6,6,0,0,0,0,0,0
as_1885,LEATHER MANUFACTURES—,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1874,LEATHER MANUFACTURES,Gloves,0,0,ch,glove+leather+manufacture,0,0,0,0,0,0,0,0
as_1889,CHICORY,Perfumed,243,250,inf,perfumed+spirit,8,7,0,1,0,0,0,0
as_1889,SPIRITS,Perfumed,0,0,ch,perfumed+spirit,0,0,0,0,0,0,0,0
as_1883,GUM,"Lac, Seed, Shell, Stick, and Dye",1046,1051,inf,dye+gum+lac+seed+shell+stick,6,6,0,0,0,0,0,0
as_1891,SUGAR,"In Blocks, Ingots, Bars, or Slabs",3311,3323,inf,bars+block+ingot+slab+tin,13,12,0,1,0,0,0,0
as_1891,TIN,"In Blocks, Ingots, Bars, or Slabs",0,0,ch,bars+block+ingot+slab+tin,0,0,0,0,0,0,0,0
as_1874,COFFEE,,101,106,ch,rum+spirit,6,6,0,0,0,0,0,0
as_1876,FRUIT,Raisins,124,125,ch,rum+spirit,2,2,0,0,0,0,0,0
as_1876,FRUIT,Raisins,127,129,ch,rum+spirit,3,3,0,0,0,0,0,0
as_1879,FRUIT,Raisins,34,39,ch,rum+spirit,6,6,0,0,0,0,0,0
as_1880,COFFEE,,87,92,ch,rum+spirit,6,6,0,0,0,0,0,0
as_1881,COFFEE,,77,77,ch,rum+spirit,1,1,0,0,0,0,0,0
