volume	fiscal_year	seq	offset	family	inherited	title	intertext_len	n_header_rows	n_body_rows	cells_hist	span_hist	header	first_row
oocihm.9_08052_1_1	1866-67	12	74877	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	24	[[1, 2], [10, 22]]	[[10, 24]]	PORTS. | Total Quantity. | Total Value. | CORDIALS—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gaspé & Outports, F.P.* | Gallons. 10 | $ 30 | $ 30 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	13	78982	imports_general	1	BRANDY.	37	1	5	[[8, 5]]	[[8, 5]]	 | Gallons. | $ | $ | $ | $ | $ | $	Belleville ..... | 1 | 5 |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	14	79728	imports_general	1		2	1	11	[[8, 11]]	[[8, 11]]	 | Gallons. | $ | $ | $ | $ | $ | $	Bytown ..... | 4,731 | 5,559 | 1,930 | 582 |  |  | 
oocihm.9_08052_1_1	1866-67	15	81231	imports_general	1	VINEGAR.	12	1	9	[[8, 9]]	[[8, 9]]	 | Gallons. | $ | $ | $ | $ | $ | $	Gaspé & Outports, F.P.* | 1,953 | 437 | 368 | 54 |  |  | 
oocihm.9_08052_1_1	1866-67	16	82533	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	25	[[1, 1], [10, 24]]	[[10, 25]]	P O R T S. | Total Quantity. | Total Value. | MOLASSES—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Coaticook ..... | Gallons. | $ |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	17	86707	imports_general	1	COFFEE—Ground or Roasted.	27	1	5	[[8, 5]]	[[8, 5]]	 | Lbs. | $ | $ | $ | $ | $ | $	Fort Erie..... | 599 | 146 |  |  | 146 |  | 
oocihm.9_08052_1_1	1866-67	18	87519	imports_general	1	CONFECTIONERY.	18	1	7	[[8, 7]]	[[8, 7]]	 | fbs. | $ | $ | $ | $ | $ | $	Gaspé & Outports, F.P.* | 11,835 | 2,411 | 2,231 | 180 |  |  | 
oocihm.9_08052_1_1	1866-67	19	88648	imports_general	1	SUGAR—Refined.	18	1	9	[[8, 9]]	[[8, 9]]	 | Lbs. | $ | $ | $ | $ | $ | $	Gaspé & Outports, F.P.* | 19,004 | 1,559 | 1,403 | 119 |  |  | 
oocihm.9_08052_1_1	1866-67	20	90068	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	4	33	[[1, 1], [10, 32]]	[[10, 33]]	PORTS. | Total Quantity. | Total Value. | SUGAR—OTHER THAN REFINED—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies. ||  | Lbs. | $ | $ | $ | $ | $ | $ | $ | $	Burwell ..... | 57,875 | 3,577 |  |  |  | 3,577 |  |  | 
oocihm.9_08052_1_1	1866-67	21	95788	imports_general	1		0	8	29	[[10, 29]]	[[10, 29]]	CIGARS—Value not over $10 per M. ||  | Mille. |  | $ | $ 10 | $ | $ | $ | $ | $ || CIGARS—Value over $10 and not over $20 per M. ||  | Mille. |  | $ | $ | $ | $ | $ | $ | $ || CIGARS—Value over $20 and not over $40. ||  | Mille. |  | $ | $ | $ | $ | $ | $ | $ || CIGARS—Value over $40 per M. ||  | Mi	Gaspé & Outports, F. P.* |  |  |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	22	100673	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	25	[[1, 2], [10, 23]]	[[10, 25]]	PORTS. | Total Quantity. | Total Value. | TOBACCO—MANUFACTURED—CAVENDISH—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gaspé & Outports, F.P.* | Lbs. 61,126 | $ 13,011 | $ 3,718 | $ 6,999 | $ | $ 2,204 | $ | $ | $
oocihm.9_08052_1_1	1866-67	23	104631	imports_general	1	TOBACCO—Manufactured—Canadian Twist.	38	0	3	[[9, 3]]	[[9, 3]]		Dundee..... | Lbs. | 24 | $ | 2 | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	24	105065	imports_general	1	SNUFF AND SNUFF FLOUR—Dry.	30	0	7	[[9, 7]]	[[9, 7]]		Belleville..... | Lbs. | 205 | $ | 73 | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	25	106041	imports_general	1	SNUFF—Damp, Moist or Pickled.	33	0	6	[[9, 6]]	[[9, 6]]		Hamilton..... | Lbs. | 6,274 | $ | 1,196 | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	26	106905	imports_general	1	ALE, BEER, AND PORTER—In Casks.	35	0	8	[[9, 8]]	[[9, 8]]		Port Erie..... | Galls. | 893 | $ | 157 | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	27	108087	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	27	[[1, 2], [10, 25]]	[[10, 27]]	PORTS. | Total Quantity. | Total Value. | ALE, BEER AND PORTER—IN BOTTLES—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gasp & Outports, F.P.* | Dezens. | $ | $ | $ | $ | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	28	112339	imports_general	1	SPICES—including GINGER, PIMENTO AND PEPPER—Ground.	53	1	7	[[9, 7]]	[[9, 7]]	 | Lbs. | $ | $ | $ | $ | $ | $ | $	Bytown ..... | 520 | 132 |  |  |  | 152 |  | 
oocihm.9_08052_1_1	1866-67	29	113413	imports_general	1	PACKAGES.	13	1	8	[[9, 8]]	[[9, 8]]	 | $ | $ | $ | $ | $ | $ | $ | $	Bytown ..... | 222 |  |  |  | 222 |  |  | 
oocihm.9_08052_1_1	1866-67	30	114672	imports_general	1	PATENT MEDICINES AND MEDICINAL PREPARATIONS.	48	1	12	[[9, 12]]	[[9, 12]]	 | $ | $ | $ | $ | $ | $ | $ | $	Coaticook..... | 224 |  |  |  | 224 |  |  | 
oocihm.9_08052_1_1	1866-67	31	116448	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	29	[[1, 2], [10, 27]]	[[10, 29]]	PORTS. | Total Quantity. | Total Value. | SOAP—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gaspé & Outports, F.P.* | Lbs. 48,315 | $ 2,667 | $ 2,291 | $ 350 |  | $ 26 | $ 426 |  | $
oocihm.9_08052_1_1	1866-67	32	121148	imports_general	1	HARNESS AND SADDLERY.	23	0	12	[[15, 12]]	[[15, 12]]		Clifton ..... | $ 424 | $ 492 | $ 226 | $ 424 | $ 25 | $ 300 | $ 220 | $ 336 | $ 320 | $ 652 | $ 541 | $ 646 | $ 1,686 | $ 5,150
oocihm.9_08052_1_1	1866-67	33	123453	imports_general	1	CLOTHING AND WEARING APPAREL.	33	0	11	[[11, 11]]	[[11, 11]]		Bytown ..... | $ 1,667 | $ 947 | $ 137 | $ 720 | $ 719 | $ 177 | $ 177 | $ 6,201 | $ 748 | $ 177
oocihm.9_08052_1_1	1866-67	34	125192	imports_general	1	BAGATELLE BOARDS AND BILLIARD TABLES.	41	0	11	[[15, 11]]	[[15, 11]]		Brantford ..... | $ 731 | $ 147 | $ 105 | $ 731 | $ 365 | $ 472 | $ 601 | $ 394 | $ 1,573 | $ 2,737 | $ 184 | $ 651 | $ 787 | $ 8,495
oocihm.9_08052_1_1	1866-67	35	127336	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	22	[[1, 1], [10, 21]]	[[10, 22]]	PORTS. | Total Quantity. | Total Value. | BROOMS AND BRUSHES—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies |  |  |  | 	Gaspé & Outports, F.P. | ..... | $ 384 | $ 207 | $ 70 | ..... | $ 107 | ..... | ..... | .....
oocihm.9_08052_1_1	1866-67	36	131383	imports_general	1	CANDLES AND TAPERS OF TALLOW—Wax or any other Material.	57	1	12	[[7, 12]]	[[7, 12]]	 | $ | $ | $ | $ | $ | $	Gaspé & Outports, F.P.* |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	37	132793	imports_general	1	CARPETS AND HEARTH RUGS.	28	1	10	[[7, 10]]	[[7, 10]]	 | $ | $ | $ | $ | $ | $	Bytown..... | 13,665 | 13,665 |  |  |  | 
oocihm.9_08052_1_1	1866-67	38	134006	imports_general	1	CARRIAGES.	14	1	17	[[7, 17]]	[[7, 17]]	 | $ | $ | $ | $ | $ | $	Brookville..... |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	39	135940	imports_general	0	P. denotes Free Port.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	78	3	27	[[1, 2], [10, 25]]	[[10, 27]]	PORTS. | Total Quantity. | Total Value. | COACH AND HARNESS FURNITURE—IMPORTED FROM || Great Britain. | BBITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Brookville ..... | ..... | $ 1,518 | ..... | $ ..... | ..... | $ 1,518 | ..... | ..... | .....
oocihm.9_08052_1_1	1866-67	40	140835	imports_general	1	CHINA WARE CROCKERY AND EARTHENWARE.	38	0	12	[[10, 12]]	[[10, 12]]		Belleisle ..... | $ 1,311 | $ 1,311 | $ ..... | $ ..... | $ ..... | $ ..... | $ ..... | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	41	142825	imports_general	1	CIDER.	10	0	8	[[10, 8]]	[[10, 8]]		Bytown ..... | 1,234 | $ 282 | $ 227 | $ ..... | $ 232 | $ ..... | $ ..... | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	42	144164	imports_general	1	CLOCKS.	11	0	10	[[10, 10]]	[[10, 10]]		Bytown ..... | 832 | $ 693 | $ ..... | $ ..... | $ 832 | $ ..... | $ ..... | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	43	145856	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	25	[[1, 2], [10, 23]]	[[10, 25]]	PORTS. | Total Quantity. | Total Value. | COCO A AND CHOCOLATE—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Montreal..... | Lbs. 13,540 | $ 3,066 | $ 1,584 | $ 1,121 | $ ..... | $ 281 | $ ..... | $ 130 | $ .....
oocihm.9_08052_1_1	1866-67	44	150550	imports_general	1	COTTONS.	10	1	20	[[8, 20]]	[[8, 20]]	 |  | $ | $ | $ | $ | $ | $	Belleville..... |  | 3,968 | 3,968 |  |  |  | 
oocihm.9_08052_1_1	1866-67	45	153162	imports_general	1	DRIED FRUITS AND NUTS.	26	1	11	[[8, 11]]	[[8, 11]]	 | Lbs. | $ | $ | $ | $ | $ | $	Bytown ..... | 11,534 | 895 | 189 |  | 706 |  | 
oocihm.9_08052_1_1	1866-67	46	154915	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	18	[[1, 1], [10, 17]]	[[10, 18]]	P O R T S . | Total Quantity. | Total Value. | DRUGS—NOT OTHERWISE SPECIFIED—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Hamilton ..... | ..... | $ 23,500 | $ 17,290 | $ ..... | $ ..... | $ 5,396 | $ 814 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	47	158424	imports_general	1	FANCY GOODS AND MILLINERY.	28	1	12	[[8, 12]]	[[8, 12]]	 | $ | $ | $ | $ | $ | $ | $	Belleville..... | 5,574 | 3,802 |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	48	159992	imports_general	1	FOREIGN NEWSPAPERS.	23	1	9	[[8, 9]]	[[8, 9]]	 | $ | $ | $ | $ | $ | $ | $	Bytown..... | 460 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	49	161130	imports_general	1	FIREWORKS.	14	1	9	[[8, 9]]	[[8, 9]]	 | $ | $ | $ | $ | $ | $ | $	Brantford..... | 487 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	50	162314	imports_general	0	No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	49	3	19	[[1, 1], [10, 18]]	[[10, 19]]	PORTS. | Total Quantity. | Total Value. | GUNPOWDER—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Gaspé & Outports, F. P.* | ..... | $ 538 | $ 379 | $ 159 | ..... | $ 172 | ..... | ..... | .....
oocihm.9_08052_1_1	1866-67	51	166045	imports_general	1	GLASS AND GLASSWARE.	22	1	20	[[8, 20]]	[[8, 20]]	 | $ | $ | $ | $ | $ | $ | $	Bellerive ..... | 3,412 | 654 |  |  | 2,758 |  | 
oocihm.9_08052_1_1	1866-67	52	168627	imports_general	1	HATS, CAPS AND BONNETS.	27	1	16	[[8, 16]]	[[8, 16]]	 | $ | $ | $ | $ | $ | $ | $	Brantford ..... | 1,035 | 267 |  |  | 768 |  | 
oocihm.9_08052_1_1	1866-67	53	170783	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	19	[[1, 2], [10, 17]]	[[10, 19]]	PORTS. | Total Quantity. | Total Value. | HAT PLUSH—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Brighton..... |  | $ 86 | $ | $ | $ | $ 86 | $ | $ | $
oocihm.9_08052_1_1	1866-67	54	173811	imports_general	1	HOSTERY.	10	0	13	[[8, 13]]	[[8, 13]]		Brantford ..... | $ 1,614 | $ 1,614 | $ ..... | $ ..... | $ ..... | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	55	175709	imports_general	1	INKS—Of all kinds except Printing Ink.	42	0	6	[[8, 6]]	[[8, 6]]		Hamilton ..... | $ 177 | $ ..... | $ ..... | $ ..... | $ 177 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	56	176633	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	28	[[1, 1], [10, 27]]	[[10, 28]]	PORTS. | Total Quantity. | Total Value. | IRON AND HARDWARE—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Belleville..... | ..... | $ 5,546 | $ 156 |  |  | $ 5,390 |  |  | 
oocihm.9_08052_1_1	1866-67	57	181305	imports_general	1	LEATHER.	10	1	10	[[8, 10]]	[[8, 10]]	 | $ | $ | $ | $ | $ | $ | $	Bytown ..... | 352 |  |  |  | 352 |  | 
oocihm.9_08052_1_1	1866-67	58	182759	imports_general	1	LEATHER—SHEEP, CALF AND CHAMOIS SKINS—Dressed.	50	1	5	[[8, 5]]	[[8, 5]]	 | $ | $ | $ | $ | $ | $ | $	Montreal ..... | 2,360 | 2,803 |  |  | 55 | 2 | 
oocihm.9_08052_1_1	1866-67	59	183524	imports_general	1	LINEN.	10	1	15	[[8, 15]]	[[8, 15]]	 | $ | $ | $ | $ | $ | $ | $	Branford ..... | 2,951 | 2,939 |  |  | 12 |  | 
oocihm.9_08052_1_1	1866-67	60	185618	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	21	[[1, 2], [10, 19]]	[[10, 21]]	PORTS. | Total Quantity. | Total Value. | LOCOMOTIVE ENGINES AND RAILROAD CARS—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Montreal ..... | ..... | $ 18,490 | $ 16,963 | $ ..... | $ ..... | $ 1,527 | $ ..... | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	61	189539	imports_general	1	MANUFACTURES OF INDIA RUBBER AND GUTTA PERCHA.	48	0	9	[[8, 9]]	[[8, 9]]		Hamilton..... |  | $ 3,399 | $ 2,315 | $ | $ 1,084 | $ | $
oocihm.9_08052_1_1	1866-67	62	190605	imports_general	1	MANUFACTURES OF FUR, or of which FUR is the principal part.	63	0	5	[[8, 5]]	[[8, 5]]		Montreal..... |  | $ 70,839 | $ 32,185 | $ 35,912 | $ 2,384 | $ | $
oocihm.9_08052_1_1	1866-67	63	191234	imports_general	1	MANUFACTURES OF HAIR.	25	0	5	[[8, 5]]	[[8, 5]]		Montreal..... |  | $ 7,584 | $ 7,454 | $ | $ 430 | $ | $
oocihm.9_08052_1_1	1866-67	64	191864	imports_general	0	No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	49	3	24	[[1, 2], [10, 22]]	[[10, 24]]	PORTS. | Total Quantity. | Total Value. | MANUFACTURES OF PAPIER MACHE—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Kingston..... |  | $ 3 | $ 3 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	65	195677	imports_general	1	MANUFACTURES OF GOLD, SILVER, &c.	35	0	10	[[7, 10]]	[[7, 10]]		Bytown..... | $ 501 | $ 499 | $ ..... | $ 2 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	66	196947	imports_general	1	MANUFACTURES OF BRASS OR COPPER.	36	0	8	[[7, 8]]	[[7, 8]]		Coatobuck..... | $ 3,022 | $ 123 | $ ..... | $ 3,022 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	67	198010	imports_general	1	MANUFACTURES OF LEATHER, or imitation of.	45	0	11	[[7, 11]]	[[7, 11]]		Chatham..... | $ 313 | $ 13 | $ ..... | $ 300 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	68	199399	imports_general	0	No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	49	3	27	[[1, 1], [10, 26]]	[[10, 27]]	PORTS. | Total Quantity. | Total Value. | MANUFACTURES OF WOOD—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. || North America. | West Indies.	Brantford ..... |  | $ 946 |  |  |  | $ 946 |  |  | 
oocihm.9_08052_1_1	1866-67	69	203699	imports_general	1	MUSICAL INSTRUMENTS.	22	1	17	[[10, 17]]	[[10, 17]]	 |  | $ | $ | $ | $ | $ | $ | $ | $	Branford ..... |  |  |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	70	206145	imports_general	1	MUSTARD.	12	1	8	[[10, 8]]	[[10, 8]]	 | Lbs. | $ | $ | $ | $ | $ | $ | $ | $	Hamilton..... | 13,680 |  | 1,637 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	71	207532	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	29	[[1, 1], [10, 28]]	[[10, 29]]	PORTS. | Total Quantity. | Total Value. | OTHER MACHINERY—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Branford ..... |  | $ 1,222 |  |  |  | $ 1,222 |  |  | 
oocihm.9_08052_1_1	1866-67	72	212086	imports_general	1	OILS.	7	0	12	[[11, 12]]	[[11, 12]]		Brookville ..... |  |  |  |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	73	213788	imports_general	1	OPIUM.	10	0	4	[[11, 4]]	[[11, 4]]		Hamilton..... |  |  |  |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	74	214376	imports_general	1	PACKAGES.	13	0	8	[[11, 8]]	[[11, 8]]		Port Erie..... |  |  |  |  |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	75	215576	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	22	[[1, 1], [10, 21]]	[[10, 22]]	P O R T S. | Total Quantity. | Total Value. | PAINTS AND COLOURS—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies |  |  |  | 	Bytown..... |  | $ 1,000 | $ 1,772 | $ 103 | $ | $ 1,000 | $ | $ | $
oocihm.9_08052_1_1	1866-67	76	219229	imports_general	1	PAPER HANGINGS.	17	0	13	[[8, 13]]	[[8, 13]]		Chatham ..... | $ 1,525 | $ 1,334 | $ | $ 191 | $ | $ | $
oocihm.9_08052_1_1	1866-67	77	220836	imports_general	1	PARASOLS AND UMBRELLAS.	27	0	7	[[8, 7]]	[[8, 7]]		Hamilton..... | $ 2,363 | $ 2,363 | $ | $ | $ | $ | $
oocihm.9_08052_1_1	1866-67	78	221704	imports_general	1	PLAYING CARDS.	18	0	5	[[8, 5]]	[[8, 5]]		Montreal ..... | $ 2,674 | $ 1,805 | $ | $ | $ | $ | $ 869
oocihm.9_08052_1_1	1866-67	79	222400	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	20	[[1, 1], [10, 19]]	[[10, 20]]	PORTS. | Total Quantity | Total Value. | PICKLES AND SAUCES—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Gaspé & Outports, F.P.* | ..... | $ 311 | $ 276 | $ 27 | ..... | $ 8 | $ 61 | $ ..... | $ .....
oocihm.9_08052_1_1	1866-67	80	226303	imports_general	1	PRINTED OR LITHOGRAPHED BILLS, PAMPHLETS, &c.	47	1	8	[[9, 8]]	[[9, 8]]	 |  | $ | $ | $ | $ | $ | $ | $	Hamilton ..... |  | 1,391 | 1,478 |  | 1,391 |  |  | 
oocihm.9_08052_1_1	1866-67	81	227561	imports_general	1	SILKS, SATINS, VELVETS AND SHAWLS.	38	1	17	[[9, 17]]	[[9, 17]]	 |  | $ | $ | $ | $ | $ | $ | $	Belleville..... |  | 2,405 | 2,400 |  | 5 |  |  | 
oocihm.9_08052_1_1	1866-67	82	229996	imports_general	1	SPICES—Including GINGER, PIMENTO AND PEPPER—Unground.	57	1	9	[[9, 9]]	[[9, 9]]	 | Lbs. | $ | $ | $ | $ | $ | $ | $	Hamilton..... | 57,224 | 4,464 | 3,850 |  | 614 |  |  | 
oocihm.9_08052_1_1	1866-67	83	231486	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	22	[[1, 1], [10, 21]]	[[10, 22]]	PORTS. | Total Quantity. | Total Value. | STATIONERY—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Brockville ..... | ..... | $ 2,178 | $ 2,043 | ..... | ..... | $ 135 | ..... | ..... | .....
oocihm.9_08052_1_1	1866-67	84	235685	imports_general	1	SMALL WARES.	14	1	16	[[9, 16]]	[[9, 16]]	 | $ | $ | $ | $ | $ | $ | $ | $	Bytown | 14,912 | 14,912 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	85	237844	imports_general	1	TOBACCO PIPES.	18	1	9	[[9, 9]]	[[9, 9]]	 | $ | $ | $ | $ | $ | $ | $ | $	Hamilton | 438 | 250 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	86	239099	imports_general	1	TOYS.	9	1	9	[[9, 9]]	[[9, 9]]	 | $ | $ | $ | $ | $ | $ | $ | $	Bramford | 244 | 41 |  |  |  |  |  | 
oocihm.9_08052_1_1	1866-67	87	240410	imports_general	0	P. denotes Free Ports.No. 1.—GENERAL STATEMENT OF IMPORTS.—Continued.	79	3	21	[[1, 1], [10, 20]]	[[10, 21]]	PORTS. | Total Quantity. | Total Value. | VARNISH—OTHER THAN BRIGHT OR BLACK—IMPORTED FROM || Great Britain. | BRITISH COLONIES. | United States. | France. | Germany. | Foreign Countries. ||  |  |  |  | North America. | West Indies. |  |  |  | 	Colourg..... |  | $ 700 |  |  |  | $ 700 |  |  | 
