commodity,year,gold_total,unit
Gum Kowrie,1891,72686,CWTS (Hundredweights)
"Earthenware, not being China or Porcelain Ware",1881,72516,CWTS (Hundredweights)
Pitch,1881,72003,CWTS (Hundredweights)
Wood and Timber Hewn Teak,1896,66367,Loads
"Glass Plate, whether Silvered or not",1876,64738,CWTS (Hundredweights)
Nuts and Kernels for expressing Oil,1891,62930,Tons
Spirits Sweetened or Mixed Tested,1881,62766,Proof Gallons
Gutta Percha,1891,60911,CWTS (Hundredweights)
Dye Woods Logwood,1891,54913,Tons
Spirits Sweetened or Mixed Tested,1886,52608,Proof Gallons
"Mahogany - Furniture, Hardwoods or Veneers",1876,52461,Tons
Indigo,1891,50879,CWTS (Hundredweights)
Galls,1881,50006,CWTS (Hundredweights)
Wood and Timber Hewn Teak,1891,49962,Loads
Platina Wrought and Unwrought,1881,48720,Ozs. Troy. 
Perfumed Spirits and Cologne Water,1881,46236,Gallons
Buckwheat,1881,45032,CWTS (Hundredweights)
Skins Furs Pelts Unenumerated Dressed not Leather,1886,44437,Number
Playing Cards,1881,42067,Dozen Packs
Calves,1891,41590,Number
Horses,1876,41148,Number
Pictures and Drawings by hand,1886,39878,Number
Gum Kowrie,1876,38200,CWTS (Hundredweights)
Wax,1876,33896,CWTS (Hundredweights)
Vegetable Ivory,1896,30129,CWTS (Hundredweights)
Rags Woollen applicable to other uses than Manure torn up or not,1876,28847,Tons
Cutch and Gambier,1886,28352,Tons
Ginger Raw,1881,27310,CWTS (Hundredweights)
Cutch and Gambier,1896,26844,Tons
Galls,1876,25884,CWTS (Hundredweights)
Cork Unmanufactured,1896,24535,Tons
Beer and Ale of other Sorts,1886,23235,Barrels
Iron and Steel Old Broken,1881,22956,Tons
Seed Oil of All Kinds,1876,22759,Tuns (whale oil)
Pickles preserved in Vinegar,1881,22407,Gallons
Prunes,1886,21124,CWTS (Hundredweights)
Chloral Hydrate,1886,21077,Lbs. (Pounds)
Playing Cards,1886,18889,Dozen Packs
Spirits Unenumerated not tested,1886,18639,Gallons
Ginger Spice,1891,17436,CWTS (Hundredweights)
Geldings,1891,17206,Number
Train or Blubber (Whale Oils),1881,15903,Tuns (whale oil)
Dye Woods Unenumerated,1891,15881,Tons
Madder Garancine,1876,15398,CWTS (Hundredweights)
Ore Unenumerated,1886,15071,Tons
Train or Blubber (Whale Oils),1886,14566,Tuns (whale oil)
Shumach,1876,12797,Tons
Prunes,1881,12364,CWTS (Hundredweights)
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1891,10952,CWTS (Hundredweights)
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1896,10911,CWTS (Hundredweights)
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1886,9466,CWTS (Hundredweights)
Manganese Ore,1876,8914,Tons
Ore Unenumerated,1881,7888,Tons
Wine White in Bottles Sparkling Other Sorts,1891,7162,Gallons
Iron Steel Unwrought,1881,6665,Tons
Oil Seed Cake of other sorts,1896,5744,Tons
Horns and Hoofs,1881,4948,Tons
Tin Ore,1896,4872,Tons
Swords Cutlasses Bayonets and Arms of other Sorts Unenumerated,1881,4737,CWTS (Hundredweights)
Metal Unenumerated unwrought,1881,4466,Tons
Plums Dried or Preserved,1886,3922,CWTS (Hundredweights)
Chloroform,1886,3824,Lbs. (Pounds)
Petroleum Unrefined,1881,3436,Tuns (whale oil)
Spermaceiti or Head Matter (Whale Oils),1876,3218,Tuns (whale oil)
Cocoa Husks and Shells,1886,3211,CWTS (Hundredweights)
Metal Unenumerated unwrought,1886,3137,Tons
Tobacco Manufactured Snuff,1886,2718,Lbs. (Pounds)
Wine White in Bottles Sparkling Other Sorts,1896,2697,Gallons
Ether Sulphuric,1876,2649,Gallons
Tin Ore,1891,2332,Tons
Copper Old (fit only to be re-manufactured from 1876 onward),1881,2314,Tons
"Gold Ore of, or Ore of which the greater part in Value is Gold",1896,2227,Tons
Petroleum Unrefined,1876,1886,Tuns (whale oil)
Whale Fins,1876,1799,CWTS (Hundredweights)
"Coals, Culm, or Cinders",1886,1669,Tons
Metal Old fit only to be re-manufactured,1886,1653,Tons
Metal Unenumerated unwrought,1891,1637,Tons
Beer and Ale Mum and Spruce,1886,1501,Barrels
Safflower,1886,1394,CWTS (Hundredweights)
Spermaceiti or Head Matter (Whale Oils),1886,1268,Tuns (whale oil)
