commodity,gbp,destination_score,n_cells,unit,top_origins
"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Other Manufactures Of Flint Glass)",639975,0.809,42,?,Germany | France | Brazil | Argentine Republic | British Possessions In South Africa
"Woollen Manufactures — Of Wool Other Than Goats, Or Of Wool Mixedwith Cotton: Cloths",109749,0.808,4,?,Japan | British India And Burmah | Australasia | Other Countries
"Wine, British Made — Rough, Hewn, Sawn, Or Split",50071380,0.805,11,?,Spain And Canaries | Egypt | Western Africa (Foreign | Peru | Chili
"Skins, And Furs",11281411,0.804,121,?,China | United States Of America | Chile | Uruguay | Argentine Republic
Hats,357619,0.801,20,?,"Germany | Holland | Belgium | France | Portugal, Azores, Andmadeira"
"Spirits — Various Sorts, Mixed In Bond",162991,0.8,10,?,Greece | West Africa (Foreign | Other Countries | West Africa (British | Australia
Gum,1468450,0.799,100,?,Ceylon | Bengal | Australasia | Zanzibar And Pemba | Aden And Dependencies
Implements And Tools — Agricultural,0,0.794,97,?,Germany | Holland | France | Brazil | Foreign West Indies
Confectionery — From British East Indies,38355,0.793,6,?,Ceylon | Other British East Indian Possessions | Other British Possessions
Nuts And Kernels — Whale Fisheries,782682,0.789,44,?,Northern | Other Foreign Countries | Canada | Newfoundland | British West India Islands
Medicines,0,0.788,221,?,Brazil | Argentine Republic | Italy | Japan | British Possessions In South Africa
Machinery And Mill Work — Not Being Steam Engines ; Other Descriptions,0,0.786,139,?,Sweden And Norway | Germany | Holland | Belgium | France
Drugs — Indigo,2605841,0.78,6,Cwt,Central America | Bombay | Madras | Bengal | British Honduras
Lead — From Australasia,35182,0.779,11,?,Queensland | Tasmania | Australasia | New South Wales | Other British Possessions
"Arms, Ammunition, And Military Stores — Percussion Caps",220706,0.775,53,?,China | Turkey | British Possessions In South Africa | Hong Kong | Canada
Woollen And Worsted Manufactures — United States,645623,0.772,7,?,United States Of America (Atlantic) | Chile | Brazil | Uruguay | Argentine Republic
"Cordage, Cables, Ropes, And Twine Of Hemp Or Like Material",428458,0.772,17,?,Sweden And Norway | Germany | France | Italy | Japan
Lead — Undressed,23485390,0.76,99,Cwt,Bombay | Madras | Bengal | Straits Settlements | Ceylon
"Linen Manufactures — Plain, Unbleached Or Bleached",9608018,0.756,94,?,Sweden And Norway | Denmark | Germany | Belgium | France
Glass — Arabic,18293,0.753,16,Cwt,Niger Protectorate | Cape Of Good Hope | British Possessions In South Africa
Wax — East Coast Africa,82474,0.745,14,?,Portuguese Possessions | Madagascar | Japan | United States Of America | Chile
"Provisions, Unenumerated",0,0.745,149,?,Holland | Belgium | France | Austrian Territories | Western Africa (Foreign
"Bones (Except Whalebone) Whether Burnt Or Not, Or As Animal Charcoal — Applicable To Manufacturing Purposes",72019,0.739,67,?,South Australia | Victoria | Queensland | New Zealand | Other British Possessions
Tin,276171,0.737,14,?,United States Of America | Peru | Chile | Other Foreign Countries | Straits Settlements
"Bags And Sacks, Empty",731558,0.726,36,Dozen,Russia | Sweden And Norway | Denmark | Germany | Holland
At Certain Ports,0,0.722,61,?,Value Thereof | The Same | The Azores | Madeira | Western Africa
Saddlery And Harness — Salt (Rock And White),379171,0.72,11,?,Sweden And Norway | Denmark | Germany | Holland | Belgium
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,0.716,54,Ton,New South Wales | South Australia | Australasia | Queensland | United States Of America (Atlantic)
Drugs — From British East Indies,1079575,0.714,20,?,Ceylon | Hong Kong | Bombay | Madras | British West India Islands
Tea — Total Of All Kinds,121594,0.697,6,Gallon,South Australia | Victoria | New South Wales | Other Colonies | Other British Possessions
