shadow,shadow_t1_years,shadow_unit,shadow_gbp,counterpart,kind,counterpart_gbp,counterpart_countries,overlap_years,exact,near,unit_agrees
Unenumerated,26,Value,66414,Hail — Unenumerated,reunion,0,2,0,0,0,1
"Manufactures, Unenumerated",24,Value,86211,"Lead — Manufactures, Unenumerated",reunion,337972,12,0,0,0,1
"Manufactures, Unenumerated",24,Value,86211,"Glass — Manufactures, Unenumerated",reunion,32264593,13,0,0,0,1
"Manufactures, Unenumerated",24,Value,86211,"Zino — Manufactures, Unenumerated",reunion,762578,4,0,0,0,1
"Manufactures, Unenumerated",24,Value,86211,"Flint — Manufactures, Unenumerated",reunion,1744451,6,0,0,0,1
Arabic,17,Cwt,200083,Glass — Arabic,reunion,18293,3,0,0,0,1
Geneva,14,Proof Gallon,61252,Fruit — Geneva,reunion,119837,3,2,0,2,1
Geneva,14,Proof Gallon,61252,"Cards, Playing — Geneva",reunion,537532,33,5,0,4,1
Myrobalans,13,Cwt,179007,Musical Instruments — Myrobalans,reunion,142211,4,0,0,0,1
Myrobalans,13,Cwt,179007,Drugs — Myrobalans,reunion,220001,5,0,0,0,1
Myrobalans,13,Cwt,179007,"Dye Stuffs, And Substances Used In Tanning — Myrobalans",reunion,3929118,18,7,0,0,1
Myrobalans,13,Cwt,179007,Corn And Grain — Myrobalans,reunion,200914,4,0,0,0,1
Myrobalans,13,Cwt,179007,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Myrobalans",reunion,1549854,6,5,0,0,1
Myrobalans,13,Cwt,179007,"Copper, Ore Of — Myrobalans",reunion,1535309,5,5,0,0,1
Myrobalans,13,Cwt,179007,Dye Stuffs — Myrobalans,reunion,8147,2,0,0,0,1
Beef,13,Cwt,1164491,Meat — Beef,reunion,9420092,20,7,0,0,1
Pepper,12,Lb,301942,Slates — Pepper,reunion,2494521,24,7,0,0,1
Pepper,12,Lb,301942,"Skins, Furs, And Pelts — Pepper",reunion,1364884,14,0,0,0,1
Pepper,12,Lb,301942,"Skins, And Furs — Pepper",reunion,69753,14,2,0,0,1
Rum,12,Proof Gallon,344446,Fruit — Rum,reunion,2027545,22,5,0,3,1
Unmanufactured,11,Ton,2501526,Zinc — Unmanufactured,reunion,17792799,66,0,0,0,1
Unmanufactured,11,Ton,2501526,"Ore, Unenumerated — Unmanufactured",reunion,186416,5,0,0,0,1
Unmanufactured,11,Ton,2501526,Woollen Manufactures — Unmanufactured,reunion,1182543,30,0,0,0,1
Unmanufactured,11,Ton,2501526,Painters Colours — Unmanufactured,reunion,178724,4,0,0,0,1
Unmanufactured,11,Ton,2501526,Tea — Unmanufactured,reunion,4448922,36,0,0,0,1
Brandy,10,Proof Gallon,1261800,Fruit — Brandy,reunion,2469378,14,2,0,0,1
Brandy,10,Proof Gallon,1261800,"Cards, Playing — Brandy",reunion,1138897,16,1,0,1,1
Ginger,9,Cwt,175435,Cotton — Ginger,reunion,134071,13,1,0,1,1
Wheat,9,Cwt,18760505,"China, Or Porcelain, And Earthenware — Wheat",reunion,58336343,31,3,0,0,1
Wheat,9,Cwt,18760505,Cheese — Wheat,reunion,20374219,25,1,0,0,1
Ornamental,9,Lb,250631,Eggs — Ornamental,reunion,639278,8,1,0,0,1
Fresh,8,Cwt,4413148,Fish — Fresh,reunion,55827510,29,6,0,0,1
Fresh,8,Cwt,4413148,Beads Of All Sorts — Fresh,reunion,1799581,6,3,0,0,1
"In Blocks, Ingots, Bars, Or Slabs",8,Cwt,2743814,"Slates — In Blocks, Ingots, Bars, Or Slabs",reunion,12062484,22,6,0,0,1
"In Blocks, Ingots, Bars, Or Slabs",8,Cwt,2743814,"Sugar — In Blocks, Ingots, Bars, Or Slabs",reunion,11154125,18,0,0,0,1
Cinnamon,7,Lb,136066,Lates — Cinnamon,reunion,482098,11,2,0,0,1
Cinnamon,7,Lb,136066,Cotton — Cinnamon,reunion,79433,3,0,0,0,1
Stuffs,5,Yard,5111544,Woollen Yarn — Stuffs,reunion,52151823,6,5,0,2,1
Clover And Grass,4,?,855524,Saltpetre (Nitrate Of Potash) — Clover And Grass,reunion,23381116,37,0,0,0,1
"Alpaca, Vicuña, And Llama",4,Lb,364175,"Woollen Manufactures — Alpaca, Vicuña, And Llama",reunion,242468,3,0,0,0,1
For Beds,1,Cwt,0,Wood — For Beds,reunion,456127,13,0,0,0,1
