commodity,year,unit,drop_country,country_qty,excess,match,ratio_now,ratio_after,n_countries,gbp_per_year
Potatoes,1885,Cwt,Other Foreign Countries,3808,5000,0.2384,1.00217,1.00052,9,1201373
Potatoes,1890,Cwt,Germany,28520,29600,0.03649,1.0155,1.00057,10,1201373
Potatoes,1896,Cwt,Belgium,3556,2916,0.17998,1.0013,0.99971,11,1201373
Lead — Ore Of,1893,Ton,Other Colonies,27,29,0.06897,1.00294,1.0002,19,1196923
Lead — Ore Of,1895,Ton,Republic Of Colombia,643,629,0.02177,1.01983,0.99956,19,1196923
Lead — Ore Of,1897,Ton,Other British Possessions,125,127,0.01575,1.00393,1.00006,19,1196923
Manures — Bones For Manure,1894,Ton,Other British Possessions,130,92,0.29231,1.00104,0.99957,23,1122466
Manures — Bones For Manure,1895,Ton,Germany,1805,1801,0.00222,1.02432,0.99995,26,1122466
Oil — Oil Seed Cakes,1883,Ton,Other Countries,475,473,0.00421,1.00184,0.99999,16,1094471
Oil — Oil Seed Cakes,1887,Ton,Egypt,2955,3000,0.015,1.01146,1.00017,15,1094471
"Manufactures Of Iron Or Steel — Girders, Beams And Pillars",1894,Ton,Other Foreign Countries,265,265,0.0,1.00382,1.0,5,1039049
Cocoa,1888,Lb,Portugal,333821,305999,0.08334,1.01032,0.99906,15,996261
Grapes — Raw,1894,Bushel,France,817,933,0.12433,1.00112,1.00014,9,986934
Grapes — Raw,1895,Bushel,Other Foreign Countries,1518,1240,0.18314,1.00143,0.99968,11,986934
Grapes — Raw,1896,Bushel,Holland,2210,2849,0.22429,1.00323,1.00072,11,986934
"Chemical Manufactures And Products, Unenumerated",1882,Value,Austrian Territories,11058,11058,0.0,1.00728,1.0,12,983597
"Zinc — Crude, In Cakes",1893,Ton,Other British Possessions,168,209,0.19617,1.00367,1.00072,11,963244
"Zinc — Crude, In Cakes",1894,Ton,Canada,65,65,0.0,1.00123,1.0,9,963244
Plums — Raw,1894,Bushel,United States Of America,2765,2656,0.03942,1.00342,0.99986,6,961357
"Vegetables, Raw, Unenumerated",1892,Value,Portugal,9219,8970,0.02701,1.00883,0.99975,16,959014
"Vegetables, Raw, Unenumerated",1895,Value,Other British Possessions,3143,3218,0.02331,1.00252,1.00006,18,959014
Manures — Phosphate Of Lime And Rock,1897,Ton,Canada,470,534,0.11985,1.00164,1.0002,21,945553
Hops,1884,Cwt,British Possessions In South Africa,624,624,0.0,1.00243,1.0,10,942216
Hops,1895,Cwt,Other Foreign Countries,304,304,0.0,1.0014,1.0,10,942216
Rye,1897,Cwt,Canada,204700,205523,0.004,1.2017,1.00081,7,911248
Rye,1898,Cwt,Other Foreign Countries,22050,22000,0.00227,1.0208,0.99995,6,911248
