gold_commodity,year,class,detail,pipe_name
Caoutchouc,1886,value-error,12/27 countries match,CAOUTCHouc None
Caoutchouc,1896,value-error,29/39 countries match,CAOUTCHouc None
Cheese,1881,value-error,3/4 countries match,CHEESE None
Chemical Essential or Perfumed Oils,1886,value-error,8/13 countries match,"Chemical, Essential, or Perfumed"
Chemical Essential or Perfumed Oils,1896,value-error,3/18 countries match,"Chemical, Essential, or Perfumed"
Chemical Manufactures and Products Unenumerated,1881,value-error,0/0 countries match,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated"
Cherries Raw,1896,value-error,0/4 countries match,"Cherries, Raw"
Chicory Other Vegetable matter,1896,value-error,0/1 countries match,"VEGETABLES, Unenumerated None"
Chicory Raw or Kiln-Dried,1896,value-error,0/2 countries match,Raw or Kiln-dried
China or Porcelain Ware,1881,value-error,6/7 countries match,CHINA or PORCELAIN WARE
China or Porcelain and Earthenware,1896,value-error,0/10 countries match,"CHINA, OR PORCELAIN, AND EARTHENWARE None"
Cider and Perry,1896,value-error,3/4 countries match,CIDER AND PERRY None
Clocks,1881,value-error,5/6 countries match,CLOCKS None
Clocks,1886,value-error,6/7 countries match,CLOCKS None
Clover and Grass Seeds,1896,value-error,0/13 countries match,Clover and Grass
"Coals, Culm, or Cinders",1886,value-error,1/3 countries match,"COAL, CULM, AND CINDERS None"
"Coals, Culm, or Cinders",1896,value-error,2/4 countries match,"COAL, CULM, AND CINDERS None"
Cochineal,1876,value-error,5/6 countries match,COCHINEAL (including Granilla and Dust)
Cochineal,1881,value-error,1/2 countries match,COCHINEAL (including Granilla and Dust)
Cochineal,1891,value-error,2/3 countries match,COCHINEAL (including Granilla and Dust)
Cochineal,1896,value-error,0/3 countries match,COCHINEAL (including Granilla and Dust)
Cocoa,1876,value-error,12/14 countries match,COCOA None
Cocoa,1891,value-error,12/21 countries match,COCOA None
Cocoa,1896,value-error,12/17 countries match,COCOA None
Cocoa Butter,1896,value-error,0/2 countries match,BUTTER None
Cocoa Cocoa or Chocolate in the manufacture of which Spirit has been used,1896,value-error,0/4 countries match,"Cocoa or Chocolate, in the manufacture   of which Spirit has been used"
Cocoa Husks and Shells,1896,value-error,0/3 countries match,Husks and Shells
Cocoa-nut Oil,1891,value-error,0/7 countries match,Unenumerated
Coffee,1876,value-error,23/27 countries match,COFFEE None
Coffee,1881,value-error,18/22 countries match,COFFEE None
Coffee Kiln Dried Roasted or Ground,1891,value-error,3/4 countries match,"Kiln dried, roasted or ground"
Coffee Kiln Dried Roasted or Ground,1896,attribution-shift,2/2 values present but mislabeled,"Kiln dried, roasted or ground"
Coffee Raw,1896,value-error,20/29 countries match,"COFFEE, Raw None"
Coffee and Chicory mixed,1896,attribution-shift,2/2 values present but mislabeled,"COFFEE AND CHICORY, mixed"
Collodion,1896,attribution-shift,2/2 values present but mislabeled,COLLODION
Confectionery,1876,value-error,7/8 countries match,CONFECTIONERY (not containing any article liable to Duty) None
Confectionery,1881,value-error,6/7 countries match,CONFECTIONERY (not containing any article liable to Duty) None
Confectionery,1886,value-error,8/9 countries match,CONFECTIONERY (not containing any article liable to Duty) None
Confectionery,1891,value-error,5/8 countries match,CONFECTIONERY (not containing any article liable to Duty) None
Confectionery,1896,value-error,8/9 countries match,CONFECTIONERY (not containing any article liable to Duty) None
Confectionery containing not more than 50% Chocolate in the manufacture of which Spirit has been use,1896,value-error,0/3 countries match,"CONFECTIONERY, containing not more than 50 % Chocolate, in the Manufacture of which Spirit has been used"
Confectionery containing not more than 50% chocolate,1896,value-error,0/3 countries match,"CONFECTIONERY, containing not more than 50 % Chocolate"
Confectionery in the Manufacture of which Spirit has been used,1896,value-error,0/5 countries match,"CONFECTIONERY, in the Manufacture of which Spirit has been used None"
Copper Ore,1891,value-error,16/18 countries match,"COPPER, Ore of None"
Copper Part Wrought,1891,value-error,6/7 countries match,Part Wrought
Copper Part Wrought,1896,value-error,1/5 countries match,Part Wrought
Copper Regulus (and Precipitate from 1886 onward),1876,value-error,7/8 countries match,Regulus
Copper Regulus (and Precipitate from 1886 onward),1881,value-error,5/6 countries match,Regulus
Copper Unwrought,1886,value-error,0/12 countries match,"Unenumerated, Unwrought"
Copper Unwrought,1896,value-error,0/13 countries match,"Unenumerated, Unwrought"
Copper Unwrought and part Wrought,1881,value-error,6/7 countries match,Unwrought and Part Wrought
Cork Manufactured,1876,value-error,3/4 countries match,Manufactured : Other Sorts (including Cigarettes)
Cork Manufactured,1881,value-error,3/4 countries match,Manufactured : Other Sorts (including Cigarettes)
Cork Manufactured,1891,value-error,4/6 countries match,Manufactured : Other Sorts (including Cigarettes)
Cork Unmanufactured,1876,value-error,3/4 countries match,Unmanufactured
Cork Unmanufactured,1886,value-error,4/8 countries match,Unmanufactured
Cork Unmanufactured,1891,value-error,6/8 countries match,Unmanufactured
Cork Unmanufactured,1896,value-error,5/9 countries match,Unmanufactured
Cotton Manufactures Other than Muslins,1876,value-error,0/6 countries match,Unenumerated
Cotton Manufactures Piece Goods of Other Countries Hosiery of all sorts,1876,value-error,0/0 countries match,Unenumerated
Cotton Manufactures Piece Goods of Other Countries Unenumerated,1876,value-error,0/0 countries match,Unenumerated
Cotton Manufactures Piece Goods of other Countries Muslins,1896,value-error,0/3 countries match,"Piece Goods, Muslins"
Cotton Raw,1876,value-error,0/19 countries match,Cotton None
Cotton Raw,1881,value-error,0/17 countries match,Cotton None
Cotton Raw,1886,value-error,0/24 countries match,Cotton None
Cotton Raw,1891,value-error,0/27 countries match,Cotton None
Cotton Raw,1896,value-error,0/18 countries match,Cotton None
Cotton Seeds,1881,value-error,2/5 countries match,Cotton None
Cotton Seeds,1886,value-error,8/9 countries match,Cotton None
Cotton Seeds,1891,value-error,13/15 countries match,Cotton None
Cotton Seeds,1896,value-error,1/11 countries match,Cotton None
Cotton Waste,1876,value-error,0/4 countries match,Cotton None
Cotton Waste,1881,value-error,0/6 countries match,Cotton None
Cotton Waste,1886,value-error,0/9 countries match,Cotton None
Cotton Waste,1891,value-error,0/13 countries match,Cotton None
Cotton Waste,1896,value-error,0/13 countries match,Cotton None
Cotton Yarn,1876,value-error,0/5 countries match,Cotton None
Cotton Yarn,1881,value-error,0/3 countries match,Cotton None
Cotton Yarn,1886,value-error,0/6 countries match,Cotton None
Cotton Yarn,1891,value-error,0/6 countries match,Cotton None
Cotton Yarn,1896,value-error,0/7 countries match,Cotton None
Cow Ox Bull or Elk Hair,1896,value-error,8/9 countries match,"Cow, Ox, Bull, or Elk"
Cows,1886,value-error,8/9 countries match,Cows
Cows,1896,value-error,2/5 countries match,Cows
Currants,1896,value-error,0/4 countries match,Currants
Cutch and Gambier,1886,value-error,4/9 countries match,Cutch and Gambier
Cutch and Gambier,1891,value-error,6/9 countries match,Cutch and Gambier
Cutch and Gambier,1896,value-error,2/12 countries match,Cutch and Gambier
Dye Stuffs and Substances used in Tanning Extracts,1886,value-error,0/0 countries match,"DYE STUFFS, and Substances used in Tanning; Unenumerated"
Dye Stuffs and Substances used in Tanning Extracts,1891,value-error,0/0 countries match,"DYE STUFFS, and Substances used in Tanning; Unenumerated"
Dye Woods Logwood,1886,value-error,0/7 countries match,Unenumerated
Dye Woods Logwood,1896,value-error,0/9 countries match,Unenumerated
Dye Woods Unenumerated,1896,value-error,15/17 countries match,Unenumerated
Eggs,1876,value-error,7/8 countries match,Eggs None
Eggs,1896,value-error,0/16 countries match,Eggs None
Ether Butyric,1896,value-error,0/1 countries match,ETHER None
Ether Sulphuric,1896,value-error,0/2 countries match,ETHER None
Farinaceous Substances and Manufactures thereof,1896,value-error,0/0 countries match,FARINACEOUS SUBSTANCES and Manufactures thereof None
Feathers Ornamental,1886,value-error,14/16 countries match,Ornamental
Feathers Ornamental,1891,value-error,13/15 countries match,Ornamental
Feathers Ornamental,1896,value-error,6/20 countries match,Ornamental
Feathers for Beds,1886,value-error,8/9 countries match,"For Beds, in Beds or otherwise"
Feathers for Beds,1896,value-error,2/11 countries match,"For Beds, in Beds or otherwise"
Figs and Fig Cake,1896,value-error,0/5 countries match,Figs and Fig Cake
Fish Cured or Salted,1896,value-error,1/13 countries match,"Cured or salted, unenumerated"
Flax Dressed or Undressed,1886,value-error,6/7 countries match,"FLAX, Dressed or Undressed None"
Flax Rough or Undressed,1881,value-error,3/6 countries match,Rough or Undressed
Flaxseed and Linseed,1876,value-error,6/10 countries match,Flax and Linseed
Flaxseed and Linseed,1881,value-error,9/11 countries match,Flax and Linseed
Flaxseed and Linseed,1886,value-error,0/12 countries match,Flax and Linseed
Flaxseed and Linseed,1891,value-error,12/15 countries match,Flax and Linseed
Flaxseed and Linseed,1896,value-error,12/15 countries match,Flax and Linseed
Fresh Milk,1896,value-error,1/3 countries match,"MILK AND CREAM, fresh or preserved, other than condensed milk None"
Fruit Dried unenumerated,1891,value-error,0/11 countries match,FRUIT None
Fruit Preserved without Sugar Unenumerated,1886,value-error,3/15 countries match,"FRUIT: 
                    „ Unenumerated: Preserved without Sugar None"
Fruit Raw unenumerated,1881,value-error,5/11 countries match,Raw
Fruit Raw unenumerated,1886,value-error,9/16 countries match,Raw
Fruit Raw unenumerated,1891,value-error,7/16 countries match,Raw
Fruit Raw unenumerated,1896,value-error,1/15 countries match,Raw
Furs,1886,value-error,11/13 countries match,"Unenumerated, being Furs"
Furs,1891,value-error,19/22 countries match,"Unenumerated, being Furs"
Galls,1876,value-error,4/5 countries match,GALLS None
Galls,1891,value-error,6/7 countries match,GALLS None
Galls,1896,value-error,6/7 countries match,GALLS None
Geldings,1891,value-error,2/12 countries match,Geldings
Ginger Raw,1876,value-error,0/7 countries match,Raw
Ginger Raw,1881,value-error,0/4 countries match,Raw
Ginger Spice,1886,value-error,0/6 countries match,Ginger (Raw)
Ginger Spice,1896,value-error,1/12 countries match,Ginger (Raw)
Glass Bottles,1896,value-error,0/8 countries match,GLASS None
Glass Plate Fluted Rolled or Rough,1896,value-error,0/4 countries match,"Plate, Fluted, Rolled, or Rough"
"Glass Plate, whether Silvered or not",1886,value-error,5/6 countries match,"Plate, whether Silvered or not"
Glucose,1886,value-error,5/6 countries match,Glucose
Glucose,1891,value-error,5/6 countries match,Glucose
Glucose,1896,value-error,5/6 countries match,Glucose
Goats Wool or Hair,1886,value-error,9/11 countries match,Goats' Hair or Wool
Goats Wool or Hair,1891,value-error,11/14 countries match,Goats' Hair or Wool
Goats Wool or Hair Mohair,1896,value-error,6/8 countries match,"Goats' wool, Mohair"
Gold Leave,1896,value-error,0/5 countries match,Leaves of
"Gold Ore of, or Ore of which the greater part in Value is Gold",1886,value-error,1/3 countries match,"Ore of, or Ore of which the greater part in Value is Gold"
"Gold Ore of, or Ore of which the greater part in Value is Gold",1896,value-error,1/12 countries match,"Ore of, or Ore of which the greater part in Value is Gold"
Grapes,1896,value-error,1/9 countries match,"Grapes, Raw"
Guano,1876,value-error,7/9 countries match,GUANO
Guano,1881,value-error,4/6 countries match,GUANO
Guano,1891,value-error,10/12 countries match,GUANO
Gum Arabic,1886,value-error,6/11 countries match,"GUM : 
                    „ Arabic None"
Gum Kowrie,1886,value-error,0/3 countries match,Kowrie
Gum Kowrie,1891,value-error,0/4 countries match,Kowrie
Gum Kowrie,1896,value-error,3/5 countries match,Kowrie
"Gum Lac, Seed, Shell, Stick, and Dye",1876,value-error,2/3 countries match,"Lac, Seed, Shell, Stick, and Dye"
"Gum Lac, Seed, Shell, Stick, and Dye",1881,attribution-shift,2/2 values present but mislabeled,"Lac, Seed, Shell, Stick, and Dye"
"Gum Lac, Seed, Shell, Stick, and Dye",1886,value-error,4/9 countries match,"Lac, Seed, Shell, Stick, and Dye"
"Gum Lac, Seed, Shell, Stick, and Dye",1891,value-error,0/4 countries match,"Lac, Seed, Shell, Stick, and Dye"
"Gum Lac, Seed, Shell, Stick, and Dye",1896,attribution-shift,5/6 values present but mislabeled,"Lac, Seed, Shell, Stick, and Dye"
Gum Unenumerated,1876,value-error,6/10 countries match,GUM None
Gum Unenumerated,1886,value-error,16/19 countries match,GUM None
Gutta Percha,1886,value-error,3/6 countries match,GUTTA PERCHA None
Gutta Percha,1891,value-error,7/12 countries match,GUTTA PERCHA None
Gutta Percha Manufactures of,1896,value-error,0/1 countries match,"GUTTA PERCHA, Manufactures of None"
Hams,1886,value-error,6/7 countries match,Hams
Hams,1891,value-error,6/8 countries match,Hams
Hats and Bonnets of Felt,1896,value-error,0/5 countries match,HATS OR BONNETS None
Hats and Bonnets of Straw,1886,value-error,0/6 countries match,"STRAW PLATTING, for making Hats or Bonnets None"
Hats and Bonnets of Straw,1891,value-error,0/6 countries match,"STRAW PLATTING, for making Hats or Bonnets None"
Hats and Bonnets of Straw,1896,value-error,0/7 countries match,"STRAW PLATTING, for making Hats or Bonnets None"
Hats and Bonnets of other Material,1896,value-error,0/5 countries match,HATS OR BONNETS None
Hay,1896,value-error,3/13 countries match,HAY None
Hemp,1896,value-error,0/16 countries match,HEMP None
Hemp Dressed or Undressed,1886,value-error,13/15 countries match,"HEMP, Dressed or Undressed None"
Hemp Rough or Undressed,1876,value-error,0/8 countries match,Rough or Undressed
Hemp Rough or Undressed,1881,value-error,5/8 countries match,Rough or Undressed
Hemp Tow or Codilla of Hemp,1876,value-error,1/4 countries match,Tow or Codilla of
Hemp Tow or Codilla of Hemp,1886,value-error,2/7 countries match,Tow or Codilla of
Hemp Tow or Codilla of Hemp,1891,value-error,2/6 countries match,Tow or Codilla of
Hides Raw Dry,1876,value-error,12/15 countries match,Dry
Hides Raw Dry,1886,value-error,29/35 countries match,Dry
Hides Raw Dry,1896,value-error,1/38 countries match,Dry
Hides Raw Wet,1876,value-error,0/13 countries match,Raw
Hides Raw Wet,1886,value-error,0/25 countries match,Raw
Hides Raw Wet,1896,value-error,0/29 countries match,Raw
Hides Tanned not otherwise Dressed,1876,value-error,9/12 countries match,"Tanned, not otherwise Dressed"
Hides Tanned not otherwise Dressed,1881,value-error,10/12 countries match,"Tanned, not otherwise Dressed"
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled",1876,value-error,0/6 countries match,"Varnished, Japanned, or Enamelled"
"Hides Tawed Curried or in any way Dress, not being Varnished Japanned or Enamelled",1881,value-error,0/6 countries match,"Varnished, Japanned, or Enamelled"
Hides Untanned Dry,1881,value-error,13/15 countries match,Dry
Hides Untanned Dry,1891,value-error,31/37 countries match,Dry
Honey,1896,value-error,7/9 countries match,HONEY None
Hops,1896,value-error,6/7 countries match,Hops None
Horns Tips and Pieces of Horns and Hoofs,1876,value-error,11/13 countries match,Tips and Pieces of Horn and Hoofs
Horns Tips and Pieces of Horns and Hoofs,1896,value-error,3/22 countries match,Tips and Pieces of Horn and Hoofs
Horns and Hoofs,1881,value-error,10/12 countries match,Horns and Hoofs None
Horns and Hoofs,1891,value-error,14/17 countries match,Horns and Hoofs None
Horse Hair,1876,value-error,5/9 countries match,Horses
Horse Hair,1881,value-error,3/7 countries match,Horses
Horse Hair,1896,value-error,0/13 countries match,Horses
Horses,1876,value-error,5/9 countries match,Horses
Horses,1881,value-error,3/7 countries match,Horses
Horses,1896,value-error,0/0 countries match,Horses
Imitation Rum,1896,value-error,0/3 countries match,"Rum, Imitation"
Indian Corn or Maize,1886,value-error,8/13 countries match,Maize or Indian Cornmeal
Indian Corn or Maize,1891,value-error,14/16 countries match,Maize or Indian Cornmeal
Indian Corn or Maize,1896,value-error,0/11 countries match,Maize or Indian Cornmeal
Indigo,1876,value-error,8/12 countries match,INDIGO
Indigo,1881,value-error,3/5 countries match,INDIGO
Indigo,1886,value-error,6/12 countries match,INDIGO
Indigo,1891,value-error,8/12 countries match,INDIGO
Indigo,1896,value-error,0/16 countries match,INDIGO
Iron Bar Angle Bolt and Rod,1886,value-error,7/8 countries match,Bar. Angle. Bolt and Rod
Iron Bar Angle Bolt and Rod,1896,value-error,4/6 countries match,Bar. Angle. Bolt and Rod
Iron Manufacturers of Tyres and Axles,1896,value-error,0/3 countries match,Tyres and axles
Iron Manufactures Girders Beams and Pillars,1896,value-error,1/3 countries match,"Manufactures of Iron or Steel: Girders, Beams, and Pillars"
Iron Pig and Puddled,1886,value-error,5/6 countries match,Pig and Puddled
Iron Pig and Puddled,1891,value-error,4/5 countries match,Pig and Puddled
Iron Steel Unwrought,1891,value-error,7/8 countries match,"Steel, Unwrought"
Iron Steel Unwrought,1896,value-error,3/9 countries match,"Steel, Unwrought"
Isinglass,1876,value-error,5/6 countries match,ISINGLASS None
Isinglass,1891,value-error,7/8 countries match,ISINGLASS None
Isinglass,1896,value-error,9/11 countries match,ISINGLASS None
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1886,value-error,1/16 countries match,IVORY None
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1891,value-error,1/20 countries match,IVORY None
Ivory (Elephant Sea Cow Sea Horse or Sea Moose Teeth),1896,value-error,3/23 countries match,IVORY None
Jute,1881,attribution-shift,2/2 values present but mislabeled,JUTE None
Jute,1891,value-error,6/9 countries match,JUTE None
Jute,1896,attribution-shift,5/5 values present but mislabeled,JUTE None
Jute Yarn,1886,value-error,0/4 countries match,Yarn
Jute Yarn,1896,value-error,0/4 countries match,Yarn
Lard,1886,value-error,4/5 countries match,LARD None
Lead Manufactures Unenumerated,1876,value-error,0/3 countries match,"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1881,value-error,0/4 countries match,"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1886,value-error,3/6 countries match,"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1891,value-error,0/3 countries match,"Manufactures, unenumerated"
Lead Manufactures Unenumerated,1896,value-error,0/4 countries match,"Manufactures, unenumerated"
Lead Ore,1876,value-error,0/6 countries match,Ore
Lead Ore,1881,value-error,0/6 countries match,Ore
Lead Ore,1886,value-error,1/14 countries match,Ore
Lead Ore,1891,value-error,3/17 countries match,Ore
Lead Ore,1896,value-error,0/11 countries match,Ore
Lead Pig and Sheet,1891,value-error,13/18 countries match,Pig and Sheet
Lead Pig and Sheet,1896,value-error,0/15 countries match,Pig and Sheet
Leather Dressed,1896,value-error,9/17 countries match,Dressed
Leather Manufactures Boots and Shoes,1896,value-error,0/7 countries match,Boots and Shoes
Leather Undressed,1886,value-error,16/20 countries match,"LEATHER, Undressed None"
Lemons,1896,value-error,0/6 countries match,Lemons
Lemons and Oranges,1876,value-error,4/5 countries match,Oranges and Lemons
Liqueurs Cordials &c not tested or ascertaining the strength,1896,value-error,4/7 countries match,"Liqueurs, Cordials, &c., not tested, for ascertaining the strength"
Liquorice,1891,value-error,4/5 countries match,LIQUORICE None
Liquorice,1896,value-error,1/5 countries match,LIQUORICE None
Madder Madder Root Garancine and Munjeet,1886,value-error,4/5 countries match,"Madder, Madder Root, Garancine,     and Munjeet"
Madder Madder Root Garancine and Munjeet,1896,value-error,1/4 countries match,"Madder, Madder Root, Garancine,     and Munjeet"
Maize or Indian Corn Meal,1876,value-error,1/2 countries match,Maize or Indian Corn Meal (including Maizena)
Maize or Indian Corn Meal,1886,value-error,2/3 countries match,Maize or Indian Corn Meal (including Maizena)
Maize or Indian Corn Meal,1891,value-error,2/3 countries match,Maize or Indian Corn Meal (including Maizena)
Malt,1896,value-error,0/3 countries match,MALT None
Manganese Ore,1886,value-error,12/14 countries match,MANGANESE ORE None
Manganese Ore,1891,value-error,9/12 countries match,MANGANESE ORE None
Manganese Ore,1896,value-error,2/13 countries match,MANGANESE ORE None
Manure Unenumerated,1886,value-error,6/10 countries match,UNENUMERATED
Mares,1896,value-error,4/14 countries match,Mares
Margarine,1891,value-error,7/8 countries match,Margarine (including all kinds of Artificial or Imitation Butters)
Margarine,1896,value-error,0/7 countries match,Margarine (including all kinds of Artificial or Imitation Butters)
Meal Unenumerated,1886,value-error,9/11 countries match,"Meal, Unenumerated"
Meal Unenumerated,1891,value-error,8/10 countries match,"Meal, Unenumerated"
Meat Preserved not Salted,1876,value-error,0/8 countries match,Salted
Meat Unenumerated Salted or Fresh,1891,value-error,8/12 countries match,Salted or Fresh
Metal Leaf not Gold,1886,value-error,3/4 countries match,"Leaf, not Gold"
Metal Leaf not Gold,1896,value-error,2/3 countries match,"Leaf, not Gold"
Metal Manufactured,1891,value-error,0/7 countries match,Manufactured : Other Sorts (including Cigarettes)
Metal Old fit only to be re-manufactured,1886,value-error,2/11 countries match,"Old, fit only to be re-manufactured"
Metal Old fit only to be re-manufactured,1896,value-error,0/16 countries match,"Old, fit only to be re-manufactured"
Metal Old other than Iron or Copper for re-manufacture,1876,value-error,0/6 countries match,"Manufactures, unenumerated"
Metal Old other than Iron or Copper for re-manufacture,1881,value-error,0/3 countries match,"Manufactures, unenumerated"
Metal Old other than Iron or Copper for re-manufacture,1891,value-error,0/10 countries match,"Manufactures, unenumerated"
Metal Unenumerated Wrought,1881,value-error,0/4 countries match,Metals
Metal Unenumerated Wrought or Manufactured,1876,value-error,0/5 countries match,Wrought or Manufactured
Metal Unenumerated Wrought or Manufactured,1896,value-error,0/7 countries match,Wrought or Manufactured
Metal Unenumerated unwrought,1881,value-error,0/5 countries match,Metals
Methylic Alcohol,1896,value-error,4/5 countries match,"METHYLIC ALCOHOL, not purified so as to be Potable"
Mica Talc etc,1896,attribution-shift,8/8 values present but mislabeled,MICA AND TALC None
Milk Condensed,1891,value-error,8/9 countries match,"MILK, CONDENSED None"
Moss Litter,1891,value-error,3/4 countries match,Moss LITTER None
Mutton Fresh,1886,value-error,5/10 countries match,"MUTTON, FRESH None"
Mutton Fresh,1896,value-error,5/11 countries match,"MUTTON, FRESH None"
Myrabolans,1876,attribution-shift,4/4 values present but mislabeled,MYRABOLANS None
Naphtha or Methylic Alcohol purified,1876,value-error,0/1 countries match,NAPHTHA (Crude) None
Nitrate of Soda,1896,value-error,4/5 countries match,Nitrate of Soda (Cubic Nitre)
Nuts and Kernels Unenumerated,1886,value-error,0/0 countries match,NUTS AND KERNELS None
Nuts and Kernels Unenumerated,1891,value-error,0/0 countries match,NUTS AND KERNELS None
Nuts and Kernels Unenumerated,1896,value-error,0/0 countries match,NUTS AND KERNELS None
Nuts and Kernels for expressing Oil,1886,value-error,3/14 countries match,NUTS AND KERNELS None
Nuts and Kernels for expressing Oil,1891,value-error,3/27 countries match,NUTS AND KERNELS None
Nuts and Kernels for expressing Oil,1896,value-error,0/25 countries match,NUTS AND KERNELS None
Oatmeal,1876,attribution-shift,3/3 values present but mislabeled,Oatmeal
Oatmeal and Groats,1886,value-error,2/4 countries match,Oatmeal and Groats
Oatmeal and Groats,1891,value-error,2/4 countries match,Oatmeal and Groats
Oatmeal and Groats,1896,value-error,0/3 countries match,Oatmeal and Groats
Oats,1876,value-error,8/9 countries match,Oats
Oats,1896,value-error,2/12 countries match,Oats
Oil Castor,1876,value-error,1/3 countries match,Castor
Oil Castor,1886,value-error,3/6 countries match,Castor
Oil Castor,1896,value-error,5/8 countries match,Castor
Oil Coco-nut,1896,value-error,0/10 countries match,Coco-nut
Oil Seed Cake Cotton Seed,1896,value-error,0/8 countries match,Oil SEED CAKE None
Oil Seed Cake Linseed,1896,value-error,0/18 countries match,Oil SEED CAKE None
Oil Seed Cake of other sorts,1896,attribution-shift,7/8 values present but mislabeled,Oil SEED CAKE None
Oil Seed Cakes,1886,value-error,10/14 countries match,Oil SEED CAKE None
Oil Turpentine Oil or Spirit of,1876,value-error,0/2 countries match,Spirits None
Oil Unenumerated,1886,value-error,0/0 countries match,Unenumerated
Oil Unenumerated,1891,value-error,0/0 countries match,Unenumerated
Oleo Margarine or Oleo Oil,1896,value-error,3/7 countries match,OLEO-MARGARINE None
Olive Oil,1896,value-error,1/8 countries match,Olive
Opium,1886,value-error,5/7 countries match,Opium
Opium,1891,value-error,6/10 countries match,Opium
Opium,1896,value-error,3/8 countries match,Opium
