table,volume,article_group,article,n_rows,seq_min,seq_max,boundary_seq,boundary_years,n_t1_totals,rows_after,qty_after,first_after,matched
country_obs,as_1890,SPIRITS,"Unenumerated, not Sweetened or Mixed",96,166,263,179,1890,3,82,872300642,Denmark,"Spirits|Unenumerated, not sweetened"
country_obs,as_1899,GUM,Eastern Coast of Africa,145,8544,8884,8610,1895;1896;1897;1898;1899,6,78,1625018,Zanzibar and Pemba,Guin: Arabic;Gum : Arabic
country_obs_inf,as_1898,GUM,Eastern Coast of Africa,148,8264,8595,8333,1894;1895;1896;1898,5,78,1514983,Zanzibar and Pemba,Guin: Arabic;Gum : Arabic
country_obs_inf,as_1899,GUM,Eastern Coast of Africa,145,8659,8999,8725,1895;1896;1897;1898;1899,7,78,1530153,Zanzibar and Pemba,Guin: Arabic;Gum : Arabic
country_obs,as_1884,SPIRITS,Rum,91,150,240,165,1884,6,75,543803148,Holland,own
country_obs,as_1899,FRUIT,"Rum, Imitation",222,26472,26693,26618,1895;1896;1897;1898;1899,18,75,19253348,Russia,own
country_obs_inf,as_1891,SEEDS,,84,2666,2749,2676,1891,5,73,18166849,Cotton,Seeds|Clover and Grass
country_obs_inf,as_1899,OIL,Unprinted,214,16136,16349,16276,1895;1896;1897;1898;1899,13,73,22927215,TOTAL,own
country_obs,as_1874,TEA,Unmanufactured,91,218,310,237,1874,1,71,82288685,TOBACCOManufactured: Snuff: From all Countries,Tobacco|Raw
country_obs,as_1879,FRUIT,Raisins,74,17,90,21,1879,5,69,472199181,MALT (Foreign): From all Countries,own
country_obs,as_1886,SPIRITS,Brandy,80,84,163,94,1886,4,69,699964118,Other Foreign Countries,own
country_obs_inf,as_1884,"SKINS, FURS, AND PELTS",,69,1787,1864,1787,1884,3,68,71267708,France,"Skins and Furs|Goat, undressed"
country_obs,as_1897,IVORY,Eastern Coast of Africa,223,11471,11695,11627,1893;1894;1895;1897,7,67,4890229,TOTAL,"Ivory : Teeth, Elephants', Sea-Cow, and Sea-Horse - "";Teeth,"
country_obs,as_1896,TEA,,76,280,355,289,1896,5,66,721320715,British East Indies,own
country_obs,as_1898,"HORNS, tips and pieces of Horns and Hoofs",Vegetable,110,11622,11731,11667,1894;1895;1896;1897;1898,11,64,5311744,Germany,own
country_obs,as_1881,COFFEE,,89,26,118,54,1881,7,62,297473126,TOTAL,Currants;Fruit|Currants
country_obs,as_1885,SPIRITS,Brandy,73,125,197,135,1885,3,62,276533521,Holland,own
country_obs,as_1899,GUM,"Lac, Seed, Shell, Stick, and Dye",106,8648,8753,8691,1895;1896;1897,3,62,438655,TOTAL,own
country_obs,as_1897,CORDAGE,Oats,174,3611,3784,3723,1893;1894;1895;1896,7,61,30196248,TOTAL,own
country_obs_inf,as_1898,"SKINS, AND FURS","Skins, Goat, undressed",235,19130,19364,19303,1897,1,61,21013976,TOTAL,own
country_obs,as_1899,FRUIT,"Nuts, used as Fruit",171,7447,7617,7557,1895;1896;1897;1898;1899,8,60,8987364,Germany,Oranges
country_obs_inf,as_1894,BACON AND HAMS,Hams,69,169,237,177,1894,6,60,14413680,"BARK: for Tanners' or Dyers' use. (See DYE STUFFS.) BARK, PERUVIAN. (See DRUGS.) BEADS OF ALL SORTS:   From Germany",own
country_obs_inf,as_1888,IVORY,East Africa,75,1527,1610,1542,1888,3,59,11167202,Germany,"Ivory : Teeth, Elephants', Sea Cow, and Sea Horse"
country_obs,as_1899,PORK,Fresh,193,17238,17577,17373,1895;1896;1897;1898,10,57,27600545,TOTAL,own
country_obs_inf,as_1897,WOOL,Eastern Coast of Africa,97,21676,21909,21715,1893;1894;1895,3,57,602006008,Portuguese Possessions,Goats' Hair or Wool;Goats' Wool or Hair;Goats' Wool: Mohair
country_obs_inf,as_1897,HATS OR BONNETS,"Old broken and old cast iron, and old broken steel",155,8950,9105,9049,1895;1896,4,56,272917,TOTAL,""" Old broken, and old broken Steel"
country_obs,as_1898,FISH (including Turtle),"Nuts, used as Fruit",158,7445,7602,7548,1894;1895;1896;1897;1898,10,54,11047988,Holland,Oranges
country_obs_inf,as_1872,TOBACCO,Unmanufactured,73,245,323,264,1872,2,53,788003277,TobaccoManufactured: Snuff: From all Countries,Tobacco|Raw
country_obs,as_1883,SPIRITS,Not tested for ascertaining strength,89,233,322,269,1883,2,52,116006278,Germany,Tea
country_obs,as_1898,GLASS,"Lac, Seed, Shell, Stick, and Dye",96,8632,8727,8676,1895;1897,2,51,309025,TOTAL,own
country_obs,as_1873,"CARDS, PLAYING",Roasted or Ground,70,20,91,39,1873,4,50,5753598,Husks and Shells : From France,Cocoa
country_obs,as_1882,WINE,Total of all Kinds,66,144,209,160,1882,1,49,341092268,"Animals, Living:—Oxen, Bulls, and Cows Number",Wine
