commodity,origin,year,value
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Bengal And Burmah,1874,23561041159
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Belgium,1874,22670165610
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Japan,1874,18512017980
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Chile,1874,16902820920
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Chile,1874,16260526176
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Brazil,1874,16084021657
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",British Possessions In South Africa,1874,12883225293
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Bombay,1874,12596014807
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Italy,1874,12189025819
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Egypt,1874,12074673033
"Teeth, Elephants', Sea Cow, And Sea Horse",Other Countries,1881,12024356575
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Bengal And Burmah,1874,11537020336
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Hong Kong,1874,11535020053
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Argentine Republic,1874,11199818177
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Peru,1874,10726019825
"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",United States Of America (Atlantic & Pacific),1876,10497788861
"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",United States Of America,1876,10497788861
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",China,1874,10346020985
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",British Possessions In South Africa,1874,9320019323
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Portugal,1874,9161019302
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",United States Of Colombia,1874,8863119747
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Belgium,1874,8786522717
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Holland,1874,7470021311
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Hong Kong,1874,6951013282
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Bombay,1874,5742010507
"Teeth, Elephants', Sea Cow, And Sea Horse",Portuguese Possessions In Western Africa,1881,4664028629
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Gibraltar,1874,4470010159
"Bleaching Materials — Books, Printed",British East Indies,1876,2173712143
"Bleaching Materials — Books, Printed",United States Of America (Atlantic & Pacific),1876,1895472419
"Bleaching Materials — Books, Printed",United States Of America,1876,1895472419
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",United States Of America,1884,1000972410
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",United States Of America (Atlantic & Pacific),1884,1000972410
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Chile,1874,697208325
Coffee — Raw,Plums French And Pruneloes From France Other Countries,1880,560911214
Biscuit And Bread,British East Indies,1876,416412412
Coffee — Raw,Prunes From France Other Countries,1880,414191444
"Unenumerated, Not Sweetened Or Mixed",United States Of America Other Countries,1883,301721065
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",Madras,1874,246002539
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",United States Of America (Pacific),1874,208702585
"Skins, Furs, And Pelts — Seal",Whale Fisheries Northern Other Countries,1884,162662701
Bleaching Materials,United States Of America (Atlantic & Pacific),1876,153479646
Bleaching Materials,United States Of America,1876,153479646
"Brass — Manufactures Of, Not Being Ordnance",British East Indies,1876,147405069
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",Madras,1874,96602783
Petroleum,Illuminating Gallons,1899,89976833
"Wine, British Made — Rough, Hewn, Sawn, Or Split",British Possessions In South Africa,1872,61301773
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",Madras,1874,58701534
