commodity,year,t1_value,origin_value,v_ratio,v_bucket,t1_qty,origin_qty,q_ratio,q_bucket,unit,n_origins,split
Pyrites Of Iron Or Copper,1875,1406995,1406995,1.0,exact01,537555,507555,0.9442,under,Ton,4,QTY-ONLY-DEFECT
Spirits — Brandy,1890,1401919,1901035,1.356,over,3100450,3098458,0.9994,exact01,Proof Gallon,6,VALUE-ONLY-DEFECT
"Preserved, Otherwise Than By Salting",1878,1315701,1415701,1.076,over,439900,439905,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
Oil — Palm,1882,1240866,1240966,1.0001,exact01,813870,873872,1.0737,over,Cwt,7,QTY-ONLY-DEFECT
"Woollen Yarn — For Fancy Purposes, Including Berlin Wool And Zephyr Yarn",1895,1221104,216440,0.1772,under,1221194,1220214,0.9992,exact01,Lb,5,VALUE-ONLY-DEFECT
"Woollen Yarn — For Fancy Purposes, Including Berlin Wool And Zephyr Yarn",1894,1219965,224357,0.1839,under,1219965,1219151,0.9993,exact01,Lb,4,VALUE-ONLY-DEFECT
Fruit — Oranges And Lemons,1881,1167562,1467562,1.2569,over,3835103,3835103,1.0,exact01,Bushel,6,VALUE-ONLY-DEFECT
"Woollen Yarn — For Fancy Purposes, Including Berlin Wool And Zephyr Yarn",1897,1129496,196567,0.174,under,1129496,1129496,1.0,exact01,Lb,5,VALUE-ONLY-DEFECT
"Drugs — Bark, Peruvian",1883,1123516,1423516,1.267,over,116921,116921,1.0,exact01,Cwt,20,VALUE-ONLY-DEFECT
Fruit — Raisins,1876,1058106,2370961,2.2408,over,583860,583860,1.0,exact01,Cwt,27,VALUE-ONLY-DEFECT
Oil — Palm,1886,1050459,1209556,1.1515,over,1004419,1004419,1.0,exact01,Cwt,17,VALUE-ONLY-DEFECT
Oil — Olive,1885,981348,981354,1.0,exact01,21227,24209,1.1405,over,Tun,11,QTY-ONLY-DEFECT
"Animals, Living — Sheep And Lambs",1899,942891,131811,0.1398,under,607755,608055,1.0005,exact01,Number,6,VALUE-ONLY-DEFECT
"Paper-Making Materials — Esparto, And Other Vegetable Fibres",1897,825195,825105,0.9999,exact01,204579,123159,0.602,under,Ton,5,QTY-ONLY-DEFECT
Oil — Coco-Nut,1872,822257,822257,1.0,exact01,433883,403883,0.9309,under,Cwt,5,QTY-ONLY-DEFECT
"Skins, Furs, And Pelts — Seal",1888,712743,578655,0.8119,under,712743,712743,1.0,exact01,Number,12,VALUE-ONLY-DEFECT
Gutta Percha,1890,708296,798296,1.1271,over,70176,70176,1.0,exact01,Cwt,9,VALUE-ONLY-DEFECT
Wool — Goats' Wool Or Hair,1890,696738,696738,1.0,exact01,15880314,12940254,0.8149,under,Lb,10,QTY-ONLY-DEFECT
Onions — Raw,1896,681949,1355443,1.9876,over,6086905,6086855,1.0,exact01,Bushel,16,VALUE-ONLY-DEFECT
Hops,1872,679276,734244,1.0809,over,135965,135959,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
Iron — In Bars,1879,678357,878357,1.2948,over,95519,95549,1.0003,exact01,Ton,3,VALUE-ONLY-DEFECT
"Cured, Sardines",1898,661328,511803,0.7739,under,239273,239273,1.0,exact01,Cwt,10,VALUE-ONLY-DEFECT
"Staves, Of All Dimensions",1895,594615,504336,0.8482,under,144751,144751,1.0,exact01,Load,11,VALUE-ONLY-DEFECT
Mares,1897,522029,474562,0.9091,under,19927,19932,1.0003,exact01,Number,22,VALUE-ONLY-DEFECT
"Glass — Window And German Sheet, Including Shades And Cylinders",1893,503040,450040,0.8946,under,936825,936525,0.9997,exact01,Cwt,6,VALUE-ONLY-DEFECT
Rosin,1872,492216,492246,1.0001,exact01,919494,619194,0.6734,under,Cwt,3,QTY-ONLY-DEFECT
Sugar — Glucose,1888,480799,324292,0.6745,under,480799,480799,1.0,exact01,Cwt,5,VALUE-ONLY-DEFECT
Yarn,1886,450039,450039,1.0,exact01,3948886,8125556,2.0577,over,Lb,6,QTY-ONLY-DEFECT
Paraffine,1888,448234,448234,1.0,exact01,318019,348019,1.0943,over,Cwt,5,QTY-ONLY-DEFECT
"Skins, Furs, And Pelts — Seal",1883,443026,393026,0.8871,under,671284,671284,1.0,exact01,Number,17,VALUE-ONLY-DEFECT
Lemons,1898,439285,43450,0.0989,under,1631644,1631189,0.9997,exact01,Bushel,8,VALUE-ONLY-DEFECT
Yarn,1887,438597,438597,1.0,exact01,2556642,7841924,3.0673,over,Lb,6,QTY-ONLY-DEFECT
Yarn,1883,436835,412821,0.945,under,1569937,1569937,1.0,exact01,Lb,8,VALUE-ONLY-DEFECT
Oatmeal And Groats,1897,434672,404668,0.931,under,732495,732504,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Boots And Shoes,1887,433019,433019,1.0,exact01,1513456,140945,0.0931,under,Dozen Pairs,8,QTY-ONLY-DEFECT
Yarn,1884,429600,429617,1.0,exact01,2534462,7490272,2.9554,over,Lb,6,QTY-ONLY-DEFECT
"Skins, Furs, And Pelts — Seal",1873,427274,427274,1.0,exact01,876077,973047,1.1107,over,Number,8,QTY-ONLY-DEFECT
Clocks,1876,416955,443955,1.0648,over,601029,601029,1.0,exact01,Number,6,VALUE-ONLY-DEFECT
Spirits — Rum,1886,403349,230768,0.5721,under,5100010,5100010,1.0,exact01,Proof Gallon,13,VALUE-ONLY-DEFECT
Gutta Percha — Raw,1872,399955,399955,1.0,exact01,41597,44597,1.0721,over,Cwt,7,QTY-ONLY-DEFECT
"Yeast, Dried",1874,396074,396074,1.0,exact01,163811,153811,0.939,under,Cwt,4,QTY-ONLY-DEFECT
Quicksilver,1897,390881,390881,1.0,exact01,4105053,3815053,0.9294,under,Lb,6,QTY-ONLY-DEFECT
Gum — Unenumerated,1887,374247,406217,1.0854,over,101835,101805,0.9997,exact01,Cwt,20,VALUE-ONLY-DEFECT
Oil — Turpentine,1874,374229,374229,1.0,exact01,275904,245904,0.8913,under,Cwt,4,QTY-ONLY-DEFECT
Linen Yarn,1879,370865,370865,1.0,exact01,6381798,5754768,0.9017,under,Lb,4,QTY-ONLY-DEFECT
Boots And Shoes,1878,370147,370147,1.0,exact01,102690,202690,1.9738,over,Dozen Pairs,7,QTY-ONLY-DEFECT
Oil — Coco-Nut,1881,369779,369779,1.0,exact01,218412,248412,1.1374,over,Cwt,4,QTY-ONLY-DEFECT
Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,1880,358865,358865,1.0,exact01,41349,38049,0.9202,under,Ton,6,QTY-ONLY-DEFECT
Boots And Shoes,1889,350856,350856,1.0,exact01,1575242,100195,0.0636,under,Dozen Pairs,8,QTY-ONLY-DEFECT
Sugar — Molasses,1888,345894,109375,0.3162,under,345894,345894,1.0,exact01,Cwt,5,VALUE-ONLY-DEFECT
"Cured, Sardines",1894,341828,341848,1.0001,exact01,925244,105155,0.1137,under,Cwt,9,QTY-ONLY-DEFECT
Boots And Shoes,1890,333011,333011,1.0,exact01,1628481,99613,0.0612,under,Dozen Pairs,8,QTY-ONLY-DEFECT
Seeds — Clover And Grass,1888,330039,680792,2.0628,over,330039,330039,1.0,exact01,Cwt,8,VALUE-ONLY-DEFECT
Quicksilver,1885,326959,474892,1.4525,over,4136519,4136369,1.0,exact01,Lb,10,VALUE-ONLY-DEFECT
"Manganese, Ore Of",1891,325445,325145,0.9991,exact01,256772,98236,0.3826,under,Ton,12,QTY-ONLY-DEFECT
Boots And Shoes,1891,322746,322746,1.0,exact01,1777697,102082,0.0574,under,Dozen Pairs,7,QTY-ONLY-DEFECT
Brimstone,1877,317596,317596,1.0,exact01,1085614,1025614,0.9447,under,Cwt,3,QTY-ONLY-DEFECT
Manures — Phosphate Of Lime And Rock,1892,314130,665689,2.1192,over,314130,314130,1.0,exact01,Ton,13,VALUE-ONLY-DEFECT
Yeast,1898,308708,368708,1.1944,over,152245,152245,1.0,exact01,Cwt,6,VALUE-ONLY-DEFECT
Manures — Phosphate Of Lime And Rock,1889,304953,703794,2.3079,over,304953,304963,1.0,exact01,Ton,11,VALUE-ONLY-DEFECT
"Glass — Plate, Whether Silvered Or Not",1897,303047,252997,0.8348,under,252033,251943,0.9996,exact01,Cwt,6,VALUE-ONLY-DEFECT
"Zinc — Crude, In Cakes",1872,299689,299689,1.0,exact01,15761,14761,0.9366,under,Ton,5,QTY-ONLY-DEFECT
Gutta Percha — Raw,1874,299522,299502,0.9999,exact01,29970,26970,0.8999,under,Cwt,4,QTY-ONLY-DEFECT
Rabbits,1894,297818,297818,1.0,exact01,108476,58476,0.5391,under,Cwt,5,QTY-ONLY-DEFECT
Tobacco — Other Sorts,1898,296988,207044,0.6971,under,790870,790870,1.0,exact01,Lb,21,VALUE-ONLY-DEFECT
Oil — Turpentine,1879,290437,290437,1.0,exact01,237232,254232,1.0717,over,Cwt,2,QTY-ONLY-DEFECT
Oleo-Margarine,1899,263435,233435,0.8861,under,166184,166184,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
Gum — Unenumerated,1874,258198,258198,1.0,exact01,80880,75830,0.9376,under,Cwt,11,QTY-ONLY-DEFECT
Manures — Phosphate Of Lime And Rock,1888,257886,544919,2.113,over,257886,257886,1.0,exact01,Ton,12,VALUE-ONLY-DEFECT
Manures — Phosphate Of Lime And Rock,1891,256772,621732,2.4213,over,256772,256772,1.0,exact01,Ton,11,VALUE-ONLY-DEFECT
"Platina, Wrought Or Unwrought",1899,235574,205574,0.8727,under,173752,173722,0.9998,exact01,Oz Troy,4,VALUE-ONLY-DEFECT
Pears — Raw,1898,221779,191680,0.8643,under,491669,491669,1.0,exact01,Bushel,9,VALUE-ONLY-DEFECT
Linen Yarn,1882,221222,679561,3.0719,over,4935747,4935747,1.0,exact01,Lb,9,VALUE-ONLY-DEFECT
Cork — Unmanufactured,1883,217181,187181,0.8619,under,11779,11776,0.9997,exact01,Ton,7,VALUE-ONLY-DEFECT
Oil — Coco-Nut,1888,194025,245867,1.2672,over,194025,194025,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
Gum — Arabic,1892,191617,191617,1.0,exact01,68602,78602,1.1458,over,Cwt,13,QTY-ONLY-DEFECT
Oil — Coco-Nut,1887,180792,248218,1.3729,over,180792,180792,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
Cherries — Raw,1897,178131,168229,0.9444,under,312294,312294,1.0,exact01,Bushel,5,VALUE-ONLY-DEFECT
Horns And Hoofs Of Cattle,1875,172966,1309764,7.5724,over,5968,5968,1.0,exact01,Ton,13,VALUE-ONLY-DEFECT
Horse,1875,171053,198188,1.1586,over,20231,20231,1.0,exact01,Cwt,11,VALUE-ONLY-DEFECT
Brimstone,1887,157188,177570,1.1297,over,661158,661158,1.0,exact01,Cwt,6,VALUE-ONLY-DEFECT
Horse,1878,131356,355856,2.7091,over,22181,22181,1.0,exact01,Cwt,21,VALUE-ONLY-DEFECT
Tares And Lentils,1883,127411,97411,0.7645,under,667462,667462,1.0,exact01,Bushel,8,VALUE-ONLY-DEFECT
Cochineal (Including Granilla And Dust),1880,127111,427111,3.3601,over,28381,28381,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Gum — Arabic,1872,123080,123080,1.0,exact01,12837,42917,3.3432,over,Cwt,6,QTY-ONLY-DEFECT
Confectionery,1876,120812,420842,3.4834,over,124027,124027,1.0,exact01,Cwt,8,VALUE-ONLY-DEFECT
Spices — Ginger (Raw),1879,116607,146607,1.2573,over,61840,61840,1.0,exact01,Cwt,6,VALUE-ONLY-DEFECT
Horse,1879,114964,266773,2.3205,over,19582,19582,1.0,exact01,Cwt,19,VALUE-ONLY-DEFECT
"Plate — Of Silver, Gilt Or Ungilt",1899,111777,31922,0.2856,under,111777,111747,0.9997,exact01,Oz Troy,9,VALUE-ONLY-DEFECT
"Lac, Seed, Shell, Stick, And Dye",1887,110778,287618,2.5963,over,110778,110778,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
"Varnished, Japanned Or Enamelled",1896,110778,221548,1.9999,over,4295,4295,1.0,exact01,Cwt,10,VALUE-ONLY-DEFECT
"Platina, Wrought Or Unwrought",1893,108878,75088,0.6897,under,83130,83083,0.9994,exact01,Oz Troy,3,VALUE-ONLY-DEFECT
Plumbago,1881,103996,114194,1.0981,over,7947,7947,1.0,exact01,Ton,6,VALUE-ONLY-DEFECT
"Lac, Seed, Shell, Stick, And Dye",1888,103138,271406,2.6315,over,103183,103183,1.0,exact01,Cwt,2,VALUE-ONLY-DEFECT
Cochineal (Including Granilla And Dust),1877,102989,402989,3.9129,over,32094,32064,0.9991,exact01,Cwt,7,VALUE-ONLY-DEFECT
"Hair — Cow, Ox, Bull, Or Elk",1891,98380,143188,1.4555,over,98380,98347,0.9997,exact01,Cwt,13,VALUE-ONLY-DEFECT
Isinglass,1879,98253,98253,1.0,exact01,5146,5446,1.0583,over,Cwt,6,QTY-ONLY-DEFECT
Waste Of (Raw And Yarn),1899,97819,88726,0.907,under,14028104,14018804,0.9993,exact01,Lb,10,VALUE-ONLY-DEFECT
"Hair — Cow, Ox, Bull, Or Elk",1888,94994,145027,1.5267,over,94994,94994,1.0,exact01,Cwt,12,VALUE-ONLY-DEFECT
Moss Litter,1898,94681,94591,0.999,exact01,89449,80449,0.8994,under,Ton,4,QTY-ONLY-DEFECT
"Lac, Seed, Shell, Stick, And Dye",1890,91834,389538,4.2418,over,91834,91834,1.0,exact01,Cwt,2,VALUE-ONLY-DEFECT
"Hair — Cow, Ox, Bull, Or Elk",1889,91707,134862,1.4706,over,91707,91707,1.0,exact01,Cwt,11,VALUE-ONLY-DEFECT
Galls,1898,90188,80889,0.8969,under,36140,36143,1.0001,exact01,Cwt,7,VALUE-ONLY-DEFECT
Brimstone,1898,90031,99031,1.1,over,386647,386647,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Spices — Cinnamon,1884,86003,6003,0.0698,under,1967744,1967744,1.0,exact01,Lb,3,VALUE-ONLY-DEFECT
Liquorice,1892,85476,85476,1.0,exact01,34119,31119,0.9121,under,Cwt,6,QTY-ONLY-DEFECT
Cows,1897,84754,84754,1.0,exact01,5038,5437,1.0792,over,Number,3,QTY-ONLY-DEFECT
Isinglass,1874,83880,3618264,43.1362,over,4098,4098,1.0,exact01,Cwt,7,VALUE-ONLY-DEFECT
"Hair — Cow, Ox, Bull, Or Elk",1887,83013,115730,1.3941,over,83043,82983,0.9993,exact01,Cwt,10,VALUE-ONLY-DEFECT
Whalefins,1877,82987,90843,1.0947,over,1969,1969,1.0,exact01,Cwt,5,VALUE-ONLY-DEFECT
"Lac, Seed, Shell, Stick, And Dye",1889,78581,276296,3.5161,over,78581,78581,1.0,exact01,Cwt,2,VALUE-ONLY-DEFECT
Alkali,1879,76631,76631,1.0,exact01,73014,42984,0.5887,under,Cwt,3,QTY-ONLY-DEFECT
"Plums, French, And Pruneloes",1893,68539,63536,0.927,under,27663,27663,1.0,exact01,Cwt,2,VALUE-ONLY-DEFECT
Straw,1888,66026,66026,1.0,exact01,303537,227922,0.7509,under,Lb,8,QTY-ONLY-DEFECT
Kowrie,1888,66000,177822,2.6943,over,66000,66000,1.0,exact01,Cwt,4,VALUE-ONLY-DEFECT
Kowrie,1889,59882,149396,2.4948,over,59882,59882,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Cavendish Or Negrohead,1899,56748,66748,1.1762,over,1246521,1246522,1.0,exact01,Lb,8,VALUE-ONLY-DEFECT
Kowrie,1890,55076,141088,2.5617,over,55076,55076,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Galls,1872,54963,59963,1.091,over,21931,21931,1.0,exact01,Cwt,5,VALUE-ONLY-DEFECT
Whalefins,1881,50394,50394,1.0,exact01,30956,2103,0.0679,under,Cwt,5,QTY-ONLY-DEFECT
Cavendish Or Negrohead,1894,49507,40507,0.8182,under,902015,902015,1.0,exact01,Lb,8,VALUE-ONLY-DEFECT
Oil — Animal,1874,41287,38687,0.937,under,20660,20660,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Part Wrought,1898,30369,27232,0.8967,under,568,568,1.0,exact01,Ton,8,VALUE-ONLY-DEFECT
Manufactures Of Iron And Steel — Tyres And Axles,1897,25174,22183,0.8812,under,29485,29485,1.0,exact01,Cwt,5,VALUE-ONLY-DEFECT
Dye Woods — Unenumerated,1886,22466,125127,5.5696,over,22466,22466,1.0,exact01,Ton,14,VALUE-ONLY-DEFECT
Pitch,1873,21346,21346,1.0,exact01,50493,47493,0.9406,under,Cwt,2,QTY-ONLY-DEFECT
Madder,1878,21039,24039,1.1426,over,21859,21859,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
Dye Woods — Unenumerated,1889,18207,95954,5.2702,over,18207,18207,1.0,exact01,Ton,17,VALUE-ONLY-DEFECT
Madder,1880,16215,15215,0.9383,under,12329,12329,1.0,exact01,Cwt,3,VALUE-ONLY-DEFECT
"Madder, Madder Root, Garancine, And Munjeet",1899,3254,8110,2.4923,over,2465,2465,1.0,exact01,Cwt,4,VALUE-ONLY-DEFECT
Roasted Or Ground,1893,2053,2858,1.3921,over,171685,171685,1.0,exact01,Lb,7,VALUE-ONLY-DEFECT
Snuff,1898,1805,1805,1.0,exact01,6502,6902,1.0615,over,Lb,2,QTY-ONLY-DEFECT
Calves,1898,969,909,0.9381,under,176,176,1.0,exact01,Number,3,VALUE-ONLY-DEFECT
Butyric,1893,481,431,0.896,under,260,260,1.0,exact01,Gallon,1,VALUE-ONLY-DEFECT
Plate — Of Gold,1894,40,49,1.225,over,6,6,1.0,exact01,Oz Troy,1,VALUE-ONLY-DEFECT
Iodide Of,1897,5,6,1.2,over,1,1,1.0,exact01,Gallon,1,VALUE-ONLY-DEFECT
Iodide Of,1899,2,10,5.0,over,2,2,1.0,exact01,Gallon,1,VALUE-ONLY-DEFECT
"Ivory :Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse ,,Vegetable",1896,1091130129,0,0.0,nodata,1691130129,0,0.0,nodata,?,0,
"Ivory :Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse ,,Vegetable",1895,1091112988,0,0.0,nodata,1091112988,0,0.0,nodata,?,0,
"Ivory :Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse ,,Vegetable",1897,1028816412,0,0.0,nodata,1028816412,0,0.0,nodata,?,0,
"Ivory :Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse ,,Vegetable",1898,1000212716,0,0.0,nodata,1000212716,0,0.0,nodata,?,0,
Cotton — Raw,1869,56846690,0,0.0,nodata,10900088,0,0.0,nodata,Cwt,0,
Cotton — Raw,1871,55907070,0,0.0,nodata,15876248,0,0.0,nodata,Cwt,0,
Cotton — Raw,1868,55194157,0,0.0,nodata,11857893,0,0.0,nodata,Cwt,0,
Cotton — Raw,1873,54704847,54704847,1.0,exact01,13639252,13639252,1.0,exact01,Cwt,23,
Cotton — Raw,1870,53477735,0,0.0,nodata,11949157,0,0.0,nodata,Cwt,0,
Cotton — Raw,1872,53380670,53385640,1.0001,exact01,12578906,12678876,1.0079,within5,Cwt,22,
Cotton — Raw,1874,50696496,50492248,0.996,within5,13989861,14896420,1.0648,over,Cwt,22,
Tobacco — Unmanufactured,1888,46679898,1464557,0.0314,under,46679898,46739898,1.0013,within5,Lb,18,
Unmanufactured,1888,46679898,0,0.0,nodata,14293,0,0.0,nodata,Ton,0,
Cotton — Raw,1882,46654570,46654570,1.0,exact01,15929564,15929664,1.0,exact01,Cwt,17,
Cotton — Raw,1875,46259822,46155219,0.9977,within5,13324564,13303820,0.9984,within5,Cwt,21,
Cotton — Raw,1891,46080719,46080686,1.0,exact01,17811476,17811443,1.0,exact01,Cwt,27,
Cotton — Raw,1889,45612028,45641998,1.0007,exact01,17298770,17298830,1.0,exact01,Cwt,24,
Cotton — Raw,1883,45042296,45006793,0.9992,exact01,15485121,15172015,0.9798,within5,Cwt,21,
Cotton — Raw,1884,44485889,44485889,1.0,exact01,15617582,15617582,1.0,exact01,Cwt,26,
Cotton — Raw,1881,43834647,43834647,1.0,exact01,14991682,14991682,1.0,exact01,Cwt,16,
Cotton — Raw,1880,42772088,42792088,1.0005,exact01,14541648,14541648,1.0,exact01,Cwt,18,
Cotton — Raw,1890,42756575,42806580,1.0012,within5,16013350,15923350,0.9944,within5,Cwt,27,
Cotton — Raw,1900,40982594,0,0.0,nodata,15716131,0,0.0,nodata,Cwt,0,
Cotton — Raw,1876,40180880,40180880,1.0,exact01,13284454,13284454,1.0,exact01,Cwt,18,
Cotton — Raw,1887,40156456,40156461,1.0,exact01,15994976,15994976,1.0,exact01,Cwt,23,
Cotton — Raw,1888,40009086,40009086,1.0,exact01,15462099,15462099,1.0,exact01,Cwt,26,
Cotton — Raw,1886,38128110,38119556,0.9998,exact01,15312900,15310079,0.9998,exact01,Cwt,22,
Cotton — Raw,1892,37883356,37888556,1.0001,exact01,15850324,15850318,1.0,exact01,Cwt,22,
Cotton — Raw,1885,36472612,36472612,1.0,exact01,12730503,12730503,1.0,exact01,Cwt,24,
Cotton — Raw,1896,36272039,36294711,1.0006,exact01,15668663,15678995,1.0007,exact01,Cwt,26,
Cotton — Raw,1879,36180548,36180248,1.0,exact01,13119272,13119272,1.0,exact01,Cwt,18,
Cotton — Raw,1877,35420852,35420852,1.0,exact01,12100725,12080716,0.9983,within5,Cwt,15,
Corn And Grain — Wheat,1882,34259126,34259126,1.0,exact01,64240749,64240749,1.0,exact01,Cwt,13,
Cotton — Raw,1898,34125554,33825140,0.9912,within5,19004896,18995216,0.9995,exact01,Cwt,25,
Corn And Grain — Wheat,1877,33885137,33885437,1.0,exact01,54269800,54269202,1.0,exact01,Cwt,20,
Cotton — Raw,1878,33519549,33519549,1.0,exact01,11967679,11967679,1.0,exact01,Cwt,16,
Cotton — Raw,1894,32944341,33004450,1.0018,within5,15965326,15832152,0.9917,within5,Cwt,27,
Cotton — Raw,1897,32195172,56855455,1.766,over,15394289,27718288,1.8006,over,Cwt,26,
Corn And Grain — Wheat,1881,31531535,31531535,1.0,exact01,57147933,57147933,1.0,exact01,Cwt,11,
Corn And Grain — Wheat,1879,31468171,31468171,1.0,exact01,59591795,59151795,0.9926,within5,Cwt,13,
Corn And Grain — Wheat,1883,31454481,31457481,1.0001,exact01,64138631,64138601,1.0,exact01,Cwt,23,
Cotton — Raw,1893,30684942,30714318,1.001,exact01,12649822,12661566,1.0009,exact01,Cwt,28,
Corn And Grain — Wheat,1880,30621711,30618714,0.9999,exact01,55261924,55261924,1.0,exact01,Cwt,11,
Cotton — Raw,1895,30429428,30449435,1.0007,exact01,15687881,15694858,1.0004,exact01,Cwt,28,
Corn And Grain — Wheat,1891,29448204,30421430,1.033,within5,66312962,68367552,1.031,within5,Cwt,24,
Corn And Grain — Wheat,1873,28538746,28538746,1.0,exact01,43863098,43863098,1.0,exact01,Cwt,17,
Wool — Sheep Or Lambs',1889,28361870,46594840,1.6429,over,696011487,1118952399,1.6077,over,Lb,40,
Wool — Sheep Or Lambs',1891,27856546,52343606,1.879,over,715470708,1326764118,1.8544,over,Lb,41,
Corn And Grain — Wheat,1875,27510469,27510464,1.0,exact01,51876517,51876517,1.0,exact01,Cwt,17,
Corn And Grain — Wheat,1878,27433444,27428444,0.9998,exact01,49906484,49906424,1.0,exact01,Cwt,15,
Wool — Sheep Or Lambs',1890,26930764,50852245,1.8883,over,629236269,1171540985,1.8618,over,Lb,36,
Wool — Sheep Or Lambs',1892,26839319,53633963,1.9983,over,738251203,1456164473,1.9725,over,Lb,40,
Wool — Sheep Or Lambs',1880,26194310,26194310,1.0,exact01,460960907,460960907,1.0,exact01,Lb,19,
Corn And Grain — Wheat,1872,26169185,25569185,0.9771,within5,42127726,42094096,0.9992,exact01,Cwt,18,
Wheat,1898,26147256,0,0.0,nodata,65227930,0,0.0,nodata,Cwt,0,
Wool — Sheep Or Lambs',1884,26042283,45682464,1.7542,over,518637800,891429316,1.7188,over,Lb,35,
Wool — Sheep Or Lambs',1895,26025960,51872004,1.9931,over,770955203,1506468428,1.954,over,Lb,58,
Wool — Sheep Or Lambs',1881,25842311,25742046,0.9961,within5,447521441,444735393,0.9938,within5,Lb,17,
"Wool — Goats' Wool, Mohair",1895,25758928,0,0.0,nodata,25758928,0,0.0,nodata,Lb,0,
Corn And Grain — Wheat,1874,25236932,25209911,0.9989,within5,41527638,41227638,0.9928,within5,Cwt,18,
