commodity,year,origin,value,qty
Wine — Total Of All Kinds,1877,Glass Of All Kinds,609034,1141343
Wine — Total Of All Kinds,1882,Fruit Currants,580865,1012102
Wine — Total Of All Kinds,1876,Glass Of All Kinds,576058,1060361
Petroleum,1899,Rabbits Dead,570033,0
Wine — Total Of All Kinds,1877,Hides Raw,569063,1146364
Wine — Total Of All Kinds,1881,Hides Raw,559330,1011326
Petroleum,1899,Raisins,557653,0
Wine — Total Of All Kinds,1877,Paper Of All Kinds Except Hangings Cwts,554566,886202
Wine — Total Of All Kinds,1876,Paper Of All Kinds Except Hangings Cuts,534855,848660
Wine — Total Of All Kinds,1876,Hides Raw,510611,1055575
Whalebone (Whalefins) — Whale Fisheries,1888,Fir,493655,310522
Wine — Total Of All Kinds,1882,Raw Apples Bushels,477114,2386805
Wine — Total Of All Kinds,1882,Tin In Ingots Bars Or Slabs Cuts,476157,485737
Wine — Total Of All Kinds,1881,Hemp Cwts,464040,1180105
Wool — Sheep Or Lambs',1899,Goats Wool Or Hair Mohair,436345,0
Petroleum,1899,Quicksilver,414753,0
Wine — Total Of All Kinds,1877,Cotton Raw,409155,12100725
Wine — Total Of All Kinds,1881,Tin In Ingots Bars Or Slabs Cwts,400267,406200
Wine — Total Of All Kinds,1882,Hemp Cuts,369031,1349658
Wine — Total Of All Kinds,1876,Raisins Cuts,355112,583860
Wine — Total Of All Kinds,1877,Raisins Cwts,354416,535788
Wine — Total Of All Kinds,1882,Raisins Cuts,354189,548911
Copper,1899,Cork Manufactured,353076,0
Petroleum,1899,Plumbago,351590,0
Wine — Total Of All Kinds,1877,Hemp Cwts,338504,1254667
Petroleum,1899,Gum Kowrie,316220,0
Wine — Total Of All Kinds,1876,Tin In Ingots Slabs And Regulus Cuts,299937,304551
Wine — Total Of All Kinds,1877,Tin In Ingots Slabs And Regulus Cwts,270354,275252
Wine — Total Of All Kinds,1876,Hemp Cuts,260676,1174855
Iron — Leather Manufacturers,1899,Boots And Shoes,238958,650561
Petroleum,1899,Fresh,230817,0
Wine — Total Of All Kinds,1881,Raisins Cwts,230489,568608
Petroleum,1899,Hay,220454,0
Iron — Leather Manufacturers,1899,Gloves,199728,2002090
Wine — Total Of All Kinds,1877,Hops Cwts,136858,250039
Petroleum,1899,Ice,134528,0
Wine — Total Of All Kinds,1876,Animals Living Oxen Bulls And Cows Number,120602,227478
Wine — Total Of All Kinds,1876,Hops Cuts,119073,167366
Wine — Total Of All Kinds,1882,Animals Living Oxen Bulls And Cows Number,115674,309359
Petroleum,1899,Pyrites Of Iron Or Copper,105448,0
Iron — Leather Manufacturers,1899,Manufactures,101139,414854
Wine — Total Of All Kinds,1881,Animals Living Oxen Bulls And Cows Number,100153,282691
Wine — Total Of All Kinds,1876,Leather Gloves Doz Pairs,89702,1497437
Petroleum,1899,Rosin,87539,0
Wine — Total Of All Kinds,1876,Indigo,77529,88722
Wine — Total Of All Kinds,1876,Guano Tons,76926,199291
Wine — Total Of All Kinds,1882,Drugs Bark Peruvian Cuts,75195,139285
Petroleum,1899,Pyrites Of Iron Or Copper Tons,73960,0
Wine — Total Of All Kinds,1877,Animals Living Oxen Bulls And Cows Number,73446,174022
Wine — Total Of All Kinds,1881,Dyes And Dyeing Stuffs Indigo Cwts,72799,81088
Copper,1899,Ore Of,71480,0
Wine — Total Of All Kinds,1881,Hops Cwts,60558,147559
Wine — Total Of All Kinds,1877,Guano Tons,57598,152989
Wine — Total Of All Kinds,1876,Oil Seed Cake Tons,57256,190281
Wine — Total Of All Kinds,1877,Oil Seed Cake Tons,54014,163606
Wine — Total Of All Kinds,1881,Oil Seed Cake Tons,53187,221100
Wine — Total Of All Kinds,1877,Indigo,51377,60640
Wine — Total Of All Kinds,1882,Lead Pig And Sheet Tons,51216,87853
Wine — Total Of All Kinds,1877,Lead Pig And Sheet,51044,94486
Wine — Total Of All Kinds,1877,Palm Cwts,50491,897264
Wine — Total Of All Kinds,1882,Oil Seed Cake Tons,50336,190427
Wine — Total Of All Kinds,1881,Lead Pig And Sheet Tons,50155,93559
Wine — Total Of All Kinds,1882,Caoutchouc Cuts,47721,181726
Wine — Total Of All Kinds,1881,Caoutchouc Cwts,44914,172077
Wine — Total Of All Kinds,1876,Lead Pig And Sheet,40548,80649
Copper,1899,Unwrought,33418,0
Petroleum,1899,Pork Salted Cts,32323,0
