article,canonical_group,plurality_frac,n_rows,n_groups_before,gold_agree,flag
Maize or Indian Corn Meal (including Maizena),Meal and Flour,0.47,43,5,yes,REVIEW
Perfumed Spirits (including Water Cologne),SPIRITS,0.45,40,3,,REVIEW
"Ordnance Stores, Explosives, and Ammunition,     Unenumerated","ARMS, AMMUNITION, and MILITARY STORES",0.43,37,3,,REVIEW
Knobs or Husks and Waste,SEEDS,0.42,33,3,,REVIEW
Munjeet,LIQUORICE,0.29,28,5,,REVIEW
"NITRE, CUBIC",METAL,0.33,27,5,,REVIEW
"White, in Bottles: Sparkling : Champagne",BEER and ALE,0.31,26,4,,REVIEW
"CHICORY AND COFFEE, mixed",COCOA,0.44,25,3,,REVIEW
NAPHTHA (Crude),MAPS AND CHARTS,0.39,18,3,,REVIEW
"Red, in Bottles, Sparkling : Burgundy",CHICORY,0.33,15,3,,REVIEW
"White, in Bottles : Sparkling : Hock",WINE,0.33,15,3,,REVIEW
Glucose (Liquid) or Vegetable Syrup,SUGAR,0.36,14,3,yes,REVIEW
"Red, in Bottles : Sparkling : Other Sorts",TOBACCO,0.33,12,3,,REVIEW
"White, in Bottles: Sparkling : Saumur",TOBACCO,0.45,11,3,,REVIEW
"Muskets, Rifles, Carbines, Fowling Pieces, or Guns of any other Sorts, not Enumerated; and Pistols","ARMS, AND AMMUNITION",0.45,11,3,,REVIEW
"White, in Bottles: Sparkling : Burgundy",TOBACCO,0.33,9,3,,REVIEW
PICKLES preserved in Vinegar,"CHICORY, Raw or Kiln-dried",0.33,3,3,,REVIEW
Unrefined : Total of,SUGAR,0.57,2081,3,yes,
"Cables (not of Iron), Twine, and Cable Yarn",CORDAGE,0.51,1901,4,yes,
Cigars,TOBACCO,0.83,1575,4,yes,
"Unenumerated, Old, fit only to be Re-manufactured—cont.",METAL,0.74,1491,2,,
Hangings,PAPER,0.98,1450,2,yes,
Total of all Kinds,WINE,0.51,1409,6,yes,
Logwood,DYE WOODS,0.76,1358,7,yes,
"Sawn or Split, planed or dressed, Fir",WOOD AND TIMBER,0.65,1318,4,yes,
Applicable to Manufacturing Purposes,BEEF,0.66,1301,5,,
Commonly used for expressing Oil therefrom,NUTS AND KERNELS,0.75,1230,8,,
Tares and Lentils,Cotton,0.90,1161,5,,
"GOODS, not being either in part or wholly manufactured, unenumerated",ZINC,0.58,1077,2,,
Goats' Wool or Hair,WOOL,0.74,1069,7,yes,
Roasted or Ground,BEER AND ALE,0.73,1024,5,,
Other Materials,PAPER,0.78,957,5,yes,
Salted (not Hams),PORK,0.79,936,4,yes,
"Skins, Goat, undressed",Cotton,0.63,923,3,,
Arabic,GUM,0.62,917,7,yes,
Geldings,"ANIMALS, LIVING",0.57,828,3,yes,
"Garden, unenumerated",Cotton,0.91,802,4,,
"Furs, Unenumerated","SKINS, FURS, and PELTS",0.53,793,5,yes,
"GOODS, not being either in part or wholly manufactured, unenu- merated",ZINC,0.66,793,2,,
"Imitation Cheese (including Lard Cheese, and all kinds of Artificial or Imitation Cheese)",CHEESE,0.98,775,2,yes,
"House Frames, Fittings, Joiners' and Cabinet Work",WOOD AND TIMBER,0.57,765,4,,
"Old Broken, and Old Cast Iron   and Steel",IRON,0.59,713,5,,
"BOOKS, Bound or Unbound, including MAPS and CHARTS",BEEF,0.89,694,3,,
"Furs, Rabbit Skins",Cotton,0.96,673,3,,
Stallions,"ANIMALS, LIVING",0.56,666,3,,
"Of Silver, Gilt or Ungilt",PLATE,0.54,661,5,yes,
Mares,"ANIMALS, LIVING",0.54,655,3,yes,
"Unenumerated, including Medi- cinal Preparations not Liable to Duty",DRUGS,0.62,648,3,,
"Muskets. Rifles, Carbines, Fowling Pieces, or Guns of any other sorts not enumerated, and parts thereof, and Pistols","ANIMALS, LIVING",0.54,643,5,,
"Rum, Imitation",FRUIT,0.72,632,5,,
"Refined, Total",SUGAR,0.60,621,5,yes,
"Lac, Seed, Shell, Stick and Dye",GUM,0.62,584,7,yes,
Castor,OIL,0.51,582,5,yes,
Vegetable,IVORY,0.61,572,10,yes,
Muslins,COTTON MANUFACTURES,0.82,571,5,yes,
"Hewn, Unenumerated",WOOD AND TIMBER,0.52,568,6,yes,
"Teeth, Elephants', Sea-cow, Sea-horse, or Sea-morse",IVORY,0.83,563,5,,
For Printing and Writing,PAPER,0.88,563,4,yes,
Preserved without Sugar,FRUIT,0.74,556,3,yes,
"Knubs or Husks of Silk, and Waste",SILK,0.62,538,2,,
"Unenumerated Vegetable Sub-   stances, applicable to the same   uses as Hemp or Flax",HATS OR BONNETS,0.59,536,5,,
"CARDS, PLAYING",BEER AND ALE,1.00,527,1,,
Linseed Cake,OIL SEED CAKE,0.50,498,3,yes,
Pig or Sheet,LEAD,0.73,488,7,yes,
Fresh (not of British taking) : Other sorts,FISH,0.52,481,9,yes,
Perfumed,SPIRITS,0.51,467,6,,
In Casks,WINE,0.52,461,2,yes,
Other Kinds and Flocks,WOOL,0.90,448,5,yes,
"Piece Goods, Other than Muslins",COTTON MANUFACTURES,0.53,439,2,yes,
Sheep or Lambs' Wool,WOOL,1.00,436,1,yes,
Strawboard and Millboard,PAPER,0.97,419,2,yes,
"GOODS, not being either in part or wholly manufactured, unenum- erated",ZINC,1.00,419,1,,
"Shell fish, all sorts",FISH (including Turtle),0.53,411,9,yes,
Kowrie,GUM,0.64,397,6,yes,
"SILVER ORE, or ORE of which the greater part in value is Silver",Cotton,0.68,389,3,,
Bottles,GLASS,0.61,382,4,,
"Unenumerated, Wrought or     Manufactured : Old, fit only to be Re-     manufactured",METAL,0.75,373,3,,
Beef,MEAT,0.89,369,3,,
"Other Sorts, including Candy",SUGAR,0.53,361,5,yes,
"White, in Bottles, Still : Champagne",TOBACCO,1.00,360,1,,
Oranges and Lemons,FRUIT,0.61,355,6,,
Figs and Fig Cake,FRUIT,0.52,352,3,,
"GOODS, Unenumerated",ZINC,0.74,350,3,,
"Manufactures, Broad Stuffs, Silk and Satin",Cotton,0.50,343,3,,
"Manufactures of, including Rugs","SKINS, FURS, and PELTS",0.86,334,5,yes,
"Preserved, otherwise than by Salting","MEAT, unenumerated",0.64,330,7,yes,
"PEARS, Raw",FRUIT,0.55,328,4,,
"Unenumerated, including Medicinal Preparations not Liable to Duty",DRUGS,0.74,326,2,,
Leaves of,GOLD,0.60,322,6,yes,
Cavendish or Negrohead,TOBACCO,0.78,321,4,yes,
"Unenumerated, Wrought or     Manufactured",METAL,0.75,315,5,yes,
Of Cotton,"LACE, and Articles thereof",0.51,311,5,yes,
"Refined, or rendered by any process equal thereto; total of",SUGAR,0.96,311,2,,
"For Weaving, Mixed or not with Silk",WOOLLEN YARN,1.00,309,1,yes,
Millboard and Pasteboard,PAPER,0.93,305,3,yes,
"Plums, Dried or Preserved",FRUIT,0.51,304,5,,
"Other Plate, whether Silvered or not",GLASS,0.67,301,4,,
"Manufactures, including Manufactures of Linen mixed with Cotton",LEATHER,0.73,299,3,,
Unrefined of all Kinds,SUGAR,0.54,299,4,yes,
"Refined, or rendered by any process equal thereto; Other Sorts, including candy",SUGAR,1.00,296,1,,
"Bar, Angle, Bolt, and Rod",IRON,0.81,294,4,yes,
"Refined, or rendered by any process equal thereto; in lumps and loaves",SUGAR,0.86,289,2,,
"Hewn, Fir : Oak",WOOD and TIMBER,0.63,284,4,,
"ARTICLES Imported by PARCEL 
POST",ZINC,0.82,279,3,,
"Manufactures of Skins and Furs, including Rugs",Cotton,0.55,271,4,,
"CHEMICAL MANUFACTURES AND PRODUCTS, not enumerated and not chargeable with duty",CHEESE,1.00,262,1,,
"Furs, Seal Skins",Cotton,0.92,259,3,,
"Rockets and other Combustibles for purposes of War, Explosives, Percussion Caps, and Ammunition not otherwise enumerated or described",AMMUNITION,0.73,258,2,,
Prunes,FRUIT,0.54,253,5,,
Other sorts of Fresh Fish,FISH (including Turtle),0.52,252,3,yes,
"Window and German Sheet, including Shades and Cylinders",GLASS,0.50,248,5,,
"Sawn, Unenumerated",WOOD and TIMBER,0.55,241,3,yes,
"Cocoa or Chocolate, ground, prepared or in any way manufactured",CHICORY,0.52,240,4,,
"Sheep and Lamb, Undressed","SKINS, FURS, AND PELTS",0.69,236,4,,
Imitation Lard (including all kinds of Artificial or Imitation Lard),LARD,0.52,232,5,yes,
"In any way Dressed, (not Leather)","SKINS, FURS, and PELTS",0.78,229,4,,
Unenumerated: Undressed,"SKINS, FURS, and PELTS",0.71,229,5,yes,
"Sawn or Split, Planed or Dressed : Unenumerated",SUGAR,0.61,228,2,,
"RAGS, WOOLLEN, applicable to other uses than Manure","RAGS, and other Materials for making Paper",0.78,228,4,yes,
"Goats' wool, Mohair",WOOL,1.00,224,1,yes,
"Sewing Machines, and Parts   thereof",IRON,0.50,220,3,,
For Fancy purposes,WOOLLEN YARN,0.73,218,4,yes,
Skins in any way dressed (not Leather),Cotton,1.00,206,1,,
2nd Class,Unrefined,0.51,201,2,,
"STONES, MARBLE, and SLATE. Rough, Hewn or Manufactured (Other than Works of Art)",STATIONERY other than PAPER,0.83,196,3,,
Other Materials and Pulp of Rags,"RAGS, and other MATERIALS for MAKING PAPER",0.52,194,6,yes,
In lumps and loaves,SUGAR,0.72,188,4,yes,
"Manufactures of, Unenumerated; including Copper Coin",COPPER,0.80,187,3,yes,
Of Silk,"LACE, and Articles thereof",0.51,185,5,yes,
Of Goats' Wool or Hair mixed or not with other materials,WOOLLEN YARN,0.87,182,3,,
Fresh (not of British taking) Herrings,"CHINA, OR PORCELAIN, AND EARTHENWARE",0.94,181,2,,
SHELLS of all kinds,Cotton,0.52,174,3,,
Linen and Cotton,RAGS and other MATERIALS for MAKING PAPER,0.70,169,4,yes,
Broad Stuffs : Silk and Satin,SILK MANUFACTURES,0.58,167,2,yes,
"Unenumerated, Unwrought : Wrought or Manufactured",METAL,0.72,165,3,,
"Manufactures, Ribbons, Silk and Satin",Cotton,0.54,165,3,,
Old broken Iron and Steel,IRON,0.79,165,4,yes,
"For Fancy Purposes, including Berlin Wool and Zephyr Yarn",WOOLLEN YARN,1.00,163,1,,
Aniline,"DYE STUFFS, and Substances used in Tanning",0.58,160,4,,
"Muskets, Rifles, Carbines,     Fowling Pieces, or Guns of     any other sorts not enumer-     ated, and parts thereof, and     Pistols",AMMUNITION,1.00,159,1,,
Margarine (including all kinds of Artificial or Imitation Butters),BUTTER,1.00,159,1,,
"Sheep and Lamb, Tanned, Tawed, or Dressed","SKINS, FURS, and PELTS",0.88,156,3,yes,
Peruvian,BARK,0.55,153,4,yes,
Carpets and Rugs,WOOLLEN YARN,1.00,150,1,yes,
Shumach,"DYE STUFFS, and Substances used in Tanning",0.54,148,6,,
"Iron, Ore of (including Chrome)",IRON and STEEL,0.55,146,2,yes,
"Tawed, Curried, or in any way Dressed, not     being Varnished, Japanned, or Enamelled",HATS OR BONNETS,0.52,146,4,,
"Drugs, Unenumerated: (Including Medicinal Preparations)",COTTON MANUFACTURES,0.83,146,2,,
"Girders, Beams and Pillars",IRON,0.52,145,3,yes,
"Refined, or Sugar equal in quality thereto, and Sugar Candy",SUGAR,0.75,140,3,,
For Agricultural purposes,STRAW,0.69,138,2,yes,
"Staves, of all Dimensions",SUGAR,1.00,138,1,,
"Other Materials, and Pulp of Rags and Wood","RAGS, and other Materials, for making Paper",0.68,134,4,yes,
"Window and German Sheet, in-     cluding Shades and Cylinders",GLASS,0.95,131,2,,
Burgundy,TOBACCO,0.62,125,3,,
"Manufactures, Ribbons, other Kinds",Cotton,0.53,125,3,,
Manufactured : Other Manufactured Tobacco,TOBACCO,0.81,123,2,yes,
"Old (other than Iron or Copper), fit only for         re-manufacture",METAL,0.52,122,6,,
Champagne,TOBACCO,0.55,122,3,,
Applicable to Manufacturing Pur-   poses,BONES (except Whalefins),0.67,122,3,,
Raw or Kiln dried,BEER AND ALE,0.61,120,3,,
"Unenumerated, including Medi-     cinal preparations",DRUGS,1.00,120,1,,
"Knobs and Husks of Silk, and Waste",Cotton,0.86,117,2,,
Cloths and Stuffs,WOOLLEN MANUFACTURES,0.61,115,3,yes,
"Unenumerated, including Medicinal preparations",DRUGS,1.00,115,1,,
"Preserved, otherwise than by     Salting : Beef",MEAT. Unenumerated,0.54,114,3,,
Provisions,WINE,0.50,114,3,,
Other Vegetable matter applicable to the uses of Chicory or Coffee,CHEMICAL MANUFACTURES and PRODUCTS,0.52,112,4,,
"Hewn, Fir : Teak",WOOD and TIMBER,0.66,111,4,,
Husks and Shells,COCOA,0.50,111,4,yes,
"PERFUMERY, and Articles used in the Manufacture thereof, except Perfumed Spirits",OIL,0.86,110,2,,
"Horses, Mares, Geldings, Colts,   and Foals",ANIMALS LIVING,0.74,109,2,yes,
"Goat and Kid, Undressed","SKINS, FURS, AND PELTS",0.61,109,4,yes,
Of Gold,PLATE,0.73,108,5,yes,
"Skins, Unenumerated, un-dressed",Cotton,1.00,108,1,,
MICA AND TALC,METAL,1.00,108,1,,
Alizarine,"DYE STUFFS, and Substances used in Tanning",0.84,107,3,yes,
"Raw, not otherwise described","FLOWERS, ARTIFICIAL",0.79,105,3,,
Uneenumerated,LEAD,1.00,105,1,,
"For Tanners' or Dyers' Use, Unenumerated",BARK,0.63,104,4,yes,
"Knubs or Hueks of Silk, and Waste",SHELLS of all kinds,1.00,103,1,,
Flax and Linseed,Cotton,1.00,99,1,,
Moselle,TOBACCO,0.57,99,2,,
"Unwrought, in bars, blocks, slabs, cakes, or ingots",COPPER,0.53,97,4,,
Furniture and Hardwoods,Wood and Timber,0.58,97,2,yes,
Other Coal Tar Dyes,"DYE STUFFS, and Substances used in Tanning",0.71,96,3,,
Skins,Silk,0.91,95,2,,
Unenumerated and Medicinal   preparations,DRUGS,0.77,94,2,,
BOOKS,BEEF,0.94,93,2,,
Stearine,CANDLES,0.90,93,3,,
"Teeth, Elephants', Sea Cow, Sea   Horse, or Sea Horse",TAR,0.63,92,2,,
Pillow Lace,ISINGLASS,0.59,92,2,,
"Muskets, Rifles, and Guns of any other Sort, and Pistols","ARMS, AMMUNITION, AND MILITARY STORES",0.92,91,2,,
"Salted and Fresh, not otherwise described",MEAT,0.70,90,5,,
Seed Cake of other sorts,OIL SEED CAKE,1.00,90,1,yes,
Not tested for ascertaining strength,SPIRITS,1.00,90,1,,
Pulp of Rags and Wood,RAGS and other Materials for making Paper,0.67,88,4,yes,
"PERFUMERY, and Articles used in the Manufacture thereof",PARAFFINE,0.59,87,2,,
"Refined, other Sorts, including Candy",SUGAR,0.65,86,2,,
Stallions : Mares,"ANIMALS, LIVING",0.84,86,2,,
Wood,Tobacco,1.00,86,1,yes,
Of Glass,BEADS,0.64,85,4,,
Machinery,"HORNS, tips and pieces of Horns and Hoofs",0.51,85,2,,
"Alpaca, Llama, and Vicuna",WOOL,0.69,84,3,yes,
"Teeth, Elephants', &c",IVORY,0.93,83,2,,
Stallions : Geldings,"ANIMALS, LIVING",0.83,82,2,,
"Furniture, Hardwoods and Veneers : Unenumerated",WOOD and TIMBER,1.00,81,1,yes,
"COPPER, Ore of",CONFECTIONERY,0.79,81,2,,
CONFECTIONERY (not containing any article liable to Duty),"COALS, CULM, and CINDERS",0.50,80,5,,
CHINA or PORCELAIN and EARTHEN- WARE,CHEESE,0.82,80,2,,
PAINTERS' COLOURS AND PIGMENTS,"ORE, unenumerated",0.69,77,3,,
CHEMICAL MANUFACTURES and PRO- DUCTS,CHEESE,1.00,77,1,,
Staves : Unenumerated,WOOD and TIMBER,1.00,77,1,yes,
OLEO-MARGARINE,METAL,0.61,77,3,,
Root,MADDER,0.56,77,4,yes,
Machine or Imitation Lace,JUTE,0.53,76,3,,
Hock,TOBACCO,0.72,76,2,,
Printed or Coated,PAPER,0.87,75,2,yes,
"House Frames, Fittings, and Joiners' Work",WOOD and TIMBER,0.78,73,6,yes,
CANDLES OF ALL SORTS,BEEF,0.84,70,2,,
"Meal, not otherwise enumerated","CORN, GRAIN, MEAL, AND FLOUR",0.66,70,2,,
Of Countries out of Europe,SILK MANUFACTURES,0.94,69,2,yes,
"YARN, WASTE of",JUTE,0.57,68,5,yes,
"Manufactures, of Iron and Steel; Sewing Machines",IRON,0.62,68,2,,
Oatmeal,Meal and Flour,0.58,67,5,,
Manufactures of Iron or Steel: Tyres and axles,IRON,0.55,66,2,,
"HORNS, Tips and Pieces of Horn, and HOOFS",HONEY,0.61,66,2,,
"RAGS, WOOLLEN, applicable to other uses than Manure, torn up or not",RAGS and other Materials for making Paper,0.67,66,3,yes,
"PLATINUM, wrought or unwrought",PLATE,0.50,66,2,,
Waste of,COTTON,1.00,66,1,yes,
"Extracts of Bark, or of other Substances to be used in Tanning or Dyeing, Unenumerated",BARK,0.71,65,3,yes,
SAGO and FLOUR or MEAL thereof,PORK,0.51,65,2,,
"NAPHTHA, WOOD ; not potable",METAL,0.89,65,2,,
"Manufactures of (other than goat's hair), mixed or not with other materials",GUM,1.00,65,1,,
Fresh or Slightly Salted,BEEF,0.72,64,4,yes,
Saumur,TOBACCO,0.62,64,3,,
"Manufactures of, not otherwise enumerated or described, in- cluding copper plates engraved","CHINA, OR PORCELAIN, AND EARTHENWARE",1.00,64,1,,
"Manufactures, Broad Stuffs, Vel- vet, plain or figured, wholly of Silk",Cotton,1.00,64,1,,
"Manufactures of, not otherwise enumerated or described, including copper plates engraved","COPPER, ORE OF",1.00,64,1,,
"Hewn, Fir : Unenumerated",WOOD AND TIMBER,1.00,63,1,yes,
Garancine,MADDER,0.56,62,4,yes,
"Fish ; Spermaceti, or Head Matter",OIL,0.69,62,3,,
Cotton Seed Cake,OIL SEED CAKE,1.00,59,1,yes,
Plums (French) and Prunelloes,BEER AND ALE,0.74,58,4,,
Bars,IRON,0.93,58,2,yes,
"Plush, used for making Hats",SILK MANUFACTURES,1.00,57,1,yes,
"Manufactures of Hair, not being of Goats' Hair or Wool",Horse,0.79,57,7,,
"FARINACEOUS SUBSTANCES and Manu- factures thereof, unenumerated",EMBROIDERY and NEEDLEWORK,1.00,57,1,,
Rabbit,"SKINS, FURS, and PELTS",0.50,56,3,yes,
"Hewn, Teak : Unenumerated",WOOD and TIMBER,0.80,56,2,yes,
"CONFECTIONERY, containing not more than 50% Chocolate","CONFECTIONERY, in the Manufacture of which Spirit has been used",1.00,56,1,yes,
Manufactures of Iron or Steel: Machinery,IRON,0.75,56,2,,
PITCH,PAPER,0.80,55,3,,
factured,METAL,0.61,54,2,,
Cycles and parts thereof,"HORNS, tips and pieces of Horns and Hoofs",0.50,54,2,,
"YEAST, Dried",WOOLLEN MANUFACTURES,0.53,53,3,,
"In any way dressed, not leather","SKINS, FURS, and PELTS",0.79,53,2,,
"Goat and Kid, Tanned, Tawed, or Dressed","SKINS, FURS, and PELTS",0.88,52,2,yes,
"CONFECTIONERY, containing not more than 50 % Chocolate, in the Manufacture of which Spirit has been used","CONFECTIONERY, in the Manufacture of which Spirit has been used",1.00,51,1,,
"Sawn, Fir : Unenumerated",WOOD and TIMBER,0.80,50,2,yes,
"Manufactures, including man- ufactures of linen mixed with cotton",LINEN,1.00,50,1,,
CONDENSED OR PRESERVED,Beef,1.00,49,1,,
Staves : Mahogany,WOOD AND TIMBER,0.65,49,2,,
COKE,Corn and Grain,1.00,49,1,,
"PETROLEUM, Illuminating and Lu- bricating","PETROLEUM, Lubricating",1.00,48,1,,
Not containing Alcohol,TOYS,0.50,48,3,,
"DYE STUFFS, Unenumerated",COTTON MANUFACTURES,0.74,47,2,,
Flax or Linseed Cont,Cotton,1.00,47,1,,
CHINA or PORCELAIN WARE,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",0.83,47,2,,
Meal and Flour,Corn and Grain,0.72,47,2,,
"POULTRY and GAME (alive or dead), including Rabbits","PLATINA, WROUGHT AND UNWROUGHT",0.67,46,3,,
Buckwheat meal,COPPER,0.58,45,6,,
"White, in Bottles, Still : Burgundy",TOBACCO,1.00,45,1,,
"Varnished, Japanned, or En-   "" amelled",LEATHER,1.00,45,1,,
Not liable to Duty,DRUGS,1.00,44,1,,
1st Class,Unrefined,0.50,44,2,,
