flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1893,"COAL, CINDERS, &c.",South Africa,12899,13039,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,29,76592,10031,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
export_uk,as_1897,1893,COPPER,South Africa,13649,13769,COPPER,Unenumerated,Cwts,25,431030,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,COPPER,West Africa,13774,13793,COPPER,Unenumerated,Cwts,5,26902,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,COPPER,Possessions in Indian Seas,13798,13918,COPPER,Unenumerated,Cwts,25,106187,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,COPPER,West Africa,13923,13941,COPPER,Unenumerated,Cwts,5,5275,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,COPPER,South Africa,13946,13951,COPPER,Unenumerated,Cwts,2,9870,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,COPPER,East Africa,13956,14086,COPPER,Unenumerated,Cwts,27,390201,16955,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,South Africa,20852,20947,EARTHEN AND CHINA WARE,"Earthenware, Chinaware, Parian, and Porcelain",,20,163120,0,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,West Africa,20952,20977,EARTHEN AND CHINA WARE,"Earthenware, Chinaware, Parian, and Porcelain",,6,12800,0,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,Possessions in Indian Seas,20982,21083,EARTHEN AND CHINA WARE,"Earthenware, Chinaware, Parian, and Porcelain",,22,1052843,0,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
