volume,year,flow,article_group,article,unit,row_seq,country_raw,value,source,section_total,section_rows,canada
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001197,United States: Atlantic,496955.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001198,Pacific,36506.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001199,British North America,10538.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001200,British West India Islands and British Guiana,16149.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001201,Other Countries,13853.0,inf,656262.0,7,10538
as_1872,1872,export_uk,IRON,"Old, for Re-manufacture",Tons,1001202,TOTAL,656262.0,inf,656262.0,7,10538
as_1873,1873,export_uk,IRON,Pig,Tons,1001095,Russia,218356.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001096,Sweden and Norway,139925.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001097,Denmark,63963.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001098,Germany,1506104.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001099,Holland,2226646.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001100,Belgium,852906.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001101,France,513827.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001102,Spain,78787.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001103,Italy,111243.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001104,Austrian Territories,296787.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001105,United States: Atlantic,657745.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001106,Pacific,35243.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001107,Australia,51517.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001108,British North America,169866.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001109,Other Countries,101720.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Pig,Tons,1001110,TOTAL,7024978.0,inf,7024978.0,15,169866
as_1873,1873,export_uk,IRON,Puddled,Tons,1001111,Russia,25150.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001112,Norway,7548.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001113,Germany,17334.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001114,Austrian Territories,10076.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001115,Canada,31378.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001116,Other Countries,1543.0,inf,93059.0,6,31378
as_1873,1873,export_uk,IRON,Puddled,Tons,1001117,TOTAL,93059.0,inf,93059.0,6,31378
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000914,Russia,14638.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000915,Germany,12269.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000916,Holland,18129.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000917,France,78356.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000918,Spain,12382.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000919,Italy,19632.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000920,United States of America,27787.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000921,Other Countries,10151.0,inf,193344.0,8,0
as_1873,1873,reexport,TIN,"In Blocks, Ingots, Bars, or Slabs, and Regulus",Cwts,1000922,TOTAL,193344.0,inf,193344.0,8,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000943,Channel Islands,3194.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000944,Malta and Gozo,11555.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000945,British Possessions in South Africa,4275.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000946,Mauritius,3812.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000947,British India,7708.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000948,Australia,28469.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000949,Other Countries,17719.0,inf,76732.0,7,0
as_1873,1873,reexport,TOBACCO,"Manufactured, Cigars : Cavendish or Negrohead",Lbs,1000950,TOTAL,76732.0,inf,76732.0,7,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000228,Sweden and Norway,31597.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000229,Germany,11060.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000230,Holland,47269.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000231,Belgium,32109.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000232,France,49120.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000233,Western Africa (Foreign),5516.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000234,United States: Atlantic,11585.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000235,Brazil,17910.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000236,Uruguay,15602.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000237,Argentine Republic,20459.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000238,Channel Islands,7959.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000239,British Possessions in South Africa,16773.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000240,British India: Bombay and Scinde,4475.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000241,Bengal and Burmah,12965.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000242,Straits Settlements,9777.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000243,Ceylon,6071.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000244,British West India Islands and British Guiana,4400.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000245,Other Countries,63280.0,inf,368217.0,18,0
as_1874,1874,export_uk,"ARMS, AMMUNITION, and MILITARY STORES",BISCUIT and BREAD,Cwts,1000246,TOTAL,368217.0,inf,368217.0,18,0
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000436,Russia,9301.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000437,Sweden and Norway,5447.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000438,Germany,16669.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000439,Holland,17698.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000440,Belgium,27554.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000441,France,31988.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000442,Italy,5916.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000443,United States: Atlantic,11317.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000444,Pacific,237.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000445,Canada,3124.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000446,Other Countries,13758.0,inf,142904.0,11,3124
as_1874,1874,export_uk,"CLAY, Unmanufactured",,Tons,1000447,TOTAL,142904.0,inf,142904.0,11,3124
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000576,Sweden,2907.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000577,Denmark,6295.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000578,Belgium,2033.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000579,Straits Settlements,12311.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000580,Other Countries,620.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,Coin,Cwts,1000581,TOTAL,24166.0,inf,24166.0,5,0
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000564,Russia,36590.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000565,Germany,270915.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000566,Holland,187166.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000567,Belgium,142310.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000568,France,224173.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000569,Austria,12101.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000570,United States: Atlantic,4025.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000571,British India: Bombay and Scinde,10146.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000572,Bengal and Burmah,27419.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000573,Canada,5434.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000574,Other Countries,22111.0,inf,942420.0,11,5434
as_1874,1874,export_uk,COPPER,"Unwrought, in Ingots, Cakes, or Slabs",Cwts,1000575,TOTAL,942420.0,inf,942420.0,11,5434
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001602,Russia,51281.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001603,Germany,102381.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001604,Holland,92191.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001605,Belgium,60844.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001606,France,81741.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001607,Italy,25777.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001608,United States: Atlantic,456228.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001609,Pacific,23154.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001610,Brazil,10166.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001611,Australia,25714.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001612,British North America,75001.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001613,Other Countries,89997.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Bar, of all Kinds",,1001614,TOTAL,1094405.0,inf,1094405.0,12,75001
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001615,Germany,2072.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001616,Holland,22733.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001617,France,25478.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001618,United States: Atlantic,21153.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001619,Pacific,2410.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001620,Canada,4518.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001621,Other Countries,23623.0,inf,101987.0,7,4518
as_1874,1874,export_uk,IRON,"Steel, Sheets",Tons,1001622,TOTAL,101987.0,inf,101987.0,7,4518
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000185,Russia,200338.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000186,Germany,151083.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000187,Holland,45166.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000188,Turkey Proper,46935.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000189,Egypt,58477.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000190,United States: Atlantic,101053.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000191,Pacific,61614.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000192,Peru,48708.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000193,Chili,44277.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000194,Brazil,27708.0,inf,1264308.0,14,22842
as_1875,1875,export_uk,"ARMS, AMMUNITION, and MILITARY STORES","BAGS AND SACKS, Empty",Dozens,1000195,British Possessions in South Africa,48705.0,inf,1264308.0,14,22842
