volume,year,flow,article_group,article,country_raw,old_value,new_value,raw_cell,witnesses
as_1897,1897,reexport,CHICORY,East Coast of Africa,Portuguese Possessions,256.0,2661.0,"2,56","inf:as_1898=2,061; obs:as_1898=2,661; obs:as_1899=2,661"
as_1897,1897,reexport,CHICORY,East Coast of Africa,Natal,608.0,6530.0,"6,08","inf:as_1898=6,530; obs:as_1898=6,530; obs:as_1899=6,530"
as_1897,1897,reexport,SPIRITS,Rum,Germany,6425.0,64325.0,"64,25","obs:as_1899=64,325"
as_1897,1897,reexport,SPIRITS,Rum,Holland,1154.0,11874.0,"11,54","obs:as_1899=11,874"
as_1897,1897,reexport,SPIRITS,Rum,France,703.0,7413.0,"7,03","obs:as_1899=7,413"
as_1897,1897,reexport,SPIRITS,Rum,Italy,245.0,2465.0,"2,45","obs:as_1899=2,465"
as_1897,1897,reexport,SPIRITS,East Coast of Africa,Australasia : Victoria,127.0,1367.0,"1,27","obs:as_1899=1,367"
as_1897,1897,reexport,SPIRITS,East Coast of Africa,Australasia : New South Wales,1631.0,16931.0,"16,31","obs:as_1899=16,931"
as_1897,1897,reexport,SPIRITS,East Coast of Africa,Australasia : Queensland,212.0,2148.0,"2,12","obs:as_1899=2,148"
as_1897,1897,reexport,TOBACCO,Total of Wine of all kinds,Holland,1723.0,17376.0,"17,23","inf:as_1899=17,376"
as_1897,1897,reexport,TOBACCO,Total of Wine of all kinds,Belgium,1718.0,17138.0,"17,18","inf:as_1899=17,138"
as_1897,1897,import,WOOD AND TIMBER,"Unenumerated (not being ash,     beech, birch, elm, oak, or     wainscot)",Argentine Republic,17253.0,17205.0,"172,53","obs:as_1898=17,205; obs:as_1899=17,205"
as_1898,1898,import,AMMUNITION,"Swords, Cutlasses, Matchets, Bayonets",Italy,3425.0,31825.0,"34,25","obs~as_1899=31,825"
as_1898,1898,import,"COPPER, ORE OF",Regulus and Precipitate,Spain,116832.0,1106012.0,"1,168,32","obs:as_1899=1,106,012"
as_1898,1898,import,"COPPER, ORE OF",Regulus and Precipitate,United States of America,22240.0,202500.0,"222,40","obs:as_1899=202,500"
as_1898,1898,import,"COPPER, ORE OF",Regulus and Precipitate,Peru,7236.0,72345.0,"72,36","obs:as_1899=72,345"
as_1898,1898,import,"COPPER, ORE OF",Regulus and Precipitate,Chile,12219.0,122191.0,"122,19","obs:as_1899=122,191"
as_1898,1898,import,"COPPER, ORE OF",Regulus and Precipitate,Argentine Republic,575.0,5760.0,"5,75","obs:as_1899=5,760"
as_1898,1898,import,"COPPER, ORE OF",Peas,British East Indies : Bengal,2224.0,32224.0,"22,24","inf~as_1899=32,224; obs~as_1899=32,224"
as_1898,1898,import,"COPPER, ORE OF",Yarn,Ceylon,127.0,1270.0,"1,27","inf~as_1899=1,270"
as_1898,1898,import,"COPPER, ORE OF",Valonia,Greece,1774.0,17074.0,"17,74","inf~as_1899=17,074; obs~as_1899=17,074"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Norway,26225.0,305245.0,"262,25","obs:as_1899=305,245"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Denmark,9226.0,96908.0,"92,26","obs:as_1899=96,908"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Holland,544.0,5494.0,"5,44","obs:as_1899=5,494"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Belgium,264.0,2064.0,"2,64","obs:as_1899=2,064"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",France,1922.0,10032.0,"19,22","obs:as_1899=10,032"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Portugal,252.0,2842.0,"2,52","obs:as_1899=2,842"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Spain,154.0,1504.0,"1,54","obs:as_1899=1,504"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Italy,2239.0,20880.0,"22,39","obs:as_1899=20,880"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",United States of America : On the Atlantic,9422.0,96813.0,"94,22","obs:as_1899=96,813"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",United States of America : On the Pacific,41573.0,418739.0,"415,73","obs:as_1899=418,739"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",United States of America,95024.0,980034.0,"950,24","obs:as_1899=980,034"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Canada : On the Atlantic,21523.0,215635.0,"215,23","obs:as_1899=215,635"
as_1898,1898,import,FISH (including Turtle),"Cured or salted, unenumerated",Newfoundland,12025.0,120626.0,"120,25","obs:as_1899=120,626"
as_1898,1898,import,FISH (including Turtle),Dressed or undressed,Russia,173417.0,1724147.0,"1,734,17","inf~as_1899=1,724,147; obs~as_1899=1,724,147"
as_1898,1898,import,FISH (including Turtle),Dressed or undressed,France,763.0,7623.0,"7,63","obs~as_1899=7,623"
as_1898,1898,import,FISH (including Turtle),"Grapes, Raw",Channel Islands,6397.0,68976.0,"63,97","inf~as_1899=68,076; obs~as_1899=68,976"
as_1898,1898,import,FISH (including Turtle),Lemons,Spain,5044.0,50406.0,"50,44","obs~as_1899=50,406"
as_1898,1898,import,FISH (including Turtle),"Nuts, used as Fruit",Germany,155.0,1855.0,"1,55","inf~as_1899=1,855"
as_1898,1898,import,FISH (including Turtle),"Nuts, used as Fruit",Chile,1163.0,11688.0,"11,63","obs~as_1899=11,688"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Raw",France,11879.0,116679.0,"118,79","inf~as_1899=116,679; obs~as_1899=116,679"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Raw",Azores,6867.0,68697.0,"68,67","inf~as_1899=68,697; obs~as_1899=68,697"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Raw",Italy,155.0,1555.0,"1,55","inf~as_1899=1,555; obs~as_1899=1,555"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Dried","Turkey, Asiatic",13157.0,131757.0,"131,57","inf~as_1899=131,757"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Dried",Morocco,233.0,2203.0,"2,33","obs~as_1899=2,203"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Dried",Persia,225.0,2525.0,"2,25","obs~as_1899=2,525"
as_1898,1898,import,FISH (including Turtle),"Unenumerated, Dried",United States of America,5418.0,54158.0,"54,18","inf~as_1899=54,158"
as_1898,1898,import,GLASS,Arabic,Asiatic,487.0,4207.0,"4,87","inf~as_1899=4,207; obs~as_1899=4,207"
as_1898,1898,import,"HORNS, tips and pieces of Horns and Hoofs","Manufactures of Iron or Steel, unenumerated",Sweden,18009.0,180699.0,"180,09","inf~as_1899=180,609; obs~as_1899=180,699"
as_1898,1898,import,"HORNS, tips and pieces of Horns and Hoofs","Manufactures of Iron or Steel, unenumerated",Italy,331.0,3315.0,"3,31","obs~as_1899=3,315"
as_1898,1898,import,NUTS AND KERNELS,Commonly used for expressing Oil therefrom,Western Coast of Africa : Portuguese Possessions,132.0,1352.0,"1,32","inf:as_1899=1,382; obs:as_1899=1,352"
as_1898,1898,import,NUTS AND KERNELS,Commonly used for expressing Oil therefrom,Western Coast of Africa : German Possessions,425.0,4595.0,"4,25","inf:as_1899=4,595; obs:as_1899=4,595"
as_1898,1898,import,NUTS AND KERNELS,Commonly used for expressing Oil therefrom,Western Coast of Africa : Liberia,224.0,2082.0,"2,24","inf:as_1899=2,082; obs:as_1899=2,082"
as_1898,1898,import,NUTS AND KERNELS,Dutch Possessions in the Indian Seas,Philippine and Ladrone Islands,1562.0,15620.0,"15,62","inf~as_1899=15,020; obs~as_1899=15,620"
as_1898,1898,import,NUTS AND KERNELS,Dutch Possessions in the Indian Seas,China,117.0,1170.0,"1,17","inf~as_1899=1,170; obs~as_1899=1,170"
as_1898,1898,import,NUTS AND KERNELS,Dutch Possessions in the Indian Seas,Western Coast of Africa : Sierra Leone,4725.0,47255.0,"47,25","obs~as_1899=47,255"
as_1898,1898,import,NUTS AND KERNELS,Dutch Possessions in the Indian Seas,Western Coast of Africa : The Gold Coast,343.0,3454.0,"3,43","obs~as_1899=3,454"
as_1898,1898,import,NUTS AND KERNELS,Dutch Possessions in the Indian Seas,Western Coast of Africa : Lagos,17223.0,172929.0,"172,23","inf~as_1899=172,329; obs~as_1899=172,929"
as_1898,1898,import,NUTS AND KERNELS,Eastern Coast of Africa,British East Indies : Madras,3765.0,37058.0,"37,65","obs~as_1899=37,058"
