flow,raw_group,canonical,method,rows,volumes,y0,y1,variants_in_family
import,"Dye Stuffs, and Substances used in Tanning","DYE STUFFS, and Substances used in Tanning",case,125,1,1885,1885,4
import,"DYE STUFFS, and Substances used in 
          Tanning","DYE STUFFS, and Substances used in Tanning",dehyphen,124,1,1890,1890,4
import,"Dye STUFFS, and Substances used in Tanning","DYE STUFFS, and Substances used in Tanning",case,90,1,1883,1883,4
import,"FARINACEOUS SUBSTANCES and Manu- factures thereof, unenumerated","FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",dehyphen,58,3,1886,1896,4
import,"FARINACEOUS SUBSTANCES, and Manufactures thereof, unenumerated","FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",case,47,3,1888,1890,4
import,"FARINACEOUS SUBSTANCES and Manufac- tures thereof, Unenumerated","FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",dehyphen,33,2,1884,1885,4
import,"FARINACEOUS SUBSTANCES and Manufactures thereof, Unenumerated","FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",case,18,2,1880,1881,4
reexport,"FARINACEOUS SUBSTANCES, and Manufactures thereof, Unenumerated","FARINACEOUS SUBSTANCES, and Manufactures thereof, Unenumerated",identity,93,11,1872,1882,4
reexport,"FARINACEOUS SUBSTANCES, and Manufactures thereof, unenum- erated","FARINACEOUS SUBSTANCES, and Manufactures thereof, Unenumerated",dehyphen,65,5,1887,1894,4
reexport,"FARINACEOUS SUBSTANCES, and Manufactures thereof, unenumerated","FARINACEOUS SUBSTANCES, and Manufactures thereof, Unenumerated",case,28,2,1889,1892,4
reexport,"FARINACEOUS SUBSTANCES, and Manufactures thereof, unenume- rated","FARINACEOUS SUBSTANCES, and Manufactures thereof, Unenumerated",dehyphen,14,1,1891,1891,4
import,IRON and STEEL,IRON and STEEL,identity,251,6,1870,1894,4
import,IRON and STEEL.,IRON and STEEL,case,53,2,1892,1893,4
import,Iron and Steel,IRON and STEEL,case,48,5,1875,1879,4
import,Iron and STEEL,IRON and STEEL,case,10,1,1874,1874,4
reexport,"MEAT, Unenumerated","MEAT, Unenumerated",identity,588,12,1885,1898,4
reexport,"MEAT, UNENUMERATED","MEAT, Unenumerated",case,10,1,1884,1884,4
reexport,MEAT. Unenumerated,"MEAT, Unenumerated",case,4,1,1886,1886,4
reexport,"Meat, unenumerated","MEAT, Unenumerated",case,3,1,1895,1895,4
export_uk,"MUSICAL INSTRUMENTS, AND PARTS THEREOF","MUSICAL INSTRUMENTS, AND PARTS THEREOF",identity,278,3,1893,1900,4
export_uk,"MUSICAL INSTRUMENTS, and parts thereof","MUSICAL INSTRUMENTS, AND PARTS THEREOF",case,271,11,1886,1896,4
export_uk,"MUSICAL INSTRUMENTS, and Parts thereof","MUSICAL INSTRUMENTS, AND PARTS THEREOF",case,189,12,1872,1885,4
export_uk,MUSICAL INSTRUMENTS; and Parts thereof,"MUSICAL INSTRUMENTS, AND PARTS THEREOF",case,10,1,1878,1878,4
import,"NAPHTHA, WOOD, not potable","NAPHTHA, WOOD, not potable",identity,34,5,1887,1891,4
import,"NAPHTHA, Wood ; not potable","NAPHTHA, WOOD, not potable",case,18,3,1883,1885,4
import,"NAPHTHA, Wood; not potable","NAPHTHA, WOOD, not potable",case,4,1,1882,1882,4
import,"NAPHTHA WOOD, not potable","NAPHTHA, WOOD, not potable",case,4,1,1886,1886,4
import,"NITRE, CUBIC (NITRATE OF SODA)","NITRE, CUBIC (NITRATE OF SODA)",identity,21,3,1883,1885,4
import,"NITRE, CUBIC (Nitrate of Soda)","NITRE, CUBIC (NITRATE OF SODA)",case,10,2,1881,1882,4
import,NITRE CUBIC (NITRATE OF SODA),"NITRE, CUBIC (NITRATE OF SODA)",case,8,1,1886,1886,4
import,"NITRE, Cubic (nitrate of Soda)","NITRE, CUBIC (NITRATE OF SODA)",case,5,1,1880,1880,4
import,OIL-SEED CAKE,OIL-SEED CAKE,identity,693,2,1894,1900,4
import,OIL SEED CAKE,OIL-SEED CAKE,case,461,19,1870,1896,4
import,Oil SEED CAKE,OIL-SEED CAKE,case,43,2,1875,1876,4
import,OIL SEED-CAKE,OIL-SEED CAKE,case,22,1,1894,1894,4
import,"PICKLES and VEGETABLES, preserved in Salt or Vinegar","PICKLES and VEGETABLES, preserved in Salt or Vinegar",identity,94,9,1888,1896,4
import,"PICKLES and VEGETABLES, Pre- served in Salt or Vinegar","PICKLES and VEGETABLES, preserved in Salt or Vinegar",dehyphen,50,1,1895,1899,4
import,"PICKLES and Vegetables, preserved in Salt or Vinegar","PICKLES and VEGETABLES, preserved in Salt or Vinegar",case,26,4,1882,1885,4
import,"PICKLES, and VEGETABLES, preserved in Salt or Vinegar","PICKLES and VEGETABLES, preserved in Salt or Vinegar",case,19,2,1886,1887,4
export_uk,"PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS, and CONFECTIONERY","PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS, and CONFECTIONERY",identity,156,4,1883,1892,4
export_uk,"PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS and CONFECTIONERY","PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS, and CONFECTIONERY",case,76,2,1886,1887,4
export_uk,"PICKLES, VINEGAR, SAUCES, CONDI- MENTS, PRESERVED FRUITS, and CONFECTIONERY","PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS, and CONFECTIONERY",dehyphen,70,2,1890,1896,4
export_uk,"PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRE- SERVED FRUITS, and CONFECTIONERY","PICKLES, VINEGAR, SAUCES, CONDIMENTS, PRESERVED FRUITS, and CONFECTIONERY",dehyphen,31,1,1882,1882,4
import,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS","PLANTS, SHRUBS, TREES, and FLOWER ROOTS",identity,278,22,1872,1896,4
import,"PLANTS, SHRUBS, TREES, AND FLOWER ROOTS","PLANTS, SHRUBS, TREES, and FLOWER ROOTS",case,81,1,1895,1899,4
import,"PLANTS, SHRUBS, TREES and FLOWER ROOTS","PLANTS, SHRUBS, TREES, and FLOWER ROOTS",case,20,1,1886,1886,4
import,"PLANTS, SHRUBS, TREES, and Flower Roots","PLANTS, SHRUBS, TREES, and FLOWER ROOTS",case,6,1,1881,1881,4
reexport,"PLATE, OF GOLD","PLATE, OF GOLD",identity,41,19,1877,1896,4
reexport,PLATE of Gold,"PLATE, OF GOLD",case,9,1,1900,1900,4
reexport,PLATE OF GOLD,"PLATE, OF GOLD",case,3,1,1886,1886,4
reexport,PLATE of GOLD,"PLATE, OF GOLD",case,1,1,1872,1872,4
reexport,RAGS and other Materials used for making Paper,RAGS and other Materials used for making Paper,identity,246,17,1872,1892,4
reexport,"RAGS, and other Materials used for making paper",RAGS and other Materials used for making Paper,case,33,2,1886,1887,4
reexport,RAGS AND OTHER MATERIALS used for making Paper,RAGS and other Materials used for making Paper,case,17,1,1894,1894,4
reexport,Rags and other Materials used for making Paper,RAGS and other Materials used for making Paper,case,10,1,1883,1883,4
import,SALTPETRE (Nitrate of Potash),SALTPETRE (Nitrate of Potash),identity,1316,14,1886,1899,4
import,SALTPETRE (NITRATE OF POTASH),SALTPETRE (Nitrate of Potash),case,67,10,1873,1885,4
import,Saltpetre (Nitrate of Potash),SALTPETRE (Nitrate of Potash),case,41,1,1900,1900,4
import,SALTPETRE. (NITRATE OF POTASH),SALTPETRE (Nitrate of Potash),case,5,1,1882,1882,4
reexport,"SKINS, FURS, AND PELTS","SKINS, FURS, AND PELTS",identity,711,18,1873,1896,4
reexport,"SKINS, FURS, and PELTS","SKINS, FURS, AND PELTS",case,338,8,1886,1896,4
reexport,"SKINS, FURS and PELTS","SKINS, FURS, AND PELTS",case,89,4,1893,1896,4
reexport,"SKINS, FURS AND PELTS","SKINS, FURS, AND PELTS",case,35,1,1872,1872,4
import,"STONES, MARBLE, and SLATE : 
          Rough, Hewn or Manufactured : 
          (Other than Works of Art)","STONES, MARBLE, and SLATE : Rough, Hewn or Manufactured : (Other than Works of Art)",dehyphen,25,1,1892,1892,4
import,"STONES, MARBLE, and SLATE, Rough, Hewn or Manufactured (Other than Works of Art)","STONES, MARBLE, and SLATE : Rough, Hewn or Manufactured : (Other than Works of Art)",case,24,1,1895,1895,4
import,"STONES, MARBLE, and SLATE; Rough, Hewn or Manufactured; other than Works of Art","STONES, MARBLE, and SLATE : Rough, Hewn or Manufactured : (Other than Works of Art)",case,14,1,1884,1884,4
import,"STONES, MARBLE, and SLATE, Rough, Hewn or Manufactured, other than Works of Art","STONES, MARBLE, and SLATE : Rough, Hewn or Manufactured : (Other than Works of Art)",case,9,1,1882,1882,4
export_uk,"TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM","TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM",identity,1168,3,1894,1900,4
export_uk,TOBACCO and SNUFF Manufactured in the United Kingdom,"TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM",case,197,14,1872,1885,4
export_uk,"TOBACCO and SNUFF, Manufactured in the United Kingdom","TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM",case,169,8,1889,1896,4
export_uk,"TOBACCO AND SNUFF, Manufactured in the United Kingdom","TOBACCO AND SNUFF, MANUFACTURED IN THE UNITED KINGDOM",case,24,2,1886,1887,4
reexport,"ZINC, Ore of","ZINC, Ore of",identity,384,7,1887,1893,4
reexport,ZINC: Ore of,"ZINC, Ore of",case,137,1,1895,1899,4
reexport,ZINC. Ore of,"ZINC, Ore of",case,65,1,1896,1896,4
reexport,ZINC Ore of,"ZINC, Ore of",case,60,1,1894,1894,4
import,"ANIMALS, LIVING","ANIMALS, LIVING",identity,1640,10,1888,1899,3
import,ANIMALS LIVING,"ANIMALS, LIVING",case,421,8,1880,1887,3
import,"Animals, Living","ANIMALS, LIVING",case,243,4,1870,1899,3
export_uk,"ANIMALS, Living","ANIMALS, Living",identity,2905,4,1893,1900,3
export_uk,"ANIMALS, LIVING","ANIMALS, Living",case,1066,25,1872,1896,3
export_uk,ANIMALS. LIVING,"ANIMALS, Living",case,40,1,1894,1894,3
import,ARMS AND AMMUNITION,ARMS AND AMMUNITION,identity,461,10,1886,1895,3
import,"ARMS, and AMMUNITION",ARMS AND AMMUNITION,case,113,4,1880,1884,3
import,ARMS and AMMUNITION,ARMS AND AMMUNITION,case,44,1,1885,1885,3
export_uk,BISCUIT AND BREAD,BISCUIT AND BREAD,identity,1185,6,1893,1899,3
export_uk,BISCUIT and BREAD,BISCUIT AND BREAD,case,368,17,1870,1892,3
export_uk,Biscuit and Bread,BISCUIT AND BREAD,case,27,2,1880,1882,3
import,"BOOKS, Bound and Unbound, in- cluding Maps and Charts","BOOKS, Bound and Unbound, including Maps and Charts",dehyphen,470,2,1893,1898,3
import,"BOOKS, Bound and Unbound, including Maps and Charts","BOOKS, Bound and Unbound, including Maps and Charts",identity,65,1,1895,1899,3
import,"Books, Bound and Unbound, including MAPS and CHARTS","BOOKS, Bound and Unbound, including Maps and Charts",case,12,1,1896,1896,3
reexport,"BRASS, BRONZE, and METAL BRONZED or LACQUERED","BRASS, BRONZE, and METAL BRONZED or LACQUERED",identity,14,3,1882,1884,3
reexport,"BRASS, BRONZE, AND METAL BRONZED OR LACQUERED","BRASS, BRONZE, and METAL BRONZED or LACQUERED",case,8,2,1880,1881,3
reexport,"BRASS, BRONZE, AND METAL, BRONZED OR LACQUERED","BRASS, BRONZE, and METAL BRONZED or LACQUERED",case,6,4,1872,1877,3
export_uk,"Books, Printed","Books, Printed",identity,379,16,1872,1895,3
export_uk,"BOOKS, Printed","Books, Printed",case,293,9,1873,1896,3
export_uk,Books. Printed,"Books, Printed",case,14,1,1895,1895,3
reexport,"CARDS, PLAYING","CARDS, PLAYING",identity,42,20,1872,1895,3
reexport,CARDS PLAYING,"CARDS, PLAYING",case,3,1,1890,1890,3
reexport,CARDS. PLAYING,"CARDS, PLAYING",case,3,1,1892,1892,3
reexport,CHEMICAL MANUFACTURES AND PRODUCTS,CHEMICAL MANUFACTURES AND PRODUCTS,identity,297,23,1873,1896,3
reexport,CHEMICAL MANUFACTURES AND PRO- DUCTS,CHEMICAL MANUFACTURES AND PRODUCTS,dehyphen,10,1,1883,1883,3
reexport,CHEMICAL MANUFACTURES and PRODUCTS,CHEMICAL MANUFACTURES AND PRODUCTS,case,9,1,1872,1872,3
import,"CHINA, OR PORCELAIN, AND EARTHENWARE","CHINA, OR PORCELAIN, AND EARTHENWARE",identity,392,3,1893,1899,3
import,"CHINA or PORCELAIN, and EARTHEN- WARE","CHINA, OR PORCELAIN, AND EARTHENWARE",dehyphen,36,3,1888,1893,3
import,"CHINA or PORCELAIN, AND EARTHENWARE","CHINA, OR PORCELAIN, AND EARTHENWARE",case,8,1,1882,1882,3
export_uk,"CLAY, Unmanufactured","CLAY, Unmanufactured",identity,351,10,1886,1896,3
export_uk,"CLAY, unmanufactured","CLAY, Unmanufactured",case,189,6,1877,1885,3
export_uk,CLAY unmanufactured,"CLAY, Unmanufactured",case,125,3,1872,1875,3
reexport,"CLOCKS, and parts thereof","CLOCKS, and parts thereof",identity,163,3,1893,1898,3
reexport,"CLOCKS, and Parts thereof","CLOCKS, and parts thereof",case,49,7,1887,1896,3
reexport,CLOCKS and Parts thereof,"CLOCKS, and parts thereof",case,20,3,1890,1892,3
export_uk,COPPER,COPPER,identity,5786,26,1870,1900,3
export_uk,"COPPER,",COPPER,case,94,2,1886,1887,3
export_uk,Copper,COPPER,case,62,1,1884,1884,3
import,"COPPER, ORE OF","COPPER, ORE OF",identity,4353,3,1893,1899,3
import,"COPPER, Ore of","COPPER, ORE OF",case,455,11,1886,1896,3
import,"Copper, Ore of","COPPER, ORE OF",case,307,1,1900,1900,3
reexport,"CORN ; Grain, Meal, and Flour","CORN ; Grain, Meal, and Flour",identity,858,2,1894,1899,3
reexport,"CORN; Grain, Meal, and Flour","CORN ; Grain, Meal, and Flour",case,504,1,1893,1897,3
reexport,"CORN : Grain, Meal, and Flour","CORN ; Grain, Meal, and Flour",case,82,1,1893,1897,3
import,DRUGS,DRUGS,identity,1781,17,1882,1900,3
import,Drugs,DRUGS,case,62,1,1885,1885,3
import,DRUGS.,DRUGS,case,34,1,1888,1888,3
import,"EXTRACTS, of other Sorts than Dye-Stuffs, Unenumerated","EXTRACTS, of other Sorts than Dye-Stuffs, Unenumerated",identity,13,1,1882,1882,3
import,"EXTRACTS, of other Sorts than Dye Stuffs, Unenumerated","EXTRACTS, of other Sorts than Dye-Stuffs, Unenumerated",case,12,2,1883,1884,3
import,"EXTRACTS, of other Sorts. than Dye Stuffs, Unenumerated","EXTRACTS, of other Sorts than Dye-Stuffs, Unenumerated",case,7,1,1885,1885,3
import,"EXTRACTS, of other Sorts, un- enumerated","EXTRACTS, of other Sorts, unenumerated",dehyphen,33,4,1886,1896,3
import,"EXTRACTS, of other Sorts, unenumerated","EXTRACTS, of other Sorts, unenumerated",identity,29,4,1888,1892,3
import,"EXTRACTS of other Sorts, Unenumerated","EXTRACTS, of other Sorts, unenumerated",case,7,2,1880,1881,3
export_uk,"FISH, FRESH AND CURED","FISH, FRESH AND CURED",identity,1285,15,1886,1900,3
export_uk,"FISH, FRESH and CURED","FISH, FRESH AND CURED",case,930,17,1873,1900,3
export_uk,"Fish, Fresh and Cured","FISH, FRESH AND CURED",case,25,1,1872,1872,3
export_uk,"GREASE, TALLOW, and ANIMAL FAT","GREASE, TALLOW, and ANIMAL FAT",identity,736,4,1893,1900,3
export_uk,"GREASE, TALLOW, AND ANIMAL FAT","GREASE, TALLOW, and ANIMAL FAT",case,105,3,1892,1896,3
export_uk,"GREASE, TALLOW and ANIMAL FAT","GREASE, TALLOW, and ANIMAL FAT",case,26,2,1882,1884,3
import,HATS OR BONNETS,HATS OR BONNETS,identity,1264,12,1886,1899,3
