measure,fiscal_year,country,value,n_attest,n_agree,sources
aggregate,1874,switzerland,139674,6,6,1877;1883;1884;1885;1887;1889
aggregate,1874,total,216756097,5,5,1883;1884;1885;1887;1889
aggregate,1874,totals,216756097,1,1,1877
aggregate,1874,united states,90524060,6,5,1877;1883;1884;1885;1887;1889
aggregate,1874,west indies,6086529,5,5,1883;1884;1885;1887;1889
aggregate,1875,australia,182338,2,2,1877;1880
aggregate,1875,b n a provinces,2806055,1,1,1877
aggregate,1875,belgium,337674,7,5,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,british west indies,3307121,2,2,1877;1880
aggregate,1875,china and japan,694472,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,france,2154065,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,french do,418069,1,1,1877
aggregate,1875,french west indies,418069,1,1,1880
aggregate,1875,germany,839442,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,great britain,100379969,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,holland,260503,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,italy,214366,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,newfoundland,2806055,6,5,1880;1883;1884;1885;1887;1889
aggregate,1875,other countries,1153082,7,5,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,other w india islands,256279,1,1,1880
aggregate,1875,other west india islands,256279,1,1,1877
aggregate,1875,portugal,236790,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,south africa,401550,2,1,1877;1880
aggregate,1875,south america,1064593,7,6,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,spain,390784,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,spanish do,2158441,1,1,1877
aggregate,1875,spanish west indies,2158441,1,1,1880
aggregate,1875,switzerland,116128,7,7,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,total,197505636,5,5,1883;1884;1885;1887;1889
aggregate,1875,totals,197505636,2,2,1877;1880
aggregate,1875,united states,80717803,7,6,1877;1880;1883;1884;1885;1887;1889
aggregate,1875,west indies,6139910,5,4,1883;1884;1885;1887;1889
aggregate,1876,australia,79693,3,2,1877;1880;1882
aggregate,1876,b n a provinces,2675477,1,1,1877
aggregate,1876,belgium,374880,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,british west indies,3017337,3,2,1877;1880;1882
aggregate,1876,china and japan,971314,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,france,2394812,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,french do,340153,1,1,1877
aggregate,1876,french west indies,340153,2,2,1880;1882
aggregate,1876,germany,608355,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,great britain,81457737,8,5,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,holland,297895,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,italy,183199,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,newfoundland,2675477,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1876,other countries,1764483,8,4,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,other w india islands,156674,1,1,1880
aggregate,1876,other west india islands,156674,2,2,1877;1882
aggregate,1876,portugal,199195,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,south africa,314323,3,2,1877;1880;1882
aggregate,1876,south america,975762,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,spain,445151,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,spanish do,1777269,1,1,1877
aggregate,1876,spanish west indies,1777269,2,2,1880;1882
aggregate,1876,switzerland,56168,8,6,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,total,175699653,5,5,1883;1884;1885;1887;1889
aggregate,1876,totals,175699653,3,2,1877;1880;1882
aggregate,1876,united states,78003492,8,5,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1876,west indies,5291433,5,5,1883;1884;1885;1887;1889
aggregate,1877,australia,185610,3,2,1877;1880;1882
aggregate,1877,b n a provinces,2753748,1,1,1877
aggregate,1877,belgium,318724,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,british west indies,2835365,3,3,1877;1880;1882
aggregate,1877,china and japan,455755,8,6,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,france,1730062,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,french do,185234,1,1,1877
aggregate,1877,french west indies,185234,2,2,1880;1882
aggregate,1877,germany,404918,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,great britain,81139708,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,holland,296860,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,italy,242942,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,newfoundland,2753748,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1877,other countries,1471734,8,5,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,other w india islands,163242,1,1,1880
aggregate,1877,other west india islands,163242,2,2,1877;1882
aggregate,1877,portugal,175425,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,south africa,120564,3,3,1877;1880;1882
aggregate,1877,south america,656596,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,spain,340757,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,spanish do,1847826,1,1,1877
aggregate,1877,spanish west indies,1847826,2,2,1880;1882
aggregate,1877,switzerland,69066,8,7,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,total,172175876,5,4,1883;1884;1885;1887;1889
aggregate,1877,totals,172175876,3,3,1877;1880;1882
aggregate,1877,united states,77087914,8,8,1877;1880;1882;1883;1884;1885;1887;1889
aggregate,1877,west indies,5031667,5,4,1883;1884;1885;1887;1889
aggregate,1878,australia,61178,2,1,1880;1882
aggregate,1878,belgium,305692,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,british west indies,2528549,2,1,1880;1882
aggregate,1878,china and japan,486244,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,france,1754394,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,french west indies,268424,2,2,1880;1882
aggregate,1878,germany,521580,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,great britain,83372719,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,holland,266764,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,italy,205171,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,newfoundland,2767347,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,other countries,1366532,7,4,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,other w india islands,144038,1,1,1880
aggregate,1878,other west india islands,144038,1,1,1882
aggregate,1878,portugal,145941,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,south africa,91384,2,2,1880;1882
aggregate,1878,south america,669804,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,spain,325245,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,spanish west indies,1456955,2,1,1880;1882
aggregate,1878,switzerland,61178,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,total,170523244,5,5,1883;1884;1885;1887;1889
aggregate,1878,totals,170523244,2,2,1880;1882
aggregate,1878,united states,73876437,7,4,1880;1882;1883;1884;1885;1887;1889
aggregate,1878,west indies,4397996,5,4,1883;1884;1885;1887;1889
aggregate,1879,australia,94761,2,1,1880;1882
aggregate,1879,belgium,219461,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,british west indies,2605671,2,2,1880;1882
aggregate,1879,china and japan,505513,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,france,2247066,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,french west indies,237129,2,2,1880;1882
aggregate,1879,germany,552999,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,great britain,67288848,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,holland,210288,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,italy,181933,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,newfoundland,2280823,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,other countries,1291799,7,5,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,other w india islands,96732,1,1,1880
aggregate,1879,other west india islands,96732,1,1,1882
aggregate,1879,portugal,161258,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,south africa,152107,2,2,1880;1882
aggregate,1879,south america,745830,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,spain,394445,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,spanish west indies,1813667,2,1,1880;1882
aggregate,1879,switzerland,94781,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,total,151832863,5,5,1883;1884;1885;1887;1889
aggregate,1879,totals,151832863,2,2,1880;1882
aggregate,1879,united states,70904720,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1879,west indies,4753099,5,5,1883;1884;1885;1887;1889
aggregate,1880,australia,94225,2,1,1880;1882
aggregate,1880,belgium,837897,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,british west indies,3114875,2,1,1880;1882
aggregate,1880,china and japan,931457,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,france,1928670,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,french west indies,232657,2,1,1880;1882
aggregate,1880,germany,532028,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,great britain,80307286,7,5,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,holland,273837,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,italy,623295,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,newfoundland,2092261,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,other countries,1314429,7,5,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,other w india islands,110475,1,1,1880
aggregate,1880,other west india islands,110475,1,1,1882
aggregate,1880,portugal,201652,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,south africa,218853,2,2,1880;1882
aggregate,1880,south america,1073421,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,spain,297245,7,7,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,spanish west indies,3031050,2,2,1880;1882
aggregate,1880,switzerland,94225,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,total,159693807,5,4,1883;1884;1885;1887;1889
aggregate,1880,totals,159693907,2,1,1880;1882
aggregate,1880,united states,62696857,7,6,1880;1882;1883;1884;1885;1887;1889
aggregate,1880,west indies,6489257,5,5,1883;1884;1885;1887;1889
aggregate,1881,australia,141789,1,1,1882
aggregate,1881,belgium,671267,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,british west indies,3676508,1,1,1882
aggregate,1881,china and japan,1430734,6,5,1882;1883;1884;1885;1887;1889
aggregate,1881,france,2294043,5,4,1882;1883;1885;1887;1889
aggregate,1881,french west indies,129360,1,1,1882
aggregate,1881,germany,1019198,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,great britain,97335378,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,holland,440944,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,italy,234723,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,newfoundland,2175773,6,5,1882;1883;1884;1885;1887;1889
aggregate,1881,other countries,1644170,6,5,1882;1883;1884;1885;1887;1889
aggregate,1881,other west india islands,89223,1,1,1882
aggregate,1881,portugal,165487,6,5,1882;1883;1884;1885;1887;1889
aggregate,1881,south africa,220459,1,1,1882
aggregate,1881,south america,1369731,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,spain,446337,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,spanish west indies,3067425,1,1,1882
aggregate,1881,switzerland,141789,6,5,1882;1883;1884;1885;1887;1889
aggregate,1881,total,189902427,5,5,1883;1884;1885;1887;1889
aggregate,1881,totals,189902427,1,1,1882
aggregate,1881,united states,73570337,6,6,1882;1883;1884;1885;1887;1889
aggregate,1881,west indies,6962516,5,4,1883;1884;1885;1887;1889
aggregate,1882,australia,208093,1,1,1882
aggregate,1882,belgium,645568,6,5,1882;1883;1884;1885;1887;1889
aggregate,1882,british west indies,3537686,1,1,1882
aggregate,1882,china and japan,1635717,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,france,2922931,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,french west indies,181114,1,1,1882
aggregate,1882,germany,1633118,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,great britain,95871802,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,holland,613241,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,italy,256841,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,newfoundland,2468432,6,5,1882;1883;1884;1885;1887;1889
aggregate,1882,other countries,2134932,6,5,1882;1883;1884;1885;1887;1889
aggregate,1882,other west india islands,85715,1,1,1882
aggregate,1882,portugal,201656,6,5,1882;1883;1884;1885;1887;1889
aggregate,1882,south africa,300231,1,1,1882
aggregate,1882,south america,2314779,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,spain,570301,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,spanish west indies,3214441,1,1,1882
aggregate,1882,switzerland,268093,6,5,1882;1883;1884;1885;1887;1889
aggregate,1882,total,214786130,5,5,1883;1884;1885;1887;1889
aggregate,1882,totals,214786130,1,1,1882
aggregate,1882,united states,96229763,6,6,1882;1883;1884;1885;1887;1889
aggregate,1882,west indies,7018956,5,4,1883;1884;1885;1887;1889
aggregate,1883,belgium,611112,5,5,1883;1884;1885;1887;1889
aggregate,1883,china and japan,1750642,5,5,1883;1884;1885;1887;1889
aggregate,1883,france,2934210,5,5,1883;1884;1885;1887;1889
aggregate,1883,germany,1942851,5,5,1883;1884;1885;1887;1889
aggregate,1883,great britain,99197682,5,4,1883;1884;1885;1887;1889
aggregate,1883,holland,324800,5,5,1883;1884;1885;1887;1889
aggregate,1883,italy,322554,5,5,1883;1884;1885;1887;1889
aggregate,1883,newfoundland,2953273,5,5,1883;1884;1885;1887;1889
aggregate,1883,other countries,1706595,5,5,1883;1884;1885;1887;1889
aggregate,1883,portugal,243192,5,5,1883;1884;1885;1887;1889
aggregate,1883,south america,2954628,5,5,1883;1884;1885;1887;1889
aggregate,1883,spain,749897,5,5,1883;1884;1885;1887;1889
aggregate,1883,switzerland,336040,5,5,1883;1884;1885;1887;1889
aggregate,1883,total,221222823,5,5,1883;1884;1885;1887;1889
aggregate,1883,united states,97701056,5,5,1883;1884;1885;1887;1889
aggregate,1883,west indies,7494291,5,5,1883;1884;1885;1887;1889
aggregate,1884,belgium,746528,4,4,1884;1885;1887;1889
aggregate,1884,china and japan,1970541,4,4,1884;1885;1887;1889
aggregate,1884,france,2160804,4,4,1884;1885;1887;1889
aggregate,1884,germany,2171346,4,4,1884;1885;1887;1889
aggregate,1884,great britain,87154242,4,4,1884;1885;1887;1889
aggregate,1884,holland,333977,4,4,1884;1885;1887;1889
aggregate,1884,italy,322499,4,4,1884;1885;1887;1889
aggregate,1884,newfoundland,2701120,4,4,1884;1885;1887;1889
aggregate,1884,other countries,2078676,4,4,1884;1885;1887;1889
aggregate,1884,portugal,240235,4,4,1884;1885;1887;1889
aggregate,1884,south america,2756371,4,4,1884;1885;1887;1889
aggregate,1884,spain,648569,4,4,1884;1885;1887;1889
aggregate,1884,switzerland,242380,4,4,1884;1885;1887;1889
aggregate,1884,total,199587140,4,4,1884;1885;1887;1889
aggregate,1884,united states,89333366,4,4,1884;1885;1887;1889
aggregate,1884,west indies,6726486,4,4,1884;1885;1887;1889
aggregate,1885,belgium,551645,3,3,1885;1887;1889
aggregate,1885,china and japan,2528369,3,3,1885;1887;1889
aggregate,1885,france,2239890,3,3,1885;1887;1889
aggregate,1885,germany,2385344,3,3,1885;1887;1889
aggregate,1885,great britain,83284482,3,3,1885;1887;1889
aggregate,1885,holland,361879,3,3,1885;1887;1889
aggregate,1885,italy,255712,3,3,1885;1887;1889
aggregate,1885,newfoundland,2022073,3,3,1885;1887;1889
aggregate,1885,other countries,1989280,3,3,1885;1887;1889
aggregate,1885,portugal,227096,3,3,1885;1887;1889
aggregate,1885,south america,2802042,3,3,1885;1887;1889
aggregate,1885,spain,481910,3,3,1885;1887;1889
aggregate,1885,switzerland,217666,3,3,1885;1887;1889
aggregate,1885,total,191948380,3,2,1885;1887;1889
aggregate,1885,united states,86903935,3,3,1885;1887;1889
aggregate,1885,west indies,5698057,3,3,1885;1887;1889
aggregate,1886,belgium,517472,2,2,1887;1889
aggregate,1886,china and japan,2495703,2,2,1887;1889
aggregate,1886,france,2509581,2,2,1887;1889
aggregate,1886,germany,2408821,2,2,1887;1889
aggregate,1886,great britain,82143828,2,2,1887;1889
aggregate,1886,holland,309559,2,2,1887;1889
aggregate,1886,italy,215298,2,2,1887;1889
aggregate,1886,newfoundland,2139301,2,2,1887;1889
aggregate,1886,other countries,2363014,2,2,1887;1889
aggregate,1886,portugal,301927,2,2,1887;1889
aggregate,1886,south america,2111029,2,2,1887;1889
aggregate,1886,spain,432540,2,2,1887;1889
aggregate,1886,switzerland,203085,2,2,1887;1889
aggregate,1886,total,184854008,2,2,1887;1889
aggregate,1886,united states,81436808,2,2,1887;1889
aggregate,1886,west indies,5266042,2,2,1887;1889
aggregate,1887,belgium,927580,2,2,1887;1889
aggregate,1887,china and japan,2819584,2,2,1887;1889
aggregate,1887,france,2415001,2,2,1887;1889
aggregate,1887,germany,3672985,2,2,1887;1889
aggregate,1887,great britain,89534079,2,2,1887;1889
aggregate,1887,holland,309920,2,2,1887;1889
aggregate,1887,italy,245570,2,2,1887;1889
aggregate,1887,newfoundland,2072946,2,2,1887;1889
aggregate,1887,other countries,2841913,2,2,1887;1889
aggregate,1887,portugal,204671,2,2,1887;1889
aggregate,1887,south america,2625066,2,2,1887;1889
aggregate,1887,spain,481289,2,2,1887;1889
aggregate,1887,switzerland,219777,2,2,1887;1889
aggregate,1887,total,195155239,2,2,1887;1889
aggregate,1887,united states,82767265,2,2,1887;1889
aggregate,1887,west indies,4017593,2,2,1887;1889
aggregate,1888,belgium,505800,1,1,1889
aggregate,1888,china and japan,2261155,1,1,1889
aggregate,1888,france,2642557,1,1,1889
aggregate,1888,germany,3563106,1,1,1889
aggregate,1888,great britain,79383705,1,1,1889
aggregate,1888,holland,332169,1,1,1889
aggregate,1888,italy,235816,1,1,1889
aggregate,1888,newfoundland,1945426,1,1,1889
aggregate,1888,other countries,2016480,1,1,1889
aggregate,1888,portugal,230397,1,1,1889
aggregate,1888,south america,2387240,1,1,1889
aggregate,1888,spain,427249,1,1,1889
aggregate,1888,switzerland,194938,1,1,1889
aggregate,1888,total,193050100,1,1,1889
aggregate,1888,united states,91053913,1,1,1889
aggregate,1888,west indies,5870149,1,1,1889
aggregate,1889,belgium,595496,1,1,1889
aggregate,1889,china and japan,2048712,1,1,1889
aggregate,1889,france,2562893,1,1,1889
aggregate,1889,germany,3836173,1,1,1889
aggregate,1889,great britain,80422515,1,1,1889
aggregate,1889,holland,414302,1,1,1889
aggregate,1889,italy,186186,1,1,1889
aggregate,1889,newfoundland,1791496,1,1,1889
aggregate,1889,other countries,3167496,1,1,1889
aggregate,1889,portugal,238106,1,1,1889
aggregate,1889,south america,2813587,1,1,1889
aggregate,1889,spain,420794,1,1,1889
aggregate,1889,switzerland,166905,1,1,1889
aggregate,1889,total,198862614,1,1,1889
aggregate,1889,united states,94059844,1,1,1889
aggregate,1889,west indies,6138109,1,1,1889
duty,1872,amounts for which no returns were received by the department,4464.14,1,1,1873
duty,1872,australia,1103,2,1,1873
duty,1872,belgium,204344,2,1,1873
duty,1872,british north american provinces,1968587,2,1,1873
duty,1872,british west indies,1128236,2,1,1873
duty,1872,china and japan,388359,2,1,1873
duty,1872,france,1827858,2,1,1873
duty,1872,french do,35906,2,1,1873
duty,1872,germany,941691,2,1,1873
duty,1872,great britain,63148736,2,1,1873
duty,1872,holland,194712,2,1,1873
duty,1872,italy,33605,2,1,1873
duty,1872,other countries,217352,2,1,1873
duty,1872,other west india islands,6934,2,1,1873
duty,1872,portugal,67430,2,1,1873
duty,1872,south america,81176,2,1,1873
duty,1872,spain,434158,2,1,1873
duty,1872,spanish do,1278361,2,1,1873
duty,1872,switzerland,110982,2,1,1873
duty,1872,total,107709116,2,1,1873
duty,1872,united states,35639586,2,1,1873
duty,1873,amounts for which no re turns were received by the department,5126.92,1,1,1877
duty,1873,amounts for which no returns were received by the department,5126.92,1,1,1873
duty,1873,australia,388352,1,1,1873
duty,1873,b n a provinces,97147.31,1,1,1877
duty,1873,belgium,94504.87,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,british north american provinces,1808997,2,1,1873
duty,1873,british west indies,401444.24,3,2,1873;1877
duty,1873,china and japan,157.95,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,france,627831.95,8,6,1873;1877;1883;1884;1885;1887;1889
duty,1873,french do,9049.77,3,2,1873;1877
duty,1873,germany,334415.51,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,great britain,7398460.17,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,holland,294569.02,8,6,1873;1877;1883;1884;1885;1887;1889
duty,1873,italy,9320.8,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,new foundlnd,97147.31,1,1,1885
duty,1873,newfoundland,97147.31,4,4,1883;1884;1887;1889
duty,1873,other countries,40660.23,8,5,1873;1877;1883;1884;1885;1887;1889
duty,1873,other west india islands,9319.43,3,2,1873;1877
duty,1873,portugal,21245.21,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,south africa,97939,1,1,1873
duty,1873,south america,182660.79,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,spain,102711.21,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,spanish do,412117.42,3,2,1873;1877
duty,1873,switzer land,15994.95,2,2,1884;1885
duty,1873,switzerland,15994.95,6,5,1873;1877;1883;1887;1889
duty,1873,total,13017730.17,7,5,1873;1883;1884;1885;1887;1889
duty,1873,totals,13917730.17,1,1,1877
duty,1873,united states,2966119.34,8,7,1873;1877;1883;1884;1885;1887;1889
duty,1873,west indies,831930.86,5,5,1883;1884;1885;1887;1889
duty,1874,b n a provinces,54929.33,1,1,1877
duty,1874,belgium,51171.82,6,6,1877;1883;1884;1885;1887;1889
duty,1874,british west indies,437499.92,1,1,1877
duty,1874,china and japan,26185.1,6,6,1877;1883;1884;1885;1887;1889
duty,1874,france,744059.1,6,6,1877;1883;1884;1885;1887;1889
duty,1874,french do,9929.84,1,1,1877
duty,1874,germany,272234.68,6,5,1877;1883;1884;1885;1887;1889
duty,1874,great britain,7867481.41,6,5,1877;1883;1884;1885;1887;1889
duty,1874,holland,361153.47,6,6,1877;1883;1884;1885;1887;1889
duty,1874,italy,13626.76,6,6,1877;1883;1884;1885;1887;1889
duty,1874,new foundlnd,54929.33,1,1,1885
duty,1874,newfoundland,54929.33,4,3,1883;1884;1887;1889
duty,1874,other countries,42953.77,6,5,1877;1883;1884;1885;1887;1889
duty,1874,other west india islands,203.94,1,1,1877
duty,1874,portugal,27674.63,6,6,1877;1883;1884;1885;1887;1889
duty,1874,south america,194325.88,6,5,1877;1883;1884;1885;1887;1889
duty,1874,spain,112918.73,6,6,1877;1883;1884;1885;1887;1889
duty,1874,spanish do,488019.41,1,1,1877
duty,1874,switzer land,21950.85,2,2,1884;1885
