measure,fiscal_year,country,value,source_volume,source_fy,table_seq
aggregate,1873,Belgium,364456,oocihm.9_08052_7_4,1873,8
aggregate,1872,British North American Provinces,3736453,oocihm.9_08052_7_4,1873,8
aggregate,1873,British North American Provinces,4609552,oocihm.9_08052_7_4,1873,8
aggregate,1872,British West Indies,3447938,oocihm.9_08052_7_4,1873,8
aggregate,1873,British West Indies,2933548,oocihm.9_08052_7_4,1873,8
aggregate,1872,Spanish do,2911042,oocihm.9_08052_7_4,1873,8
aggregate,1873,Spanish do,2767432,oocihm.9_08052_7_4,1873,8
aggregate,1872,French do,309453,oocihm.9_08052_7_4,1873,8
aggregate,1873,French do,343221,oocihm.9_08052_7_4,1873,8
aggregate,1872,Other West India Islands,107156,oocihm.9_08052_7_4,1873,8
aggregate,1873,Other West India Islands,119224,oocihm.9_08052_7_4,1873,8
aggregate,1872,South America,864030,oocihm.9_08052_7_4,1873,8
aggregate,1873,South America,1701633,oocihm.9_08052_7_4,1873,8
aggregate,1872,China and Japan,438070,oocihm.9_08052_7_4,1873,8
aggregate,1873,China and Japan,1709856,oocihm.9_08052_7_4,1873,8
aggregate,1872,Switzerland,110982,oocihm.9_08052_7_4,1873,8
aggregate,1873,Switzerland,120514,oocihm.9_08052_7_4,1873,8
aggregate,1872,Australia,31926,oocihm.9_08052_7_4,1873,8
aggregate,1873,Australia,430174,oocihm.9_08052_7_4,1873,8
aggregate,1872,South Africa,5615,oocihm.9_08052_7_4,1873,8
aggregate,1873,South Africa,102977,oocihm.9_08052_7_4,1873,8
aggregate,1872,Other Countries,437805,oocihm.9_08052_7_4,1873,8
aggregate,1873,Other Countries,566847,oocihm.9_08052_7_4,1873,8
aggregate,1872,Goods (not produce) exported,12798182,oocihm.9_08052_7_4,1873,8
aggregate,1872,Total,190348779,oocihm.9_08052_7_4,1873,8
aggregate,1873,Total,217304516,oocihm.9_08052_7_4,1873,8
aggregate,1873,Great Britain,107266624,oocihm.9_08052_11_4,1877,2
aggregate,1874,Great Britain,108083642,oocihm.9_08052_11_4,1877,2
aggregate,1875,Great Britain,100379969,oocihm.9_08052_11_4,1877,2
aggregate,1876,Great Britain,83474320,oocihm.9_08052_11_4,1877,2
aggregate,1877,Great Britain,81139708,oocihm.9_08052_11_4,1877,2
aggregate,1873,United States,89808204,oocihm.9_08052_11_4,1877,2
aggregate,1874,United States,90524069,oocihm.9_08052_11_4,1877,2
aggregate,1875,United States,80717903,oocihm.9_08052_11_4,1877,2
aggregate,1876,United States,75986909,oocihm.9_08052_11_4,1877,2
aggregate,1877,United States,77087914,oocihm.9_08052_11_4,1877,2
aggregate,1873,France,2055195,oocihm.9_08052_11_4,1877,2
aggregate,1874,France,2569712,oocihm.9_08052_11_4,1877,2
aggregate,1875,France,2154065,oocihm.9_08052_11_4,1877,2
aggregate,1876,France,2394812,oocihm.9_08052_11_4,1877,2
aggregate,1877,France,1730062,oocihm.9_08052_11_4,1877,2
aggregate,1873,Germany,1176478,oocihm.9_08052_11_4,1877,2
aggregate,1874,Germany,1022428,oocihm.9_08052_11_4,1877,2
aggregate,1875,Germany,839442,oocihm.9_08052_11_4,1877,2
aggregate,1876,Germany,668355,oocihm.9_08052_11_4,1877,2
aggregate,1877,Germany,404918,oocihm.9_08052_11_4,1877,2
aggregate,1873,Spain,502966,oocihm.9_08052_11_4,1877,2
aggregate,1874,Spain,459027,oocihm.9_08052_11_4,1877,2
aggregate,1875,Spain,390784,oocihm.9_08052_11_4,1877,2
aggregate,1876,Spain,445451,oocihm.9_08052_11_4,1877,2
aggregate,1877,Spain,340757,oocihm.9_08052_11_4,1877,2
aggregate,1873,Portugal,266188,oocihm.9_08052_11_4,1877,2
aggregate,1874,Portugal,294007,oocihm.9_08052_11_4,1877,2
aggregate,1875,Portugal,236790,oocihm.9_08052_11_4,1877,2
aggregate,1876,Portugal,199195,oocihm.9_08052_11_4,1877,2
aggregate,1877,Portugal,175425,oocihm.9_08052_11_4,1877,2
aggregate,1873,Italy,229657,oocihm.9_08052_11_4,1877,2
aggregate,1874,Italy,236296,oocihm.9_08052_11_4,1877,2
aggregate,1875,Italy,214366,oocihm.9_08052_11_4,1877,2
aggregate,1876,Italy,183199,oocihm.9_08052_11_4,1877,2
aggregate,1877,Italy,242942,oocihm.9_08052_11_4,1877,2
aggregate,1873,Holland,229770,oocihm.9_08052_11_4,1877,2
aggregate,1874,Holland,271043,oocihm.9_08052_11_4,1877,2
aggregate,1875,Holland,260503,oocihm.9_08052_11_4,1877,2
aggregate,1876,Holland,297805,oocihm.9_08052_11_4,1877,2
aggregate,1877,Holland,296860,oocihm.9_08052_11_4,1877,2
aggregate,1873,Belgium,364456,oocihm.9_08052_11_4,1877,2
aggregate,1874,Belgium,534153,oocihm.9_08052_11_4,1877,2
aggregate,1875,Belgium,337674,oocihm.9_08052_11_4,1877,2
aggregate,1876,Belgium,374880,oocihm.9_08052_11_4,1877,2
aggregate,1877,Belgium,318724,oocihm.9_08052_11_4,1877,2
aggregate,1873,B. N. A. Provinces,4639532,oocihm.9_08052_11_4,1877,2
aggregate,1874,B. N. A. Provinces,2657547,oocihm.9_08052_11_4,1877,2
aggregate,1875,B. N. A. Provinces,2806055,oocihm.9_08052_11_4,1877,2
aggregate,1876,B. N. A. Provinces,2675477,oocihm.9_08052_11_4,1877,2
aggregate,1877,B. N. A. Provinces,2753748,oocihm.9_08052_11_4,1877,2
aggregate,1873,British West Indies,2933548,oocihm.9_08052_11_4,1877,2
aggregate,1874,British West Indies,2916595,oocihm.9_08052_11_4,1877,2
aggregate,1875,British West Indies,3307121,oocihm.9_08052_11_4,1877,2
aggregate,1876,British West Indies,3017337,oocihm.9_08052_11_4,1877,2
aggregate,1877,British West Indies,2835365,oocihm.9_08052_11_4,1877,2
aggregate,1873,Spanish do,2767432,oocihm.9_08052_11_4,1877,2
aggregate,1874,Spanish do,2595356,oocihm.9_08052_11_4,1877,2
aggregate,1875,Spanish do,2158441,oocihm.9_08052_11_4,1877,2
aggregate,1876,Spanish do,1777269,oocihm.9_08052_11_4,1877,2
aggregate,1877,Spanish do,1847826,oocihm.9_08052_11_4,1877,2
aggregate,1873,French do,343221,oocihm.9_08052_11_4,1877,2
aggregate,1874,French do,411111,oocihm.9_08052_11_4,1877,2
