year,commodity,country_raw,country_norm,to_location,quantity,unit,value,currency,series,note,is_world,world_rank,value_is_zero,sheet,src_row
1879,Tallow and Stearine,Uruguay,uruguay,United Kingdom,22653.0,CWTS (Hundredweights),38675.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100116
1879,Tallow and Stearine,Russia,russia,United Kingdom,48401.0,CWTS (Hundredweights),103629.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100117
1879,Tallow and Stearine,United States of America,united states of america,United Kingdom,565881.0,CWTS (Hundredweights),1006710.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100118
1879,Tallow and Stearine,Other Countries,other countries,United Kingdom,22156.0,CWTS (Hundredweights),42686.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100119
1880,Tallow,World,world,Liverpool,414208.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Annual Statement of Trade,,1,1,1,Tallow (raw),99947
1880,Tallow and Stearine,World,world,London,593693.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Annual Statement of Trade,,1,1,1,Tallow (raw),100120
1880,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,103665.0,CWTS (Hundredweights),189619.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100121
1880,Tallow and Stearine,Brazil,brazil,United Kingdom,5442.0,CWTS (Hundredweights),9010.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100122
1880,Tallow and Stearine,France,france,United Kingdom,26916.0,CWTS (Hundredweights),58000.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100123
1880,Tallow and Stearine,World,world,United Kingdom,1316379.0,CWTS (Hundredweights),2311689.0,British Pound,HCPP_Annual Statement of Trade,,1,2,0,Tallow (raw),100124
1880,Tallow and Stearine,Belgium,belgium,United Kingdom,34742.0,CWTS (Hundredweights),51563.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100125
1880,Tallow and Stearine,Australia,australia,United Kingdom,492509.0,CWTS (Hundredweights),836939.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100126
1880,Tallow and Stearine,Uruguay,uruguay,United Kingdom,68676.0,CWTS (Hundredweights),121829.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100127
1880,Tallow and Stearine,Russia,russia,United Kingdom,25505.0,CWTS (Hundredweights),51115.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100128
1880,Tallow and Stearine,United States of America,united states of america,United Kingdom,515984.0,CWTS (Hundredweights),913179.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100129
1880,Tallow and Stearine,Other Countries,other countries,United Kingdom,42940.0,CWTS (Hundredweights),77405.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100130
1881,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,21899.0,CWTS (Hundredweights),40564.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100131
1881,Tallow and Stearine,France,france,United Kingdom,35420.0,CWTS (Hundredweights),65490.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100132
1881,Tallow and Stearine,World,world,United Kingdom,1192075.0,CWTS (Hundredweights),2100619.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100133
1881,Tallow and Stearine,Belgium,belgium,United Kingdom,22286.0,CWTS (Hundredweights),37510.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100134
1881,Tallow and Stearine,Uruguay,uruguay,United Kingdom,45560.0,CWTS (Hundredweights),84762.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100135
1881,Tallow and Stearine,Russia,russia,United Kingdom,22487.0,CWTS (Hundredweights),47787.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100136
1881,Tallow and Stearine,United States of America,united states of america,United Kingdom,414435.0,CWTS (Hundredweights),745059.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100137
1881,Tallow and Stearine,Australasia,australasia,United Kingdom,598770.0,CWTS (Hundredweights),1021384.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100138
1881,Tallow and Stearine,Other Countries,other countries,United Kingdom,31218.0,CWTS (Hundredweights),58063.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100139
1882,Tallow,World,world,United Kingdom,1116581.0,CWTS (Hundredweights),2252517.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),99963
1882,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,127130.0,CWTS (Hundredweights),278446.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100140
1882,Tallow and Stearine,France,france,United Kingdom,60885.0,CWTS (Hundredweights),126695.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100141
1882,Tallow and Stearine,Holland,holland,United Kingdom,12028.0,CWTS (Hundredweights),27401.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100142
1882,Tallow and Stearine,Belgium,belgium,United Kingdom,20292.0,CWTS (Hundredweights),40867.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100143
1882,Tallow and Stearine,Uruguay,uruguay,United Kingdom,110672.0,CWTS (Hundredweights),232017.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100144
1882,Tallow and Stearine,Russia,russia,United Kingdom,33497.0,CWTS (Hundredweights),87705.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100145
1882,Tallow and Stearine,United States of America,united states of america,United Kingdom,291975.0,CWTS (Hundredweights),571748.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100146
1882,Tallow and Stearine,Australasia,australasia,United Kingdom,432665.0,CWTS (Hundredweights),834240.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100147
1882,Tallow and Stearine,Other Countries,other countries,United Kingdom,21263.0,CWTS (Hundredweights),39330.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100148
1882,Tallow and Stearine,Portugal and Azores,portugal and azores,United Kingdom,6174.0,CWTS (Hundredweights),14068.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100149
1883,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,72075.0,CWTS (Hundredweights),160165.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100150
1883,Tallow and Stearine,France,france,United Kingdom,40014.0,CWTS (Hundredweights),79153.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100151
1883,Tallow and Stearine,Holland,holland,United Kingdom,12301.0,CWTS (Hundredweights),30097.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100152
1883,Tallow and Stearine,New South Wales,new south wales,United Kingdom,182399.0,CWTS (Hundredweights),362137.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100153
1883,Tallow and Stearine,Queensland,queensland,United Kingdom,39315.0,CWTS (Hundredweights),79542.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100154
1883,Tallow and Stearine,World,world,United Kingdom,1038277.0,CWTS (Hundredweights),2101617.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100155
1883,Tallow and Stearine,British North America,british north america,United Kingdom,21570.0,CWTS (Hundredweights),41650.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100156
1883,Tallow and Stearine,Belgium,belgium,United Kingdom,22651.0,CWTS (Hundredweights),47449.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100157
1883,Tallow and Stearine,Peru,peru,United Kingdom,800.0,CWTS (Hundredweights),1800.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100158
1883,Tallow and Stearine,Uruguay,uruguay,United Kingdom,50836.0,CWTS (Hundredweights),110557.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100159
1883,Tallow and Stearine,Russia,russia,United Kingdom,6171.0,CWTS (Hundredweights),14611.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100160
1883,Tallow and Stearine,British Possessions in South Africa ,british possessions in south africa,United Kingdom,801.0,CWTS (Hundredweights),1528.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100161
1883,Tallow and Stearine,Norway,norway,United Kingdom,484.0,CWTS (Hundredweights),771.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100162
1883,Tallow and Stearine,United States of America,united states of america,United Kingdom,336353.0,CWTS (Hundredweights),671325.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100163
1883,Tallow and Stearine,Germany,germany,United Kingdom,11703.0,CWTS (Hundredweights),21345.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100164
1883,Tallow and Stearine,British East Indies,british east indies,United Kingdom,8867.0,CWTS (Hundredweights),15615.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100165
1883,Tallow and Stearine,Australasia Victoria,australasia victoria,United Kingdom,71052.0,CWTS (Hundredweights),146812.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100166
1883,Tallow and Stearine,New Zealand,new zealand,United Kingdom,137997.0,CWTS (Hundredweights),271623.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100167
1883,Tallow and Stearine,Chile,chile,United Kingdom,300.0,CWTS (Hundredweights),700.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100168
1883,Tallow and Stearine,Channel Islands,channel islands,United Kingdom,262.0,CWTS (Hundredweights),397.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100169
1883,Tallow and Stearine,Falkland Islands,falkland islands,United Kingdom,6277.0,CWTS (Hundredweights),12818.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100170
1883,Tallow and Stearine,West Australia,west australia,United Kingdom,117.0,CWTS (Hundredweights),234.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100171
1883,Tallow and Stearine,South Australia,south australia,United Kingdom,14561.0,CWTS (Hundredweights),28690.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100172
1883,Tallow and Stearine,Tasmania,tasmania,United Kingdom,285.0,CWTS (Hundredweights),576.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100173
1883,Tallow and Stearine,Gibraltar,gibraltar,United Kingdom,474.0,CWTS (Hundredweights),958.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100174
1883,Tallow and Stearine,Other Countries,other countries,United Kingdom,259.0,CWTS (Hundredweights),497.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100175
1883,Tallow and Stearine,Bermudas,bermudas,United Kingdom,353.0,CWTS (Hundredweights),567.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100176
1884,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,97898.0,CWTS (Hundredweights),190198.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100177
1884,Tallow and Stearine,France,france,United Kingdom,39242.0,CWTS (Hundredweights),76645.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100178
1884,Tallow and Stearine,Holland,holland,United Kingdom,16784.0,CWTS (Hundredweights),36482.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100179
1884,Tallow and Stearine,Queensland,queensland,United Kingdom,14506.0,CWTS (Hundredweights),26802.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100180
1884,Tallow and Stearine,World,world,United Kingdom,1114888.0,CWTS (Hundredweights),2106020.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100181
1884,Tallow and Stearine,British North America,british north america,United Kingdom,9325.0,CWTS (Hundredweights),17615.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100182
1884,Tallow and Stearine,Belgium,belgium,United Kingdom,23417.0,CWTS (Hundredweights),51630.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100183
1884,Tallow and Stearine,Uruguay,uruguay,United Kingdom,63056.0,CWTS (Hundredweights),111807.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100184
1884,Tallow and Stearine,Russia,russia,United Kingdom,14724.0,CWTS (Hundredweights),29038.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100185
1884,Tallow and Stearine,United States of America,united states of america,United Kingdom,333721.0,CWTS (Hundredweights),638288.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100186
1884,Tallow and Stearine,Germany,germany,United Kingdom,9121.0,CWTS (Hundredweights),15351.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100187
1884,Tallow and Stearine,British East Indies,british east indies,United Kingdom,9050.0,CWTS (Hundredweights),16657.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100188
1884,Tallow and Stearine,Australasia Victoria,australasia victoria,United Kingdom,109167.0,CWTS (Hundredweights),204433.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100189
1884,Tallow and Stearine,New Zealand,new zealand,United Kingdom,137930.0,CWTS (Hundredweights),255970.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100190
1884,Tallow and Stearine,Australasia New South Wales,australasia new south wales,United Kingdom,204282.0,CWTS (Hundredweights),380542.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100191
1884,Tallow and Stearine,British West India Islands,british west india islands,United Kingdom,5166.0,CWTS (Hundredweights),9557.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100192
1884,Tallow and Stearine,Falkland Islands,falkland islands,United Kingdom,6788.0,CWTS (Hundredweights),13214.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100193
1884,Tallow and Stearine,West Australia,west australia,United Kingdom,242.0,CWTS (Hundredweights),447.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100194
1884,Tallow and Stearine,South Australia,south australia,United Kingdom,14655.0,CWTS (Hundredweights),26998.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100195
1884,Tallow and Stearine,Tasmania,tasmania,United Kingdom,200.0,CWTS (Hundredweights),388.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100196
1884,Tallow and Stearine,Other Countries,other countries,United Kingdom,5614.0,CWTS (Hundredweights),8958.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100197
1885,Tallow,World,world,Liverpool,346638.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Annual Statement of Trade,,1,1,1,Tallow (raw),99971
1885,Tallow and Stearine,World,world,London,491488.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Annual Statement of Trade,,1,1,1,Tallow (raw),100198
1885,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,107278.0,CWTS (Hundredweights),169888.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100199
1885,Tallow and Stearine,France,france,United Kingdom,36623.0,CWTS (Hundredweights),65283.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100200
1885,Tallow and Stearine,Holland,holland,United Kingdom,13970.0,CWTS (Hundredweights),28092.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100201
1885,Tallow and Stearine,New South Wales,new south wales,United Kingdom,147899.0,CWTS (Hundredweights),222414.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100202
1885,Tallow and Stearine,Queensland,queensland,United Kingdom,20997.0,CWTS (Hundredweights),31142.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100203
1885,Tallow and Stearine,World,world,United Kingdom,1008960.0,CWTS (Hundredweights),1580015.0,British Pound,HCPP_Annual Statement of Trade,,1,2,0,Tallow (raw),100204
1885,Tallow and Stearine,Belgium,belgium,United Kingdom,32116.0,CWTS (Hundredweights),47931.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100205
1885,Tallow and Stearine,Uruguay,uruguay,United Kingdom,120514.0,CWTS (Hundredweights),190053.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100206
1885,Tallow and Stearine,Russia,russia,United Kingdom,7172.0,CWTS (Hundredweights),12509.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100207
1885,Tallow and Stearine,Japan,japan,United Kingdom,3352.0,CWTS (Hundredweights),5372.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100208
1885,Tallow and Stearine,United States of America,united states of america,United Kingdom,246665.0,CWTS (Hundredweights),394589.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100209
1885,Tallow and Stearine,Germany,germany,United Kingdom,18094.0,CWTS (Hundredweights),22346.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100210
1885,Tallow and Stearine,British East Indies,british east indies,United Kingdom,6537.0,CWTS (Hundredweights),10321.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100211
1885,Tallow and Stearine,Australasia Victoria,australasia victoria,United Kingdom,86306.0,CWTS (Hundredweights),135229.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100212
1885,Tallow and Stearine,New Zealand,new zealand,United Kingdom,137958.0,CWTS (Hundredweights),206667.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100213
1885,Tallow and Stearine,Other British Possessions,other british possessions,United Kingdom,2558.0,CWTS (Hundredweights),3769.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100214
1885,Tallow and Stearine,Falkland Islands,falkland islands,United Kingdom,3989.0,CWTS (Hundredweights),6089.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100215
1885,Tallow and Stearine,Other Foreign Countries ,other foreign countries,United Kingdom,1081.0,CWTS (Hundredweights),1841.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100216
1885,Tallow and Stearine,West Australia,west australia,United Kingdom,333.0,CWTS (Hundredweights),612.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100217
1885,Tallow and Stearine,South Australia,south australia,United Kingdom,15393.0,CWTS (Hundredweights),25618.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100218
1885,Tallow and Stearine,Tasmania,tasmania,United Kingdom,125.0,CWTS (Hundredweights),250.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100219
1886,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,53277.0,CWTS (Hundredweights),64839.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100220
1886,Tallow and Stearine,France,france,United Kingdom,45213.0,CWTS (Hundredweights),75914.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100221
1886,Tallow and Stearine,Holland,holland,United Kingdom,8725.0,CWTS (Hundredweights),14740.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100222
1886,Tallow and Stearine,New South Wales,new south wales,United Kingdom,152676.0,CWTS (Hundredweights),187191.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100223
1886,Tallow and Stearine,Queensland,queensland,United Kingdom,7650.0,CWTS (Hundredweights),9577.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100224
1886,Tallow and Stearine,World,world,United Kingdom,1011911.0,CWTS (Hundredweights),1299214.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100225
1886,Tallow and Stearine,British North America,british north america,United Kingdom,10888.0,CWTS (Hundredweights),12698.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100226
1886,Tallow and Stearine,Belgium,belgium,United Kingdom,27068.0,CWTS (Hundredweights),48690.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100227
1886,Tallow and Stearine,Uruguay,uruguay,United Kingdom,62559.0,CWTS (Hundredweights),78301.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100228
1886,Tallow and Stearine,Russia,russia,United Kingdom,35579.0,CWTS (Hundredweights),48647.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100229
1886,Tallow and Stearine,Morocco ,morocco,United Kingdom,7800.0,CWTS (Hundredweights),8580.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100230
1886,Tallow and Stearine,United States of America,united states of america,United Kingdom,341675.0,CWTS (Hundredweights),433750.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100231
1886,Tallow and Stearine,British East Indies,british east indies,United Kingdom,18559.0,CWTS (Hundredweights),25532.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100232
1886,Tallow and Stearine,New Zealand,new zealand,United Kingdom,119035.0,CWTS (Hundredweights),148848.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100233
1886,Tallow and Stearine,Other British Possessions,other british possessions,United Kingdom,3300.0,CWTS (Hundredweights),3917.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100234
1886,Tallow and Stearine,Falkland Islands,falkland islands,United Kingdom,4032.0,CWTS (Hundredweights),4889.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100235
1886,Tallow and Stearine,Other Foreign Countries ,other foreign countries,United Kingdom,4411.0,CWTS (Hundredweights),5513.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100236
1886,Tallow and Stearine,West Australia,west australia,United Kingdom,203.0,CWTS (Hundredweights),280.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100237
1886,Tallow and Stearine,South Australia,south australia,United Kingdom,7993.0,CWTS (Hundredweights),9307.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100238
1886,Tallow and Stearine,Tasmania,tasmania,United Kingdom,501.0,CWTS (Hundredweights),601.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100239
1886,Tallow and Stearine,Australia Victoria,australia victoria,United Kingdom,100767.0,CWTS (Hundredweights),117400.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100240
1887,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,22002.0,CWTS (Hundredweights),27822.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100241
1887,Tallow and Stearine,France,france,United Kingdom,63876.0,CWTS (Hundredweights),98847.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100242
1887,Tallow and Stearine,Holland,holland,United Kingdom,5163.0,CWTS (Hundredweights),9673.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100243
1887,Tallow and Stearine,World,world,United Kingdom,895121.0,CWTS (Hundredweights),1073611.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100244
1887,Tallow and Stearine,British North America,british north america,United Kingdom,8412.0,CWTS (Hundredweights),11618.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100245
1887,Tallow and Stearine,Belgium,belgium,United Kingdom,17231.0,CWTS (Hundredweights),28087.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100246
1887,Tallow and Stearine,Uruguay,uruguay,United Kingdom,11482.0,CWTS (Hundredweights),13673.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100247
1887,Tallow and Stearine,Russia,russia,United Kingdom,6532.0,CWTS (Hundredweights),8310.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100248
1887,Tallow and Stearine,British Possessions in South Africa ,british possessions in south africa,United Kingdom,1504.0,CWTS (Hundredweights),2631.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100249
1887,Tallow and Stearine,United States of America,united states of america,United Kingdom,329669.0,CWTS (Hundredweights),377197.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100250
1887,Tallow and Stearine,Germany,germany,United Kingdom,3734.0,CWTS (Hundredweights),4867.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100251
1887,Tallow and Stearine,British East Indies,british east indies,United Kingdom,2856.0,CWTS (Hundredweights),3729.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100252
1887,Tallow and Stearine,Australasia,australasia,United Kingdom,415920.0,CWTS (Hundredweights),479342.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100253
1887,Tallow and Stearine,Other British Possessions,other british possessions,United Kingdom,833.0,CWTS (Hundredweights),1091.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100254
1887,Tallow and Stearine,Channel Islands,channel islands,United Kingdom,1320.0,CWTS (Hundredweights),1452.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100255
1887,Tallow and Stearine,Falkland Islands,falkland islands,United Kingdom,3893.0,CWTS (Hundredweights),4356.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100256
1887,Tallow and Stearine,Other Foreign Countries ,other foreign countries,United Kingdom,694.0,CWTS (Hundredweights),916.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100257
1888,Tallow and Stearine,Argentine Republic,argentine republic,United Kingdom,80147.0,CWTS (Hundredweights),105744.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100258
1888,Tallow and Stearine,France,france,United Kingdom,57442.0,CWTS (Hundredweights),85050.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100259
1888,Tallow and Stearine,Holland,holland,United Kingdom,17432.0,CWTS (Hundredweights),27712.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100260
1888,Tallow and Stearine,World,world,United Kingdom,1145928.0,CWTS (Hundredweights),1432596.0,British Pound,HCPP_Annual Statement of Trade,,1,1,0,Tallow (raw),100261
1888,Tallow and Stearine,British North America,british north america,United Kingdom,4757.0,CWTS (Hundredweights),7213.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100262
1888,Tallow and Stearine,Belgium,belgium,United Kingdom,27329.0,CWTS (Hundredweights),43599.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100263
1888,Tallow and Stearine,Uruguay,uruguay,United Kingdom,55062.0,CWTS (Hundredweights),70991.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100264
1888,Tallow and Stearine,Russia,russia,United Kingdom,11484.0,CWTS (Hundredweights),19338.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100265
1888,Tallow and Stearine,British Possessions in South Africa ,british possessions in south africa,United Kingdom,828.0,CWTS (Hundredweights),1053.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100266
1888,Tallow and Stearine,United States of America,united states of america,United Kingdom,310929.0,CWTS (Hundredweights),387630.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100267
1888,Tallow and Stearine,Germany,germany,United Kingdom,16529.0,CWTS (Hundredweights),12290.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100268
1888,Tallow and Stearine,British East Indies,british east indies,United Kingdom,5870.0,CWTS (Hundredweights),7483.0,British Pound,HCPP_Annual Statement of Trade,,0,,,Tallow (raw),100269
